2Sam.0.0	¶ The seconde Boke of Samuel otherwyse called the seconde boke of the kynges.
2Sam.8.10	he sent Ioram his sonne vnto kynge Dauid, to salute hym with peace, Ꟶ to blesse hym, because he had fought agaynst Hadarezer, and beaten hym: for Thoy had greate warre wt Hadarezer, which (Ioram) brought with him, vesselles of siluer, vessels of golde, and vessels of brasse:
2Sam.8.11	Which brasse kyng Dauid dyd dedicat vnto the Lord wt the syluer and golde that he had consecrated of all nacyons, whych he subdued:
2Sam.8.12	of Siria of the Moabites, Ꟶ of the chyldren of Ammon, of the Philistines, Ꟶ of Hamalek, and of the spoyle of Hadarezer sonne of Rehob kyng of zoba.
2Sam.8.13	And Dauid gat hym a name after that he returned Ꟶ had smytten of the Siriens in the valeye of Salt .xviii. thousand men.
2Sam.8.14	And he put kepers in Edom, euen thorow out al Edom put he soudyoures, Ꟶ all they of Edom becam Dauids seruauntes, And the Lorde kept Dauid whatsoeuer he toke in hand.
2Sam.8.15	And Dauid raygned ouer all Israel, and executed ryght, Ꟶ Iustice vnto all his people.
2Sam.8.16	And Ioab the sonne of zaruiah was ouer the host, and Iehosaphat the sonne of Ahilud was recorder.
2Sam.8.17	And Sadoch the sonne of Ahitob, Ꟶ Abimelech the sonne of Abiathar were the Preastes, and Saraia was the Scrybe.
2Sam.8.18	And Banaiahu the sonne of Iehoiada was ouer the Crethites and the Phelethites: Ꟶ Dauids sonnes were chefe rulars.
2Sam.9.1	And Dauid sayd: is there yet any man left of the house of Saul? For I will shew hym mercye for Ionathas sake.
2Sam.9.2	And there was of the houshold of Saul a seruaunt whose name was ziba: Ꟶ whan they had called hym vnto Dauid, the kyng sayd vnto him: art thou ziba? He sayd: thy seruaunt is he.
2Sam.9.3	And the kyng sayde: remayneth ther yet any man of the house of Saul, whom I maye shew the mercye of God vpon? ziba answered the kynge: Ionathas hath yet a sonne, which is lame on his fete.
2Sam.9.4	The king sayd vnto him where is he? ziba sayd vnto the kynge: behold, he is in the house of Machir the sonne of Amiel of Lodeber.
2Sam.9.5	Then kyng Dauid sent, Ꟶ fett hym out of the house of Machir the sonne of Amiel, out of the Lodeber.
2Sam.9.6	Now when Miphiboseth the sonne of Ionathas, the sonne of Saul was come vnto Dauid, he fell on his face, and did reuerence. And the kyng sayde: Miphiboseth? He answered: Behold thy seruaunt.
2Sam.9.7	Dauid sayde vnto him: feare not, for I will surely shew the kindnesse for Ionathas thy fathers sake, Ꟶ will restore the all the feldes of Saul thy father, Ꟶ thou shalt eate bred on myne awne table continually.
2Sam.9.8	And he bowed hym self, and sayde: what is thy seruaunt, that thou shuldest vouchesafe to loke vpon soche a deed dogg as I am?
2Sam.9.9	Then the kyng called vnto ziba Sauls young man Ꟶ sayd vnto him: I haue geuen vnto thy masters sonne, all that pertayned to Saul and to all his house.
2Sam.9.10	Se therfore that thou, Ꟶ thy sonnes and thy seruauntes tyll the lande, and bryng in, that thy masters sonne maye haue fode to eate. But Miphiboseth thy masters sonne shal eate bred allwaye vpon my table. For ziba had fiftene sonnes and twentye seruauntes.
2Sam.9.11	Then sayd ziba vnto the kyng: According to all that my Lord the kyng hath commaunded his seruaunt, so shall thy seruaunt do. Well (sayd the kyng) Miphiboseth shall eate vpon my table, as one of the kynges sonnes.
2Sam.9.12	Miphiboseth had a sonne that was younge, named Micha, and all that dwelled in the house of ziba were seruauntes vnto Miphiboseth.
2Sam.9.13	And Miphiboseth dwelt in Ierusalem, for he dyd eate euer at the kynges table, and was lame on both his fete.
2Sam.10.1	It happened after this, that the king of the children of Ammon died, Ꟶ Hanon his sonne raygned in his steade.
2Sam.10.2	Then sayd Dauid: I will shew kyndnesse vnto Hanon the sonne of Nahas, as hys father shewed kyndnesse vnto me. And Dauid sent to confort hym by the hand of his seruauntes ouer hys father. And Dauids seruauntes came into the lande of the children of Ammon,
2Sam.10.3	and the Lordes of the children of Ammon sayd vnto Hanon their Lord: thynkest thou that Dauid dothe honoure thy father, that he hath sent comfortoures to the? Hath not Dauid rather sent his seruauntes vnto the, to searche the cytie, Ꟶ to spye it out, and to ouerthrow it?
2Sam.10.4	Wherfore, Hanon toke Dauids seruauntes, Ꟶ shaued of the one halfe of euerye mannes berd and cut of their garmentes in the myddle, euen harde to the buttockes of them, Ꟶ sent them awaye.
2Sam.10.5	When they tolde it vnto Dauid, he sent to mete them (for they were men excedingly a shamed) Ꟶ the kyng sayd: tarie at Iericho vntill your beerdes be growen, and then returne.
2Sam.10.6	And when the chyldren of Ammon saw that they stancke in the sight of Dauid, they sent and hired the Syrians of the house of Rehob, Ꟶ the Sirians of zoba .xx. thousand fote men, and of kyng Maacha a thousand men, Ꟶ of Istob twelue thousand men.
2Sam.10.7	And when Dauid hearde of it, he sent Ioab Ꟶ all the host of strong men.
2Sam.10.8	And the children of Ammon came out, and waged battell at the entring in of the gate, Ꟶ the Sirians of zobah, of Rehob, Istob and Maacah were by them selues in the felde.
2Sam.10.9	When Ioab saw that the front of the battell was agaynst hym before and after, he chose of all the fresh young men of Israell, Ꟶ put them in araye agaynst the Syrians.
2Sam.10.10	And the rest of the people he delyuered into the hand of Abisay hys brother, that he myght put them in araye agaynst the children of Ammon.
2Sam.10.11	And be sayd, yf the Sirians be stronger then I, thou shalt helpe me. But yf the chyldren of Ammon be to strong for the, I will come and succoure the.
2Sam.10.12	Therfore quyte the lyke a man, Ꟶ let vs stonde stiff for oure people, Ꟶ for the cities of oure God. And the Lord do that which is good in his owne eyes.
2Sam.10.13	And Ioab proceded forth, Ꟶ the people that was with hym, to fight with the Sirians. But they fled before him.
2Sam.10.14	And when the children of Ammon saw that the Sirians were fled, then fled they also before Abisay, and entred into the citye. And so Ioab returned from the children of Ammon, Ꟶ came to Ierusalem.
2Sam.10.15	And when the Sirians saw that they were put to the worsse before Israel, they geathered them togeather.
2Sam.10.16	And Hadarezer sent, Ꟶ brought out the Sirians that were beyounde the ryuer. And they came with their armye and Hobah the captayne of the host of Hadarezer went before them.
2Sam.10.17	And when it was shewed Dauid, he geathered all Israel togeather, and passed ouer Iordan, Ꟶ cam to Helam: And the Sirians set them selues in araye agaynst Dauid, Ꟶ fought with him:
2Sam.10.18	and the Sirians fled before Israel. And Dauid destroyed seuen hundred charettes of the Sirians, and fourtye thousand horsemen, and smote Sobah the captayne of their host, which also dyed there.
2Sam.10.19	And when all the kinges (that were seruauntes to Hadarezer) saw that they were put to the worse before Israell, they made peace with them, Ꟶ serued them. And so the Sirians feared to helpe the children of Ammon any moare.
2Sam.11.1	And it came to passe that (after the yeare was expyred) in the tyme when kynges vse to go forth to battell, Dauid sent Ioab and hys seruauntes wyth hym, and all Israel, whych destroyed the chyldren of Ammon, and beseged Raba. But Dauid taryed styll at Ierusalem.
2Sam.11.2	And it chaunced in an euenynge, that Dauid arose out of hys bed, and walked vpon the roufe of the kynges palace, and from the roufe he sawe a woman wasshynge her selfe: and the woman was very bewtyfull to loke vpon.
2Sam.11.3	And he sent to enquyre what woman it shuld be, sayenge: is it not Bethsabe the daughter of Eliam, and wyfe to Urias the Hethite?
2Sam.11.4	And dauid sent messengers, and fett her. And she came in vnto hym Ꟶ he laye wyth her. And she was purifyed from her vnclennesse, and returned vnto her house.
2Sam.11.5	And the woman conceaued, Ꟶ sent and tolde Dauid, Ꟶ sayd: I am wyth chylde.
2Sam.11.6	And Dauid sent to Ioab, (sayenge:) sende me Urias the hethite. And Ioab sent Urias to Dauid.
2Sam.11.7	And when Urias was come vnto hym. Dauid demaunded of him: howe Ioab dyd, and howe the people fared, and howe the men of warre prospered.
2Sam.11.8	And Dauid sayd to Urias: go downe to thyne house, and washe thy fete. And Urias departed out of the kynges palace, and there folowed hym a seruyce from the kinges table.
2Sam.11.9	But Urias slept at the dore of the kynges palace wythall the seruauntes of hys Lorde, and went not downe to hys house.
2Sam.11.10	Which when they had tolde Dauid (sayenge: Urias went not downe into hys house.) Dauid sayde vnto Urias: Camest thou not from thy iorney? why dyddest thou not go downe then vnto thyne house?
2Sam.11.11	Urias answered Dauid. The arcke Ꟶ Israel and Iuda dwell in pauylyons: and my Lorde Ioab and the seruauntes of my Lorde lye vpon the flatt erthe: and shall I then go into myne house, to eate, and to dryncke, and lye wyth my wyfe? By thy lyfe and by the lyfe of thy soule, I wyll not do thys thynge.
2Sam.11.12	And Dauid sayde vnto Urias: tarye here this daye also, and tomorowe I wyll lett the depart. And so Urias abode in Ierusalem that daye, and the morowe.
2Sam.11.13	And whan Dauid had called hym, he dyd eate and dryncke before hym, and he made hym droncke. And at euen he went out to lye on hys couche wyth the seruauntes of his Lord, but went not downe to hys house.
2Sam.11.14	On the morow Dauid wrote a letter to Ioab, and sent it by the hande of Urias.
2Sam.11.15	And he wrote thus in the letter, sayeng: put Urias in the forefront of the sharper battell, and come ye backe from hym, that he maye be smytten and dye.
2Sam.11.16	So whan Ioab beseged the cytie, he assygned Urias vnto a place, where he wyst that stronge men were.
2Sam.11.17	And the men of the cytie cam out, and fought wyth Ioab. And there were certen ouerthrowen of the people, and of the seruauntes of Dauid, and Urias the Hethite dyed also.
2Sam.11.18	Then Ioab sent, and tolde Dauid all the thynges concernynge the warre,
2Sam.11.19	and charged the messenger, sayenge: when thou hast made an ende of tellynge the matters of the warre vnto the kynge,
2Sam.11.20	yf he begynne to fume, and saye vnto the: wherfore approched ye so nye vnto the cytie, whan ye dyd fyght? wyst ye not that they wolde hurle and shote from the wall?
2Sam.11.21	who smote Abimelech sonne of Iereboseth? dyd not a woman cast a pece of a mylstone vpon hym from of the wall, and he dyed in Thebes? why went ye nye the wall? then saye thou? thy seruaunt Urias the Hethite is deed also.
2Sam.11.22	So the messenger went, and came, and shewed Dauid all that Ioab had sent hym for,
2Sam.11.23	and the messaunger sayd vnto Dauid: the men preuayled agaynst vs, and cam out vnto vs into the felde, Ꟶ we stacke vnto them, euen vnto the enteryng of the gate.
2Sam.11.24	And the shoters shotte from the walles, vpon thy seruauntes, and some of the kinges seruauntes be deed. And thy seruaunt Urias the Hethite is deed also.
2Sam.11.25	And Dauid sayde vnto the messenger: thus shalt thou saye vnto Ioab: let not that thynge trouble the. For the swerde deuoureth one as well as another: make thy battell more stronge agaynst the cytye to ouerthrowe it, Ꟶ se that thou courage Ioab.
2Sam.11.26	And when the wyfe of Urias heard that her husbande was deed, she mourned for hym.
2Sam.11.27	And whan the mournynge was past, Dauid sent and fett her to hys house, and she became hys wyfe, and bare hym a sonne. But this thynge that Dauid dyd, displeased the Lorde.
2Sam.12.1	And the Lorde sent Nathan vnto Dauid. And he came vnto him and tolde hym: there were two men in one cytie, the one ryche, and the other poore.
2Sam.12.2	The ryche man had excedynge many shepe and oxen.
2Sam.12.3	But the poore had nothynge saue one lytle shepe, whych he had bought, and noryshhed vp. And it grewe vp wyth hym and wyth hys chyldren also, and dyd eate of hys awne meate, and drancke of hys awne cuppe, and slept in hys bosome, and was vnto hym as hys daughter.
2Sam.12.4	And there cam a straunger vnto the ryche man. And he coulde not fynde in hys heart to take of hys awne shepe, and of hys awne oxen, to dresse for the straunger that was come vnto hym. But toke the poore mannes shepe, and dressed it for the man that was come to him:
2Sam.12.5	And Dauid was excedyng wroth wt the man, and sayde to Nathan: as surely as the Lorde lyueth, the man that hath done this thyng is the chylde of deeth.
2Sam.12.6	He shall restore the lambe twyse foure folde, because he dyd thys thynge, and had no pitye.
2Sam.12.7	And Nathan sayth to Dauid: thou art the man. Thus sayth the Lorde God of Israel, I anoynted the kynge ouer Israel, and rydde the out of the hande of Saul,
2Sam.12.8	I gaue the thy masters house, and thy masters wyues into thy bosome, and gaue the, the house of Israel and of Iuda, Ꟶ might (yf that had bene to lytle) haue geuen the so moche moare.
2Sam.12.9	Wherfore then hast thou despised the commaundement of the Lorde, to do wyckednesse in hys syght? thou hast kylde Urias the Hethite with the swerde, and hast taken his wife to thy wyfe, Ꟶ hast slayne hym with the swerde of the chyldren of Ammon.
2Sam.12.10	Nowe therfore, the swerde shall neuer depart from thyne house, because thou hast despysed me, and taken the wyfe of Urias the Hethite, to be thy wife.
2Sam.12.11	Wherfore thus sayth the Lorde: beholde, I wyll stere vp euell agaynst the, euen out of thyne awne house, Ꟶ wyll take thy wyues before thyne eyes, and geue them vnto thy neyghboure, and he shall lye wyth thy wyues in the syght of the sonne.
2Sam.12.12	For thou dydest it secretly, But I wyll do thys thynge before all Israel, and in the open sonne lygth.
2Sam.12.13	And Dauid sayde vnto Nathan I haue synned agaynst the Lorde. And Nathan sayd vnto Dauid: the Lorde also hath put awaye thy synne, thou shalt not dye.
2Sam.12.14	Howbeit, because in doyng thys deade, thou hast geuen the enemyes of the Lord a cause to rayle, the chylde that is borne vnto the, shall surelye dye.
2Sam.12.15	And Nathan departed vnto hys house. And the Lorde stroke the chylde that Urias wyfe bare vnto Dauid, and it sickened sore.
2Sam.12.16	Dauid therfore besought God for the chylde, and fasted and went in, and laye all nyght vpon the erthe.
2Sam.12.17	And the elders of hys house arose and went to hym, to take him vp from the erth. But he wolde not, nether dyd he eate meat wyth them.
2Sam.12.18	And it happened the seuenth daye, that the chylde dyed. And the seruauntes of Dauid durst not tell him, that the chylde was deed. For they sayd: beholde, while the chyld was yet alyue, we spake vnto hym, and he wolde not herken vnto oure voyce. Howe wyll he then vexe hym selfe, yf we tell hym, that the chylde is deed?
2Sam.12.19	But Dauid seynge hys seruauntes whysperynge, perceaued, that the chylde was deed, Ꟶ Dauid sayd vnto hys seruauntes: is the chylde deed? They sayde: yee.
2Sam.12.20	And Dauid arose from the erth, and washed and anoynted him selfe, and chaunged his apparell, Ꟶ came into the house of the Lorde, Ꟶ worshypped, Ꟶ afterward cam to hys awne house and badd that they shulde set bred before hym, and he dyd eate.
2Sam.12.21	Then sayd his seruauntes vnto hym: what thynge is thys, that thou hast done? Thou dyddest faste and wepe for the chylde, whyle it was a lyue, Ꟶ as sone as it was deed, thou diddest ryse vp, and eate meate.
2Sam.12.22	He sayde: whyle the chylde was yet a lyue, I fasted and wepte. For this I thought: who can tell whether God wyll haue mercye on me, that the chylde maye lyue.
2Sam.12.23	But nowe, seynge it is deed, wherfore shulde I fast? can I brynge him agayne any moare? I shall go to hym, rather then he shall come agayne to me.
2Sam.12.24	And Dauid conforted Bethsabe his wyfe, and went in vnto her, and laye wyth her, and she bare a sonne, and called his name Salomon, and the Lorde loued hym.
2Sam.12.25	And he sent by the hande of Nathan the prophete, and called his name Iedidia, of the Lordes behalfe.
2Sam.12.26	Ioab fought agaynst Raba the cytie of the chyldren of Ammon, and toke the cyty of the kyngdome.
2Sam.12.27	And Ioab sent messengers to Dauid, sayeng: I haue made assawt to Raba, and haue taken the cytie wyth waters.
2Sam.12.28	Nowe therfore geather the rest of the people together, and besege the cytie, that thou mayest take it: lest I take it, and call it after my name.
2Sam.12.29	And Dauid geathered all the people together, and went agaynst Raba, Ꟶ beseged it, and gatt it.
2Sam.12.30	And he toke theyr kynges croune from of hys heed, which wayed an hundred wayght of golde, and in it were precyous stones. And it was set on Dauids heed. And he brought out the spoyle of the cytie in excedynge great aboundance.
2Sam.12.31	And he caryed out the people that was therin, and put them vpon sawes and vpon yron harowes, and vpon axes of yron, Ꟶ thrust them into the tylekell. Thus dyd he with all the cyties of the children of Ammon. And so Dauid and all the people returned vnto Ierusalem.
2Sam.13.1	After this it chaunced that Absalom the sonne of Dauid had a fayre syster, named Thamar, whom Amnon the sonne of Dauid loued.
2Sam.13.2	And he was so sore vexed, that he fell sycke for the loue of hys syster Thamar: for she was a virgyn, and he thought it harde for hym to haue hys purpose of her.
2Sam.13.3	But Amnon had a frende, called Ionadab, the sonne of Simeah Dauids brother: and Ionadab was a very wyse man.
2Sam.13.4	And he sayde vnto him: how cometh it, that thou beyng the kinges sonne, art thus consumed euery daye? Wylt thou not tell me? Amnon answered hym: I loue Thamar my brother Absaloms syster.
2Sam.13.5	Ionadab sayde vnto him: laye the downe on thy bedde, Ꟶ make thy selfe sicke. And when thy father is come to se the, saye vnto hym: Oh let my syster Thamar come, and geue me meate, Ꟶ dresse it in my syght, that I maye se it and eate it of her hande.
2Sam.13.6	And so Amnon laye downe, Ꟶ made hym selfe sycke. And when the kynge was come to se him, Amnon sayde vnto him: Oh let Thamar my syster come, Ꟶ make me a couple of frytters in my sygth, that I maye eate of her hande.
2Sam.13.7	Then Dauid sent home to Thamar, sayeng: go now to thy brother Amnon house, and dresse him meate.
2Sam.13.8	So Thamar wente to her brother Amnons house, and he was layed downe. And she toke floure, and made paste, and dressed frytters in his syght, Ꟶ dyd bake them,
2Sam.13.9	and toke a platter, Ꟶ powred them out before him, but he wolde not eate.
2Sam.13.10	And Amnon sayde: Haue out all men from me. And they went all out from hym. And Amnon sayde vnto Thamar: brynge the meate into the chambre, that I maye eate of thyne hand. And Thamar toke the frytters, whych she had made, Ꟶ brought them into the chambre to Amnon her brother.
2Sam.13.11	And whan she had set them before him, to eate, he toke her, and sayd vnto her: come lye wt me my syster.
2Sam.13.12	And she answered him: nay my brother, do not force me, for there hath no such thinge bene done in Israel: do not thou this abhominacion.
2Sam.13.13	For whither shall I be able to go wt my shame? And thou shalt be as one of the foles in Israel. O speake vnto the kynge, and he shall not denye me vnto the.
2Sam.13.14	Howbeit he wolde not herken vnto her voyce but toke her, Ꟶ forced her, and laye wt her.
2Sam.13.15	And then Amnon hated her excedynglye: so that the hate wher wyth he hated her, was greater then the loue, wt which he before loued her. And Amnon sayde vnto her: vp, Ꟶ get the hence.
2Sam.13.16	She answered him: Thou hast no cause. This euell that thou puttest me awaye is greater then the other that thou dyddest vnto me. Neuerthelesse he wolde not heare her,
2Sam.13.17	but called his boye that serued him, Ꟶ sayd: put a waye this woman from me, Ꟶ bolt the dore after her.
2Sam.13.18	And she had a kirtell of diuerse coloures vpon her: for wt soche were the kynges daughters (that were virgines) appareled. Then his seruaunt brought her oute, and locked the dore after her.
2Sam.13.19	And Thamar toke Ꟶ put asshes on her heed, Ꟶ rent her gaye kyrtell that was on her, Ꟶ layed her hande on her heed, Ꟶ so went: Ꟶ as she went, cryed.
2Sam.13.20	And Absalom her brother sayde vnto her: hath Amnon thy brother bene with the? Now yet be still my syster: he is thy brother. Let not this thynge greue thine hert And so Thamar remayned desolate in her brother Absaloms house.
2Sam.13.21	But whan kynge Dauid heard of all these thinges, he was very wroth.
2Sam.13.22	And Absalom sayde vnto hys brother Amnon nether good ner badd. Howbeit Absalom hated Amnon because he had forced hys syster Thamar.
2Sam.13.23	And it happened after two yere, that Absalom had shepe shearers in the playne of Hazor besyde the trybe of Ephraim, Ꟶ bad all the kynges sonnes,
2Sam.13.24	and cam to the kyng, Ꟶ sayd: beholde, thy seruaunt hath shepe sherers, let the kynge wt his seruauntes come to thy seruaunte.
2Sam.13.25	The king answered Absalom: naye my sonne. We will not go all, ner be chargeable vnto the. And Absalom laye sore vpon hym: howbeit he wolde not go, but blessed hym.
2Sam.13.26	Then sayd Absalom: Yf thou wylt not come, then let my brother Amnon go wt vs. And the kynge answered hym: what nedeth it, that he go wyth the?
2Sam.13.27	But Absalom made soche instance that he let Amnon, Ꟶ all the kynges chyldren go with hym.
2Sam.13.28	Nowe had Absalom commaunded his younge men, sayenge: marke when Amnons hert is mery wyth wyne Ꟶ when I byd you smyte Amnon, then kyll hym: and feare not, haue not I bydden you? be bolde therfore, Ꟶ playe the men.
2Sam.13.29	And the younge men of Absalom dyd vnto Amnon euen as Absalom had commaunded. And all the kynges sonnes arose, Ꟶ euery man gat hym vp, vpon hys Mule, Ꟶ fled.
2Sam.13.30	And it fortuned, that whyle they were yet in the waye, tydynges cam to Dauid sayeng: Absalom hath slayne all the kynges sonnes, Ꟶ there is none left alyue.
2Sam.13.31	Then Dauid arose, Ꟶ tare his garmentes, and laye along on the erth: Ꟶ all his seruauntes stode by with theyr clothes rent.
2Sam.13.32	And Ionadab the sonne of Simeah Dauids brother, answered, and sayde: let not my Lorde suppose that they haue slayne all the younge men the kynges sonnes, saue Amnon only is deed. For that hath bene determined in Absaloms mynde, sence he forced hys syster Thamar.
2Sam.13.33	Nowe therfore, let not my Lorde the kynge take the thynge so greuouslye, to thincke that all the kinges sonnes are deed, saue Amnon only is deed.
2Sam.13.34	But Absalom fled. And the younge man that kept the watche, lyfte vp hys eyes, and loked: And beholde, ther cam moche people by a waye, a longe by the hynder parte on an hylles syde.
2Sam.13.35	And Ionadab sayde vnto the kynge: beholde, the kynges sonnes come: As thy seruaunt sayde, so it is.
2Sam.13.36	And as sone as he had lefte speakynge: beholde, the kynges sonnes came, and lyfte vp theyr voyces, and wepte. The kynge also and all hys seruauntes wepte excedyngly.
2Sam.13.37	But Absalom escaped, and went to Thalmai the sonne of Amihur kynge of Gesur. And Dauid mourned for hys sonne euery daye.
2Sam.13.38	And so Absalom escaped and went to Gesur, and was there thre yeares.
2Sam.13.39	And kynge Dauid desyred to go forth vnto Absalom: For where as Amnon was deed, he was comforted ouer hym.
2Sam.14.1	Ioab the sonne of zaruia perceaued, that the kynges hert was towarde Absalom,
2Sam.14.2	Ꟶ he sent to Thekoa, and fett thence a wyse woman, and sayde vnto her: fayne thy selfe to be a mourner, and put on mournynge apparell. And anoynt not thy self with oyle. but be as a woman that had longe tyme mourned for some deed bodye.
2Sam.14.3	And come to the kynge, and speake of thys maner vnto hym. And so Ioab taught her what she shuld saye
2Sam.14.4	And when the woman of Thekoa had fallen on her face to the grounde, and done obeysaunce, she sayde vnto the kynge: helpe me O kynge.
2Sam.14.5	The kynge sayde vnto her: what ayleth the? She answered: I am a wedowe, and myne husbande is deed.
2Sam.14.6	And thy handmayde had two sonnes, and they two fought together in the felde, (where was no man to go betwene them) but the one smote the other and slewe hym.
2Sam.14.7	And beholde, the whole kynred is rysen agaynst thy handmayde, and they sayd: delyuer vs him that smote hys brother: that we maye kyll hym for the soule of his brother whome he slue. We will destroye the heyre also. And so they shall quenche my sparkle whych is left, that he shall stere vp (to my husbande) nether name ner issue vpon the erth.
2Sam.14.8	And the kynge sayde vnto the woman: go home to thyne house, I wyll geue a charge for the.
2Sam.14.9	And the woman of Thekoa sayde vnto the kynge: My Lorde O kynge, thys trespace be on me and on my fathers house, and the kynge and hys seate be giltlesse.
2Sam.14.10	And the kynge sayd: yf any man saye ought vnto the, bryng hym to me, and he shall hurte the no moare.
2Sam.14.11	Then sayde she: lett the kynge remember hys Lorde God, that the auenger of the bloude geather not on heapes together to destroye, and that they slaye not my sonne. And he answered: as sure as the Lorde lyueth there shall not one heere of thy sonne fall to the erthe.
2Sam.14.12	The woman sayde: let thyne handmayde speake one worde moare vnto my Lorde the kynge. And he sayde: saye on.
2Sam.14.13	The woman sayde: wherfore then hast thou determined such a thyng agaynst the people of God? For the kyng doth speake this thynge as one which is fautye, that he shulde not fett agayne hys banesshed.
2Sam.14.14	For we must nedes dye, Ꟶ perysh as water spylt on the grounde, which cannot be geathered vp agayne: Neither doth God spare any soule. Let the kynge therfore fynde the meanes, that hys banysshed be not vtterly expelled from hym.
2Sam.14.15	Nowe therfore am I come, to speake of this thing vnto the kynge my Lorde: For they that be of the people, haue feared me. And thy handmayde sayde: Nowe wyll I speake vnto the kyng, parauenture the kynge will perfourme the request of his handmayde.
2Sam.14.16	And the kinge shall heare his handmayde, to delyuer her out of the hande of the man that wolde haue destroyed me and also my sonne out of the enheritaunce of God.
2Sam.14.17	And thyne handmayde sayde: the worde of my Lorde the kynge shall nowe be confortable? For my Lorde the kynge is as an Angel of God, in hearyng of good and badd: therfore the Lorde thy God be with the.
2Sam.14.18	Then the kynge answered, Ꟶ sayde vnto the woman: hyde not from me (I praye the) the thynge that I shall aske the: And the woman sayde: let my Lorde the kyng nowe saye on.
2Sam.14.19	And the kynge sayde: Is not the hande of Ioab wyth the in all this matter? The woman answered, and sayde: as sure as thy soule lyueth my Lorde kynge, there is els no man (on the ryght hande nor on the leaft) but as my Lorde the kynge hath spoken, thy seruaunt Ioab he bad me, and he put all these wordes in the mouthe of thyne handmayde.
2Sam.14.20	For to the intent that I shulde alter my communicacyon, hath thy seruaunt Ioab done this thinge. And my Lord is wise, euen as an Angell of God, to vnderstand all thynges that are in the erthe.
2Sam.14.21	And the kynge sayde vnto Ioab beholde, I am content to do this thing. Go, and fett home the chylde Absalom agayne.
2Sam.14.22	And Ioab fell to the grounde on his face, and bowed hym selfe, Ꟶ blessed the kynge And Ioab sayde: nowe thy seruaunt knoweth, that I haue founde grace in thy syght (my Lorde O kynge) in that the kynge hath fulfylled the request of hys seruaunt.
2Sam.14.23	And so Ioab arose, and went to Gesur, and brought Absalom to Ierusalem.
2Sam.14.24	And the kyng sayd: let him turne to hys awne house, and not se my face. And so Absalom returned to hys awne house, and sawe not the kynges face.
2Sam.14.25	But in all Israel there was not so goodlye a man as Absalom, for he was very bewtifull: in so moche that from the sole of his fote to the toppe of his heed, there was no blemeshe in him.
2Sam.14.26	And when he shaued hys heed (for at euery yeares end he shaued it, because the heer was heute on hym and must nedes shaue it) the heere of his heed wayed two hundred cycles after the kynges weyght.
2Sam.14.27	And this Absalom had thre sonnes borne him and one daughter, named Thamar, whyche was afayre, woman to loke vpon.
2Sam.14.28	So Absalom dwelt two yere in Ierusalem, Ꟶ sawe not the kynges face.
2Sam.14.29	Therfore Absalom sent for Ioab, to haue sent hym to the kinge. But he wolde not come to him. And whan he sent agayne, he wolde not come.
2Sam.14.30	Therfore he sayde vnto hys seruauntes: beholde, Ioab hath a parcell of lande fast by my place, and he hath barlye therin. Go, and set it on fire. And Absaloms seruauntes sett it on fyre.
2Sam.14.31	Then Ioab arose Ꟶ came to Absalom vnto his house, Ꟶ sayde vnto him: wherfore haue thy seruauntes burnt my felde wyth fyre.
2Sam.14.32	And Absalom answered Ioab: beholde, I sent for the, desyringe the to come, because I wolde haue sent the to the kinge, for to saye: wherfore am I come from Gesur. It had bene better for me, to haue bene there styll. Nowe therfore, wolde I se the kynges face. And yf there be any trespace in me, kyll thou me.
2Sam.14.33	And so Ioab came to the kynge, Ꟶ tolde him: whych whan he had sent for Absalom, he came to the kynge, and fell to the grounde on hys face before hym. And the kynge kyssed Absalom.
2Sam.15.1	After this it fortuned, that Absalom gatt hym charettes and horsses, and fyftie men to runne before him.
2Sam.15.2	And he roase vp erlye in the morninges, and stode in the place of the entring in of the gate. And euery man that had anye matter and came to the kynge for iudgement, him dyd Absalom call vnto hym, and sayde: of what cytie art thou? He answered: thy seruaunt is of one of the trybes of Israel.
2Sam.15.3	And Absalom sayde vnto hym: se, thy matter is good and ryghteous, but there is no man deputed of the kynge to heare the.
2Sam.15.4	Absalom sayde moreouer: Oh, that I were made iudge in the lande, that euery man which hath anye pleye and matter in the lawe, myght come to me, and that I myght do him iustice?
2Sam.15.5	And whan any man came nye to hym, and dyd him obeysaunce, he put forth his hande and toke hym to hym, and kyssed hym.
2Sam.15.6	And on this maner dyd Absalom to all Israel that came to the kynge for Iudgement, and he stale the hertes of the men of Israel.
2Sam.15.7	And after fourtye yeres it fortuned that Absalom sayde vnto the kynge: let me go nowe to Hebron, and paye my vowe which I haue vowed, vnto the Lorde:
2Sam.15.8	for thy seruaunt vowed a vowe (when I was in Gesur in the lande of Siria) sayeng: yf the Lord shall bringe me agayne to Ierusalem, I will serue the Lord.
2Sam.15.9	And the kynge sayde vnto hym: go in peace. And so he arose, and went to Hebron.
2Sam.15.10	But Absalom sent spyes thorowe out all the tribes of Israel sayenge: as sone as ye heare the voyce of the trompet blowe, ye shall saye: Absalom raigneth kynge in Hebron.
2Sam.15.11	And with Absalom went two hundred men out of Ierusalem, that were called. And they went wt pure hertes, not knowinge of any thynge.
2Sam.15.12	And Absalom sent also for Ahithophel the Gilonite Dauids counseller, that he shulde come out of hys cytie Gilo, whyle he offered sacrifyces. And there was wrought stronge treason. For the people went and increased wt Absalom in multitude.
