Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.7.89	And when Moses was gone into the tabernacle of wytnesse, to speke wyth hym, he harde the voyce of one speakynge vnto hym from of the mercyseate, that was vpon the arke of wytnesse betwene the two cherubyns, and he talked with hym.
Num.8.1	And the Lorde spake vnto Moses, sayinge:
Num.8.2	speake vnto Aaron, and saye vnto hym: when thou puttest on the lampes, the same seuen lampes shall geue lyght towarde the forefront of the candelstycke.
Num.8.3	And Aaron dyd euen so, and lyghtted the lampes towarde the forefront of the candelstycke, as the Lorde commaunded Moses,
Num.8.4	and the worke of the candelsticke was of styffe golde, both the shaft and the floures therof: accordinge vnto the visyon whiche the Lord had shewed Moses euen so he made the candelsticke.
Num.8.5	And the Lorde spake vnto Moses, sayinge:
Num.8.6	take the Leuites from amonge the chyldren of Israel, and cleanse them.
Num.8.7	But thus shalt thou do vnto them, when thou cleansest them: sprynckle water of purifyenge vpon them, and let them make a rasure to runne alonge vpon all the fleshe of them, and let them washe their clothes, and so make them selues cleane.
Num.8.8	Then let them take a bullocke with his meatoffrynge: euen fyne floure myngled wyth oyle: and another bullocke shalt thou take for synne.
Num.8.9	And whan thou doest brynge the Leuites before the tabernacle of wytnesse, thou shalt gether the hole multitude of the chyldren of Israel together,
Num.8.10	and brynge the Leuites before the Lorde, and the chyldren of Israel shall put their handes vpon the Leuites.
Num.8.11	And Aaron shall waue the Leuites before the Lorde, for a waue offerynge of the chyldren of Israel, that they maye execute the minystracyon of the seruyce of the Lorde.
Num.8.12	And the Leuytes shall put their handes vpon the heedes of the bullockes, and thou shalt offer the one for synne, and the other for a burnt offerynge vnto the Lorde, that thou mayest make an attonement for the Leuites.
Num.8.13	And thou shalt sett the Leuites before Aaron and his sonnes, Ꟶ waue them for a waueofferynge before the Lorde.
Num.8.14	And thus thou shalt separate the Leuites from amonge the chyldren of Israel, and the Leuites shall be myne:
Num.8.15	after that, shall the Leuites go in, to do the seruyce of the tabernacle of wytnesse. And thou shalt cleanse them and waue them,
Num.8.16	for they are geuen and delyuered vnto me from amonge the chyldren of Israel, for such as open euery wombe: euen for the fyrst borne of all the chyldren of Israel haue I taken them vnto me.
Num.8.17	For all the fyrstborne of the chyldren of Israel are myne both man and beest: sens the daye that I smote euery fyrst borne in the lande of Egypte, I sanctifyed them for my selfe:
Num.8.18	and I haue taken the Leuites for all the fyrst borne of the chyldren of Israel,
Num.8.19	and haue geuen the Leuites as a gyfte vnto Aaron Ꟶ hys sonnes from amonge the chyldren of Israel, to do the seruyce of the chyldren of Israel in the Tabernacle of wytnesse, to make an attonement for the chyldren of Israel, that there be no plage amonge the chyldren of Israel, yf the chyldren of Israel come nye vnto the holy thynges.
Num.8.20	And Moses and Aaron and all the congregacyon of che chyldren of Israel dyd with the Leuytes, accordynge vnto all that the Lorde commaunded Moses concernynge the Leuytes: euen so dyd the chyldren of Israel vnto them.
Num.8.21	And the Leuites were purifyed, and washed their clothes. And Aaron waued them before the Lorde, and made an attonement for them, and cleansed them.
Num.8.22	After that went the Leuytes into do theyr seruyce in the tabernacle of wytnesse, before Aaron and hys sonnes: as the Lord had commaunded Moses concernynge the Leuytes, euen so they dyd vnto them.
Num.8.23	And the Lorde spake vnto Moses sayinge:
Num.8.24	thys is it that belongeth vnto the Leuytes: from .xxv. yere vpwarde they shall go in to wayte vpon the seruyce of the tabernacle of wytnesse,
Num.8.25	and from the age of fyftye yeare, they shall ceasse waytynge vpon the seruice therof, Ꟶ shall serue no moare:
Num.8.26	but shall mynistre vnto theyr brethren in the tabernacle of wytnesse, to wayte, but shall do no moare seruyce. Thus therfore shalt thou do vnto the Leuites in their watche.
Num.9.1	And the Lorde vnto Moses in the wyldernesse of Synay, in the fyrste moneth of the seconde yere, after they were come out of the lande of Egypte, sayinge:
Num.9.2	let the chyldren of Israel offre Passeouer in hys season:
Num.9.3	euen the .xiiij. daye of thys moneth at euen let them kepe it in hys season, accordynge to all the ceremonyes of it, and accordynge to all the maners therof.
Num.9.4	And Moses spake vnto the chyldren of Israel, that they shulde offer Passeouer,
Num.9.5	and they offered Passeouer the .xiiij. daye of the fyrst moneth at euen in the wyldernesse of Synai: accordynge to all that the Lorde commaunded Moses, euen so dyd the chyldren of Israel.
Num.9.6	And certayne men were defyled vpon the soule of a man, that they myght not offer Passeouer the same daye. And they came before Moses and Aaron the same daye.
Num.9.7	And the men sayde vnto hym: We are defyled vpon the soule of a man: wherfore are we kepte backe, that we maye not offer an offerynge vnto the Lorde in the due season, amonge the chyldren of Israel?
Num.9.8	And Moses sayde vnto them: Stond styll, Ꟶ I wyll heare what the Lorde will commaunde concernynge you.
Num.9.9	And the Lorde spake vnto Moses sayinge:
Num.9.10	speake vnto the chyldren of Israell and saye: If any man amonge you or youre chyldren after you be vncleane by the reason of a coarse, or is in the waye farre from you, and will offer Passeouer vnto the Lorde:
Num.9.11	the .xiiij. daye of the seconde moneth at euen let them offre it, and eate it with swete breed and sowre herbes:
Num.9.12	let them leaue none of it vnto the mornynge nor breake any bone of it: But accordynge to all the ordinaunce of the Passeouer let them offer it.
Num.9.13	But the man that is cleane and is not in a iourney, Ꟶ yet was negligent to offer Passeouer: the same soule shall peryshe from hys people, because he brought not the offerynge of the Lord in hys due season: that man shall bere hys synne.
Num.9.14	And yf a straunger dwell amonge you, and wyll offer Passeouer vnto the Lorde, accordynge to the ordinaunce of Passeouer and maner therof, he shall offre it thus: Ye shall haue one lawe both for the straunger, and for hym that was borne at home in the lande.
Num.9.15	And the same daye that the Tabernacle was reared vp, a cloude couered the habitacyon, whych was as a tabernacle of the wytnesse: and at euen there was vpon the habitacyon, as it were the similitude of fyre vntyll the mornynge.
Num.9.16	So it was alwaye, the cloude couered it by daye, and the similitude of fyre by nyghte.
Num.9.17	And when the cloude was taken vp from of the tabernacle, then the chyldren of Israel iourneyed: and where the cloude abode there the chyldren of Israel pitched theyr tentes.
Num.9.18	At the mouthe of the Lorde the chyldren of Israell iourneyed, and at the mouth of the Lorde they pytched. And as longe as the cloude abode vpon the habitacyon they laye styll:
Num.9.19	and when the cloude taryed styll vpon the habitacyon longe tyme, the chyldren of Israell kepte the watche of the Lorde, and iourneyed not.
Num.9.20	And it chaunced that whan the clowde abode a few dayes vpon the habitacyon, they abode in their tentes, according to the commaundement of the Lorde: and they iorneyed also at the commaundment of the Lorde.
Num.9.21	And it happened that whan the cloude abode vpon the habitacion from euen vnto the mornyng, and was taken vp in that morning, then they iorneyed. Whether it was by daye or by night that the cloude was taken vp, they iorneyed.
Num.9.22	Or yf the cloud taryed two dayes or a moneth, or a longe ceason vpon the habitacyon, and remayned theron, the chyldren of Israel abode styll, and iorneyed not. And assone as the cloude was taken vp, they iorneyed.
Num.9.23	At the mouth of the Lorde, they rested in the tentes, and at the commaundment of the Lord, they iorneyed, keping the watche of the Lord, at the commaundement of the Lorde by the hande of Moses.
Num.10.1	And the Lorde spake vnto Moses, saying:
Num.10.2	Make the two trompettes of syluer: of an whole pece shalt thou make them, that thou mayst vse them to call the congregacyon together, and when the hoost shall iorneye.
Num.10.3	Therfore shall they blowe with them, that all the multitude maye resorte to the before the dore of the tabernacle of witnes.
Num.10.4	And yf they blowe but one trompet, then the princes which are heedes ouer the thousandes of Israel shall come vnto the.
Num.10.5	But yf ye trompe, the hostes that lye on the east partes shall go forward.
Num.10.6	And ye trompe the second tyme, the hoost that lyeth on the south syde shall take their iorneye: for they shall trompe when they take their iorneyes.
Num.10.7	But when the congregacion is to be gathred together they shall blowe only, and not trompe.
Num.10.8	And the sonnes of Aaron the preast shal blowe wt their trompettes, Ꟶ ye shall haue them as a lawe for euer in your generacions.
Num.10.9	And yf ye go to warre in your lande against your enemyes that vexe you, ye shall blowe with the trompettes: and ye shalbe remembred before the Lorde your God, to be saued from your enemies.
Num.10.10	Also in the daye of your gladnes, and in your feaste dayes, and in the begynning of your monethes, ye shall blow the trompettes ouer your burntsacrifyces Ꟶ peaceoffringes, that they maye be a remembraunce for you before youre God. I am the Lorde youre God.
Num.10.11	And it came to passe the twentyth daye of the second moneth in the second yeare, that the cloude was taken vp from of the habitacion of wytnesse.
Num.10.12	And the chyldren of Israel toke their iorney out of the desert of Sinai, Ꟶ the cloude rested in the wyldernesse of Pharan.
Num.10.13	And the fyrst toke their iorney at the mouth of the Lorde, by the hande of Moses.
Num.10.14	In the first place went the standart of the hooste of Iuda, according to their armies, whose captayne was Nahasson the sonne of Aminadab.
Num.10.15	And ouer the hoost of the tribe of the children of Isachar, was Nathanel the sonne of zuar.
Num.10.16	And ouer the hooste of the trybe of the children of zabulon, was Eliab the sonne of Helon.
Num.10.17	And the habitacyon was taken downe: and the sonnes of Gerson Ꟶ Merari went forth bearyng the habitacyon.
Num.10.18	And the hoost of Ruben went forth with their standart and armyes, whose captayne was Elizur the sonne of Sedeur.
Num.10.19	And ouer the hooste of the trybe of the chyldren of Simeon was Salamiel the sonne of Suri Saddai.
Num.10.20	And ouer the hoost of the trybe of the children of Gad was Eliasaph the sonne of Deguel.
Num.10.21	The Cahathites also went forewarde and bare the sanctuarye, and the other dyd set vp the habitacion agaynst they came.
Num.10.22	And the standart of the hoost of the children of Ephraim went forth accordynge to theyr armyes, whose captayne was Elisama the sonne of Amiud.
Num.10.23	And ouer the hoost of the tribe of the sonnes of Manasse, was Gamaliel the sonne of Pedazur.
Num.10.24	And ouer the hoost of the trybe of the sonnes Ben Iamin was Abidan the sonne of Gedeoni.
Num.10.25	And the standart of the hoost of the chyldren of Dan came forth (hauing all the hostes together) thorowout their armyes: whose captayne was Ahiezer the sonne of Ammi Saddai.
Num.10.26	And ouer the hooste of the trybe of the chyldren of Aser, was Pagiel the sonne of Ochram.
Num.10.27	And ouer the hooste of the trybe of the chyldren of Nephtali, was Ahira the sonne of Enan.
Num.10.28	These are the iorneyes of the chyldren of Israel thorowout theyr armyes: and thus the hoostes remoued.
Num.10.29	And Moses sayde vnto Hobab the sonne of Raguel the Madianite: which was Moses father in lawe: we go vnto the place of which the Lorde sayd: I wyll geue it you. Come thou therfore with vs, Ꟶ we wyll do the good: for the Lorde hath promysed good vnto Israel.
Num.10.30	And he answered hym: I wyll not go: but will departe to myne awne land and to my kynred.
Num.10.31	He sayde: Oh naye, leaue vs not: for thou knowest oure mansyons in the wyldernesse: and thou hast bene to vs in steade of eyes.
Num.10.32	And yf thou go with vs loke what goodnesse the Lorde sheweth vnto vs, the same wyll we shewe vnto the.
Num.10.33	And they departed from the mount of the Lorde, thre dayes iorneye: and the arcke of the testament of the Lord went before them in the thre dayes iorneye, to serche oute a restyng place for them.
Num.10.34	And the Lorde made a shadowe for them thorowe the cloude by day, when they went out of the tentes.
Num.10.35	And it fortuned, that whan the arck went forth, Moses sayde: Ryse vp Lorde, and let thyne enemyes be scatered: and let them that hate the, flye before the.
Num.10.36	And when the arck rested, he sayde: Returne O Lorde vnto the many thousandes of Israel.
Num.11.1	And it fortuned, that whan the people dyd wykedlye, it was a dyspleasure in the eares of the Lord. And when the Lord heard it, his countenaunce was prouoked to wrath, Ꟶ the fier of the Lord burnt among them, Ꟶ consumed them that were the vttemost of the hoste.
Num.11.2	And the people cried vnto Moses. And whan Moses made intercession vnto the Lord, the fier quenched.
Num.11.3	And the name of the place was called Thaberah, because the fier of the Lord burnt among them.
Num.11.4	And the rascall people that was amonge them, fell a lustyng, and turned them selues and wepte (euen as dyd also the chyldren of Israel) and sayde: who shall geue vs flesh to eate?
Num.11.5	we remembre the fyshe which we dyd eate in Egipt for naught, Ꟶ the Cucumbers, and melons, lekes, onyons Ꟶ garleke.
Num.11.6	But nowe oure soule is dryed awaye, for we can se nothyng els, saue Manna.
Num.11.7	The manna was as coriander seed, and (to se to) lyke Bedellion.
Num.11.8	And the people went about and gathered it, and grounde it in milles, or bet it in morters, and baked it in pannes, and made kakes of it. And the taist of it was like vnto the taist of an oyle kake.
Num.11.9	And whan the dewe fell downe vpon the hooste in the nyght, the Manna fell vpon it.
Num.11.10	And whan Moses herde the people wepe thorowout theyr housholdes, euery man in the dore of his tent, the face of the Lord was prouoked vnto wrath exceadingly: Ꟶ it greued Moses also.
Num.11.11	And Moses sayde vnto the Lord: wherfore hast thou dealt cruelly with thy seruaunt? And wherfore haue I not found fauour in thy syght, seyng that thou puttest the weyght of all this people vpon me?
Num.11.12	haue I conceaued all thys people? Or haue I begotten them:? hat thou shuldest saye vnto me? carie them in they bosome (as a nurse beareth the suckynge chylde) vnto the lande, which thou swarest vnto their fathers?
Num.11.13	where shulde I haue fleshe, to geue vnto all thys people, which wepe before me, saying: geue vs flesh that we maye eate?
Num.11.14	I am not able to beare all thys people alone, seying it is to heuy for me.
Num.11.15	If thou deale thus with me, kyll me, I praye the, yf I haue founde fauour in thy syght, that I se not my wrechednes.
Num.11.16	And the Lorde sayde vnto Moses, gather vnto me .lxx. men of the elders of Israel, which thou knowest, that they are the elders of the people and officers ouer them: and thou shalt bryng them vnto the tabernacle of witnesse, that they maye stande there with the:
Num.11.17	And I will come downe, and talke with the there, and take of the sprete which is vpon the, and put vpon them, and they shall beare the burthen of the people with the, lest thou be constrayned to beare it alone.
Num.11.18	And saye thou vnto the people: be halowed agaynst tomorowe, and ye shall eate flesh: for your whyning is in the eares of the Lorde, seing ye sayd: who shall geue vs flesh to eate? we were happye in Egipt: therfore the Lorde wyll geue you flesh, and ye shall eate.
Num.11.19	Ye shall not eate one daye nor two, nor fyue dayes, neyther ten, nor twentye dayes:
Num.11.20	but euen a moneth longe, vntyll it come out at the nastrels of you: and make you to parbrake, because that ye haue cast the Lorde asyde which is amonge you: and haue wepte before hym, saying: why came we thus oute of Egipte?
Num.11.21	And Moses sayde: syxe hundred thousande fotmen are there of the people, among which I am. And thou hast sayd: I wyll geue them flesh, that they maye eate a moneth longe.
Num.11.22	Shall the shepe Ꟶ the oxen be slayne for them, to fynde them? ether, shall all the fysh of the see be gathered together for them to serue them?
Num.11.23	And the Lorde sayde vnto Moses: Shall the Lordes hande be waxed shorte? Thou shalt se nowe whither my word shall come to passe vnto the, or not.
Num.11.24	And Moses went out, and tolde the people the saying of the Lorde, and gathred the .lxx. elders of the people, and set them rounde aboute the tabernacle.
Num.11.25	And the Lorde came downe in a cloud, and spake vnto hym, and toke of the sprete that was vpon hym, and gaue it vnto the .lxx. elders. And it fortuned that when the sprete rested vpon them, they prophecied, Ꟶ did not ceasse.
Num.11.26	But there remayned two of the men in the hoost: the name of the one was Eldad, and the name of the other Medad. And the sprete rested vpon them, and they were of them that were wrytten, and went not out vnto the tabernacle, but prophecied in the hoost.
Num.11.27	And there ran a yong man, and tolde Moses and sayd: Eldad and Medad do prophecye in the hooste.
Num.11.28	And Iosua the sonne of Nun the seruaunt of Moses one of hys yonge men, answered Ꟶ sayde: master Moses, forbyd them.
Num.11.29	And Moses sayde vnto hym: enuyest thou for my sake? wolde God that all the Lordes people coulde prophecye, and that the Lorde wold put hys sprete vpon them.
Num.11.30	And Moses gat him into the hoost, he and the elders of Israel.
Num.11.31	And there went forth a wynde from the Lorde: and brought quayles from the see: and let them fall about the hoost, euen a daies iorney rounde about on euery syde of the hoost, and as it were two cubites hye ouer the erth.
Num.11.32	And the people stode vp, and all that day and all the nyght, and on the morowe they gathered quayles. And he that gathred a lytle, gathred ten homers ful. And they spred them abrode rounde aboute the hoost.
Num.11.33	And whyle the flesh was yet betwene their teth, and yer it was chewed vp: beholde, the countenaunce of the Lorde was moued agaynst the people, Ꟶ the Lord slewe the people with an exceadynge great plage.
Num.11.34	And the name of the place was called, the graues of lust, because they buryed the people that lusted, there.
Num.11.35	And the people toke their iorneye from the graues of lust vnto Hazeroth, and bode at Hazeroth.
Num.12.1	And Mir Iam and Aaron spake agaynst Moses, because of the woman of Inde which he had taken: for he had taken to wyfe one of Inde.
Num.12.2	And they sayde: Hath the Lorde in dede spoken only thorow Moses? Hath he not spoken also by vs? And the Lorde hearde it.
Num.12.3	But Moses was a very meke man, aboue all the men of the earth.
Num.12.4	And the Lorde spake at once vnto Moses vnto Aaron and to Mir Iam: come out ye thre vnto the tabernacle of witnes, and they came out all thre.
Num.12.5	And the Lorde came downe in the pyller of the cloude, and stode in the dore of the tabernacle, and called Aaron and MirIam: And they went out both of them.
Num.12.6	And he said: heare my wordes. If there be a prophete of the Lordes amonge you, I wylbe knowne of him in a visyon: and wyll speake vnto him in slepe.
Num.12.7	My seruaunt Moses is not so, which is faithfull in all myne house.
Num.12.8	Unto him wil I speake mouth to mouth in a visyon: but in rydels and symylitudes doth not he se the Lord. Wherfore then were ye not afrayed to speake agaynst my seruaunt Moses?
Num.12.9	And the Lorde was moued vnto wrath agaynst them, and he went his waye:
Num.12.10	and the cloude departed from the tabernacle. And beholde, Mir Iam was become leprous, as it were snowe. And Aaron looked vpon Mir Iam, and beholde, she was leprous,
Num.12.11	and Aaron sayde vnto Moses: I besech the my Lorde, put not the synne vpon vs, which we haue folishly commytted and synned.
Num.12.12	Oh, let her not be as one that commeth out of hys mothers wombe, and whose halfe flesh is eaten awaye.
Num.12.13	And Moses cryed vnto the Lorde, saying: Heale her, O God, I beseche the.
Num.12.14	And the Lorde sayde vnto Moses: If her father had spyt in her face, shulde she not be ashamed seuen dayes? let her be shutte out of the hoost seuen dayes, and after that, let her be receaued in agayne.
Num.12.15	And Mir Iam was shut out of the hoost seuen dayes: and the people remoued not, tyll she was brought in agayn.
Num.12.16	And afterward the people remoued from Hazeroth, and pitched in the wyldernes of Pharan.
Num.13.1	And the Lorde spake vnto Moses saying:
Num.13.2	Sende men out to searche the lande of Canaan, which I geue vnto the chyldren of Israel: of euery trybe of their fathers shall ye sende a man, and let them all be suche as are rulars among them.
Num.13.3	And Moses at the commaundement of the Lorde sent forth out of the wyldernes of Pharan suche men as were all heades of the chyldren of Israel: Their names are these.
Num.13.4	Of the trybe of Ruben, Sammua the sonne of zacur.
Num.13.5	Of the trybe of Symeon, Saphat the sonne of Hori.
Num.13.6	Of the trybe of Iuda, Caleb the sonne of Iephune.
Num.13.7	Of the trybe of Isachar, Igeal the sonne of Ioseph.
Num.13.8	Of the tribe of Ephraim, Osea the sonne of Nun.
Num.13.9	Of the trybe of Ben Iamin, Palthi the sonne of Raphu.
Num.13.10	Of the trybe of zabulon, Gadiel the sonne of Sodi.
Num.13.11	Of the tribe of Ioseph, namelye of the trybe of Manasse, Gaddi the sonne of Susi.
Num.13.12	Of the trybe of Dan, Amiel the sonne of Gemali.
Num.13.13	Of the trybe of Aser, Sethur the sonne of Michael.
Num.13.14	Of the trybe of Nephtali, Nahebi the sonne of Uaphsi.
Num.13.15	Of the trybe of Gad, Guel the sonne of Machi.
Num.13.16	These are the names of the men, which Moses sent to spye oute the lande. And Moses called the name of Osea the sonne of Nun, Iosua.
Num.13.17	And Moses sent them forth to spye oute the lande of Canaan, and sayde vnto them: get you vp thys waye southwarde, that ye maye go vp into the hye contrey,
Num.13.18	and se the lande what maner thyng it is, Ꟶ the people that dwelleth therin: whyther they be stronge or weake, ether fewe or many,
Num.13.19	and what the lande is that they dwell in, whyther it be good or bad: and what maner of cyties they be, that they dwell in, whyther they dwell in tentes or walled townes:
Num.13.20	and what maner of lande it is: whether it be fat or leane, and whether there be trees therin or not. Be of a good corage, and brynge of the frute of the lande. And it was about the tyme that grapes are fyrst rype.
Num.13.21	And so they went vp, Ꟶ searched out the lande from the wildernesse of zin vnto Rehob, as men come to Hemath,
Num.13.22	Ꟶ they ascended vnto the south, and came vnto Hebron, where Ahiman was Ꟶ Sesai Ꟶ Thalmani, the sonnes of Enack. Hebron was buylt seuen yere before zoan in Egipt.
Num.13.23	And they came vnto the ryuer of Escol, and cut downe there a braunch with one cloustre of grapes and twayne bare it vpon a staffe: and they brought also of the pomgranates and of the fygges.
Num.13.24	And the place was called the ryuer Escol: because of the cloustre of grapes which the children of Israel cut downe thence.
Num.13.25	And they turned back agayne from searchynge of the lande after fourty dayes.
Num.13.26	And they went and came to Moses and Aaron, and vnto all the multitude of the chyldren of Israel, in the wildernes of Pharan: which is Cades, and brought them worde, and also vnto all the congregacion, and shewed them the frute of the lande.
Num.13.27	And they tolde hym, and sayde: we came vnto the lande whether thou sendedst vs, and surely it floweth with mylke and honye: and here is of the frute of it.
Num.13.28	Neuerthelesse, the people be stronge that dwell in the lande, and the cityes are walled and exceadynge greate: and moreouer, we sawe the children of Enack there.
Num.13.29	The Amaleckes dwell in the south contrey, and the Hethites, Iebusites, Ꟶ the Amorites dwell in the mountaynes, Ꟶ the Cananites dwell by the see, and by the coaste of Iordan.
Num.13.30	And Caleb stylled the of the people before Moses, saying: we wyll go vp, and conquerre it: for we be able to ouercome it.
Num.13.31	But the men that went vp with hym, sayde: We be not able to go vp against the people: for they are stronger than we.
Num.13.32	And they brought vp an euell reporte of the lande which they had searched, saying vnto the children of Israel: The land which we haue gone thorowe to searche it out, is a lande that eateth vp the inhabiters therof: and the people that we sawe in it, are men of a greate stature.
Num.13.33	And there we sawe also gyauntes, the chyldren of Enack, which come of the gyauntes. And we semed in oure syght as it were greshoppers, and so we did in theyr syght.
Num.14.1	And all the multitude of the people cryed out, and wepte thorowout that nyght,
Num.14.2	and all the chyldren of Israel murmured agaynst Moses and Aaron. And the whole congregacyon sayde vnto them: wolde God that we hadd dyed in the lande of Egypte, eyther that we had dyed in thys wildernes.
Num.14.3	Wherfore hath the Lorde brought vs vnto thys lande to fall vpon the swearde: and that our wyues, and oure children shulde be a praye? Were it not better, that we retourne vnto Egypte agayne?
Num.14.4	And they sayde one to another: We wyll make a captayne, and retourne vnto Egipt agayne.
Num.14.5	But Moses and Aaron fell on theyr faces before all the congregacyon and multytude of the chyldren of Israel.
Num.14.6	And Iosua the sonne of Nun, and Caleb the sonne of Iephune (which were of them that searched the lande) rent theyr clothes,
Num.14.7	and spake vnto all the companye of the chyldren of Israel, sayinge: The lande which we walked thorowe to searche it, is a very good lande.
Num.14.8	If the Lorde hath lust to vs, he wyll brynge vs into this lande and geue it vs, which is such a lande as floweth with mylke and honye,
Num.14.9	But in any wyse rebell not ye agaynst the Lorde. Neyther nede ye to feare the people of the lande: for they are but bread for vs. Theyr shadowe is departed from them, and the Lorde is with vs, feare them not therfore.
Num.14.10	But all they which were in that multytude, bade stone them with stones. And the glorye of the Lorde appeared in the tabernacle of wytnesse, before all the chyldren of Israel.
Num.14.11	And the Lorde sayde vnto Moses: How longe do this people prouoke me, and howe longe will it be yer they beleue me: for all the signes which I haue shewed among them?
Num.14.12	I wyll smyte them with the pestilence and destroie them: and wyll make of the a greater nacion and a myghtier then they.
Num.14.13	And Moses sayde vnto the Lorde: then the Egipcyans shall heare it, for thou broughtest thys people in thy myght from amonge them.
Num.14.14	And it wylbe tolde to the inhabyters of this lande also: for they haue hearde lykewyse, that thou Lorde art amonge this people: and that thou Lorde art sene face to face, and that thy cloude standeth ouer them, and that thou goest before them by daye tyme in a pyller of a cloude, and in a pyller of fyer by nyght.
Num.14.15	If thou shalt kyll all thys people as they were but one man, then the nacyons which haue hearde the fame of the, wyll saye:
Num.14.16	The Lorde is not able to brynge in this people into the lande which he sware vnto them: but hath slayne them in the wildernesse.
Num.14.17	And nowe I besech the, let the power of my Lorde be greate, accordyng as thou hast spoken, saying:
Num.14.18	the Lorde is longe yer he be angrye, and full of mercy, and suffereth iniquitie, and synne, and leaueth no man innocent, and visiteth the vnryghteousnesse of the fathers vpon the chyldren, in the third and fourth generacyon:
Num.14.19	be mercyfull I beseche the vnto the synne of thys people, accordynge vnto thy greate mercye, as thou hast forgeuen this people from Egipt, euen vntyll nowe.
Num.14.20	And the Lorde sayde: I haue forgeuen it, according to thy request.
Num.14.21	But as truly as I lyue, all the erth shalbe fylled wt the glorye of the Lorde.
Num.14.22	But all those men which haue sene my glory and my miracles which I dyd in Egipt and in the wildernes and haue tempted me nowe thys .x. tymes, and will not herken vnto my voyce,
Num.14.23	shall not se the lande which I sware vnto their fathers: nether shall any of them that prouoked me se it.
Num.14.24	But my seruaunt Caleb: with whom there was another maner of sprete: and because he hath folowed me vnto the vtmost, hym will I brynge into the lande whiche he hath walked in, and his seed shall inheret it,
Num.14.25	and also the Amalekites Ꟶ Cananites whiche dwell in the playne contreye. Tomorowe turne you, and get you into the wildernesse: euen by the waye of the redd see.
Num.14.26	And the Lorde spake vnto Moses Ꟶ Aaron, saying:
Num.14.27	howe longe doth this euell multitude murmur agaynst me?
Num.14.28	I haue heard the murmuringes of the chyldren of Israel with the which they murmur agaynst me. Tell them therfore: As truly as I lyue (sayth the Lorde) I will do vnto you, euen as ye haue spoken in myne eares.
Num.14.29	Youre carkasses shall lye in this wildernes. And all you that were tolde thorowout your nombres, from .xx. yeare and aboue (which haue murmured against me)
Num.14.30	shalt not come into the land, ouer which I lyfted vp myne hande, to make you dwell therin, saue Caleb the sonne of Iephune, and Iosua the sonne of Nun.
Num.14.31	But your children which ye saye shulde be a praye, them I will bring in, Ꟶ they shall knowe the land which ye haue refused,
Num.14.32	and your carkasses shall lye in this wyldernesse.
Num.14.33	And your children shall wander in this wildernes .xl. yeres, Ꟶ suffer for your whordom, vntyll your carkasses be wasted in the wildernes,
Num.14.34	after the nombre of the dayes in which ye searched out the lande euen fourty daies, euery daye for a yeare shall ye beare your vnrighteousnes euen .xl. yeare, and ye shall knowe my displeasure.
Num.14.35	I the Lorde haue sayde that I wyll do it vnto all thys euell congregacion that are gathered together agaynst me. For in this wildernes they shalbe consumed, and here they shall dye.
Num.14.36	And the men which Moses sent to search the lande, Ꟶ which (when they came agayne) made all the people to murmure before hym, and brought vp a sclaunder vpon the lande,
Num.14.37	euen those men that did bring vp that sclaunder vpon it, as though it had bene euell dyed in a greate plage before the Lord.
Num.14.38	But Iosua the sonne of Nun Ꟶ Calleb the sonne of Iephune which were of the men that wente to search the lande, lyued styll.
Num.14.39	And Moses tolde these sayinges vnto all the chyldren of Israel, and the people toke great sorowe.
Num.14.40	And they rose vp early in the morninge, and gat them vp into the toppe of the mountayne, sayinge: lo, we be here, and wyll go vp vnto the place of which the Lorde sayde vnto vs, for we haue synned.
Num.14.41	And Moses sayde: wherfore wyll ye go on thys maner, beyonde the worde of the Lorde? it will not come well to passe:
Num.14.42	go not vp therfore: (for the Lorde is not amonge you) that ye be not slayne before your enemyes.
Num.14.43	For the Amaleckytes and the Cananites are there before you, and ye will fall vpon the sweard, because ye are turned awaye from the Lord, and and the Lorde will not be with you.
Num.14.44	But they presumed obstinatly to go vp into the hyll top. Neuerthelater, the arck of the testament of the Lorde, and Moses departed not out of the hoost.
Num.14.45	Then the Amaleckites and the Cananites which dwelt in that hyll, came downe, and smote them, and hewed them euen vnto Horma.
Num.15.1	And the Lorde spake vnto Moses, sayinge:
Num.15.2	speake vnto the children of Israel and saye vnto them: when ye be come into the lande of your habitacions, which I geue vnto you,
Num.15.3	Ꟶ wyll offer an offerynge vnto the Lorde. Namely, a burntoffering or a speciall sacrifyce, eyther of a vowe or of a wyllinge mynde, and in youre princypall feastes, to make a swete fauoure vnto the Lorde, of the oxen or of the flocke.
Num.15.4	Then lett hym that offereth hys offeryng vnto the Lorde, bring also a meatofferinge of a tenth deale of floure, myngled wt the fourth parte of an hin of oyle,
Num.15.5	Ꟶ the fourth part of an hin of wyne for a drynckoffering, and offer with the burntofferyng or any other offeryng: when it is a lambe.
Num.15.6	Or yf it be a ram, thou shalt offer for a meate offerynge, two tenth deales of floure, myngled with the thyrd part of an hin of oyle:
Num.15.7	and for a drinkofferynge, thou shalt offer the thyrde parte of an hyn of wyne for a swete sauoure vnto the Lorde.
Num.15.8	And when thou offerest a bullocke for a burntoffring or for a speciall vowe or peace offering vnto the Lorde,
