Lev.0.0	¶ The thyrde boke of Moses called in the Hebrue Uariah: and in the Latyn. Leuiticus
Lev.8.25	And he toke the fatte and the roumpe, and all the fat that was vpon the inwardes, and the aboundaunce of the lyuer, and the .ij. kydneyes wt theyr fatt, Ꟶ the ryghte shoulder.
Lev.8.26	And out of the basket of swete bread that was before the Lorde, he toke one swete cake of oyled bred, Ꟶ one wafer, Ꟶ put them on the fatt Ꟶ vpon the ryghte shoulder:
Lev.8.27	Ꟶ put altogether vpon Aarons handes, Ꟶ vpon hys sonnes handes, Ꟶ waued it a waue offrynge before the Lorde.
Lev.8.28	And Moses toke them from of their handes, Ꟶ burnt them vpon the alter, euen vpon the burntoffrynge alter: for it was the sacrifyce of consecracyon, for a swete sauoure Ꟶ a sacrifyce vnto the Lorde.
Lev.8.29	And Moses toke the breaste and waued it for a waue offrynge before the Lord, for it was of the ram of the consecration, and it was Moses parte, as the Lorde commaunded Moses.
Lev.8.30	And Moses toke of the anoyntynge oyle, and of the bloude whych was vpon the alter, and sprynkled it vpon Aaron and vpon hys vestimentes, vpon hys sonnes Ꟶ on hys sonnes vestimentes wyth him, and sanctyfyed Aaron, his vestures Ꟶ hys sonnes, Ꟶ hys sonnes vestures wyth hym.
Lev.8.31	And Moses sayde vnto Aaron and hys sonnes: boyle the fleshe in the dore of the tabernacle of witnesse, and there eate it wyth the bread that is in the basket of consecracyon, as I commaunded, sayinge: Aaron and hys sonnes shall eate it:
Lev.8.32	Ꟶ that whych remayneth of the bread, shall ye burne wyth fyre.
Lev.8.33	And ye shall not departe from the doore of the tabernacle of wytnesse .vij. dayes, vntyll the dayes of youre consecracyon be at an ende. For .vij. dayes shall he fyll youre hand
Lev.8.34	as he dyd thys daye: euen so the Lorde hath commaunded to do, to reconcyle you wyth all.
Lev.8.35	Therfore shall ye abide in the dore of the tabernacle of wytnesse daye and nyght seuen dayes longe: Ꟶ kepe the watche of the Lord, and ye shall not dye: for so I am commaunded.
Lev.8.36	And so Aaron Ꟶ his sonnes dyd all thynges whych the Lorde commaunded by the hande of Moses.
Lev.9.1	And it fortuned that in the eight daye, Moses called Aaron and hys sonnes, and the elders of Israel:
Lev.9.2	and sayde vnto Aaron: take the a calfe, a yonge one out of the droue, for synne, Ꟶ a ram for a burntoffrynge: both wythout blemysh, and brynge them before the Lorde.
Lev.9.3	And vnto the chyldren of Israel thou shalt speake, sayinge: take ye an he goote for synne, Ꟶ a calfe and a lambe bothe two of a yeare olde, wythout blemysh for a burnt sacrifyce,
Lev.9.4	and an oxe and a Ram for peaceoffrynges, to offer before the Lord, and a meateoffrynge myngled with oyle, for to daye the Lord will appere vnto you.
Lev.9.5	And they brought that (which Moses commaunded) before the tabernacle of wytnesse, and all the congregacyon came and stode before the Lord.
Lev.9.6	And Moses sayd: this is the thing, whych the Lorde commaunded that ye shulde do: and the glorye of the Lorde shall appeare vnto you.
Lev.9.7	And Moses sayde vnto Aaron: go vnto the alter and offer thy sacrifyce for synne, and make an attonement for the and for the people: Ꟶ thou shalt offer the offrynge of the people, to reconcyle them, as the Lorde commaunded.
Lev.9.8	Aaron therfore went vnto the alter, and slewe the calfe whych he had for synne.
Lev.9.9	And the sonnes of Aaron broughte the bloude vnto hym, and he dypte hys fynger in the bloude, and put it vpon the hornes of the alter, and powred the bloude vnto the botome of the alter.
Lev.9.10	But the fatt and the two kydneyes and the abundaunce of the lyuer of the synne offrynge, he burnt vpon the alter, as the Lorde commaunded Moses:
Lev.9.11	The fleshe and the hyde, he burnt wyth fyre without the hoste.
Lev.9.12	And he slewe the burnt offrynge and Aarons sonnes brought vnto hym the bloude, whych he sprynkled rounde about vpon the alter.
Lev.9.13	And they brought the burntoffrynge vnto hym with the peces therof, and the head: and he burnt it vpon the alter,
Lev.9.14	and dyd wasshe the inwardes and the legges, and burnt them vpon the burntoffrynge in the alter.
Lev.9.15	And then he broughte the peoples offryng, takinge the goote that the people had for the sacrifyce of synne, and slewe it and offered it for synne, as he dyd the fyrst.
Lev.9.16	And brought the burntoffrynge, and offered it as the maner was
Lev.9.17	and brought the meatoffrynge, and fylled hys hande therof, and burnt it vpon the alter, besyde the burntsacrifice of the mornynge.
Lev.9.18	He slewe also the oxe Ꟶ the Ram for the peace offrynge, that the people had for them selues: and Aarons sonnes brought vnto hym the bloude, whych he sprynkled vpon the alter rounde about,
Lev.9.19	and toke the fatt of the oxe and of the Ram, the roumpe, and the fatt that couereth the inwardes and the kydneyes Ꟶ the abundaunce of the lyuer:
Lev.9.20	and they put the fatt vpon the brestes, and he burnt the fatt vpon the alter:
Lev.9.21	but the brestes and the ryght shoulders Aaron waued for a waueoffrynge before the Lorde, as the Lord commaunded Moses.
Lev.9.22	And Aaron lyfte vp hys hande ouer the people, and blessed them, and came doune from offrynge of the synne offringe, burntoffringes Ꟶ peace offrynges.
Lev.9.23	And Moses Ꟶ Aaron went in to the tabernacle of witnesse, Ꟶ came out, and blessed the people, and the glorye of the Lorde appered vnto all the people.
Lev.9.24	And there came a fyre out from before the Lorde, Ꟶ consumed vpon the alter the burntoffryng Ꟶ the fatt. Whych whan all the people sawe, they gaue thankes, and felle on theyr faces.
Lev.10.1	And Nadab and Abihu the sonnes of Aaron toke ether of them his censor, Ꟶ put fyre therin, Ꟶ put cens ther vpon, Ꟶ offred straunge fyre before the Lord whych he commaunded them not,
Lev.10.2	Ꟶ there went a fyre out from the Lorde, and consumed them, Ꟶ they dyed before the Lord.
Lev.10.3	Then Moses sayde vnto Aaron: thys is it that the Lorde spake sayinge: I wyll be sanctifyed in them that come nye me and before all the people I wilbe glorifyed. And Aaron helde hys peace.
Lev.10.4	And Moses called Misael and Elsapham the sonnes of Oziel the vncle of Aaron, and sayde vnto them: come on, carye youre brethren from the holy place out of the hoste.
Lev.10.5	And they went to them, and caryed them in theyr albes out of the hoste, as Moses had sayde.
Lev.10.6	And Moses sayde vnto Aaron and vnto Eleazar and Ithamar his sonnes vncouer not youre heedes, nether rent youre clothes, lest ye dye, and lest wrath come vpon all the people: But let youre brethren the hole housse of Israel bewepe the burnynge whych the Lord hath kyndled.
Lev.10.7	And go not ye out from the dore of the tabernacle of wytnesse, lest ye dye: for the anoyntynge oyle of God is vpon you. And they dyd as Moses sayde.
Lev.10.8	And the Lorde spake vnto Aaron, saying:
Lev.10.9	Thou shalt not drincke wyne Ꟶ stronge dryncke, thou and thy sonnes that are wyth the: when ye go into the tabernacle of wytnesse, lest ye dye. Let it be a lawe for euer thorowe out youre generacyons,
Lev.10.10	and that ye may put difference betwene holy Ꟶ vnholy, betwene vncleane Ꟶ cleane,
Lev.10.11	Ꟶ that ye may teach the children of Israel all the statutes whych the Lorde hath spoken vnto them by the hande of Moses.
Lev.10.12	And Moses sayde vnto Aaron and vnto Eleazar and Ithamar hys sonnes that were lefte: take the meatoffrynge that remayneth of the sacrifyces of the Lorde, and eate it wythout leuen besyde the alter, for it is most holy:
Lev.10.13	ye shall eate it in the holy place, because it is thy dutye and thy sonnes dutye of the sacrifyces of the Lorde: for so I am commaunded.
Lev.10.14	And the wauebrest and heueshoulder shall ye eate in a cleane place: thou and thy sonnes and thy daughters with the. For they be thy dutye and thy sonnes dutye geuen out of the peaceoffrynges of the chyldren of Israel.
Lev.10.15	The heueshoulder and the wauebrest shall they brynge in wyth the sacryfyces of the fatt, to waue it before the Lorde, and it shalbe thyne and thy sonnes wyth the: by a lawe for euer, as the Lorde hath commaunded.
Lev.10.16	And Moses sought the goate that was offred for synne, and se, it was burnt. And he was angrye with Eleazar and Ithamar the sonnes of Aaron, whyche were lefte alyue, sayinge:
Lev.10.17	wherfore haue ye not eaten the synne offerynge in the holy place, seynge it is moost holye: and God hath geuen it you, to bere the synne of the congregacyon, to make agrement for them before the Lord?
Lev.10.18	Beholde, the bloud of it was not brought in within the holy place. Ye shulde haue eaten it in the holy place, as I commaunded.
Lev.10.19	And Aaron sayde vnto Moses: beholde, thys daye haue they offered theyr synneoffrynge and theyr burntoffrynge before the Lorde, and it is chaunced me after thys maner. And yf I had eaten the sacrifyce to daye, shulde it haue bene accepted in the syght of the Lorde?
Lev.10.20	And when Moses hearde that, he was content.
Lev.11.1	And the Lord spake vnto Moses and Aaron and sayde vnto them:
Lev.11.2	speake vnto the children of Israel, Ꟶ saye these are the beastes whych ye shall eate, amonge all the catell that are on the earth:
Lev.11.3	whatsoeuer parteth the hoofe, and deuydeth it into two clawes, and chaweth cud amonge the beastes, that shall ye eate.
Lev.11.4	Neuerthelesse, these shall ye not eate, of them that chewe cud, Ꟶ deuydeth the hoofes: as is the camell, whych chaweth cud, but he deuydeth not the hoofe, therfore is he vncleane vnto you,
Lev.11.5	euen so the conye, whych chaweth the cud but deuydeth not the hoofe: He is vncleane to you.
Lev.11.6	And the hare though he chawe the cud, yet because he deuideth not the hoofe, he is therfore vncleane to you.
Lev.11.7	And agayne, the swyne, though he deuyde the hoffe in to two clawes, yet he chaweth not the cud. He is vncleane to you.
Lev.11.8	Of theyr fleshe shall ye not eate, Ꟶ theyr carkasses shall ye not touche, but let them be vncleane to you.
Lev.11.9	These shall ye eate of all that are in the waters: whatsoeuer hath synnes and skales in the waters, sees and ryuers, that shall ye eate.
Lev.11.10	And all that haue not fynnes and skales in the see and ryuers, of all that moue and lyue in the waters, let them be abhominacyon vnto you:
Lev.11.11	Ye shall not eate of theyr flesh, but abhorre theyr carkases.
Lev.11.12	Let all that haue no fynnes nor scales in the waters, be abhomynable vnto you.
Lev.11.13	These are they whych ye shall abhorre amonge the foules, and that ought not to be eaten, for they are an abhomynacyon. The egle, the goshauke, Ꟶ the cormoraunte,
Lev.11.14	the vultur and the kyte after hys kynde,
Lev.11.15	and all rauens after theyr kynde,
Lev.11.16	the estrych, the nyghtcrowe, the coockowe, and the owle after hys kynde,
Lev.11.17	the falcon, the storcke, the great oule,
Lev.11.18	the backe, the pellycane, the pye,
Lev.11.19	the heron, the Iaye after his kynde, the lapwynge: and the swalowe.
Lev.11.20	Let all foules that crepe Ꟶ goo vpon all foure, be an abominacyon vnto you.
Lev.11.21	Yet these maye ye eate, of euery crepynge thynge that hath wynges and goo apon foure fete: euen those that haue knees aboue vpon theyr fete, to lepe wyth all vpon the erthe,
Lev.11.22	euen these of them ye maye eate the. Arbe after hys kynde: the Selaam after hys kynde: the Hargol after hys kynde, and the Hagab after hys kynde.
Lev.11.23	All other foules that moue and haue foure fete, shalbe abhominacyon vnto you.
Lev.11.24	In soche ye be vncleane, and whosoeuer toucheth the carkas of them, shalbe vncleane vnto the euen:
Lev.11.25	and whosoeuer bereth the carkasse of them, shall washe hys clothes, and be vncleane vntyll euen.
Lev.11.26	And euery beast that hath hoofe and deuydeth it not into two clawes, ner chaweth cud, suche are vnclene vnto you: euery one that toucheth them, shalbe vncleane.
Lev.11.27	And what soeuer goeth vpon hys handes amonge all maner beastes that goo on all foure fete, such are vnclene vnto you: Ꟶ who so doth touche theyr carkasse shalbe vnclene vntyll the euen.
Lev.11.28	And he that beareth the carkasse of them, shall wasshe hys clothes Ꟶ be vncleane vntyll the euen, for soche are vncleane vnto you.
Lev.11.29	And let these also be vncleane to you, amonge the thynges that crepe vpon the erth, the weasell, and the mouse, Ꟶ the toade, after theyr kynde,
Lev.11.30	the hedgehogge, the stellio, the lacerte, the snayle, and the molle:
Lev.11.31	these are vncleane to you amonge all that crepe: whosoeuer doth touche them when they be dead, shalbe vncleane vntyll the euen.
Lev.11.32	And whatsoeuer any of the dead carkasses of them doth fall vpon, shalbe vncleane: whether it be vessell of wodd, or rayment, or skynne, or bagge, or what soeuer vessell it be that any worke is wroughte in. And it must be plunged in the water, Ꟶ it shall be vncleane vntyll the euen, and so shall it be clensed.
Lev.11.33	All maner of erthen vessell wherinto any of them falleth, shalbe vncleane, wyth all that ther in is: and it shall be broken.
Lev.11.34	All maner meate also that is vsed to be eaten yf any soche water come vpon it, it shalbe vncleane. And all maner dryncke that is vsed to be droncke in all maner soche vessels, shalbe vncleane.
Lev.11.35	And euery thynge that theyr carcase falleth vpon, shalbe vncleane: Whether it be ouen or kettell, let it be broken. For they are vncleane, and shalbe vncleane vnto you:
Lev.11.36	Neuerthelater, yet the fountaynes and welles Ꟶ collection of waters shalbe cleane still. And whoso toucheth theyr carkasse, shall be vncleane.
Lev.11.37	If the dead carkasse of any soche fall vpon any seed vsed to sowe, it shall yet be cleane styll:
Lev.11.38	but and yf any water be powred vpon the seed, Ꟶ a deed carkesse fall theron, it shalbe vncleane vnto you.
Lev.11.39	If any beast of whych ye maye eate, dye and any man touche the dead carkasse therof, he shalbe vncleane vntyll the euen.
Lev.11.40	He that eateth of the dead carkasse of it, shall wasshe hys clothes and be vncleane vntyll the euen. And he also that beareth the carkasse of it, shall wasshe his clothes, and be vncleane vntyll euen.
Lev.11.41	Let euery crepinge thynge that crepeth vpon the erth be an abhominacyon, and not be eaten.
Lev.11.42	Whatsoeuer goeth vpon the brest, and whatsoeuer goeth vpon foure, or that hath moo fete amonge all crepynge thynges that crepe vpon the erth, of that se ye eate not for they are abhomynable.
Lev.11.43	Ye shall not make youre soules abhominable wyth nothing that crepeth, nether make your selues vncleane wyth them: that ye shulde be defyled therby.
Lev.11.44	For I am the Lorde youre God. Be sanctifyed therfore, and ye shall be holy for I am holy: and ye shall not defyle youre soules wyth any maner of crepynge thynge, that crepeth vpon the erth.
Lev.11.45	For I am the Lorde, that brought you out of the lande of Egypt, to be youre God: ye shall be holy therfore, for I am holy.
Lev.11.46	Thys is the lawe of beastes and foules Ꟶ of euery lyuynge creature that moueth in the waters, and of euery creature that crepeth vpon the erth,
Lev.11.47	that there maye be a difference betwene the vncleane Ꟶ clene, and betwene the beaste that maye be eaten, Ꟶ the beaste that ought not to be eaten.
Lev.12.1	And the Lorde spake vnto Moses, sayinge:
Lev.12.2	speake vnto the chyldren of Israel and saye: yf a woman hath conceaued, Ꟶ borne a manchylde, she shalbe vncleane seuen dayes: euen in lyke maner as when she is put a parte in tyme of hyr naturall dysease.
Lev.12.3	And in the eyght daye the fleshe of the chyldes foreskynne shalbe cut awaye.
Lev.12.4	And she shall then contynue in the bloude of hyr puryfyenge thre and thyrtye dayes. She shall touche no halowed thynge, nor come into the sanctuary, vntyll the tyme of hyr purifyenge be out.
Lev.12.5	If she bere a maydechylde, she shalbe vnclene two wekes, as when she hath hyr naturall dysease. And she shall contynue in the bloude of hyr purifyenge thre score and syxe dayes.
Lev.12.6	And when the dayes of hyr purifyenge are out: whether it be for a sonne or for a daughter, she shall brynge a lambe of one yeare olde for a burntoffringe, and a younge pigeon or a turtyll doue for synne vnto the dore of the tabernacle of wytnesse and vnto the Preaste:
Lev.12.7	whych shall offer them before the Lorde, and make an attonement for her, and she shalbe pourged of the yssue of hyr bloude. And thys is the lawe for her that hath borne a male or female.
Lev.12.8	But and yf she be not able to brynge a lambe, she shall brynge two turtyls or two younge pygeons: the one for the burntoffringe, and the other for synne. And the Preaste shall make an attonement for her, and she shalbe clene.
Lev.13.1	And the Lorde spake vnto Moses and Aaron sayinge:
Lev.13.2	when there appeareth a rysynge in any mans fleshe, ether a scabbe, or a glystrynge whyte: and the plage of leprosye be in the skynne of hys fleshe, he shall be brought vnto Aaron the Preaste, or vnto one of hys sonnes the Preastes:
Lev.13.3	and the Preaste shall loke on the sore in the skynne of hys fleshe. And whan the heere in the sore is turned vnto whyte, and the sore also seme to be lower then the skynne of his flesh, it wyll be a plage of leprosye, and the Preaste shall loke on hym, and iudge hym vnclene.
Lev.13.4	If there be but a whyte plecke in the skynne of hys flesh, and seme not to be lower then the skynne, nor the heere therof is turned vnto whyte, the Preaste shall shut him vp seuen dayes.
Lev.13.5	And the Preaste shall loke vpon hym agayne the seuenth daye: And yf the plage seme to him to abyde still, Ꟶ the plage growe not in the skynne the Preast shall shutt him vp yet .vij. dayes moo.
Lev.13.6	And the Preast shall loke on hym agayne the .vij. daye. Then yf the plage be darcker, Ꟶ not growen in the skynne, the Preast shall iudge hym clene, for it is but a skyrf. And he shall washe his clothes, Ꟶ be clene,
Lev.13.7	But Ꟶ yf the scabbe growe in the skynne after that he is sene of the Preast, Ꟶ iudged clene, he shalbe sene of the prest agayne.
Lev.13.8	If the preast se that the scabbe be growen abrode in the skynne, the prest shall make hym vnclene: for it is a leprosye.
Lev.13.9	When the plage of leprosye is in a man he shall be brought vnto the Preast,
Lev.13.10	and the Preast shall se hym. And yf the rysynge be white in the skynne, and haue made the heare whyte, and there be rawe fleshe in the sor
Lev.13.11	it wylbe an olde leprosye in the skynne of his flesh. And the Preast shall make hym vnclene, and shall not shutte hym vp seynge he is vnclene.
Lev.13.12	If a leprosye breake out abrode in the skynne, Ꟶ couer all the skynne, from hys heed to hys foote, whersouer the Preast loketh,
Lev.13.13	and the Preast loke vpon him. And yf the leprosye haue couered all hys flesh, he shall iudge the plage to be clene because it is all turned into whytnesse, Ꟶ he shalbe cleane.
Lev.13.14	But and yf ther be rawe fleshe on him when he is sene, he shalbe vncleane.
Lev.13.15	And the Preast shall se the rawe flesh, and declare him to be vnclene. For the rawe flesh is vnclene seynge it is a leprosye.
Lev.13.16	Or yf the rawe flesh departe agayne Ꟶ chaunge vnto whyte, he shall come to the preste,
Lev.13.17	and the preast shall se him Ꟶ beholde: If the soore be chaunged vnto whyte the Preast shall iudge the plage cleane Ꟶ he shalbe cleane:
Lev.13.18	The flesh also in whose skinne there is a byle Ꟶ is healed,
Lev.13.19	Ꟶ in the place of the byle there appeare a whyte rysynge, ether a shynynge whyte Ꟶ som what reddish, it shall be sene of the Preast.
Lev.13.20	And yf when the Preast seyth hym, it appeare lower than the skynne, Ꟶ the heare therof be chaunged vnto whyte, the Preast shall iudge hym vncleane: for it is a plage of leprosye, broken out of the byle.
Lev.13.21	But Ꟶ yf the Preast loke on it and there be no whyte heares therin, Ꟶ yf it be not lower then the skynne, but be darcker, the Preast shall shutt hym vp .vij. dayes.
Lev.13.22	And yf it sprede abrode in the flesh, the prest shall make hym vncleane, seynge it is the plage.
Lev.13.23	But and yf the spot stonde styll, Ꟶ growe not, it is the prynte of an hote byle, and therfore the prest shall declare hym to be cleane.
Lev.13.24	Yf there be any flesh, in whose skynne there is a hote burnynge, and the flesh that burneth haue a whyte spott, som what reddysh or whyte,
Lev.13.25	the prest shall loke vpon it. And yf the heare in that bryght spot be chaunged to whyte, and it appeare lower then the skynne, it is a leprosye broken out of the burnynge. And therfore the Preaste shall iudge hym vncleane, seynge it is the plage of leprosye.
Lev.13.26	But yf the preast loke on it Ꟶ there be no whyte heare in the bryghte spott, and be no lower then the other skynne, but be darcker, the preast shall shut him vp seuen dayes.
Lev.13.27	And the preast shall loke on hym the seuenth daye: And yf it be growen abroad in the skynne, the preast shall iudge hym vncleane, seynge it is the plage of leprosye.
Lev.13.28	And yf the spot stonde styll in it, Ꟶ growe not in the skynne, but is darcke, it is a rysynge of the burnynge, Ꟶ the Preast shall therfore declare hym cleane, seynge it is the prynte of the burnynge.
Lev.13.29	Yf man or woman hath a sore vpon the heed or the beard, the preast shall se it.
Lev.13.30	And yf it appeare lower than the skynne, Ꟶ ther be in it a yalowe heare: Ꟶ thynne the Preast shall iudge him vncleane, seynge that the same fretynge is a token of leprosye vpon the heed or berde.
Lev.13.31	And yf the preast loke on the sore of the prynt, and it seme not lower then the skynne, and that the heare is not blacke, the Preast shall shut vp the frettynge sore seuen dayes.
Lev.13.32	And in the seuenth daye the preste shall loke on the sore: and yf the sore be not growen, and there be in it no yalowe hayre, and the sore seme not lower then the skynne,
Lev.13.33	he shalbe shauen: but the place of the sore shall he not shaue, Ꟶ the prest shall shut vp the sore seuen dayes moo.
Lev.13.34	And in the seuenth daye the preste shall loke on the sore: And if the sore be not growen in the skynne, ner seme lower then the other skynne, the preste shall clense hym, Ꟶ he shall washe hys clothes, and be clene.
Lev.13.35	But yf the sore growe in the fleshe after hys clensynge,
Lev.13.36	the preste shall loke on hym. And yf the sore be growne in the skynne, the preste shall not seke for yelowe heare, for he is vnclene.
Lev.13.37	But if he se the prynte stonde styll, and that there is blacke heare growne vp therin, the sore is healed, and he shalbe cleane, and the prest shall declare hym to be cleane.
Lev.13.38	Yf there be whyte spottes in the skynne of the fleshe of man or woman,
Lev.13.39	the preast shall loke vpon it. And yf the spottes in the skynne of theyr fleshe be som what darcke Ꟶ whyte wythall, it is a frekell growynge in the fleshe: Therfore is he cleane.
Lev.13.40	And the man (whose heade is destitute of heare, wherby he is made balde) is cleane.
Lev.13.41	And he that hath hys heare out in his foreheede, is foreheed balde and cleane.
Lev.13.42	If there be in the baulde heed or baulde foreheed a whyte reddysh sore scabbe, there is leprosye spronge vp in hys baulde heed or baulde foreheede.
Lev.13.43	And the preast shall loke vpon him, and yf the rysynge of the sore be whyte reddysh in hys baulde heed or balde foreheed after the maner of a leprosye which is in the skynne of the fleshe,
Lev.13.44	then he is a leperous man and vncleane. And the Preaste shall make hym vncleane, for the plage therof is in hys heed.
Lev.13.45	The leper in whome the plage is, shall haue hys clothes rent, and hys heed bare and shall put a couerynge vpon hys lyppe, and shalbe called vnclene and defyled.
Lev.13.46	And as longe as the dysease lasteth vpon hym, he shalbe defyled and vncleane: he shall dwell alone, euen wythout the host shall hys habitacyon be.
Lev.13.47	The cloth that the plage of leprosye is in, whether it be lynen or wollen,
Lev.13.48	whether it be in the warpe or woofe of lynen or of wollen: ether in a skynne or any thynge made of skynne,
Lev.13.49	yf the dysease be pale or som what reddysh in the cloth or skynne: whether it be in the warpe or woofe or any thynge that is made of skynne, then it is a plage of leprosye, and shall be shewed vnto the preaste.
Lev.13.50	The preaste therfore shall se the plage, and shut it vp seuen dayes,
Lev.13.51	and loke on the plage the seuenth daye. Whych yf it be increased in the cloth (whether it be in the warpe or woofe, or in a skynne) or in any thynge that is made of skynne it is the leprosy of a fretinge sore: it is vncleane:
Lev.13.52	Ꟶ that cloth shalbe burnt, ether warpe or woofe whether it be wollen or lynnen, or any thynge that is made of skynne, where in the plage is, for it is a frettynge leprosye, it shalbe burnt in the fyre.
Lev.13.53	If the Preaste se that the plage is not growen in the cloth: ether in the warpe or woofe or in whatsoeuer thynge of skynne it be,
Lev.13.54	the preast shall commaunde them to wasshe the thynge wherin the plage is, and he shall shut it vp seuen dayes moo.
Lev.13.55	And the preaste shall loke on the plage agayne, after that it is washed. And yf the plage haue not chaunged hys coloure, and is sprede no further abrode, it is vncleane. Thou shall burne it in the fyre, for it is freat in warde: in parte or in all together.
Lev.13.56	And yf the Preaste se that the plage is darcker after that it is wasshed, he shall rent it out of the cloth, or out of the skynne, or out of the warpe or out of the woofe.
Lev.13.57	And yf it appeare any moare in the cloth (ether in the warpe or in the woofe or in any thynge made of skynne) it is a waxinge plage. Thou shalt burne the plage that is in it.
Lev.13.58	Moreouer the cloth, ether warpe or woofe or whatsoeuer thynge of skynne it be whych thou hast wasshed, yf the plage be departed there from, it shalbe wasshed once agayne: and then shall it be cleane.
Lev.13.59	Thys is the lawe of the plage of leprosye in a cloth whether it be wollen or lynnen: eyther in the warpe or woofe, or in any thynge of skynnes, to make it cleane or vncleane.
Lev.14.1	And the Lorde spake vnto Moses,
Lev.14.2	sayinge: thys is the lawe of the leper in the daye of hys clensynge: He shalbe brought vnto the preaste,
Lev.14.3	and the preaste shall go out wythout the hoste, and loke vpon hym. And yf the plage of leprosye be healed in the leper,
Lev.14.4	then shall the Preaste commaunde that he whych is to be clensed, brynge two lyuynge byrdes and cleane, and cedar wodd, and purple cloth, and ysope.
Lev.14.5	And the Preaste shall commaunde that one of the byrdes be kylled in an erthen vessell Ꟶ vpon rennynge water.
Lev.14.6	And he shall take the lyuynge byrde with the cedar wodd, the purple and the ysope, and shall dyppe them and the lyuynge byrde in the bloude of the slayne byrde, vpon the rennynge water,
Lev.14.7	and sprynkle vpon hym (that must be clensed of hys leprosye) seuen tymes, and clense hym, and shall let the lyuynge byrde goo fre into the felde.
Lev.14.8	And he that is clensed, shall wasshe hys clothes, and shaue of all hys heere, and wash hym selfe in water, that he maye be cleane. And after that shall he come into the hoste, Ꟶ shall tarye wythout hys tent seuen dayes:
Lev.14.9	but in the seuenth daye he shall shaue of all hys heere, namely, hys head, hys berde and hys browes: euen all hys heere shalbe shauen of. And he shall wasshe hys clothes Ꟶ hys fleshe in water and he shalbe cleane.
Lev.14.10	In the eyght daye he shall take two lambes wythout blemyshe, and an yewe lambe of a yeare olde without blemysh, and thre tenthdeales of fyne floure for a meatoffrynge myngled wyth oyle and a logge of oyle.
Lev.14.11	And the Preaste that maketh hym cleane, shall brynge the man that is to be made cleane and those thynges, before the Lorde, euen before the dore of the tabernacle of wytnesse.
Lev.14.12	And the Preaste shall take one lambe, and offer hym for trespace, Ꟶ the logge of oyle, and waue them before the Lorde.
Lev.14.13	And he shall slee the lambe in the place where the synneoffrynge and the burntoffrynge are slayne: euen in the holy place. For as the synne offryng is, euen so is the trespace offrynge the preastes: seyng it is moost holy.
Lev.14.14	And the preaste shall take of the bloude of the trespace offrynge, Ꟶ put it vpon the typpe of the ryght eare of hym that is to be clensed, Ꟶ vpon the thombe of hys ryght hande, and vpon the great too of hys ryghte foote.
Lev.14.15	The preaste shall take of the logge of oyle, Ꟶ powre it into the palme of hys lefte hande,
Lev.14.16	and dyppe hys ryght fynger in the oyle that is in hys left hande, and sprynkle of the oyle wyth hys fynger seuen tymes before the Lorde.
Lev.14.17	And of the rest of the oyle that is in hys hande, shall the Preaste put vpon the typpe of the ryghte eare of hym that is for to be clensed, and vpon the thombe of hys ryghte hande, and vpon the great too of hys ryghte fote: euen vpon the bloude of the trespace offrynge.
Lev.14.18	And the remnaunte of the oyle that is in the Preastes hande, he shall powre vpon the heed of hym that is for to be clensed: and the Preaste shall make an attonement for hym before the Lorde.
Lev.14.19	And the Preaste shall offer the synne offrynge, and make an attonement for hym that is to be clensed, for hys vnclennesse. And then shall he kyll the burntoffrynge,
Lev.14.20	and the Preaste shall offre the burntoffrynge and the meatoffrynge vpon the alter: Ꟶ the preste shall make an attonement for hym, and he shalbe cleane.
Lev.14.21	If he be poore, and can not gett so moche, he shall take one lambe for a trespace offrynge to waue it for hys clensynge, and a tenth deale of fyne floure myngled wyth oyle for a meatoffrynge, and a logge of oyle,
Lev.14.22	and two turtyll doues or two yonge pigeons, suche as he is able to gett, wherof the one shalbe for synne, and the other for a burntoffrynge.
Lev.14.23	And he shall brynge them the .viij. daye for hys clensynge vnto the Preaste before the dore of the tabernacle of witnesse before the Lorde.
Lev.14.24	And the Preaste shall take the lambe that is for the trespace, and the logge of oyle, and waue them before the Lorde.
Lev.14.25	And he shall kyll the lambe for the trespace, and the Preaste shall take of the bloude of the trespaceoffrynge, and put it vpon the typpe of hys ryghte eare that is to be clensed, and vpon the thombe of hys ryghte hande, and vpon the greate too of hys ryght fote.
Lev.14.26	And the preaste shall powre of the oyle into hys ryghte hande,
Lev.14.27	and the preste shall wyth hys fynger sprynkle of the oyle that is in hys lefte hande, seuen tymes before the Lorde.
Lev.14.28	And the Preaste shall put of the oyle that is in hys hande vpon the typpe of the ryghte eare of hym that is to be clensed, and vpon the thombe of hys ryghte hande, and vpon the great too of hys ryghte fote: euen in the place where the bloude of the trespaceoffringe was put.
Lev.14.29	And the reste of the oyle that is in the prestes hande, he shall put vpon the heed of hym that is to be clensed: that he maye make on attonement for him before the Lorde.
Lev.14.30	And he shall offer one of the turtyll doues or of the yonge pigeons, soche as he can gett:
Lev.14.31	the one for a synne offerynge and the other for a burntoffrynge wyth the meatofferynge. And the Preaste shall make an attonement for hym that is to be clensed before the Lorde.
Lev.14.32	Thys is the lawe of hym in whom is the plage of leprosye, and whose hande is not able to gett that whych pertayneth to hys clensynge.
Lev.14.33	And the Lorde spake vnto Moses and Aaron sayinge:
