Job.0.0	¶ The boke of Iob.
Job.13.6	Now heare my chydyng, and pondre the sentence of my lyppes.
Job.13.7	Do ye speake iniquite against God? and talke agaynst hym with disceate?
Job.13.8	Wyll ye not accepte the person of hym? Or wyll ye contende with God?
Job.13.9	Shall that helpe you, when he calleth you to rekeninge. For as one man mocketh another, so do ye mocke hym.
Job.13.10	He shall punysh you, and reproue you, yf ye do secretly accept any personne.
Job.13.11	Shall he not make you afrayed, when he sheweth hym selfe? Shall not hys terrible feare fall vpon you?
Job.13.12	youre remembraunce is lyke vnto a sparke, and youre bodyes lyke the claye.
Job.13.13	Holde your tonges for my sake, that I also maye speake, and my sorow shalbe the lesse.
Job.13.14	Wherfore do I beare my flesh in my teth, and put my soule in myne handes?
Job.13.15	Lo, though he slaye me, yet wyll I put my trust in hym. But I wil reproue myne awne wayes in his sight,
Job.13.16	he shall make me whole: and there maye no ypocrite come before hym.
Job.13.17	Heare my wordes, and pondre my sayenges with your eares.
Job.13.18	Beholde, now haue I prepared my iudgement, and knowe that I shalbe founde ryghteous.
Job.13.19	What is he, that wil go to lawe with me? that I maye nowe holde my tonge, and dye.
Job.13.20	Neuertheles, graunt me two thynges, and then wyll I not hyde my selfe from the.
Job.13.21	Withdrawe thyne hande from me, and let not the fearfull drede of the, make me afrayed.
Job.13.22	And then call me, and I wil answere: or els, let me speake, and geue me thou an answere.
Job.13.23	How many are my mysdedes Ꟶ synnes? Lett me knowe my transgressyons and offences?
Job.13.24	Wherfore hydest thou thy face, Ꟶ holdest me for thyne enemye?
Job.13.25	Wylt thou be so cruel and extreme vnto a flyeng leafe, and folowe vpon drye stubble?
Job.13.26	for thou layest sharpely to my charge, and punysshest me for the synnes of my youth.
Job.13.27	Thou puttest my fete also in the stockes: and lokest narowly vnto all my pathes, and marckest the steppes of my fete:
Job.13.28	where as I (notwithstandynge) must consume lyke as a foule carion, Ꟶ as a cloth that is motheaten.
Job.14.1	Man that is borne of woman, hath but a short tyme to lyue, and is full of miserye.
Job.14.2	He commeth vp and is cutt downe lyke a floure. He flyeth as it were a shadowe, and neuer contynueth in one state.
Job.14.3	Doest thou open thyne eyes vpon soche one, and bryngest me in thy iudgement?
Job.14.4	Who can make cleane, that commeth of an vncleane thynge? Nobody.
Job.14.5	The dayes of man surely are determyned, the nombre of his monethes are knowne onely vnto the. Thou hast appoynted hym hys boundes, whych he can not go beyonde.
Job.14.6	God from hym, that he maye rest vntyll hys daye come: which he loketh for, lyke as an hyrelynge doth.
Job.14.7	If a tre be cut downe, there is some hope yet, that it wyll sproute, and shute forth the braunches agayne.
Job.14.8	For though the rote of it be waxen olde, and the stock therof be dead in the ground, yet when it
Job.14.9	getteth the sent of water, it wyll budde, and brynge forth bowes, lyke as a tre that is planted.
Job.14.10	But as for man, when he is dead, perisshed and consumed awaye, what becommeth of hym?
Job.14.11	The floudes when they be dryed vp, and the ryuers when they be empty, are filled agayne thorowe the flowynge waters of the see:
Job.14.12	but when man slepeth, he ryseth not agayne, (of hys awne strength) vntyll the heauen perysh: he shall not wake vp ner ryse out of hys slepe.
Job.14.13	O that thou woldest kepe me, and hyde me in the hell, vntyll thy wrath were stylled: and to appoynte me a tyme, wherin thou myghtest remembre me.
Job.14.14	Maye a dead man lyue agayne? All the dayes of my lyfe wyll I waite styll, tyll my chaungynge shall come.
Job.14.15	Thou shalt call me, and I shall answere the: despyse not thou the worke of thyne awne handes.
Job.14.16	For now thou nombrest all my goinges, yet be not thou to extreme vpon my synnes.
Job.14.17	My iniquite is sealed vp, as it were in a bagg but be mercyfull vnto my wickednesse.
Job.14.18	The mountaynes fall awaye at the last, the rockes are remoued out of theyr place,
Job.14.19	the waters pearse thorowe the very stones by lytle and lytle, the floudes wasshe a waye the grauell and earth. And destroyest thou the hope of man?
Job.14.20	Thou preuaylest styl agaynst him, so that he passeth awaye: thou chaungest hys estate, and puttest hym from the.
Job.14.21	And whether hys chyldren come to worshyp or no, he cannot tell. And yf they be men of lowe degre, he knoweth not.
Job.14.22	Whyle he lyueth, hys flesh must haue trauayle, and while the soule is in hym, he must be in sorowe.
Job.15.1	Then answered Eliphas the Themanite, and said:
Job.15.2	Shal a wyse mans answer be the scyence of the wynde, and fil any mans Bely as it were with the wynde of the east?
Job.15.3	Shal he reproue wt a word, that is nothyng worth: and speake the thinges, which can do no good?
Job.15.4	As for shame, thou hast sett it asyde, elles woldest thou not make so many wordes before God:
Job.15.5	but thy wyckednesse teacheth thy mouth, and so thou hast chosen the a craftye tonge.
Job.15.6	Thyne awne mouth condempneth the, and not I: yee, thyne awne lyppes shape an answer agaynst the.
Job.15.7	Art thou the fyrste man, that euer was borne? Or, wast thou made before the hylles?
Job.15.8	hast thou hearde the secrete councell of God, that all wysdome is to lytle for the?
Job.15.9	What knowest thou, that we knowe not? And what vnderstandest thou, but we can the same?
Job.15.10	With vs are both olde and aged men, yee, soch as haue lyued longer then thy father.
Job.15.11	Thynckest thou it a small thynge of the consolacyons of God? with the is a lyenge word.
Job.15.12	Why doth thyne hert so be wytch the? And wherfore wynckest thou wyth thyne eyes,
Job.15.13	that thy mynde is so puft vp agaynst God, and lettest soch wordes go oute of thy mouth?
Job.15.14	What is man, that he shulde be cleane? what hath he (which is borne of a woman) wherby he myght be righteous?
Job.15.15	Behold, he doth not trust hys saynctes: yee, the very heauens are not cleane in hys syght.
Job.15.16	Howe moch more then an abhomynable and vyle man, which drincketh wickednesse lyke water?
Job.15.17	I wyll tell the, heare me: and I wyll shewe the that I haue sene:
Job.15.18	which wyse men haue tolde, and hath not bene hyd from their fathers
Job.15.19	vnto whom onely the earthe was geuen, and no straunger went amonge them.
Job.15.20	The vngodly soroweth all the dayes of hys lyfe as it were a woman with a childe, and the nombre of a tyrauntes yeares is vnknowne.
Job.15.21	A fearfull sounde is euer in hys eares, and when it is peace, yet feareth he destruccyon.
Job.15.22	He beleueth neuer to be delyuered oute of darckenes, for the swearde is alwaye before hys eyes.
Job.15.23	When he goeth forth to get his lyuying, he seeth plainely, that the daye of darcknesse is at hande.
Job.15.24	Sorowe and carefulnesse wyll make hym afrayed, and compasse hym rounde aboute, lyke as it were a kynge with hys hoost ready to the batayll.
Job.15.25	For he hath stretched out hys hande agaynst God, and armed hym selfe agaynst the almyghtye,
Job.15.26	He runneth proudly vpon hym, and with a styff necke fyghteth he agaynst hym:
Job.15.27	where as he couereth hys face with fatnesse, and maketh hys body well lykynge.
Job.15.28	Therfore shall hys dwellynge be in desolate cyties, and in houses which no man inhabyteth, but are become heapes of stones.
Job.15.29	He shall not be riche, nether shall hys substaunce contynue, ner encrease vpon earthe.
Job.15.30	He shall neuer come oute of darcknesse, the flame shall drye vp hys braunches: with the blast of the mouth of God shall he be taken awaye.
Job.15.31	He beleueth not that he is in vanyte, and yet he is out of the waye, and vanyte shalbe hys recompence.
Job.15.32	He shall perysh, afore hys tyme be worne out, and hys braunche shall not be grene.
Job.15.33	He shalbe pluckt of as an vntymely grape from the vyne, Ꟶ shall lett his floure fall, as the olyue doth.
Job.15.34	For the congregacyyon of ypocrites shalbe desolate and vnfrutefull, and the fyre shall consume the houses of soch as are gredy to receaue giftes.
Job.15.35	He conceaueth trauayle, and beareth vanyte, and theyr bodye bryngeth forth disceate.
Job.16.1	Iob answered, and sayde:
Job.16.2	I haue oft tymes hearde soch thynges. Myserable geuers of conforte are ye, all the sorte of you.
Job.16.3	Shall not vayne wordes come yet to an ende? Or, hast thou yet eny more to saye?
Job.16.4	I coulde speake, as ye do also. But wold God, that youre soule were in my soules steade: then shuld I heape vp wordes agaynst you, and shake my heade at you.
Job.16.5	I shuld comforte you with my mouthe, and release youre payne with the talkyng of my lippes.
Job.16.6	For all my wordes, my sorow wyll ceasse: and though I holde my tonge, yet wyll it not departe from me.
Job.16.7	But now that God hath sente me aduersytie, thou hast troubled all my congregacyon.
Job.16.8	And that thou hast fylled me wyth wrynckles, my fleshe is recorde, and my leanesse ryseth vp agaynst me, and beareth wytnesse agaynst me.
Job.16.9	He is angrye at me, he hateth me and gnassheth vpon me wyth hys teth. Myne enemye skouleth vpon me wyth hys eyes.
Job.16.10	They haue opened their mouthes wyde vpon me Ꟶ smytten me vpon the cheke despitefully, they gather them selues together agaynst me.
Job.16.11	God hath put me in prease with the vngodly, Ꟶ delyuered me into the handes of the wycked.
Job.16.12	I was in wealth, but he hath brought me to naught. He hath taken me by the neck, he hath rent me, and sett me as a marck for him selfe.
Job.16.13	His archers compasse me rounde aboute: he wounded my loynes, and doth not spare. My bowels hath he poured vpon the ground.
Job.16.14	He hath geuen me one wound vpon another, and is fallen vpon me lyke a giaunte.
Job.16.15	I haue sowed a sack cloth vpon my skynne, Ꟶ lye with my heare in the dust.
Job.16.16	My face is swollen with wepynge, and in myne eyes is the shadow of death.
Job.16.17	Howbeit, there is no wyckednesse in my handes, but my prayer is cleane.
Job.16.18	O earth couer not thou my bloude, and let my cryenge fynde no rowme.
Job.16.19	For lo, my witnesse is in heauen: Ꟶ he that knoweth me, is aboue in the heygth:
Job.16.20	My frendes geue me many wordes, to scorne, and myne eye poureth out teares vnto God.
Job.16.21	O that a body might pleate with God, as one man doth with another,
Job.16.22	yet the nombre of my yeares is come, and the waye that I must go is at hande, from whence I shall not turne agayne.
Job.17.1	My breth stincketh, my dayes are shortened. I am harde at deathes dore.
Job.17.2	Froward men are wt me, and myne eye must continue in the bitternesse of them.
Job.17.3	O deliuer me, and loke out one to be my suertie in thy sight, what is he that knoweth who will promes for me?
Job.17.4	For thou hast with holden their hertes from vnderstandynge, therfore shalt thou not sett (them) vp on hye.
Job.17.5	He promiseth his frendes parte of his good, but his awne children spende it.
Job.17.6	He hath made me as it were a byworde of the people: where as afore, I was theyr ioye.
Job.17.7	Myne eye is dymme, for very heuynesse, Ꟶ all my strength is become like a shadow.
Job.17.8	Uertuous men therfore shall well consydre this, and the innocent shall take parte agaynst the ypocrite.
Job.17.9	The righteous also will kepe hys waye, and he that hath cleane handes, wyll euer be stronger and stronger.
Job.17.10	As for you, turne you, and get you hence (I praye you) seynge I cannot fynde one wyse man amonge you:
Job.17.11	My dayes are past, and my councels and thoughtes of my hart are vanysshed awaye
Job.17.12	chaungynge the night into daye, and the light into darcknes.
Job.17.13	Though I tary neuer so moch, yet the graue is my house, and I haue made my bed in the darcke.
Job.17.14	I call corrupcyon my father, and the wormes call I my mother and my syster.
Job.17.15	What helpeth then my longe taryenge? Or, who hath considred the thynge, that I loke for?
Job.17.16	All that I haue, shall go downe into the pytt, and lye with me in the dust.
Job.18.1	Then answered Baldad the Suhite, and sayde:
Job.18.2	when wyll ye make an ende of youre wordes? Marcke well, and then we wyll speake.
Job.18.3	Wherfore are we counted as beastes, Ꟶ reputed so vyle in youre sight?
Job.18.4	He destroied him selfe with his anger? Shal the earth be forsaken, or any stone remoued out of his place because of the?
Job.18.5	Yee, the light of the vngodly shall be put out? and the sparke of hys fyre shall not burne.
Job.18.6	The lyght shalbe darcke in his dwelling, and his candle shalbe put out with him.
Job.18.7	His presumpteous goinges are kepte in, and his awne councell shall cast him downe.
Job.18.8	For his fete are taken as it were in the nett, and he is at his wittes ende.
Job.18.9	His fote shalbe holden in the snare, and it shall catch them that be thyrsty of bloude.
Job.18.10	The snare is layed for him in the grounde, and a pytfall in the waye.
Job.18.11	Fearfulnesse shall make him afrayed on euery syde, that he shall not knowe, where to get out.
Job.18.12	Honger shalbe his strength: mysfortune shall hange vpon him.
Job.18.13	He shall eate the strength of his awne skynne, euen the fyrst borne of death shall eate his strength.
Job.18.14	His hope shalbe roted out of his dwellynge, very ferfulnesse shall bringe him to the kyng.
Job.18.15	Other men shal dwell in his house (but shalbe none of his) and brymstone shalbe scatered vpon his habitacyon.
Job.18.16	His rotes shalbe dried vp beneth, and aboue shall his braunch be cutt downe.
Job.18.17	His remembraunce shall perysshe from the earth, and he shall haue no name in the strete:
Job.18.18	they shall dryue him from the light into darcknesse, and cast him cleane out of the worlde.
Job.18.19	He shall nether haue chyldren nor kynsfolckes amonge his people, no, ner eny posterite in his dwellinges.
Job.18.20	They that come after hym, shalbe astonied at his daye, and they that go before, shall be afrayed.
Job.18.21	Soch are now the dwellynges of the wycked, and this is the place of hym that knoweth not God.
Job.19.1	Iob answered, and sayde:
Job.19.2	how longe will ye vexe my soule, and trouble me with wordes?
Job.19.3	Lo ten tymes haue ye reproued me: and are not a shamed, for to laugh me so to scorne:
Job.19.4	yf I go wronge, I go wronge to my selfe.
Job.19.5	But yf ye will enhaunce your selues agaynst me, and accuse me to be a wycked personne because of the shame that is come vpon me:
Job.19.6	knowe this then, that it is God, which hath handled me so violently and hath compased me aboute with his nette.
Job.19.7	Yf I complayne of the violence that is done vnto me, I cannot be herde. And yf I crye, there is no sentence geuen with me.
Job.19.8	He hath hedged vp my waye, that I cannot passe, and he hath set darcknesse in my pathes.
Job.19.9	He hath spoyled me of myne honoure, and taken the crowne awaye fro my head.
Job.19.10	He hath destroyed me on euery syde, and I am vndone: My hope hath he taken awaye fro me, as it were a tre pluckt vp by the rote.
Job.19.11	His wrath is kyndled agaynst me: he taketh me, as though I were hys enemy.
Job.19.12	Hys men of warre came together, which made their waye ouer me, and beseged my dwellynge rounde aboute.
Job.19.13	He hath put my brethren farre awaye fro me, and soch as were of myne acquayntance, are become straungers vnto me.
Job.19.14	Myne awne kynsfolkes haue forsaken me, and my frendes haue put me out of remembraunce.
Job.19.15	The seruauntes and maydens of myne awne house toke me for a straunger: and I am be come as an aleaunt in theyr syght.
Job.19.16	I called my seruaunt, and he gaue me no answere, no though I prayed him with my mouth.
Job.19.17	Myne awne wyfe myght not abyde my breth, I was fayne to speake fayre for the chyldren of myne awne body.
Job.19.18	Yee, the children despysed me: And when I was gone from them, they spake euell vpon me.
Job.19.19	All soch as were my most familiers, abhorred me: and they whom I loued best, are turned agaynst me.
Job.19.20	My bone hangeth to my skynne and my flesh is awaye, only there is left me the skynne aboute my teth.
Job.19.21	Haue pyte vpon me, haue pyte vpon me (O ye my frendes) for the hand of God hath touched me.
Job.19.22	Why do ye persecute me as God doth, and are not satisfyed of my flesshe?
Job.19.23	O that my wordes were nowe written O that they were put in a boke:
Job.19.24	wolde God they were grauen with an yron penne in leade or in stone to continue.
Job.19.25	For I am sure, that my redemer lyueth, and that I hall ryse out of the earth in the latter daye:
Job.19.26	that I shall be clothed agayne with this skynne, and se God in my flesh.
Job.19.27	Yee, I my selfe shall beholde him, not with other, but with these same eyes. My reynes are consumed within me:
Job.19.28	dyd not ye saye: why doth he soffer persecucion? Is theyr founde an occasion in me?
Job.19.29	But be warre of the swearde, for the swearde wylbe auenged of wyckednesse, and be sure, that there is a iudgement.
Job.20.1	Then answered Sophar the Naamathite, and sayde.
Job.20.2	For the same cause do my thoughtes compell me to answere. And why? my mynde is ready within me.
Job.20.3	I haue sufficiently herde thy checking and reprofe, therfore am I purposed to make answere after myne vnderstandynge.
Job.20.4	Knowest thou not this, namely: that from the begynnyng (euer sence the creacion of man vpon earth)
Job.20.5	the gladnes of the vngodly hath bene shorte, and that the ioye of ypocrites continued but the twyncklynge of an eye?
Job.20.6	Though he be magnified vp to the heauen, so that his head reacheth vnto the cloudes:
Job.20.7	yet at a turne he perisheth for euer. Insomoch that they which haue sene hym, shall saye. Where is he?
Job.20.8	He shall vanysh as a dreame, so that he can no more be founde, and shall passe awaye as a vision in the nyght.
Job.20.9	So that the eye which sawe hym before, shall haue nomore syght of hym, and hys place shall knowe hym nomore.
Job.20.10	Hys chyldren shall be fayne to agree with the poore, and his handes shall restore them their goodes.
Job.20.11	From his youth his bones are full of pleasures, but now shall it lye downe within him in the earth.
Job.20.12	When wyckednesse, was swete in his mouth, he hid it vnder hys tonge.
Job.20.13	That he fauoured, that wolde he not forsake, but kepte it close in his throte.
Job.20.14	The breade that he dyd eate, is turned to the poyson of serpentes, within his body.
Job.20.15	The ryches that he deuoured, shall he perbrake agayne, for God shall drawe them out of his bely,
Job.20.16	he shal sucke the gall of serpentes, and the adders tonge shall slaye hym:
Job.20.17	so that he shall nomore se the ryuers and brokes of hony and butter.
Job.20.18	The thing that other men haue laboured for, shall he restore agayne, and shall not eate it vp. Greate trauayle shall he make for ryches, but he shall not enioye them.
Job.20.19	And why? he hath oppressed the poore, Ꟶ not helped them: houses hath he spoyled, Ꟶ not buylded them.
Job.20.20	His bely coulde neuer be fylled, therfore shall he perishe in hys coueteousnesse.
Job.20.21	There shall none of hys meats be left behinde, therfore shall no man loke for hys prosperite.
Job.20.22	Whan he had plenteousnesse of euery thynge, yet was he poore, though he was helped on euery syde.
Job.20.23	For though the wycked haue neuer somoch to fyll his bely, yet God shall sende his wrath vpon him, and cause his indignacyon to raygne ouer him:
Job.20.24	so that yf he fle the yron weapens, he shall be shott wt the stele bowe.
Job.20.25	The arowe is taken forth, and gone out of the quyuer, Ꟶ a glystering sweard thorowe the gall of him, feare shall come vpon hym.
Job.20.26	There shall no darcknes be able to hyde him An vnkyndled fyre shall consume him, and loke what remayneth in hys house, it shall be destroyed.
Job.20.27	The heauen shall declare hys wyckednesse, and the earth shall take parte agaynst him.
Job.20.28	The substaunce that he hath in hys house, shalbe taken awaye and peryshe in the daye of the Lordes wrath.
Job.20.29	This is the porcyon that the wycked man shall haue of God, and the herytage that he maye loke for of God. because of his wordes.
Job.21.1	Iob answered, and sayde:
Job.21.2	O heare my wordes, and that shalbe my comfort of you.
Job.21.3	Suffre me a lytle, that I maye speake also, and then laugh my wordes to scorne.
Job.21.4	Is it for mans sake that I make thys disputacyon? Which yf it were so, shulde not my sprete be then in sore trouble?
Job.21.5	Marcke me well, and be abasshed, and laye youre hand vpon youre mouth.
Job.21.6	For when I consyder my selfe, I am afrayed, and my fleshe is smytten with feare.
Job.21.7	Wherfore do wycked men lyue in health and prosperite, come to theyr olde age, and increase in ryches?
Job.21.8	Their chyldren lyue in theyr syght, and theyr generacyon before theyr eyes.
Job.21.9	Their houses are safe from all feare, and the rodd of God doth not smyte them.
Job.21.10	Their bullocke gendreth, and that not out of tyme: theyr cowe calueth, and is not vnfrutefull.
Job.21.11	They sende forth their children by flockes, and their sonnes lede the daunce.
Job.21.12	They beare with them tabrettes and harpes, and haue instrumentes of musycke at their pleasure.
Job.21.13	They spende their dayes in welthynesse: but sodenly they go downe to hell.
Job.21.14	They saye also vnto God: go from vs, we desyre not the knowledge of thy wayes.
Job.21.15	Who is the Allmyghtie, that we shulde serue hym? And what profyt shuld we haue to submyt our selues vnto him?
Job.21.16	Lo, there is vtterly no goodnesse in them, therfore will not I haue to do with the councell of the vngodly.
Job.21.17	How oft shall the candle of the wycked be put out? how oft commeth their destruccion vpon them? O what sorowe shal God geue them for their parte in hys wrath?
Job.21.18	Yee, they shall be euen as haye before the wynde, and as chaffe that the storme caryeth awaye.
Job.21.19	And though God saue their children from soch sorowe, yet wyll he so rewarde them selues, that they shall knowe it.
Job.21.20	Their awne destruccion and misery shall they se with their eyes, and drincke of the fearfull wrath of the Almyghty.
Job.21.21	For what careth he what become of his housholde after hys death, whan the nombre of his monethes is cut short?
Job.21.22	In as moch then as God hath the hyest power of all, who can teach him eny knowledge?
Job.21.23	One dyeth now when he is mightye and at hys best, ryche, and in prosperite:
Job.21.24	euen when his bowels are at the fattest, and hys bones full of mary.
Job.21.25	Another dyeth in sorowe and heuinesse, and neuer had good dayes.
Job.21.26	They shall slepe both a lyke in the earth, Ꟶ the wormes shall couer them.
Job.21.27	Beholde, I knowe what ye thincke, yee, and the sotiltye that ye ymagyn agaynst me.
Job.21.28	For ye saye: where is the princes palace? and where is the dwellynge of the vngodly:
Job.21.29	haue ye not asked them that go by the waye? Doutlesse ye cannot denye their tokens,
Job.21.30	that the wicked is kepte vnto the daye of destruccyon, and that the vngodly shalbe brought forth to the daye of wrath.
Job.21.31	Who darre reproue him for his waye to hys face? Who wyll rewarde him for the vngraciousnesse that he doth?
Job.21.32	Yet shall he be brought to his graue, and dwell among the heape of the deed.
Job.21.33	Then shall he be fayne to be buried amonge the stones of the playne. All men also must folowe him, and there are innumerable gone before him.
Job.21.34	How vayne then is the comforte that ye geue me? Doth not falshede remayne in all youre answers?
Job.22.1	So Eliphas the Themanite gaue answere, and sayde:
Job.22.2	Maye a man be profitable vnto God, as he that is wyse maye be profytable to hym selfe?
Job.22.3	Is it any vauntage to the Allmyghtye that thou art ryghteous? Or shall it profyte hym, that thou makest thy wayes perfect?
Job.22.4	Is he afrayed to reproue the, and to steppe forth with the into iudgment?
Job.22.5	Is not thy wickednesse greate, and thyne vngracious dedes innumerable?
Job.22.6	For thou hast taken the pledge from thy brother for naught, and robbed the naked of their clothinge:
Job.22.7	To soche as were weery hast thou geuen no water to drincke, Ꟶ hast withdrawen bred from the hungrye:
Job.22.8	Shulde soch one then as vseth violence, wrong Ꟶ oppression (doing all thinge of parcialite, and hauinge respecte of personnes) dwell in the lande?
Job.22.9	Thou hast sent wyddowes awaye emptie and oppressed the poore fatherlesse.
Job.22.10	Therfore art thou compassed aboute with snares on euery syde, and sodenly vexed with feare.
Job.22.11	Shuldest thou then se no darckenesse? Shulde not the water floude runne ouer the?
Job.22.12	Now because that God is hyer then the heauens, and because thou seyst that the starres are so hye,
Job.22.13	wilt thou therfore saye: Tushe, how shulde God knowe? Doth his dominyon reache beyonde the cloudes?
Job.22.14	Tush, the cloudes couer him that he maye not se, Ꟶ he dwelleth aboue heauen.
Job.22.15	Dost not thou kepe the olde waye, that vayne men haue gone?
Job.22.16	Which were cut downe out of tyme, and whose foundacyon was as a runnynge water,
Job.22.17	which sayed vnto God: go from vs, and what dyd the Allmyghtye with them?
Job.22.18	He fylled theyr houses with good thinges. But the councell of the vngodly is farre fro me.
Job.22.19	The ryghteous sawe it and were glad, and the innocent laughed them to scorne.
Job.22.20	Is oure increase hewen downe? As for the remnaunt of them, the fyre hath consumed it.
Job.22.21	Therfore reconcile the vnto God, and be content, so shall all thinges prospere with the ryght well.
Job.22.22	Receaue the lawe at his mouth, and laye vp his wordes in thyne herte.
Job.22.23	For yf thou wilt turne to the Almightye, thou shall stande fast, and put all vnrighteousnesse from thy dwellynge:
Job.22.24	Thou shall make golde as plentifull as the dust, and the golde of Ophir as the flyntes of the ryuers.
Job.22.25	Yee, Almightye God hys awne selfe shalbe thy defence, and thou shalt haue plentye of syluer.
Job.22.26	Then shalt thou haue thy delite in the Almightie, Ꟶ lyft vp thy face vnto God.
Job.22.27	Then shalt thou make thy prayer vnto him, and he shall heare the, and thou shalt kepe thy promyses.
Job.22.28	Then, loke what thou takest in hand, he shall make it to prospere with the, and the lyght shall shyne in the wayes.
Job.22.29	For who so humbleth hym selfe, him shall be set vp: and who so loketh mekely, shalbe healed.
Job.22.30	If thou be innocent thou shalt deliuer the countre because of the vngyltynesse of thyne handes.
Job.23.1	Iob answered, and sayde:
Job.23.2	My sayinge is yet this daye in bytternes, and my hande heuy because of my gronynge.
Job.23.3	O that I myght se him, and fynde hym: O that I myght come before his seate,
Job.23.4	to pleate my cause before him, and to fyll my mouth with argumentes.
Job.23.5	That I myght knowe, what answere he wolde geue me: and that I myght vnderstande, what he wolde saye vnto me.
Job.23.6	Wyll he pleate agaynst me with his great power and strength?
Job.23.7	No, but he wyll make me the stronger. He that is iust, shall entre disputacion with hym, and my iudge shall delyuer me for euer.
Job.23.8	Beholde, though I go before, I fynde him: If I come behynde, I can get no knowledge of him:
Job.23.9	Yf I go on the left syde where he doth hys worcke, I cannot atteyne vnto hym. A gayne, yf I go on the ryght syd, he hydeth hym selfe, that I cannot se him.
Job.23.10	But as for my waye, he knoweth it: and tryeth me as the golde in the fyre.
Job.23.11	My fote doth kepe his path, his hye waye haue I holden, and will not go out of it.
Job.23.12	I will not forsake the commaundement of his lippes, but loke what he charged me with his mouth, that haue I shutt vp in my herte.
Job.23.13	He is styll at one poynt, and who wyll turne him back? He doth as him listeth, and bringeth to passe what he will.
Job.23.14	He perfourmeth the thynge that is appoynted for me, Ꟶ many soch thynges doth he.
Job.23.15	This is the cause that I shrincke at his presence, so that when I consydre hym, I am afrayed of him.
Job.23.16	For in somoch as he is God, he maketh my herte soft: and seynge that he is Allmyghtie, he putteth me in feare.
Job.23.17	Thus can not I gett out of darckenesse, nether hath he couered the cloude fro my face.
Job.24.1	Consyderinge then that there is no tyme hid from the Almyghtie, how happeneth it, that they which knowe hym, do not regarde his dayes?
Job.24.2	For some men there be, that remoue other mens landemarkes: that robbe them of their catell, and kepe the same for theyr awne:
Job.24.3	that dryue awaye the asse of the fatherlesse: that take the wyddowes oxe for a pledge:
Job.24.4	that thrust the poore out of the waye, and oppresse the simple of the worlde together.
Job.24.5	Beholde, euen as the wylde asses in the deserte goo they forth to their worke, and ryse by tymes to spoyle: Yee the very wyldernesse ministreth foode for their chyldren.
Job.24.6	They reape the corne felde that is not their awne: and let the vyneyarde of the vngodly alone.
Job.24.7	They are the cause that so many men are naked and bare, hauinge no clothes to couer them and to kepe them from colde:
Job.24.8	So that when the showers in the mountaynes haue rayned vpon them, Ꟶ they be all wett, they haue none other succoure, but to kepe them amonge the rockes.
Job.24.9	They spoyle the suckinge fatherlesse childe, and take the pledge from the poore.
Job.24.10	In somoch that they let him go naked without clothing, and haue taken awaye the sheafe of the hungrie.
Job.24.11	The poore are fayne to laboure in their oyle milles, yee, and to treade in theyr wyne presses, and yet to suffre thyrst.
Job.24.12	The men of the cytie crieth vnto the Lorde with sything, the soules of the slayue also make theyr complainte: But God destroyeth them not for all this,
Job.24.13	where as they (not withstandinge) are conuersaunt amonge them that abhorre the lyght: they knowe not hys waye, ner contynue in his pathes.
Job.24.14	Tymely in the mornynge do they aryse, to murthur the symple and poore, and in the nyght they go a stealynge.
Job.24.15	The eye of the aduolterer wayteth for the darcknesse, and sayeth thus in him selfe: Tush, there shall no eye se me, and so he disgiseth his face.
Job.24.16	In the night ceason they search the houses, and hyde them selues in the daye tyme, but will not knowe the light.
Job.24.17	For as soone as the daye breaketh, the shadowe of death commeth vpon them, and they go in horrible darcknesse.
Job.24.18	The vngodly is swyfter then the water: their porcion shalbe cursed in the earth, and he shall not beholde the waye of the vineyardes.
Job.24.19	O that they (for the wickednesse which they haue done) were drawen to the hell, soner then snowe melteth at the drouth and heate.
Job.24.20	O that all compassion vpon them were forgotten: that their daynties were wormes, that they were cleane put out of remembraunce, and vngodlynesse vtterly hewen downe lyke as a tre.
Job.24.21	He hath oppressed the baren, that he cannot beare, and vnto the wyddowe hath he done no good.
Job.24.22	He drue the mightie after hym with his power, and when he was gotten vp, no man was without feare, as longe as he lyueth.
Job.24.23	And though they might be safe, yet they wyll not receaue it, for their eyes loke vpon their awne wayes.
Job.24.24	They are exalted for a lytle, but shortly are they gone, brought to extreme pouerte, and taken out of the waye: ye and vtterly pluckte of, as the eares of corne.
Job.24.25	Is it not so? Who wyll then reproue me as a lyar, and saye that my wordes are nothynge worth?
Job.25.1	Then answered Baldad the Suhite, and sayde.
Job.25.2	Is there power and feare with him aboue, that maketh peace, sytting in his hyghnesse,
Job.25.3	whose men of warre are innumerable, and whose light aryseth ouer all.
Job.25.4	But how maye a man compared vnto God, be iustifyed? Or how can he be cleane, that is borne of a woman?
Job.25.5	Beholde, the Moone shyneth nothynge in comparison to him, and the starres are vncleane in his sight.
Job.25.6	How moche more then man, that is but corrupcion: and the sonne of man, which is but a worme?
Job.26.1	Iob answered, and sayde:
Job.26.2	Whom hast thou helped? Him that is wtout strength? what comforte geuest thou vnto hym that hath no strength?
Job.26.3	Where is the councell that thou shuldest geue him, which hath no wysdome? Hast thou shewed the waye of ryght lyuinge.
Job.26.4	To whom hast thou spoken those wordes? Who made the breth to come out of thy mouth?
Job.26.5	Are not deed thinges shapen vnder the waters: Ꟶ thinges by the waters syde?
Job.26.6	Hell is naked before him, and the very destruccion it selfe cannot be hyd out of his syght.
