Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.16.27	Beholde, I dyd stretch out myne hande ouer the, Ꟶ dyd minishe thy stoare of fode, and delyuer the ouer in to the wylles of the Philistines thine enemyes, which are ashamed of thy abhominable waye.
Ezek.16.28	Thou hast played the whore also with the Assyrians, because thou wast insatiable: Yee, thou hast (I saye) with them played the harlot, Ꟶ yett haddest thou not ynough.
Ezek.16.29	Thus hast thou forthermore commytted thy fornicacyon from the lande of Canaan vnto the Caldees, Ꟶ yet thy lust not satisfyed.
Ezek.16.30	Howe obstinate is thine herte (sayeth the Lorde God) seynge thou doest all these workes of an erraunt whore:
Ezek.16.31	buyldinge thy stewes at the head of euery strete, Ꟶ thy brodell houses in all places? Thou hast not bene as an other whore, that holdeth scorne of a small rewarde,
Ezek.16.32	but a wife that breaketh wedlocke, Ꟶ taketh other in steade of her husbonde.
Ezek.16.33	Gyftes are geuen to all other whores, but thou geuest rewardes vnto all thy louers: Ꟶ offrest them gyftes, to come vnto the out of all places, Ꟶ to commytte fornicacyon wt the.
Ezek.16.34	It is come to passe wt the in thy whordomes contrary to the vse of other women: yee, there hath no soch fornicacyon bene committed after the, seynge that thou profrest gyftes vnto other, and no rewarde is geuen the: this is a contrary thinge.
Ezek.16.35	Therfore, heare the worde of the Lorde, O thou harlot:
Ezek.16.36	thus sayeth the Lorde God: For so moch as thou hast sett forth thy youthe to whordome, Ꟶ discouered thy shame, thorowe thy whordome wt all thy louers, and with all the Idols of thy abhominacyons in the bloude of thy chyldren, whom thou hast geuen them?
Ezek.16.37	Beholde therfore, I will gather together all thy louers, vnto whom thou hast made thy selfe comen: yee, and all them whom thou fauourest, Ꟶ euery one that thou hatest: I wyll (I saye) gather them together rounde aboute the and will discouer thy shame before them, that they maye se all thy fylthynes.
Ezek.16.38	Moreouer, I will iudge the as a breaker of wedlocke and a murtherer, and recompence the thyne awne bloude in wrath and gelousy.
Ezek.16.39	I will geue the ouer in to their power, that shall breake downe thy stues, Ꟶ destroye thy brodell houses: they shall strype the out of thy clothes, all thy fayre Ꟶ beutyfull Iewels shall they take from the, Ꟶ so let the syt naked Ꟶ bare:
Ezek.16.40	yee: they shall bringe the comen people vpon the, which shall stone the, Ꟶ slaye the downe wt their sweardes.
Ezek.16.41	They shall burne vp thy houses, Ꟶ punysh the in the sight of many wemen. Thus will I make thy whordome to ceasse, so that thou shalt geue out no more rewardes.
Ezek.16.42	Shulde I make my wrath to be still, take my gelousy from the, be content, Ꟶ no more to be displeased?
Ezek.16.43	seynge thou remembrest not the dayes of thy youth, but hast prouoked me to wrath in all these thinges? Beholde therfore I wyll brynge thyne awne wayes vpon thyne heade, sayeth the Lorde God: howe be it, I neuer dyd vnto the, accordynge to thy wickednesse Ꟶ all thy abhominacyons.
Ezek.16.44	Beholde, all they that vse comen prouerbes, shall vse thys prouerbe also agaynst the: soche a mother, soch a daughter.
Ezek.16.45	Thou art euen thy mothers awne daughter, that hath cast of hyr housbande Ꟶ hyr chyldren: Yee, thou art the syster of thy systers, which forsoke their husbandes Ꟶ their chyldren. Youre mother is a Cethyte, and youre father an Amoryte.
Ezek.16.46	Thyne eldest syster is Samaria, she and her daughters that dwell vpon thy left hande. But thy yongest syster that dwelleth on thy ryght hande, is Sodoma Ꟶ her daughters.
Ezek.16.47	Yet hast thou not walked after their wayes, ner done after their abhominacyons: but thou stodest a lytell Ꟶ very small tyme, and in all thy wayes thou hast bene more corrupte then they.
Ezek.16.48	As truly as I lyue, sayeth the Lorde God: Sodoma thy syster wt her daughters, hath not done so euell, as thou and thy daughters.
Ezek.16.49	Beholde, the synnes of thy syster Sodoma were these: Pryde, fulnesse of meate, aboundaunce Ꟶ Idilnesse, these thynges had she Ꟶ hir daughters. Besydes that, they reached not their hande to the poore and nedy,
Ezek.16.50	but were proude, and dyd abhominable thynges before me: therfore I toke them awaye, as pleased me.
Ezek.16.51	Nether hath Samaria done half of thy synnes, yee, thou hast exceaded them in wickednesse: In so moch that in comparyson of all the abhominacions which thou hast done, thou hast made thy systers good wemen.
Ezek.16.52	Therfore thou (which dydest condempne thy syster) beare thyne awne shame, for thyne awne offences, that thou hast committed, more abhominable then they dyd, which in dead ar more ryghteous, then thou art, be thou (I seye) ashamed, and beare thy shamfull rebuke, seynge that thou hast proued thy systers in comparyson of the ryghtwyse.
Ezek.16.53	As for their captiuyte, namely the captiuyte of Sodoma, Ꟶ her daughters: the captiuyte of Samaria Ꟶ her daughters: I will bringe them agayne, so will I also bringe agayne thy captiuyte amonge them:
Ezek.16.54	that thou mayest take thyne awne confusion vpon the, Ꟶ be ashamed of all that thou hast done, Ꟶ to comforte them.
Ezek.16.55	Thus thy systers (namely) Sodoma Ꟶ her daughters: Samaria and her daughters, wt thy selfe, Ꟶ thy daughters, shalbe brought agayne to youre olde estate.
Ezek.16.56	When thou wast in thy pryde,
Ezek.16.57	Ꟶ before thy wickednesse came to lyght: thou woldest not heare speake of thy syster Sodoma, vntyll the tyme that the Syrians with all their townes, Ꟶ the Philistines with all that lye rounde aboute them, brought the to shame Ꟶ confusyon:
Ezek.16.58	that thou myghtest beare thyne awne fylthynes Ꟶ abhominacyon, sayeth the Lorde.
Ezek.16.59	For thus sayeth the Lorde God: I shulde (by right) deale with the, as thou hast done. Thou hast despysed the oth, and broken the couenaunte.
Ezek.16.60	Neuerthelesse, I will remembre the couenaunt that I made with the in thy youth in so moch that it shalbe an euerlastinge couenaunt:
Ezek.16.61	so that thou also remembre thy wayes, Ꟶ be ashamed of them: then shalt thou receaue of me thy elder Ꟶ yonger systers, whom I wyll make thy daughters, and that besyde thy couenaunt.
Ezek.16.62	And so will I renue my couenaunt with the, that thou mayest knowe that I am the Lorde:
Ezek.16.63	that thou mayest thincke vpon it, be ashamed, and excuse thyne awne confusyon nomore: when I haue forgeuen the, all that thou hast done, sayeth the Lorde God.
Ezek.17.1	The worde of the Lorde came vnto me, sayinge:
Ezek.17.2	Thou sonne of man: put forth a darcke speakynge and a parable, vnto the house of Israel,
Ezek.17.3	Ꟶ saye: Thus sayeth the Lorde God: There came a great Aegle wt greate wynges, yee, with a myghtye longe bodye, Ꟶ full of fethers of dyuerse coloures, vpon the mount of Libanus, Ꟶ toke the hyest braunch from a Cedre tree,
Ezek.17.4	Ꟶ brake of the toppe of his twygge, Ꟶ caryed it into the lande of Canaan, Ꟶ set it in a cyte of marchauntes.
Ezek.17.5	He toke also of the seade of the lande, Ꟶ planted it in a frutefull grounde, he brought it vnto greate waters, and set it as a wyllowe tree therby.
Ezek.17.6	Then dyd it growe, and was a greate vynestocke, but lowe by the grounde whose braunches turned in to it selfe, and the rotes of it, were fastened vnder it, thus there came of it a vyne, and it brought forth blossomes, Ꟶ spred out braunches.
Ezek.17.7	But there was another Aegle, a great one, which had greate winges Ꟶ many fethers: and beholde, the rotes of thys vyne had an hunger after him, Ꟶ spred out his braunches towarde him, that he myght water her with the orchyerd that he had planted.
Ezek.17.8	Neuertheles, it was planted vpon a good ground besyde greate waters: so that (by reason) it shulde haue brought out braunches Ꟶ frute, Ꟶ haue bene a goodly vyne.
Ezek.17.9	Speake thou therfore, thus sayeth the Lorde God: Shall this vyne prospere? shall not his rotes be pluckte oute, his frute be broken of, his grene braunches, wither Ꟶ fade awaye? ye, without ether stronge arme or many people, shall it be plucked vp by the rotes.
Ezek.17.10	Beholde, it was planted: shall it prospere therfore? Shal it not be dryed vp Ꟶ withered, yee, euen in the shutinge out of his blossomes, as soone as the east winde bloweth?
Ezek.17.11	Moreouer, the worde of the Lord came vnto me sayinge:
Ezek.17.12	Speake to that frowarde housholde: knowe ye not, what these thynges do signifye? Tell them: Beholde, the kynge of Babylon came to Ierusalem, Ꟶ toke the kynge and his prynces, and ledde them to Babylon.
Ezek.17.13	He toke of the kynges sede, and made a couenaunt wyth hym, and toke an othe of him: The Prynces of the lande toke he with him also,
Ezek.17.14	that the lande myght be holden in subieccyon, and not to rebelle, but kepe the couenaunt, and fulfyll it.
Ezek.17.15	But he fell from him, Ꟶ sent his Embassytours into Egypt that he myght haue horses and moche people. Shulde that prospere? Shulde he be kepte safe, that doth soch thynges? Or shulde he escape, that breaketh hys couenaunt?
Ezek.17.16	As truly as I lyue sayeth the Lorde God: He shall dye at Babylon, in the place where the kynge dwelleth, that made hym kynge: whose othe he hath despysed, and whose couenaunt he hath broken.
Ezek.17.17	Nether shall Pharao with his greate host Ꟶ multitude of people, maynteyne him in the warre: when they cast vp dyches, and set vp bulworkes to destroye moch people.
Ezek.17.18	For seynge he hath despysed the othe, and broken the couenaunt (where as he yet gaue his hande ther vpon) and done all these thynges, he shall not escape.
Ezek.17.19	Therfore thus sayeth the Lorde God. As truly as I lyue, I wyll brynge myne othe that he hath despysed, and my couenaunt that he hath broken, vpon his awne head.
Ezek.17.20	I wyll cast my net aboute him, and catch him in my yarne. To Babylon will I carie him, there will I punishe him, because of the greate offence that he made me.
Ezek.17.21	As for those that fle from him out of the hoost, they shalbe slayne with the swearde. The resydue shalbe scatred towarde all the wyndes: and ye shall knowe, that I the Lorde haue spoken it.
Ezek.17.22	Thus sayeth the Lorde God: I wyll also take a braunche from an hye Cedre tree, and will set it, Ꟶ take the vppermost twygge, that yet is but tendre, and plante it vpon an hye hyll:
Ezek.17.23	Namely, vpon the hye hyll of Syon will I plante it: that it maye bringe forth twygges, Ꟶ geue frute, and be a greate Cedre tree: so that all maner of foules maye bylde in it, Ꟶ make their nestes vnder the shadow of his braunches.
Ezek.17.24	And all the trees of the felde shall knowe that I the Lorde haue brought downe the hye tree, and set the lowe tree vp: that I haue dryed vp the grene tree, and made the drye tree to floryshe: Euen I the Lorde that spake it, haue also brought it to passe.
Ezek.18.1	The worde of the Lorde came vnto me, on this maner:
Ezek.18.2	what meane ye by thys comen prouerbe, that ye vse in the lande of Israel, sayinge: The fathers haue eaten soure grapes, Ꟶ the childrens tethe are set on edge:
Ezek.18.3	As truly as I lyue, sayeth the Lorde God, ye shall vse this byworde nomore in Israell.
Ezek.18.4	Beholde all soules are myne. Lyke as the father is myne, so is the sonne myne also. The soule that synneth, shall dye.
Ezek.18.5	If a man be godly, Ꟶ do the thinge that is equall and ryght,
Ezek.18.6	he eateth not vpon the hylles: he lyfteth not hys eyes vp to the foule Idols of Israel: he defyleth not his neyghbours wyfe: he medleth wt no menstruous woman:
Ezek.18.7	he greueth no body: he geueth his detter his pledge agayne, he taketh none other mans good by violence: he parteth his mete wt the hongrye: he clotheth the naked:
Ezek.18.8	he lendeth nothynge vpon vsury he taketh nothynge ouer: he wythdraweth his hande from doynge wronge: he dealeth faythfully betwixte man Ꟶ man:
Ezek.18.9	Ꟶ walketh in my commaundementes, and kepeth my lawes, Ꟶ perfourmeth them faythfully: This is a ryghtuous man, he shall surely lyue sayeth the Lorde God.
Ezek.18.10	If he nowe gett a sonne, that is a murtherer, a sheder of bloude: yf he do one of these thynges
Ezek.18.11	(though he do not all) he eateth vpon the hylles: he defyleth his neyghbours wyfe:
Ezek.18.12	he greueth the poore Ꟶ nedy: he robbeth Ꟶ spoyleth: he geueth not the detter his pledge againe, he lyfteth vp his eyes vnto Idols, Ꟶ medleth with abhominable thinges:
Ezek.18.13	he lendeth vpon vsury, Ꟶ taketh more ouer. Shall this man lyue? He shall not lyue. Seynge he hath done all these abhominacyons, he shall dye, his bloude shalbe vpon him.
Ezek.18.14	Nowe yf this man get a sonne also, that seeth all hys fathers synnes, which he hath done: and feareth, nether doth soch lyke:
Ezek.18.15	Namely, he eateth not vpon the mountaynes: he lyfteth not his eyes vp to the Idols of Israel: he defyleth not his neyghbours wyfe:
Ezek.18.16	he vexeth no man: he kepeth no mans pledge: he nether spoyleth, ner robbeth eny man: he dealeth his meate wt the hongrye: he clotheth the naked:
Ezek.18.17	he oppresseth not the poore: he receaueth no vsury, ner any thynge ouer: he kepeth my lawes, Ꟶ walcketh in my commaundementes. This man shall not dye in his fathers synne, but shall lyue without fayle.
Ezek.18.18	As for his father: because he oppressed Ꟶ spoyled hys brother, and dyd wyckedly amonge his people: lo, he is deed in his awne synne.
Ezek.18.19	And yet saye ye: Wherfore then shulde not thys sonne beare his fathers synne? Therfore: because the sonne hath done equytie Ꟶ ryght, hath kepte all my commaundementes, Ꟶ done them: therfore shall he lyue in dede.
Ezek.18.20	The same soule that synneth, shall dye. The sonne shall not beare the fathers offence, nether shall the father beare the sonnes offence. The ryghteousnes of the ryghtuous shall be vpon him, Ꟶ the wickednes of the wicked shall be vpon him self also.
Ezek.18.21	But yf the vngodly wyll turne awaye from all his synnes that he hath done, and kepe all my commaundementes, and do the thinge that is equall and ryght: doutles he shall lyue, and not dye.
Ezek.18.22	As for all his synnes that he dyd before, they shall not be thought vpon: but in his righteousnes that he hath done, he shall lyue.
Ezek.18.23	For haue I eny pleasure in the death of a synner, sayeth the Lord God, but rather that he conuerte, and lyue?
Ezek.18.24	Agayne: yf the ryghtuous turne awaye from his ryghtuousnes, and do iniquyte, accordynge to all the abhominacyons, that the wicked man doth: shall he lyue? All the ryghtuousnes that he hath done, shall not be thought vpon: but in the faute that he hath offended withall, and in the synne that he hath done, he shall dye.
Ezek.18.25	And yet ye saye: Tush the waye of the Lord is not indifferent. Heare therfore ye house of Israel: Is not my waye ryght? Or, are not youre wayes rather wicked:
Ezek.18.26	When a ryghtuous man turneth awaye from hys ryghtuousnesse, and medleth wyth vngodlynes: he must dye therin: yee, for the vnrightuousnes that he hath done, must he dye.
Ezek.18.27	Agayne: when the wycked man turneth awaye from his wickednesse, that he hath done, and doth the thinge which is equall and ryght: he shall saue his soule alyue.
Ezek.18.28	For in so moch as he remembreth him selfe, Ꟶ turneth him from all the vngodlynes that he hath vsed, he shall lyue and not dye.
Ezek.18.29	And yet sayeth the house of Israel: Tush, the waye of the Lorde is not equall. Are my wayes vnryght? O ye house of Israel: Are not youre wayes rather vnequall?
Ezek.18.30	As for me, I wyll iudge euery man, accordynge to his wayes, O ye house of Israel, sayeth the Lorde God. Wherfore, be conuerted, and turne you cleane from all your wyckednesse, so shall there no synne do you harme.
Ezek.18.31	Cast awaye from you all youre vngodlynesse, that ye haue done: make you newe hertes and a newe sprete. Wherfore wyll ye dye, O ye house of Israell?
Ezek.18.32	seynge I haue no pleasure in the death of him that dyeth, sayeth the Lord God. Turne you then, and ye shall lyue.
Ezek.19.1	But thou sonne of man mourne thou for the princes of Israel,
Ezek.19.2	Ꟶ saye. Wherfore laye thy mother the lyonesse amonge the lyons, Ꟶ noryshed her yonge ones amonge the lyons whelpes?
Ezek.19.3	One of her whelpes she brought vp, and it became a lyon, it learned to spoyle, and to deuoure folke.
Ezek.19.4	The Heathen herde of him, and toke him in their nettes, and brought him in chaynes vnto the lande of Egypte.
Ezek.19.5	Nowe when the damme sawe, that all her hope and comforte was awaye, she toke another of her whelpes, and made a lyon of him:
Ezek.19.6	which wente amonge the lyons, Ꟶ became a fearce lyon: learned to spoyle and to deuoure folcke:
Ezek.19.7	he destroyed their palaces, and made their cyties waste. In so moch that the whole lande Ꟶ euery thinge therin, were vtterly desolate, thorow the very voyce of his roaringe.
Ezek.19.8	Then came the Heathen together on euery syde oute of all countrees agaynst hym, layed their nettes for hym, and toke hym in their pytte.
Ezek.19.9	So they bounde him with chaynes, and brought him to the kyng of Babylon: which put him in preson, that his voyce shulde nomore be herde vpon the mountaynes of Israel.
Ezek.19.10	As for thy mother, she is lyke a vyne in thy bloude, planted by the water syde: her frutes and braunches are growen out of many waters,
Ezek.19.11	her stalkes were so stronge, that men myght haue made staues therof for officers: she grewe so hye in her stalkes. So whan men sawe that she exceaded she heygth Ꟶ multitude of her braunches,
Ezek.19.12	she was roted out in displeasure, and cast downe to the grounde The East winde dryed vp her frute, her stronge stalkes were broken of, withered and brent in the fyre.
Ezek.19.13	But now she is planted in the wyldernesse, in a drye Ꟶ thurstye grounde.
Ezek.19.14	And there is a fyre gone out of her stalckes, which hath brent vp her braunches and her frute: so that she hath no mo stronge stalckes, to be staues for offycers. This is a pyteous and miserable thinge.
Ezek.20.1	In the .vij. yeare the .x. daye of the .v. moneth, it happened, that certayne of the elders of Israel came vnto me, for to aske councell at the Lorde, Ꟶ sat them downe by me.
Ezek.20.2	Then came the worde of the Lorde vnto me on thys maner:
Ezek.20.3	Thou sonne of man: speake vnto the elders of Israel, Ꟶ saye vnto them: Thus sayeth the Lord God: Are ye come hyther to aske eny thynge at me? As truly as I lyue (sayeth the Lorde)
Ezek.20.4	I will geue you no answere. Wilt thou not reproue them (thou sonne of man) wilt thou not reproue them? Shewe them the abhominacyons of their fore fathers,
Ezek.20.5	Ꟶ tell them. Thus sayeth the Lorde God: In the daye when I chose Israel, and lyft vp myne hande vpon the sede of the house of Iacob, Ꟶ shewed my selfe vnto them in the lande of Egypte: Yee, when I lyfte vp myne hande ouer them, and sayde: I am the Lorde youre God,
Ezek.20.6	euen in the daye that I lyft vp myne hande ouer them, to bringe them out of the lande of Egypte, into a lande that I had prouyded for them, which floweth with mylcke Ꟶ hony, Ꟶ is a pleasaunt lande amonge all other.
Ezek.20.7	Then sayde I vnto them: Cast awaye euery man the abhominacions that he hath before him, and defyle not youre selues with the Idoles of Egypte, for I am the Lorde youre God.
Ezek.20.8	But they rebelled agaynst me, and wolde not folowe me: to cast awaye euery man the abhominacyons of hys eyes, and to forsake the Idoles of Egypte. Then I made me to poure myne indignacyon ouer them, Ꟶ to satisfye my wrath vpon them: yee, euen in the myddest of the lande of Egypte.
Ezek.20.9	But I wolde not do it, for my names sake: that it shulde not be vnhalowed before the Heathen, amonge whom they dwelt, Ꟶ amonge whom I shewed my selfe vnto them, that I wolde brynge them out of the lande of Egypte.
Ezek.20.10	Now when I had caryed them out of the lande of Egypte, and brought them into the wyldernesse:
Ezek.20.11	I gaue them my commaundementes, Ꟶ shewed them my lawes, which whoso kepeth shall lyue in them:
Ezek.20.12	I gaue them also my holy dayes, to be a token betwixte me Ꟶ them, Ꟶ therby to knowe, that I am the Lorde, which halowe them.
Ezek.20.13	And yet the house of Israel rebelled agaynst me in the wyldernesse, they wolde not walcke in my commaundementes, they haue cast a waye my lawes (which whoso kepeth shulde lyue in them) and my Sabboth dayes haue they greatly vnhalowed. Then I made me to poure out myne indignacyon vpon them, Ꟶ to consume them in the wyldernesse.
Ezek.20.14	Yet I wolde not do it, for my names sake: lest it shulde be dishonoured before the Heathen, from the whych I had caryed them awaye.
Ezek.20.15	But I swore vnto them in the wyldernesse, that I wolde not brynge them in to the lande, which I gaue them: a lande that floweth with mylcke and hony, Ꟶ is a pleasure of all landes:
Ezek.20.16	and that because they refused my lawes, and walcked not in my commaundementes, but had vnhalowed my Sabbathes, for their herte was gone after their ydoles.
Ezek.20.17	Neuerthelesse, myne eye spared them, so that I wolde not vtterly slaye them and consume them in the wyldernes.
Ezek.20.18	Moreouer, I sayde vnto their sonnes in the wyldernesse: walcke not in the statutes of youre fore fathers, kepe not their ordinaunces, and defyle not your selues with their ydoles,
Ezek.20.19	for I am the Lorde youre God. But walcke in my statutes, kepe my lawes Ꟶ do them,
Ezek.20.20	halowe my Sabbathes: for they are a token betwixte me Ꟶ you, that ye maye knowe howe that I am the Lorde your God.
Ezek.20.21	Notwythstandynge, their sonnes rebelled agaynst me also: they walked not in my statutes they kepte not my lawes to fulfyll them (which he that doth shall lyue in them) nether halowed they my Sabboth dayes. Then I made me agayne to poure out my indignacion ouer them, Ꟶ to satisfye my wrath vpon them in the wyldernesse.
Ezek.20.22	Neuerthelesse, I wythdrewe my hande for my names sake, lest it shulde be vnhalowed amonge the Heathen, before whom I had brought them forth.
Ezek.20.23	I lyft vp myne hande ouer them also in the wyldernesse, that I wolde scatre them amonge the Heathen, Ꟶ strowe them amonge the nacyons,
Ezek.20.24	because they had not kepte my lawes, but cast asyde my commaundementes, vnhalowed my Sabbathes, and lyft vp their eyes to their fathers Idoles.
Ezek.20.25	Wherfore I gaue them also commaundementes not good, Ꟶ lawes thorowe the whych they shulde not lyue,
Ezek.20.26	Ꟶ I vnhalowed them in their awne giftes (when I appointed for my selfe all their fyrst borne) to make them desolate: that they myght knowe, howe that I am the Lorde.
Ezek.20.27	Therfore (O thou sonne of man, tell the house of Israel, thus sayeth the Lorde God) Besyde all thys, youre fore fathers haue yet blasphemed me more, and greatly offended agaynst me.
Ezek.20.28	For after I had brought them in to the lande, that I promysed to geue them, when they sawe euery hye hyll Ꟶ all the thicke trees: they made there their offrynges, Ꟶ prouoked me wyth their oblacyons, makynge swete sauoures there, and powred out their drinckoffrynges.
Ezek.20.29	Then I asked them what is that hyll altare that ye go to it? And therfore is it called the hye place vnto this daye.
Ezek.20.30	Wherfore, speake vnto the house of Israel: Thus sayeth the Lorde God: ye are euen as vnclene as youre fore fathers Ꟶ commytte whordome also with their abhominacyons.
Ezek.20.31	In all youre ydoles, where vnto ye brynge your oblacyons, and to whose honoure ye burne youre chyldren: ye, defyle youre selues, euen vnto thys daye: howe darre ye then come, and aske any questyon at me? O ye housholde of Israel? As truly as I lyue (sayeth the Lorde God) ye get no answere of me:
Ezek.20.32	and as for the thynge that ye go aboute, it shall not come to passe, where as ye saye: we wyll be as the Heathen, Ꟶ do as other people in the lande, wod and stone wyll we worshyppe.
Ezek.20.33	As truly as I lyue, sayeth the Lord God, I my selfe wyll rule you wt a mightye hande, with a stretched out arme, Ꟶ with indignacyon powred out ouer you:
Ezek.20.34	and will brynge you out of the nacyons and landes, wherin ye are scatred, and gather you together with a myghtye hande, with a stretched out arme Ꟶ wt indignacyon poured out vpon you:
Ezek.20.35	and wyll bringe you in to the wyldernesse of the people, Ꟶ there I will reason with you face to face.
Ezek.20.36	Lyke as I punyshed youre fore fathers in the wildernesse, so will I punyshe you also, sayeth the Lorde God.
Ezek.20.37	I will bringe you vnder my iurisdiccyon, and vnder the bonde of the couenannt.
Ezek.20.38	The forsakers also and the transgressours will I take from amonge you, Ꟶ bringe them out of the lande of youre habitacyon: as for the lande of Israel, they shall not come in it: that you maye knowe howe that I am the Lorde.
Ezek.20.39	Go to nowe then (sayeth the Lorde God) ye house of Israel Euery one of you folowe your ydols, and serue them seynge ye refuse to obeye me. And my holy name shall ye nomore vnhalowe with your offringes and Idoles.
Ezek.20.40	For vpon my holy hyll, euen vpon the hye hill of Israel sayth the Lord God, shall all the house of Israel and all that is in the lande, worshyppe me: and in the same place will I fauoure them, and there will I requyre your heaue offringes and the fyrstlynges of your oblacyons, with all youre holy thynges.
Ezek.20.41	I will accepte youre swete sauoure, when I bringe you from the nacyons, and gather you together out of the landes, wherin ye be scatred: that I maye be halowed in you before the Heathen,
Ezek.20.42	and that ye maye knowe, that I am the Lorde, whych haue brought you into the lande of Israel: yee, into the same lande, that I swore to geue vnto youre forefathers.
Ezek.20.43	There shall ye call to remembraunce your awne wayes Ꟶ all your ymaginacyons, wherin ye haue bene defyled: and ye shall iudge youre selues worthy to be destroyed, for all youre wickednes, that ye haue done.
Ezek.20.44	And ye shall knowe, that I am the Lord: when I entreate you after my name, not after youre wycked wayes, ner accordinge to youre corrupte workes: O ye house of Israel, sayeth the lord.
Ezek.20.45	Moreouer, the worde of the Lorde came vnto me, sayinge:
Ezek.20.46	Thou sonne of man, set thy face towarde the south, Ꟶ speake to the south wynde,
Ezek.20.47	Ꟶ saye to the wod towarde the south: Heare the worde of the Lorde, thus sayeth the Lorde God: Beholde, I wyll kyndle a fyre in the, that shall consume the grene trees with the drye. No man shalbe able to quench hys flame, but all that loketh from the south to the north, shalbe brent therin:
Ezek.20.48	Ꟶ all fleshe shall se, that I the Lorde haue kyndled it, so that no man maye quench it.
Ezek.20.49	Then sayde I: O Lord, they wyll saye of me: Tush, they are but fables, that he telleth.
Ezek.21.1	The worde of the Lord came to me, sayinge:
Ezek.21.2	Thou sonne of man, set thy face towarde Ierusalem, speake agaynst the Sanctuary, and prophecye agaynst the lande of Israel, saye to the lande of Israel.
Ezek.21.3	Thus sayeth the Lorde: Beholde, I wyll vpon the, Ꟶ will drawe my swearde out of the sheath, Ꟶ rote out of the both the ryghtuous Ꟶ the wycked
Ezek.21.4	Seynge then that I will rote out of the both the ryghtuous and wycked, therfore shall my swearde go out of his sheath against all flesh from the north to the south:
Ezek.21.5	that all flesh maye knowe howe that I the Lord haue drawen my swearde out of the sheath, Ꟶ it shall not be put in again
Ezek.21.6	Mourne therfore (O thou sonne of man) that thy loynes crack withall, ye mourne bitterly for them in their presence.
Ezek.21.7	And yf they saye, wherfore mournest thou? Then tell them: for the tidynges that commeth, at the whych all hertes shall melt, all handes shalbe letten downe, all stomackes shall faynte, Ꟶ all knees shall waxe feble. Beholde, it commeth Ꟶ shalbe fulfylled, sayeth the Lorde God.
Ezek.21.8	Agayne, the worde of the Lorde came vnto me, sayinge.
Ezek.21.9	Thou sonne of man, prophecye, and speake. Thus sayeth the Lord God: speake. The swearde, the swearde is sharpened Ꟶ well scoured.
Ezek.21.10	Sharpened is it for the slaughter, Ꟶ scoured that it maye be bryght. Shall we then make myrthe? Agenst the tribe of my sonne it is gone forthe destroyinge all trees.
Ezek.21.11	He hath putt his swearde to the dyghtinge, that good holde maye be taken of it. This swearde is sharpened Ꟶ dyght, that it maye be geuen in to the hande of the manslayer.
Ezek.21.12	Crye (O thou sonne of man, Ꟶ howle, for this swearde shall smyte my people, Ꟶ all the rulers in Israel) my people shalbe fearede thorowe this swearde.
Ezek.21.13	Smite therfore thou vpon thy thyghe, for it is gone forthe to make a tryall. And what a tryall shall this be, when euen my scepter shall be reproued? Yt shall not be sayeth the Lorde God.
Ezek.21.14	Prophecy thou sonne of man, Ꟶ smyte thyne handes together: make the swearde two edged, ye make it thre edged, that manslayers swearde, that swearde of the greate slaughter, whych shall smyte them, euen in their preuychambres:
Ezek.21.15	to make them abashed Ꟶ faynt at the hertes, Ꟶ in all gates to make some of them fall. I haue geuen that fearfull swerde. O howe bryght and sharpe is it, howe well dight Ꟶ mete for the slaughter.
Ezek.21.16	Gett the some place alone, ether vpon the ryght hande or on the lefte, whyther so euer thy face turneth.
Ezek.21.17	I wyll smyte my handes together also Ꟶ satysfye my wrothfull indignacyon: Euen I the Lorde haue sayde it.
Ezek.21.18	The worde of the Lorde came yet vnto me agayne sayinge.
Ezek.21.19	Thou sonne of man, make the two stretes, that the swearde of the kynge of Babylon maye come. Both these stretes shall go out of one kynges lande. And chose the a place, at the heade of the strete chose out a corner.
Ezek.21.20	Make the a strete, that the swearde maye come to warde Rabath of the Ammonites, Ꟶ to the stronge cytie of Ierusalem.
Ezek.21.21	For the kynge of Babylon shall stande in the turnynge of the waye, at the head of the two stretes: to aske councell at the sothe sayers, castinge the lottes wt his arowes, to aske councell at the Idole, and to loke in the lyuer.
Ezek.21.22	But the sothe sayinge shall poynte to the ryght syde vpon Ierusalem, that he maye set men of warre, to smyte it wt a greate noyse, to crye out Alarum, to sett batell rammes agaynst the gates, to graue vp dyches, Ꟶ to make bulworkes.
Ezek.21.23	Neuertheles, as for the sothe sayinge, they shall holde it but for vanite. And esteame them as those to whome they haue often sworne. Notwithstandynge he shall remembre their wyckednesse, so that by ryght they must be taken Ꟶ wonne.
Ezek.21.24	Therfore sayeth the Lorde God. For so moch as ye youre selues shewe your offence, and haue opened youre wickednesse, so that in all youre workes men maye se your synnes: therfore ar ye come to remembrance, and ye shalbe taken by violence.
Ezek.21.25	O thou shamefull wicked guyde of Israel whose daye is come: euen the tyme that wickednesse shall haue en ende.
Ezek.21.26	Thus sayeth the Lorde God: take awaye the garland, Ꟶ put of the crowne, and so is it awaye: the humble is exalted, and the proude brought lowe.
Ezek.21.27	Punyshe, punyshe, yee, punyshe them will I, Ꟶ destroye them: and that shall not be fulfylled vntyll he come, to whom the iudgement belongeth, Ꟶ to whom I haue geuen it.
