Acts.0.0	¶ The Actes of the Apostles.
Acts.7.50	hath not my hand made al these thinges?
Acts.7.51	Ye stiffenecked and of vncircumcised hertes and eares: ye haue allwayes resysted the holy ghost: as youre fathers dyd, so do ye.
Acts.7.52	Which of the prophetes haue not your fathers persecuted? And they haue slaine them which shewed before of the comming of that Iust, whom ye haue nowe betrayd, and murdred.
Acts.7.53	And ye also haue receaued the lawe by the minystracyon of aungels, and haue not kept it.
Acts.7.54	When they heard these thinges, theyr hertes claue asunder, and they gnasshed on him with theyr teth.
Acts.7.55	But he beyng ful of the holy ghost, loked vp stedfastlye wt hys eyes into heauen, and sawe the glorye of God, and Iesus standyng on the ryght hande of God,
Acts.7.56	and sayd: beholde, I se the heauens open, and the sonne of man standyng on the right hand of God.
Acts.7.57	Then they gaue a shout with a loud voyce, and stopped theyr eares, and ranne vpon him all at once,
Acts.7.58	and cast hym out of the cytie, and stoned him. And the witnes layd downe theyr clothes at a yong mannes fete, whose name was Saul.
Acts.7.59	And they stoned Steuen callynge on and sayinge: Lorde Iesu, receaue my sprete.
Acts.7.60	And he kneled downe Ꟶ cryed with a loude voyce: Lorde, laye not thys synne to theyr charge. And when he had thus spoken, he fell a slepe.
Acts.8.1	Saul consented vnto hys death. And at that tyme there was a greate persecucyon agaynst the congregacyon which was at Ierusalem, and they were all scatered abrode thorowout the regyons of Iewry and Samaria, except the apostles.
Acts.8.2	But deuout men dressed Steuen, and made great lamentacyon ouer hym.
Acts.8.3	As for Saul he made hauocke of the congregacyon, and entred into euery house, and drew out both men and women, and thrust them into preson.
Acts.8.4	Therfore, they that were scatered abrode, went euery where preachyng the worde of God.
Acts.8.5	Then came Philip into a cytie of Samaria, Ꟶ preached Christ vnto them.
Acts.8.6	And the people gaue hede vnto those thynges which Philip spake wt one accord, hearyng Ꟶ seyng the myracles whych he dyd.
Acts.8.7	For vncleane spretes cryinge with loude voyce, came out of many that were possessed of them. And many taken wt palsyes, Ꟶ many that halted, were healed.
Acts.8.8	And ther was great ioye in that cyte.
Acts.8.9	But ther was a certen man called Symo, which before tyme in the same cytye vsed witchecrafte, and bewitched the people of Samary, saying that he was a man that coulde do great thynges.
Acts.8.10	Whom they regarded, from the lest to the greatest, sayinge: this man is the power of God, which is called greate.
Acts.8.11	And him they sett moche by, because that of longe tyme he had bewitched them with sorceries.
Acts.8.12	But assone as they gaue credence to Philippes preachyng of the kyngdome of God, Ꟶ of the name of Iesu Christ, they were baptysed both men Ꟶ wemen.
Acts.8.13	Then Simon hym selfe beleued also. And whan he was baptised, he continued wt Philip, and wondred, beholding the miracles Ꟶ sygnes, which were shewed.
Acts.8.14	When the apostles which were at Ierusalem herd saye, that Samary had receaued the word of God, they sent vnto them Peter Ꟶ Iohn.
Acts.8.15	Which whan they were come downe, prayed for them, that they might receaue the holy ghost.
Acts.8.16	For as yet he was come on no one of them: but they were baptysed onely in the name of Christ Iesu.
Acts.8.17	Then layd they their handes on them, Ꟶ they receaued the holy ghos
Acts.8.18	When Simon sawe that thorow laying on of the apostles handes, the holy ghost was geuen, he offered them money,
Acts.8.19	saying: geue me also this power, that on whomsoeuer I put the handes, he maye receaue the holy ghost.
Acts.8.20	But Peter sayd vnto him: thy money perisshe with the, because thou hast thought that the gift of God maye be obteyned with money.
Acts.8.21	Thou hast nether parte, nor felowshyp in thys busynes. For thy hert is not ryght in the syght of God.
Acts.8.22	Repente therfore of thys thy wyckednes, Ꟶ praye God, that the thought of thyne herte maye be forgeuen the.
Acts.8.23	For I perceaue that thou art full of bitter gall, and wrapped in iniquite.
Acts.8.24	Then answered Simon Ꟶ sayde: praye ye to the Lorde for me, that none of these thynges which ye haue spoken, fall on me.
Acts.8.25	And they when they had testifyed and preached the worde of God, returned towarde Ierusalem, and preached the gospell in many cyties of the Samaritans.
Acts.8.26	The aungell of the Lorde spake vnto Philip, saying: aryse, Ꟶ go toward the south vnto the waye that goeth downe from Ierusalem vnto the cyte of Gaza, which is in the desert.
Acts.8.27	And he arose, Ꟶ went on. And behold, a man of Ethiopia (a chamberlene, Ꟶ of greate auctorite with Candace quene of the Ethiopians, Ꟶ had the rule of al her treasure came to Ierusalem for to worshyp.
Acts.8.28	And as he returned home agayne syttinge in hys charet, he red Esay the prophete.
Acts.8.29	Then the sprete sayd vnto Philip: go neare, and ioyne thy self to yonder charet.
Acts.8.30	And Philip ran to hym, and heard him reade the prophete Esay, and sayd: Understandest thou what thou readest?
Acts.8.31	And he said: How can I, except I had a gyde? And he desyred Philip, that he wolde come vp, and sytt with hym.
Acts.8.32	The tenoure of the scripture which he read, was this: He was led as a shepe to be slayne: and lyke a lambe domme before his shearer, so opened he not his mouth.
Acts.8.33	Because of hys humblenes, he was not estemed. But who shal declare hys generacion? for his lyfe is taken from the earth.
Acts.8.34	The chamberlayn answered Philip, and sayd: I praye the of whom speaketh the prophete thys? of hym selfe, or of some other man?
Acts.8.35	Philip opened hys mouth, and began at the same scripture, and preached vnto hym Iesus.
Acts.8.36	And as they went on theyr waye, they cam vnto a certen water, and the chamberlayne said: Se, here is water what doth let me to be baptysed?
Acts.8.37	Philip sayde vnto him: If thou beleue with all thyne hert, thou mayest. And he answered, and sayde: I beleue that Iesus Christ is the sonne of God.
Acts.8.38	And he commaunded the charet to stande styll. And they went downe both into the water: both Philip and also the chamberlayn, and he baptysed hym.
Acts.8.39	And assone as they were come out of the water, the sprete of the Lord caught awaye Philip, and the chamberlayn sawe him nomore. And he went on hys waye reioysinge:
Acts.8.40	but Philip was founde at Azotus. And he walked thorowout the countre, preaching in all the cyties, tyll he came to Cesarea.
Acts.9.1	And Saul yet brethyng out threatnynges and slaughter agaynst the disciples of the Lorde, wente vnto the hye preste,
Acts.9.2	and desyred of hym letters, to cary to Damasco, to the synagoges. that yf he founde any of thys waye, (whyther they were men or wemen) he myght brynge them bounde vnto Ierusalem.
Acts.9.3	And when he iornyed, it fortuned that as he was nye to Damasco, sodenly their shyned round about hym a lyght from heauen,
Acts.9.4	and he fell to the earth and hearde a voyce, sayinge to him: Saul Saul, why persecutest thou me?
Acts.9.5	And he sayde: what art thou Lorde? And the Lorde sayd: I am Iesus, whom thou persecutest. It is hard for the to kycke against the pryckes.
Acts.9.6	And he both tremblynge, Ꟶ astonyed sayde: Lorde, what wylt thou haue me to do? And the Lord sayd vnto hym: aryse, and go into the cytie, and it shalbe told the, what thou must do.
Acts.9.7	The men which iorneyed with hym, stode amased, hearynge a voyce, but seynge no man.
Acts.9.8	And Saul arose from the earth, Ꟶ when he opened his eyes, he sawe no man. But they led him by the hande, and brought hym into Damasco.
Acts.9.9	And he was thre dayes without syght, and nether dyd eate nor dryncke.
Acts.9.10	And ther was a certen disciple at Damasco, named Ananias, and to him sayd the Lord in a visyon: Ananias? And he sayd: behold, I am here Lorde.
Acts.9.11	And the Lorde sayde vnto hym: aryse, and go into the strete (whych is called strayght) and seke in the house of Iudas after one called Saul of Tharsus. For beholde, he prayeth,
Acts.9.12	and hath sene in a vision a man named Ananias comyng into him, and puttyng hys handes on hym, that he myght receaue his syght.
Acts.9.13	Then Ananias answered: Lorde, I haue heard by many of this man how moch euyll he hath done to thy sayntes at Ierusalem:
Acts.9.14	Ꟶ here he hath auctoryte of the hye prestes, to bynde all that call on thy name.
Acts.9.15	The Lorde vnto him: go thy waye, for he is a chosen vessel vnto me, to beare my name before the Gentyls, and kynges, and the chyldren of Israel.
Acts.9.16	For I wyll shewe hym, how greate thinges he must suffre for my names sake.
Acts.9.17	And Ananias went his waye, and entred into the house, and put hys handes on hym, and sayd: brother Saul, the Lord that apperyd vnto the in the waye as thou camest, hath sent me, that thou myghtest receaue thy syght, and be fylled with the holy ghost.
Acts.9.18	And immediatly ther fell from hys eyes as it had bene scales and he receaued syght: and arose, and was baptised,
Acts.9.19	and receaued meate and was comforted. Then was Saul a certen dayes with the disciples which were at Damasco.
Acts.9.20	And straight waye he preached Christ in the Sinagoges, howe that he was the sonne of God,
Acts.9.21	but all that heard him, were amased, Ꟶ sayd: is not this he, that spoyled them which called on this name in Ierusalem, and came hyther for that entent, that he myght bring them bounde vnto the hye prestes?
Acts.9.22	But Saul encreased the more in strength, Ꟶ confounded the Iewes which dwelt at Damasco, affyrminge that this was very Christ.
Acts.9.23	And after a good whyle, the Iewes toke councell together, to kill him.
Acts.9.24	But their layinge awayte was knowen of Saul. And they watched the gates daye and nyght to kyll him.
Acts.9.25	Then the disciples toke him by night and put hym thorowe the wall, and let hym downe in a basket.
Acts.9.26	And when Saul was come to Ierusalem, he assaide to couple him selfe to the disciples: but they were all afrayde of hym, Ꟶ beleued not that he was a disciple.
Acts.9.27	But Barnabas toke hym, Ꟶ brought hym to the apostles, Ꟶ declared to them, howe he had sene the Lorde in the waye, and that he had spoken to him, Ꟶ how he had done boldely at Damasco in the name of Iesu.
Acts.9.28	And he had hys conuersacyon with them at Ierusalem,
Acts.9.29	speakynge boldly in the name of the Lorde Iesu. And he spake Ꟶ disputed agaynst the Grekes: but they wente about to slee hym.
Acts.9.30	Which when the brethren knewe, they brought hym to Cesarea, and sent him forth to Tharsus.
Acts.9.31	Then had the congregacyons rest thorowout all Iewry, and Galile, and Samary, and were edifyed, and walked in the feare of the Lord, and multyplied by the comfort of the holy ghost.
Acts.9.32	And it chaunsed as Peter walked through out all quarters, he cam also to the saynctes, which dwelt at Lydda.
Acts.9.33	And there he founde a certen man name Eneas, which had kepte his beed eyght yeares, and was sycke of the palsye.
Acts.9.34	And Peter sayde vnto hym: Eneas? The Lord Iesu Christ make the whole: aryse, and make thy beed. And he arose immediatly.
Acts.9.35	And all that dwelt at Lidda and Assaron sawe him, and tourned to the Lorde.
Acts.9.36	There was at Ioppa a certen woman, a disciple named Tabitha (which by interpretacyon is called Dorcas) the same was full of good workes and almes dedes, which she dyd.
Acts.9.37	And it chaunsed in those dayes that she was sycke, Ꟶ dyed. Whom when they had wesshed, they layd her in a chamber.
Acts.9.38	But for as moch as Lydda was nye to Ioppa, and the disciples had heard that Peter was there, they sent vnto him, desyringe him, that he wolde not be greued to come vnto them.
Acts.9.39	Peter arose, Ꟶ came with them. And when he was come, they brought him into the chamber. And all the widdowes stode round about him, wepynge, and shewyng the coates and garmentes, which Dorcas made, whyle she was with them.
Acts.9.40	And Peter put them all forth, and kneled downe, and prayde. and turned him to the body, and sayd: Tabitha, aryse. And she opened her eyes, and when she sawe Peter, she sat vp.
Acts.9.41	And he gaue her the hand. and lyft her vp. And whan he had called the saynctes and widdowes, he shewed her alyue.
Acts.9.42	And it was knowne thorowout al Ioppa, Ꟶ many beleued on the Lorde.
Acts.9.43	And it fortuned, that he taryed many dayes in Ioppa, with one Simon a tanner.
Acts.10.1	There was a certen man in Cesarea called Cornelius, a captayn of the soudyers of Italy,
Acts.10.2	a deuote man, Ꟶ one that feared God with all hys housholde, which gaue moch almes to the people, and prayde God all waye.
Acts.10.3	The same sawe by a vision euidently (about the ninth houre of the daye) an angel of God commynge into him, and sayinge vnto him: Cornelius?
Acts.10.4	When he loked on hym, he was afrayde, and sayd: what is it Lorde? He sayde vnto him: Thy prayers Ꟶ thy almeses are come vp into remembraunce before God.
Acts.10.5	And now sende men to Ioppa, Ꟶ call for one Symon, whose syrname is Peter.
Acts.10.6	He lodgeth wt one Simon a tanner, whose house is by the see syde. He shall tell the, what thou oughtest to do.
Acts.10.7	And when the angell which spake vnto hym, was departed, he called two of hys housholde seruauntes, and a deuoute soudier of them that wayted on him,
Acts.10.8	and tolde them all the matter, and sent them to Ioppa.
Acts.10.9	On the morowe as they went on their iorney, and drewe ny vnto the cytie, Peter went vp vpon the toppe of the house to praye, about the syxt houre.
Acts.10.10	And when he wexed an hongred, he wolde haue eaten. But whyle they made ready, he fell into a traunce,
Acts.10.11	and sawe, heauen opened, and a certen vessell come downe vnto hym, as it had bene a great shete, knyt at the foure corners, and was let downe to the earth,
Acts.10.12	wherin were all maner of fourfoted beastes of the earth, Ꟶ vermen and wormes Ꟶ foules of the ayer.
Acts.10.13	And ther came a voyce to him, rise Peter, kyl Ꟶ eate.
Acts.10.14	But Peter sayd: not so Lorde, for I haue neuer eaten eny thinge that is commen or vncleane.
Acts.10.15	And the voyce spake vnto him agayne the second tyme: what God hath clensed, that call not thou commen.
Acts.10.16	This was done threse, and the vessell was receaued vp agayne into heauen.
Acts.10.17	Whyle Peter also mused in him self what thys visyon (which he had sene) meant: beholde, the men which were sent from Cornelius had made inquirance for Simons house, and stode before the dore:
Acts.10.18	and called out one, and asked whether Simon which was syrnamed Peter were lodged there.
Acts.10.19	Whyle Peter thought on the visyon, the sprete sayd vnto him: behold, men seke the:
Acts.10.20	aryse therfore, and get the downe, Ꟶ go with them, Ꟶ dowte not for I haue sent them.
Acts.10.21	Peter went downe to the men which were sent vnto hym from Cornelius and sayd: Behold, I am he whom ye seke, what is the cause wherfore ye are come?
Acts.10.22	They sayd: Cornelius the captayne a iust man, and one that feareth God, Ꟶ of good reporte amonge all the people of the Iewes, was warned by an holy angell to sende for the into his house, Ꟶ to heare wordes of the.
Acts.10.23	Then called he them in, and lodged them. And on the morowe, Peter went awaye with them, and certayn brethren from Ioppa accompanyed hym.
Acts.10.24	And the thyrde daye entred they into Cesarea. And Cornelius wayted for them, and had called togeather hys kynsmen, and speciall frendes.
Acts.10.25	And as it chaunsed Peter to come in, Cornelius mete hym, and fell downe at hys fete, Ꟶ worshypped hym.
Acts.10.26	But Peter toke hym vp, sayinge: stande vp, I my selfe also am a man.
Acts.10.27	And as he talked with him, he came in, and founde many that were come together.
Acts.10.28	And he sayde vnto them: Ye knowe how that it is a vnlawful thinge for a man that is a Iewe, to company or come vnto an alient: but God hath shewed me, that I shulde not call any man commen or vncleane:
Acts.10.29	therfore came I vnto you without delaye, assone as I was sent for. I aske therfore, for what intent haue ye sent for me.
Acts.10.30	And Cornelius sayd: This daye now .iiij. dayes about this houre, I sat fasting, and at the nynthe houre I prayde in my house: and behold, a man stode before me in bryght clothynge,
Acts.10.31	and sayde: Cornelius, thy prayer is heard, and thyne almes dedes are had in remembraunce in the syght of God.
Acts.10.32	Sende men therfore to go to Ioppa, and call for Symon, whose syrname is Peter. He is lodged in the house of one Symon a tanner by the see syde: which assone as he is come, shall speake vnto the.
Acts.10.33	Then sent I for the immediatly, Ꟶ thou hast well downe, that thou art come. Nowe therfore are we all here present before God, to heare all thinges that are commaunded vnto the of God.
Acts.10.34	Then Peter opened his mouth, and sayde: Of a treuth I perceaue that there is no respect of persones with God,
Acts.10.35	but in all people, he that feareth hym, and worketh ryghtewesnes, is accepted with him.
Acts.10.36	Ye knowe the preachynge that God sent vnto the children of Israel, preachyng peace by Iesu Christ, which is Lord ouer all thynges.
Acts.10.37	Which preachynge was publisshed thorowout all Iewry (and began in Galile, after the baptyme which Iohn preached)
Acts.10.38	how God anoynted Iesus of Nazareth wt the holy ghost, and with power. Which Iesus went about doynge good, and healynge all that were oppressed of the deuyll, for God was with him.
Acts.10.39	And we are witnes of all thinges which he dyd in the lande of the Iewes and at Ierusalem: whom they slewe, and hanged on tre.
Acts.10.40	Him God raysed vp the thyrd daye, Ꟶ shewed him openly,
Acts.10.41	not to all the people, but vnto vs witnesses (chosen before of God for the same intent) which dyd eate Ꟶ dryncke wt him, after he arose from deeth.
Acts.10.42	And he commaunded vs to preach vnto the people, and to testify that it is he, which was ordened of God to be the iudge of quycke and deed.
Acts.10.43	To hym geue all the prophetes witnes, that thorowe hys name whosoeuer beleueth in him, shall receaue remissyon of synnes.
Acts.10.44	Whyle Peter yet spake these wordes, the holy ghost fell on all them which heard the preachyng.
Acts.10.45	And they of the circumcisyon which beleued, were astonnied, as many as came with Peter, because that on the Gentils also was shed out the gyft of the holy ghost.
Acts.10.46	For they hearde them speake with tonges, Ꟶ magnify God. Then answered Peter:
Acts.10.47	can eny man forbyd water, that these shuld not be baptysed, which haue receaued the holy ghost as well as we?
Acts.10.48	And he commaunded them to be baptysed in the name of the Lord. Then prayd they him, to tary a few dayes.
Acts.11.1	And the Apostles and brethren that were in Iewry, heard that the heathen had also receaued the word of God.
Acts.11.2	And when Peter was come vp to Ierusalem. they that were of the circumcision contended against hym,
Acts.11.3	sayng: Thou wentest into men vncircumcised, and dydest eate with them.
Acts.11.4	But Peter rehearsed the matter from the begynning, and expounded it by order vnto them, sayinge:
Acts.11.5	I was in the cytie of Ioppa, praying: and in a traunce, I sawe a visyon, a certen vessel descende, as it had bene a great shete, let downe from heauen by the foure corners, Ꟶ it came to me.
Acts.11.6	Into the which when I had fastened myne eyes, I considred, Ꟶ sawe fourfoted beastes of the earth, and vermen and wormes, and foules of the ayer.
Acts.11.7	And I heard a voyce saying vnto me: aryse Peter, sley, and eate.
Acts.11.8	But I sayde: not so Lorde, for nothynge comen or vncleane hath at eny tyme entred into my mouth.
Acts.11.9	But the voyce answered me agayne from heauen: count not thou those thinges comen, which God hath clensed
Acts.11.10	And this was done thre tymes. And all were taken vp agayne into heauen.
Acts.11.11	And beholde, immediatly ther were thre men all ready come vnto the house where I was, sent from Cesarea vnto me.
Acts.11.12	And the spyrite sayd vnto me, that I shuld go with them, without doutynge. Moreouer, these syxe brethren accompanyed me, and we entred into the mans house.
Acts.11.13	And he shewed vs, howe he had sene an aungel in his house, which stode and sayd to him: send men to Ioppa, and call for Simon, whose syrname is Peter:
Acts.11.14	he shall tell the wordes, wherby both thou and all thyne house shalbe saued.
Acts.11.15	And as I beganne to preach, the holy ghost fell on them, as he dyd on vs at the begynninge.
Acts.11.16	Then came it to my remembraunce, howe that the Lorde sayd: Iohn baptised wt water, but ye shalbe baptised with the holy ghost.
Acts.11.17	For asmoch then as God gaue them lyke gyftes, as he dyd vnto vs, when we beleued on the Lord Iesus Chryst: what was I, that I shulde haue withstande God?
Acts.11.18	When they heard this, they helde theyr peace, and glorifyed God, sayinge: then hath God also to the Gentyls graunted repentaunce vnto lyfe.
Acts.11.19	They also which were scattred abrode thorow the affliccyon that arose about Steuen, walked thorowout vnto Phenices and Cypers, and Antioche, preachinge the worde to no man, but vnto the Iewes onely
Acts.11.20	some of them were men of Cypers Ꟶ Siren: which when they were come to Antioche, spake vnto the Grekes, and preached the Lorde Iesus.
Acts.11.21	And the hande of the Lorde was with them, Ꟶ a greate nombre beleued and turned vnto the Lorde.
Acts.11.22	Tydinges of these thinges came vnto the eares of the congregacyon, which was in Ierusalem. And they sent forth Barnabas, that he shulde go vnto Antioche.
Acts.11.23	Which when he came, Ꟶ had sene the grace of God, was glad, Ꟶ exhorted them all, that with purpose of hert, they wold contynually cleaue vnto the Lord.
Acts.11.24	For he was a good man, and full of the holy ghost Ꟶ of faith: and moch people was added vnto the Lorde.
Acts.11.25	Then departed Barnabas to Tharsus, for to seke Saul.
Acts.11.26	And when he had founde him, he brought him vnto Antioche. And it chaunsed that a whole yeare they had their conuersacion with the congregacion there, and taught moch people: in so moch, that the discyples of Antioche were the fyrst that were called Christen.
Acts.11.27	In those dayes came prophetes from the cytie of Ierusalem vnto Antioche.
Acts.11.28	And there stode vp one of them named Agabus, and sygnifyed by the sprete, that there shuld be greate derth thorow out all the world, which came to passe in the Emperoure Claudius dayes.
Acts.11.29	Then the disciples euery man accordynge to his abylyte, purposed to sende socour vnto the brethren which dwelt in Iewry.
Acts.11.30	Which thinge they also dyd, and sent it to the elders by the handes of Barnabas and Saul.
Acts.12.1	At the same tyme Herode the kyng stretched forth hys handes to vexe certen of the congregacyon.
Acts.12.2	And he kylled Iames the brother of Iohn with the swerd.
Acts.12.3	And because he sawe that it pleased the Iewes, he proceded farther, and toke Peter also. Then were the dayes of swet bread.
Acts.12.4	And when he had caught hym, he put him in preson also, Ꟶ delyuered him to .iiij. quaternions of soudiers to be kepte, entendynge after Ester to bringe him forth to the people.
Acts.12.5	And Peter was kepte in preson. But prayer was made without ceasynge of the congregacyon, vnto God for hym.
Acts.12.6	And when Herode wolde haue brought him oute vnto the people, the same nyght slepte Peter betwene two soudiers, bounde with two chaynes, and the kepers before the dore kepte the preson.
Acts.12.7	And behold, the angel of the Lord was ther present, and a lyght shyned in the habytacyon. And he smote Peter on the syde, and steryd him vp, sayinge: aryse vp quickly. And his cheynes fel of from his handes.
Acts.12.8	And the angel sayd vnto hym: gyrde thy selfe, and bynde on thy sandales. And so he dyd. And he sayth vnto him: cast thy garment about the, Ꟶ folowe me.
Acts.12.9	And he came out Ꟶ folowed him, and wyst not that it was trueth which was done by the angell, but thought he had sene a visyon.
Acts.12.10	When they were past the fyrst and the seconde watch, they came vnto the yron gate, that leadeth vnto the cytie, whych opened to them by the awne accorde. And they went oute, and passed thorow one strete, and forth with, the angell departed from him.
Acts.12.11	And whan Peter was come to him selfe, he sayd: nowe I knowe of a surety, that the Lorde hath sent his angell, and hath delyuered me out of the hande of Herode, and from all the wayting for, of the people of the Iewes.
Acts.12.12	And as he consydred the thynge, he came to the house of Mary the mother of one Iohn, whose syrname was Marke, where many were gathered togeather in prayer.
Acts.12.13	As Peter knocked at the entry dore, a damsell came forth to herken, named Rhoda.
Acts.12.14	And when she knew Peters voyce, she opened not the entry for gladnes, but ran in, Ꟶ told how Peter stode before the entry.
Acts.12.15	And they sayde vnto her: thou art mad: But she affirmed that it was euen so. Then sayd they: it is hys angel.
Acts.12.16	But Peter contynued knockinge: Ꟶ when they had opened the dore, and sawe him, they were astonyed.
Acts.12.17	And whan he had beckned vnto them with the hande, that they myght holde theyr peace, he tolde them by what meanes the Lorde had brought him out of the preson. And he sayde: go shewe these thinges vnto Iames and to the brethren. And he departed, and went into another place.
Acts.12.18	Assone as it was daye, ther was no littel ado among the soudiers, what was become of Peter.
Acts.12.19	When Herode had sought for him, and founde hym not, he examined the kepers, and commaunded them to be caryed awaye. And he descended from Iewry to Cesarea, Ꟶ ther aboode.
Acts.12.20	Herode was displeased wt them of Tyre and Sidon. But they came all with one accorde, Ꟶ made intercession vnto Blastus the kynges chamberlayne, and desyred peace, because their countre was norysshed by the kynges prouysyon.
Acts.12.21	And vpon a daye appoynted, Herode arayed him in royall apparell, and sett hym in hys seate, and made an oracion vnto them.
Acts.12.22	And the people gaue a showte, sayinge: it is the voyce of a God Ꟶ not of a man.
Acts.12.23	And immediatly the angell of the Lorde smote hym, because he gaue not God the honour, and he was eaten of wormes and gaue vp the ghost.
Acts.12.24	And the worde of God grewe and multiplyed.
Acts.12.25	And Barnabas and Paul returned to Ierusalem, when they had fulfylled their offyce, and toke wt them Iohn whose syrname was Marke.
Acts.13.1	There were in the congregacyon that is at Antioche, certayn prophtes, and teachers: as Barnabas and Simon that was called Niger, and Lucius of Cerene and Manahen, Herode the Tetrarkes norsfelow, and Saul.
Acts.13.2	As they ministred to the Lorde and fasted, the holy ghost saide: separate me Barnabas and Saul, for the worcke wherunto I haue called them.
Acts.13.3	And whan they had fasted and prayed, and layde their handes on them, they let them go.
Acts.13.4	And they after they were sent forth of the holy ghost, departed vnto Seleutia, Ꟶ from thence they sayled to Ciprus.
Acts.13.5	And when they were at Salamine, they shewed the word of God in the sinagoges of the Iewes. And they had Iohn to theyr minyster.
Acts.13.6	When they had gone thorow the yle vnto Paphos, they founde a certayne sorcerer, (a false prophet, a Iewe) whose name was Bariesu,
Acts.13.7	which was with the ruler of the countre one Sergius Paulus a prudent man. The same ruler called vnto hym Barnabas and Saul, and desyred to heare the worde of God.
Acts.13.8	But Elymas the sorcerar (for so is hys name by interpretacion) with stode them, and sought to turne awaye the ruler from the faith.
Acts.13.9	Then Saul (which also is called Paul) beynge full of the holy ghost, set hys eyes on him,
Acts.13.10	and sayde. O full of all suttelty and disseytfulnesse, thou chylde of the deuyll, thou enemy of all righteousnes: wilt thou not cease to peruerte the strayght wayes of the Lorde?
Acts.13.11	And now beholde, the hande of the Lorde is vpon the, and thou shalt be blynde, and not se the sunne for a ceason. And immediatly, there fell on hym a myste and a darcknes, and he went about, sekynge them that shuld leade hym by the hande.
Acts.13.12	Then the rular when he sawe what had happened beleued, Ꟶ wondred at the doctryne of the Lorde.
Acts.13.13	When Paul departed from Paphos, they that were with him, came to Perga in Pamphilia: and Iohn departed from them, and returned to Ierusalem.
Acts.13.14	But they wandred thorow the countres, and came from Perga to Antioche in Pisidia, and wente into the synagoge on the saboth daye, and sate downe.
Acts.13.15	And after the lecture of the lawe and the prophetes, the rulers of the synagoge sente vnto them, sayinge: Ye men and brethren, yf ye haue eny sermon to exhorte the people, saye on.
Acts.13.16	Then Paul stode vp, and beckened with the hande for sylence, and sayde: Men of Israell, and ye that feare God, geue audience.
Acts.13.17	The God of this people chose oure fathers, and exalted the people, when they dwelt as straungers in the land of Egipt, and with a hye arme brought he them oute of it,
Acts.13.18	and about the tyme of fourtye yeares, suffred he theyr maners in the wyldernes.
Acts.13.19	And he destroyed seuen nacyons in the lande of Canaan, and deuyded theyr land to them by lot.
Acts.13.20	And afterwarde, he gaue vnto them iudges about the space of foure hundred and fyftye yeares, vnto the tyme of Samuell the prophete.
Acts.13.21	And afterwarde, they desyred a kynge, and God haue vnto them Saul the sonne of Cis, a man of the trybe of Beniamin, by the space of fourty yeares.
Acts.13.22	And whan he was put downe, he sett vp Dauid to be theyr kynge, of whom he repported saying: I haue founde Dauid the sonne of Iesse, a man after myne awne hert, which shall fulfyll all my wyll.
Acts.13.23	Of this mannes seed hath God (accordynge as he had promysed) brought forth to Israell, a sauioure, one Iesus,
Acts.13.24	when Iohn had fyrst preached before his commynge the baptyme of repentaunce to Israel.
Acts.13.25	And when Iohn had fulfilled his course, he sayd: whom ye thynke that I am, the same am I not. But behold, ther cometh one after me, whose shoes of his fete I am not worthy to loose.
Acts.13.26	Ye men and brethren, chyldren of the generacyon of Abraham, and whosoeuer among you feareth God, to you is thys worde of saluacyon sent.
Acts.13.27	For the inabiters of Ierusalem and theyr rulers, because they knew him not, nor yet the voyces of the prophetes which are redde euery Saboth daye, they haue fulfylled them, in condempnynge him.
Acts.13.28	And when they founde no cause of deeth in hym, yet desyred they Pylate to kyll hym.
Acts.13.29	And whan they had fulfylled all that were wryten of him, they toke him downe from the tree, and put hym in a sepulchre.
Acts.13.30	But God raysed him agayne from death,
Acts.13.31	and he was sene many dayes of them whych came vp with hym from Galile to Ierusalem: Which are hys wytnesses vnto the people.
Acts.13.32	And we declare vnto you, how that the promesse (whych was made vnto the fathers)
Acts.13.33	God hath fulfilled vnto their children (euen vnto vs) in that he raysed vp Iesus agayne. euen as it is writen in the fyrst psalme: Thou art my sonne, this daye haue I begoten the.
Acts.13.34	As concernynge that he raysed him vp from death, now nomore to returne to corrupcion he sayd on thys wyse: The holy promyses made to Dauid, wyl I geue faythfully to you.
Acts.13.35	Wherfore, he sayeth also in another place. Thou shalt not suffre thyne holy to se corrupcyon.
Acts.13.36	For Dauid (after he had in hys tyme fulfylled the wyll of God) fell on slepe, and was layde vnto hys fathers, and sawe corrupcyon.
Acts.13.37	But he whom God raysed agayn sawe no corrupcyon.
Acts.13.38	Be it knowne vnto you therfore (ye men and brethren) that thorowe thys man is preached vnto you the forgeuenes of sinnes,
Acts.13.39	and that by hym, all that beleue, are iustyfyed from all thynges, from which ye coulde not be iustifyed by the lawe of Moses.
Acts.13.40	Beware therfore, lest that fall on you, which is spoken of in the prophetes:
Acts.13.41	Behold, ye despysers, and wonder, and peryssh ye: for I do a worke in youre dayes, which ye shall not beleue, though a man declare it you.
Acts.13.42	When the Iewes were gone out of the congregacyon, the Gentyls besought that they wolde preache the word to them the next Saboth.
Acts.13.43	When the congregacyon was broken vp, many of the Iewes and verteous proselytes folowed Paul and Barnabas, which spake to them: Ꟶ exhorted them to continue in the grace of God.
Acts.13.44	And the next Saboth daye cam almost the whole cytie together, to heare the worde of God.
Acts.13.45	But when the Iewes sawe the people, they were full of indignacion Ꟶ spake agaynst those thynges, which were spoken of Paul, spekynge agaynst it, Ꟶ raylinge on it:
