Judg.0.0	¶ The boke of Iudges, called in the Hebrue Sophtim and in the Latin Iudicum.
Judg.7.9	And it fortuned that the same nyght the Lorde sayd vnto him: Aryse, get the downe vnto the hoste, for I haue delyuered it into thyne hande.
Judg.7.10	But Ꟶ yf thou feare to go downe, then go thou Ꟶ Pharah thy ladde downe to the hoost,
Judg.7.11	Ꟶ thou shalt herken what they saye, Ꟶ so shall thyne handes be strong, to go downe vnto the hoste. Then went he downe and Pharah hys ladde, euen harde vnto the men of armes that were in the hoste.
Judg.7.12	And the Madianites, the Amalekites, and all they of the East, lay a longe in the valeye, lyke a multitude of greshopers, and their camelles were without nombre, euen as the sande by the see syde in multitude.
Judg.7.13	And when Gedeon was come: Beholde, there was a man that tolde a dreame vnto his neyhgboure, Ꟶ sayde: Behold, I dreamed a dreame, and me thought that a loffe of barley bread, tombled into the hoste of Madian, and came vnto a tente, and smote it that it felle, Ꟶ ouerturned it, that the tente laye a longe.
Judg.7.14	And his felowe answerd and sayde: this is nothing elles saue the swerde of Gedeon the sonne of Ioas a man of Israell: for into his hande hath God delyuered Madian, and all the hoste.
Judg.7.15	When Gedeon hearde the tellynge of the dreame, and the interpretacion of the same, he worshypped, and returned vnto the hoste of Israel: and sayde: vp, for the Lorde hathe delyuered into youre hande the hoste of Madian.
Judg.7.16	And he deuyded the thre hundred men into thre companies, Ꟶ gaue euery man a trompet in his hande, wyth an emptye pytcher, and lampes theri,
Judg.7.17	and sayde vnto them: loke on me, and do lykewyse: that when I come to the syde of the hoste, euen as I do, so do you:
Judg.7.18	When I blowe wyth a trompet and all that are wyth me, blowe ye with trompettes also on euery syde of the hoste, Ꟶ saye: here is the swerde of the Lorde and of Gedeon.
Judg.7.19	And so Gedeon Ꟶ the thre hundred men that were with him, came vnto the syde of the host in the begynning of the myddell watche, Ꟶ reysed vp the watche men. And they blewe with their trompettes, Ꟶ brake the pytchers that were in theyr handes.
Judg.7.20	And all the thre companyes blewe wt trompettes Ꟶ brake the pytchers, Ꟶ helde the lampes in their lefte handes, and the trompettes in their ryght, to blowe wythall. And they cried: the swerde of the Lord and of Gedeon.
Judg.7.21	And they stode still, euery man in his place rounde about the hoste. And they wythin the hoste, ranne, Ꟶ cryed Ꟶ fled.
Judg.7.22	And the thre hundreth blewe wyth trompettes, Ꟶ the Lorde sett euery mannes swerde vpon hys neyghboure, thorow out all the hoste. And the hoste fled to Bethsitah, to zererath, Ꟶ to the edge of the playne of Meholah vnto Tabath.
Judg.7.23	And the men of Israel beynge geathered together out of the trybe of Nephthalim, of Aser, Ꟶ of all Manasses folowed after the Madianites.
Judg.7.24	And Gedeon sent messengers vnto all mount Ephraim, saying: come downe against the Madianites, Ꟶ take before them the waters vnto Bethbarath Ꟶ to Iordan. Then all the men of Ephraim geathered together, Ꟶ toke the waters vnto Bethbarath, Ꟶ to Iordan.
Judg.7.25	And they toke two captaynes of the Madianites, Oreb and zeb, and slew Oreb vpon the rocke Oreb, and zeb at the presse zeb, Ꟶ folowed after Madian. And brought the heades of Oreb and zeb, to Gedeon on the other syde Iordan.
Judg.8.1	And the men of Ephraim sayde vnto hym: why hast thou serued vs thus, that thou calledst vs not, when thou wentest to fyght with the Madianites? And they chode with hym a good.
Judg.8.2	And he sayde vnto them: What dede haue I done lyke vnto youres: is not a cluster of Ephraim better, then the wyne heruest of Abiezer?
Judg.8.3	God hath delyuered into youre handes the Lordes of Madian, Oreb and zeb. And what was I able to do lyke as you haue done? And then their spirites abated from of him, when he had sayde that.
Judg.8.4	And Gedeon came to Iordan to passe ouer, he Ꟶ the thre hundred men that were with hym, verye faynte, and yet folowed the chace.
Judg.8.5	And he sayde vnto the men of Socoth: geue I praye you kakes of breed vnto the people that folowe me: for they be fayntie, that I maye folowe after zebath, and zalmona kynges of Madian.
Judg.8.6	And the Lordes of Socoth sayde: are the handes of zebath Ꟶ zalmona nowe in thyne handes, that we shulde geue breed vnto thyne armye?
Judg.8.7	Gedeon sayde, therfore when the Lord hath delyuered zebath and zalmona into myne hande, I wyll teare the fleshe of you with the thornes of the wildernes and wt breers.
Judg.8.8	And he went vp thence to Phanuel, Ꟶ spake vnto them lykewyse. And the men of Phanuel answered hym, as dyd the men of Socoth.
Judg.8.9	And he sayde also vnto the men of Phanuel: when I come agayne in peace, I wyll breake downe this towre.
Judg.8.10	zebath and zalmona were in Carkar, and their hostes with them, vpon a .xv. thousand men, which were all that were lefte of all the hostes of them of the Easte: For there were slayne a hundred and twentye thousande men, that drewe swerdes.
Judg.8.11	And Gedeon went thorowe them that dwell in Tabernacles on the easte syde of Nobah and Iebahah, and smote the hoste: for the hoste did cast no perrelles.
Judg.8.12	And whan zebah and zalmona fledde, he folowed after them, and toke the two kynges of Madian, zebath and zalmona, and discomforted all the hoste.
Judg.8.13	And Gedeon the sonne of Ioas returned from battell, afore the sonne was downe,
Judg.8.14	and caught a ladde of the men of Socoth, Ꟶ enquered of him. And he wrote hym of the lordes Ꟶ Elders of Socoth .lxxvii. men.
Judg.8.15	And he came vnto the men of Socoth, and sayde: Beholde, here I haue zebath and zalmona, wt which ye did cast me in the tethe, sayinge: are the handes of zebath and zalmona allredye in thyne hande, that we shuld geue breed vnto thy faintye men?
Judg.8.16	And he toke the elders of the citie, Ꟶ thornes of the wildernesse Ꟶ breers, Ꟶ made the men of Socoth to fele them.
Judg.8.17	And he brake downe the towre of Phanuel, Ꟶ slewe the men of the cytie.
Judg.8.18	And then sayd he vnto zebath Ꟶ zalmona, what maner of men were they whom ye slew at Thabor? and they answered: the lykenesse of the and them is all one, euen after the fassyon of the chyldren of a kynge.
Judg.8.19	And he sayde: they were my brethren, euen my mothers chyldren. As trulye as the Lorde lyueth, yf ye had saued their lyues, I wolde not sleye you.
Judg.8.20	And he sayde vnto Iether his eldest sonne: vp and sleye them: But the lad drue not hys swerde, for he feared, because he was yet yong.
Judg.8.21	Then zebath Ꟶ zalmona sayde: Ryse thou, Ꟶ falle vpon vs: for as the man is, so is his strength. And Gedeon arose and slewe zebath and zalmona, Ꟶ toke awaye the ornamentes, that were on their camels neckes.
Judg.8.22	Then the men of Israel sayde vnto Gedeon: Raygne thou ouer vs, bothe thou, thy sonne Ꟶ thy sonnes sonne, for thou hast delyuered vs out of the hand of Madian.
Judg.8.23	And Gedeon sayd vnto them: I wyll not raygne ouer you, nether shall my childe raygne ouer you, but the Lord shall raygne ouer you.
Judg.8.24	And agayne Gedeon sayde vnto them: I wolde desyre a certayne request of you, euen that you wolde geue me euerye man the earynges of his praye. For they had golden earynges, because they were Ismaelites:
Judg.8.25	Ꟶ they answered: We wyll geue them. And they spreed a mantell, Ꟶ dyd cast there in euery man the earynges of hys pray:
Judg.8.26	Ꟶ the weyght of the golden earynges that he required, was a thousand Ꟶ seuen hundred sycles of golde, besyde cheynes, pommaunders and purple rayment that was on the kynges of Madian, Ꟶ besyde the cheynes, that were about their camels neckes.
Judg.8.27	And Gedeon made an Ephod therof, Ꟶ put it in his citie Ephrah And all Israell went a whoryng after it, in the same place, whych thynge became a ruyne vnto Gedeon and to his house.
Judg.8.28	Thus was Madian brought lowe before the chyldren of Israel, so that they lyfte vp their heades no moare. And the contreye was in quietnes fourtye yeres in the dayes of Gedeon.
Judg.8.29	And Ierobaall the sonne of Ioas went, and dwelte in his awne house.
Judg.8.30	And Gedeon had .lxx. sonnes of his bodye begotten, for he had many wyues.
Judg.8.31	And his concubine that was in Sichem, bare him a sonne also, whose name he called Abimelech.
Judg.8.32	And Gedeon the sonne of Ioas dyed, in a good age, and was buryed in the sepulchre of Ioas his father, euen in Ephrah, that pertayned vnto the father of the Ezrites.
Judg.8.33	But it fortuned, that as sone as Gedeon was deed, the children of Israel turned awaye Ꟶ went a whoring after Baalim, Ꟶ made a couenaunt wt Baal to be their God,
Judg.8.34	Ꟶ the children of Israel thought not on the Lorde their god, which had delyuered them out of the handes of all their enemyes on euery syde.
Judg.8.35	Nether shewed they mercy on the house of Ierobaal, other wyse called Gedeon, according to all the goodnesse which he had shewed vnto Israel.
Judg.9.1	Abimelech the sonne of Ierobaal went to Sichem, vnto his mothers Brethren, and comuned with them and with all his mothers fathers kinred, sayin
Judg.9.2	saye I praye you, in the eares of all the enhabytoures of Sychem: whether is better for you, that all the sonnes of Ierobaal (which are .lxx. personnes) raygne ouer you, ether that one raygne ouer you? Remember, that I am of youre bone, and of youre fleshe.
Judg.9.3	And his mothers brethren spake of hym in the audience of the men of Sichem all these wordes, and their hartes were moued to folowe Abimelech. For they sayde: he is oure brother.
Judg.9.4	And they gaue him .lxx. peces of syluer out of the temple of Baal Berith, where wyth Abimelech hyred vayne and lyght personnes which went with him.
Judg.9.5	And he went vnto hys fathers house at Ephrah and slewe all his brethren, the sonnes of Ierobaal, euen .lxx. personnes with one stone. Not withstandynge, yet Ioatham the youngest sonne of Ierobaal eskaped, for he hyd hym selfe.
Judg.9.6	And all the men of Sichem gathered together, and all the house of Mello, Ꟶ came and made Abimelech kyng in the playne, where the great stone was by Sichem.
Judg.9.7	And when they tolde it to Ioatham, he went and stode in the toppe of mount Garizim, and lyfte vp hys voyce, and cried, and sayde vnto them: Herken vnto me you men of Sichem, that God maye herken vnto you.
Judg.9.8	The trees went forth to anoynt a king ouer them, and sayde vnto the olyue tree: raygne thou ouer vs.
Judg.9.9	But the olyue tree sayd vnto them: shulde I leaue my fattenesse, whych both goddes and men prayse in me, and go to be promoted ouer the trees?
Judg.9.10	And the trees sayde to the fygge tree: come thou, and be king ouer vs.
Judg.9.11	The figge tree answered them: shuld I forsake my swetnes, and my good frute, and go to be promoted ouer the trees?
Judg.9.12	Then sayde the trees vnto the vyne: come thou and be kyng ouer vs.
Judg.9.13	The vyne sayde vnto them: shuld I leaue my wyne wherby I cheare bothe goddes and men, and go to be promoted ouer the trees?
Judg.9.14	Then sayde all the trees vnto the fyrre bushe: come thou, Ꟶ raygne ouer vs.
Judg.9.15	And the fyrre bushe sayde vnto the trees: yf it be true that ye will anoynt me kynge ouer you, then come, Ꟶ put youre trust vnder my shadowe. Yf no, the fyre come out of the firre busshe, and waste the Cedre trees of Libanon.
Judg.9.16	Now therfore, yf ye do trulye and vncorruptlye, to make Abimelech kyng: and yf ye haue dealte well with Ierobaal and his house, Ꟶ haue done vnto hym accordyng to the deseruyng of his handes, iudge ye.
Judg.9.17	For euen he (my father) fought for you, and aduentured his lyfe, and rydde you out of the hande of Madian.
Judg.9.18	And ye are rysen vp agaynst my fathers house this daye, and haue slayue hys chyldren, euen .lxx. personnes with one stone, and haue made Abimelech the sonne of his mayde seruaunt, kyng ouer the men of Sichem, because he is youre brother:
Judg.9.19	yf ye then haue dealte trulye and purelye with Ierobaal and with his house thys daye, then reioyse ye wyth Abimelech, and let him reioyse with you.
Judg.9.20	But yf you haue not dealt trulye, then I praye God a fyre maye come out of Abimelech, and consume the men of Sichem and the house of Mello. And that there maye come a fyre from among the men of Sichem, and out of the house of Mello, and consume Abimelech.
Judg.9.21	And Ioatham ranne awaye, and fledde, and went to Beer and dwelt there, for feare of Abimelech his brother.
Judg.9.22	When Abimelech had raygned thre yere,
Judg.9.23	God sent a sprete of hate betwene Abimelech, Ꟶ the men of Sichem. And the citezens of Sichem rayled vpon Abimelech,
Judg.9.24	Ꟶ wisshed that the wickednes done to the .lxx. sonnes of Ierobaal myght come on him, and that god wolde laye the bloude of them vnto Amelech their brother which slewe them, and vpon the other men of Sichem which ayded him in the kylling of his brethren.
Judg.9.25	And the cytezens of Sichem set men to laye awayte for hym in the toppe of the mountaynes, which men robbed all that came a longe the waye by them. And it was tolde Abimelech.
Judg.9.26	And Gaal the sonne of Abed came wyth his brethren, and they gat them to Sichem. And the men of Sichem put their confidence in him.
Judg.9.27	And they went out into the feldes, Ꟶ geathered in their grapes, and troade them, and made mery: and went into the house of their goddes, and dyd eate and drynke, and curssed Abimelech.
Judg.9.28	And Gaal the sonne of Abed sayde: what is Abimelech? and what is Sichem? that we shulde serue him? Is he not the sonne of Ieroboal? and zebul is his officer? Serue soche as come of Hemor the father of Sichem, for what reason is it that we shulde serue him?
Judg.9.29	wold God this people were vnder my hande, then wolde I take Abimelech out of the waye. And he spake against Abimelech: make thyne hoste greater, Ꟶ go out.
Judg.9.30	And when zebull the ruler of the cytie hearde the wordes of Gaal the sonne of Abed, he was wroth,
Judg.9.31	and sent messengers vnto Abimelech priuely, saying: Behold, Gaal the sonne of Abed and his brethren be come to Sichem: Ꟶ beholde, they sett the cytie against the.
Judg.9.32	Nowe therfore vp by nyght, thou and all the people that is wyth the, and lye in wayte in the felde.
Judg.9.33	And ryse erlye in the mornynge as sone as the sonne is vp, and fall vpon the citie. And yf he and the people that is with hym, come out agaynst the, do to him what thine handes shalbe able.
Judg.9.34	And Abimelech roase vp, Ꟶ all the people that were wt him by night. and they layd awayte against Sichem in foure companyes.
Judg.9.35	And Gaal the sonne of Abed went out, Ꟶ stode in the entring of the gate of the cytie. And Abimelech rose vp, Ꟶ the folcke that were wt him, from laying awayt.
Judg.9.36	And when Gaal saw the people, he sayd to zebul: beholde, there come people downe from the top of the mountaynes. And zebul sayd vnto him: the shadow of the hylles seme men vnto the
Judg.9.37	Ꟶ Gaall answered agayne, Ꟶ sayd: se, there come folcke downe by the myddell of the land, Ꟶ another company come a long by the playne of the charmars.
Judg.9.38	Then sayd zebul vnto him: where is now thi mouth that sayd: what felow is Abimelech, that we shuld serue him? Is not this the people that thou hast despysed? Goo out now Ꟶ fyght with them.
Judg.9.39	And Gaall went out before the cytizens of Sichem, Ꟶ fought wt Abimelech.
Judg.9.40	And Abimelech chased him, that he fledd before him Ꟶ many were ouerthrowen Ꟶ wounded, euen vnto the entering of the gate,
Judg.9.41	And Abimelech dwelt at Arumah. And zebul thrust out Gaal Ꟶ his brethren, that thei shulde not dwell in Sichem.
Judg.9.42	And on the morow, it happened that the people went out into the felde. And they tolde Abimelech.
Judg.9.43	And he toke the people, Ꟶ deuided them into thre companies, and layd awayte in the feldes, and loked, Ꟶ beholde, the people were come out of the cytie, and he ranne vpon them, and smote them.
Judg.9.44	And Abimelech, Ꟶ the companies that were wt him, reached forther, Ꟶ stode in the entringe of the gate of the cytie. And the two other companies ranne vpon all the people that were in the feldes, Ꟶ slue them.
Judg.9.45	And when Abimelech had fought against the cytie all that daye, he toke it, Ꟶ slew the people that was therin, Ꟶ destroyed the cytie Ꟶ sowed salt thorow it.
Judg.9.46	And when all the men of the towre of Sichem heard that, they entered into a strong holde of the house of their God Baall Berith
Judg.9.47	And it was tolde Abimelech, that all the men of the tower of Sichem were geathered together,
Judg.9.48	Ꟶ Abimelech gat him to mount zelmon, bothe he Ꟶ all the people that were wt him, Ꟶ toke axes wt him and cut downe bowes of trees, Ꟶ toke them Ꟶ bare them on his shulder, Ꟶ sayde vnto the folcke that were with hym what ye haue sene me do, spede youre selues, and do lykewyse as I haue done.
Judg.9.49	And all the men that were among the people, cut downe bowes, and folowed Abimelech, and put them into the holde, and sett the holde a fier by them: so that all the men of the tower of Sichem were slayne, vpon a thousande men and wemen.
Judg.9.50	Then went Abimelech to Thebez, and beseged it, and toke it.
Judg.9.51	But there was a strong towre with in the cytie, and thither ranne all the men and wemen, and all the chefe that were in the cytie, and shut it to them, and got them vp to the toppe of the towre.
Judg.9.52	And Abimelech came vnto the towre, and fought agaynst it, and went harde vnto the dore of the towre, to set it on fier.
Judg.9.53	And a certayne woman cast a pece of a mylstone vpon hys head, and all to brake hys brayne panne.
Judg.9.54	Then Abimelech called hastelye vnto the young man that bare hys harnesse, Ꟶ sayd vnto him: draw thy swerde and slee me, that men saye not of me: a woman slew him. And hys ladd thrust him thorow, and he dyed.
Judg.9.55	And when the men of Israel sawe that Abimelech was deed, they departed, euery man vnto his awne house.
Judg.9.56	And thus the wyckednesse of Abimelech whych he dyd vnto his father, in sleynge his seuentye brethren
Judg.9.57	and therto all the wyckednesse of the men of Sichem, dyd God bring vpon their heedes And vpon them came the cursse of Ioatham the sonne of Ierobaal.
Judg.10.1	After Abimelech there arose, to defende Israel, one Thola (the sonne of Phuah) his vncles sonne, a man of Isakar, which dwelt in Samir in mount Ephraim.
Judg.10.2	And he iudged Israell .xxiii. yere and dyed, and was buryed in Samir.
Judg.10.3	And after him arose Iair a Gileadite, and iudged Israel .xxii. yere.
Judg.10.4	And he had thyrtie sonnes that rode on thirtie Asse coltes, Ꟶ they had thirtye cyties, which are called the townes of Iair vnto thys daye, and are in the lande of Gilead.
Judg.10.5	And Iair dyed Ꟶ was buryed in Kamon.
Judg.10.6	And the children of Israel wrought wyckednesse yet agayne, in the syght of the Lord, Ꟶ serued Baalim and Astharoth, Ꟶ the goddes of Siria, the goddes of Sidon, and the goddes of Moab, the goddes of the children of Ammon, and the goddes of the Philistines, and forsoke the Lord Ꟶ serued not him
Judg.10.7	And the Lorde was wroth with Israel, Ꟶ solde them into the handes of the Philistines, Ꟶ into the handes of the children of Ammon:
Judg.10.8	which from that yere forth, pyld Ꟶ oppressed the children of Israel .xviii. yere, all that were on the other syde Iordan: in the lande of the Amorites which is in Gilead.
Judg.10.9	Moreouer, the children of Ammon went ouer Iordan to fight agaynst Iuda, Beniamin, and the house of Ephraim: so that Israel was sore combred,
Judg.10.10	And the children of Israel cryed vnto the Lord, sayinge: we haue synned agaynst the: for we haue forsaken oure awne God, and haue serued Baalim.
Judg.10.11	And the Lorde sayde vnto the children of Israel: dyd not the Egypcians, the Amorites, the children of Ammon, the Philistines,
Judg.10.12	the Sidonytes, the Amaleckites, Ꟶ the Maonites, oppresse you? And ye cryed to me Ꟶ I delyuered you out of their handes.
Judg.10.13	And for all that ye haue forsaken me, and serued straung goddes, wherfore I will helpe you no more.
Judg.10.14	Go Ꟶ crye vnto the goddes which ye haue chosen, and lett them saue you in the tyme of youre tribulacion.
Judg.10.15	And the children of Israel sayde vnto the Lorde: We haue sinned: do thou vnto vs whatsoeuer please the, delyuer vs onely this daye.
Judg.10.16	And thei put away the straung goddes from them, and serued the Lorde. And hys soule had pytie on the miserie of Israel.
Judg.10.17	Then the children of Ammon geathered togeather, Ꟶ pitched in Gilead. And the children of Israel geathered them togeather, Ꟶ pitched in Mizpa.
Judg.10.18	And the Lords of Gilead sayd eche to other: whosoeuer will beginne the battell agaynst the children of Ammon, the same shalbe hed ouer all the enhabiters of Gilead.
Judg.11.1	And there was one Iephthaha Gileadite, a strong man, the sonne of an harlott: and Gilead begat Iephthah.
Judg.11.2	And Gileads wyfe bare him sonnes, which when they were come to age, thrust out Iephthah, and sayd vnto him: thou shalt not enheret in oure fathers house, for thou art the sonne of a straung woman.
Judg.11.3	Then Iephtah fledd from his brethren, Ꟶ dwelt in the land of Tob. And there geathered ydle men to Iephthah, and went out wt him.
Judg.11.4	And it chaunced in processe of tyme, that the children of Ammon made warre agaynst Israel.
Judg.11.5	And whan the children of Ammon fought thus agaynst Israel, the elders of Gilead went to fett Iephthah out of the land of Tob
Judg.11.6	and sayd vnto him: come Ꟶ be oure captayne, that we maye fyght wt the children of Ammon.
Judg.11.7	Iephthah answered the elders of Gilead: did not ye hate me Ꟶ expell me out of my fathers house? how happeneth it then, that you come vnto me now in tyme of youre tribulacion?
Judg.11.8	And the elders of Gilead sayde vnto Iephthah: Therfore we turne agayne to the now, that thou mayest go wt vs, Ꟶ fight agaynst the children of Ammon and be oure heed ouer all the enhabiters of Gilead.
Judg.11.9	And Iephthah sayde vnto the elders of Gilead: If ye brynge me home agayn, to fight with the children of Ammon, then yf the Lord deliuer them before me, shall I be your heed?
Judg.11.10	And the elders of Gilead sayde to Iephthah: that Lorde be witnesse betwene vs yf we do not according to thy wordes.
Judg.11.11	Then Iephthah went wyth the elders of Gilead. And the people made hym heed and ruler ouer them. And Iephthah rehearsed all hys wordes before the Lorde in Mizpa.
Judg.11.12	And Iephthah sent messenges vnto the king of the children of Ammon, saying: what hast thou to do wt me, that thou art come agaynst me, to fight in my land?
Judg.11.13	The king of the children of Ammon answered vnto the messengers of Iephthah: Because Israel toke awaye my land, when they came out of Egypt: euen from Arnon vnto Iabok, and vnto Iordan. Now therfore restore those landes agayne wt faire meanes.
Judg.11.14	And Iephthah sent messegers again vnto the children of Ammon
Judg.11.15	and sayd vnto him: thus sayth Iepthah: Israel toke not awaye the land of Moab, nor the land of the children of Ammon.
Judg.11.16	But when Israel came out of Egypt, Ꟶ walked thorow the wildernesse, euen vnto the redd see, they came to Cades
Judg.11.17	Ꟶ sent messengers vnto the king of Edom, saying: let me (I praye the) go thorow thy land. But the king of Edom wolde not agre therto. And in lyke maner they sent vnto the king of Moab, but he wold not consent. And so Israel abode stil in Cades.
Judg.11.18	And then they went along thorow the wildernesse, Ꟶ compased the lande of Edom, Ꟶ the land of Moab, Ꟶ came a long by the east syde of the land of Moab, Ꟶ pitched on the othersyde of Arnon, Ꟶ wolde not come with in the coaste of Moab: for Arnon was the vtmost border of Moab.
Judg.11.19	And then Israel sent messengers vnto Schon, king of the Amorites, Ꟶ king of Hesbon, Ꟶ sayd vnto him: Lett vs passe thorow thy land vnto oure awne contreye.
Judg.11.20	But Sehon consented not to Israel, that he shulde go thorow hys coast: but gathered all his people togeather, Ꟶ pitched in Iazah, Ꟶ fought wt Israel.
Judg.11.21	And the Lord God of Israel delyuered Sehon Ꟶ all his folke into the handes of Israel. And so Israel smote them Ꟶ conquered all the land of the Amorites, the enhabiters of the sayde contrey.
Judg.11.22	And they conquered all the coastes of the Amorites, from Arnon vnto Iabok, Ꟶ from the wildernesse vnto Iordan.
Judg.11.23	So now, seyng the Lorde God of Israel hath cast out the Amorites before hys people Israel, shuldest thou possesse the land?
Judg.11.24	Naye, but what people, Camos thy God dryueth out, that land possesse thou. Euen so whatsoeuer nacion the Lorde oure God expelleth, that lande ought we to enioye.
Judg.11.25	And art thou better then Balack the sonne of zephor king of Moab? dyd he striue wt Israel or fyght agaynst them,
Judg.11.26	all the whyle Israel dwelt in Hesbon and her townes, in Aroer Ꟶ her townes, Ꟶ in all the cyties that be a longe by the coastes of Arnon, thre hundred yeres? why dydist thou not recouer them in all that space?
Judg.11.27	Wherfore I haue not synned agaynst the. But thou doest me wronge, to warre agaynst me. The Lorde therfore which is a Iudge be Iudge thys daye betwene the children of Israel, and the children of Ammon.
Judg.11.28	Howbeit the kynge of the chyldren of Ammon, harkened not vnto the wordes of Iephthah, which he sent him.
Judg.11.29	Then the sprete of the Lorde came vpon Iephthah. And he passed ouer to Gylead Ꟶ to Manasses, Ꟶ came to Mazphah that lieth in Gilead, and from thence vnto the chyldren of Ammon.
Judg.11.30	And Iephthah vowed a vowe vnto the Lord, and sayd: If thou shalt delyuer the chyldren of Ammon into my handes,
Judg.11.31	then that thinge that cometh oute of the dores of my house against me, when I come home in peace, from the chyldren of Ammon, shalbe the Lordes, and I wyll offer it vp for a burnt offering:
Judg.11.32	And so Iephthah went vnto the children of Ammon to fyght wt them. And the Lord delyuered them into hys handes.
Judg.11.33	And he smote them from Aroer tyll thou come to Menith, euen .xx. cytes: and so forth to the playne of the vyneyardes, with an exceding great slaughter. And thus the children of Ammon were brought vnder, before the chyldren of Israel
Judg.11.34	When Iephthah came to Mazphah vnto his house, se, his daughter came out agaynst him, with tymberelles Ꟶ daunses, which was his onely childe: so that besyde her, he had nether sonne, nor daughter.
Judg.11.35	And when he sawe her, he rent his clothes, and sayde: Alas my daughter, thou hast brought me lowe, and art one of them that trouble me. For I haue opened my mouth vnto the Lord, and cannot go backe.
Judg.11.36	And she sayd vnto him: my father, yf thou haue opened thy mouth vnto the Lorde, then do wt me accordyng to it that proceaded out of thy mouth, for as moch as the Lorde hath aduenged the of thyne enemyes the chyldren of Ammon.
Judg.11.37	And she sayde vnto her father: do thys moche for me: lett me alone two monethes, that I maye go downe to the mountaynes, Ꟶ be wayle my virginyte, I Ꟶ my felowes.
Judg.11.38	And he sayd: go, Ꟶ he sent her awaye two monethes. And so she went with her companions, Ꟶ lamented her maydenheed vpon the mountaynes.
Judg.11.39	And after the ende of the two monethes, she turned agayne vnto her father, which dyd with her accordynge to hys vowe which he had vowed, Ꟶ she had knowne no man. And it grewe to a custome in Israel.
Judg.11.40	The daughters of Israel came yere by yere to lament the daughter of Iephthah the Gyleadite, foure dayes in a yere
Judg.12.1	And the men of Ephraim geathered them selues together, Ꟶ went northwarde, and sayde vnto Iephthah: Wherfore wentest thou to fyght with the children of Ammon, and dydest not call vs to go with the? we will therfore burne thine house vpon the fyer.
Judg.12.2	And Iephthah said vnto them: I Ꟶ my people were at great stryfe wt the chyldren of Ammon. And when I called you, ye delyuered me not out of their handes.
Judg.12.3	And when I sawe that ye deliuered me not, I put my lyfe in my handes, Ꟶ went vpon the children of Ammon. And the Lord delyuered them into my handes. Wherfore then are ye come vpon me now, to fyght wt me?
Judg.12.4	Iephthah therfore gathered together all the men of Gilead, Ꟶ fought wt the Ephraites And the men of Gilead smote the Ephraites, because they sayd: Ye Gileadites are but runneagates of Ephraim amonge the Ephraites Ꟶ the Manassites.
Judg.12.5	Moreouer, the men of Gilead toke the passages of Iordan before the Ephraites. And when those Ephraites that were escaped, sayde: lett vs go ouer, then the men of Gilead sayd vnto them: Art thou an Ephraite? they sayde: naye.
Judg.12.6	Then sayde they vnto him: then saye: Schibboleth. And he sayde: Sibboleth: for he coulde not so pronounce. And then they toke him, and slewe hym at the passages of Iordan. And there were ouerthrowen at that tyme of the Ephraites .xlij.M.
Judg.12.7	And Iephthah iudged Israel .vi. yeare Ꟶ dyed, and was buryed in one of the cyties of Gilead.
Judg.12.8	After thys man, iudged Israell one Abezan of Bethlehem,
Judg.12.9	Ꟶ he had .xxx. sonnes and .xxx. daughters, whom he sent out, and toke .xxx. other in, for his sonnes. And when Abezan had iudged Israel .vii. yere,
Judg.12.10	he dyed, and was buryed at Bethlehem.
Judg.12.11	After him, Elon a zabulonite iudged Israel ten yere, Ꟶ Elon the zabulonite dyed,
Judg.12.12	Ꟶ was buryed in Aialon, in the countre of zabulon.
Judg.12.13	After hym, Abdon the sonne of Hellel a Pharathonite iudged Israel.
Judg.12.14	And he had .xl. sonnes, and thirty neueus, that rode on .lxx. asse coltes. And when Abdon the sonne of Hellel the Pharathonite had iudged Israell eyght yeare,
Judg.12.15	he dyed, Ꟶ was buryed in Pharthon in the lande of Ephraim, in the mount of the Amalekites.
Judg.13.1	And the chyldren of Israell began agayne to commytte wyckednes in the sight of the Lord. And the Lord delyuered them into the handes of the Philistines fourty yere.
Judg.13.2	And ther was a man in zaraah of the kynred of Dan, named Manoah, whose wyfe was barren, and bare not.
Judg.13.3	And the Aungell of the Lorde apeared vnto the woman: and sayde vnto her: Beholde, thou art barren, and bearest not: But thou shalt conceaue, Ꟶ beare a sonne.
Judg.13.4	And now beware that thou drinke no wyne. ner strong drincke, nether eate any vncleane thing:
Judg.13.5	for se, thou shalt conceaue and beare a sonne. And there may no rasor come on hys heed. For the ladd shalbe an abstayner vnto God, euen from his byrth. And he shall begynne to delyuer Israell out of the handes of the Phylistines.
Judg.13.6	Then the wyfe came, Ꟶ tolde her husband sayenge: a man of God came vnto me, Ꟶ the fassion of him was lyke the fassion of an Angell of God, excedyng fearfull. But I asked hym not whence he was, nether tolde he me hys name, but sayd vnto me:
Judg.13.7	beholde, thou shalt be with childe Ꟶ beere a sonne, and now drincke no wyne nor strong dryncke, nether eate any vncleane thyng: for the ladd shalbe an abstayner to God, euen from hys byrth, to the daye of hys death.
Judg.13.8	Then Manoah made intercessyon to the Lorde, and sayde: I praye the my Lorde, lett the man of God whych thou sendest, come once moare vnto vs, and teache vs what we shal do vnto the ladd, when he is borne.
Judg.13.9	And God hearde the voyce of Manoah, and the angell of God came agayne vnto the wyfe as she sat in the felde. But Manoah her husband was not with her.
