Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.15.15	And thou shalt goo vnto thy fathers in peace, and shalt be buryed in a good olde age:
Gen.15.16	But in the fourth generacyon they shall come hyther againe, for the wickednesse of the Amorites ys not yet full.
Gen.15.17	And it came to passe that whan the sonne went downe, there was a dark cloude: beholde, ther was a smoking furnesse, Ꟶ a fyre brande goinge betwene the sayde peces.
Gen.15.18	In that same daye the Lorde made a couenaunte wt Abram sayinge: vnto thy seed haue I geuen thys lande, from the ryuer of Egypt, euen vnto the great ryuer the ryuer of Euphrates,
Gen.15.19	the kenytes, the kenyzites, and the Cadmonites,
Gen.15.20	the Hethites, and the Pherezites, and the gyauntes,
Gen.15.21	the Amorytes also, Ꟶ the Canaanites, the Gergesytes and the Iebusytes.
Gen.16.1	Sarai Abrams wyfe bare hym no Chyldren. But she had an hande mayde an Egypcyan, Hagar by name.
Gen.16.2	And Sarai sayde vnto Abram Beholde the Lorde hath restrayned me, that I can not bere. I praye the go in vnto my mayde, perauenture I maye be edifyed by her. And Abram obeyed the voyce of Sarai
Gen.16.3	And Sarai Abrams wyfe toke Hagar hyr mayde the Egyptian (after Abram had dwelled .x. yere in the lande of Canaan) and gaue her to hyr husbande Abram to be hys wyfe.
Gen.16.4	Which whan he wente in vnto Agar, she conceaued. And when she sawe that she had conceyued, hyr mastresse was despysed in hyr eyes.
Gen.16.5	And Sarai sayde vnto Abram: Thou dost me wronge: I haue geuen my mayde into thy bosome. Whych seynge that she hath conceaued, I am despysed in hyr eyes, the Lorde iudge betwene the and me.
Gen.16.6	But Abram sayde to Sarai: beholde, thy mayde is in thy hande, do with hyr as it pleaseth the. And whan Sarai fared foule wyth her, she fled from the face of her.
Gen.16.7	And the Angell of the Lorde founde her besyde a fountayne of water in the wyldernes: euen by the well that is in the waye to Sur.
Gen.16.8	And he sayde: Hagar Sarais mayde, whence camest thou and whether wilt thou goo? She sayde: I flee from the face of my mastresse Sarai.
Gen.16.9	And the angell of the Lorde sayde vnto her: returne to thy mastresse againe, Ꟶ submytte thy selfe vnder her handes.
Gen.16.10	And agayne, the angell of the Lorde sayde vnto her: In encreasinge I wyll encrease thy seed and it shall not be nombred for multitude.
Gen.16.11	And the Lordes angell sayde vnto her, se, thou art with chylde and shalt bere a sonne, and shalt call hys name Ismael: because the Lorde hath herde thy tribulacyon.
Gen.16.12	He also will be a wylde man, and hys hande will be agaynst euery man, and euery mans hande agaynst him. And he shall dwell in the presence of all his brethren.
Gen.16.13	And she called the name of the Lorde that spake vnto her: thou God lokest on me, for she sayde: haue I not sene here the backe partes of hym that seeth me?
Gen.16.14	Wherfore the well was called, the well of him that lyueth Ꟶ seeth me. And it is betwene Cades and Bared.
Gen.16.15	And Hagar bare Abram a sonne, and Abram called his sonnes name which Hagar bare vnto him. Ismael
Gen.16.16	And Abram was .lxxxvj. yere olde, when Hagar bare him Ismael.
Gen.17.1	Abram was nynetye yere olde Ꟶ .ix. Ꟶ the Lorde apeared to Abram Ꟶ sayde vnto hym: I am the almyghtie God: walke before me and be thou perfecte.
Gen.17.2	And I will make my bonde betwene me and the, and will multiplye the excedingly.
Gen.17.3	And Abram fell on hys face. And God talked with him sayinge:
Gen.17.4	Beholde, I am, and my testament is with the, Ꟶ thou shalt be a father of many nacyons.
Gen.17.5	Neyther shall thy name any more be called Abram, but thy name shalbe Abraham: for a father of many nacyons haue I made the,
Gen.17.6	I will make the to growe excedyngly, and will make nacions of the: ye Ꟶ kynges shall sprynge out of the.
Gen.17.7	Moreouer I will make my bonde betwene me and the, and thy seed after the in theyr generacyons, by an euerlastynge testament, that I maye be God vnto the and to thy seed after the.
Gen.17.8	And I wyll geue vnto the and to thy seed after the, the lande where in thou art a straunger: Euen all the lande of Canaan, for an euerlastynge possessyon, and wyll be their God.
Gen.17.9	And God sayde agayne vnto Abraham: Se thou also kepe my testamente therfore both thou and thy seed after the in their generacyons.
Gen.17.10	This is my testamente which ye shall kepe betwene me Ꟶ you Ꟶ thy seed after the. Euery manchylde amonge you shalbe circumcysed.
Gen.17.11	ye shall circumcyse the fleshe of your foreskyne, and it shall be a token of the bonde betwyxte me and you.
Gen.17.12	And euery manchylde of .viij. dayes olde shall be circumcysed amonge you, Ꟶ suche as be in youre generacyons, and borne at home and he that is boughte wyth money of any straunger whych is not of thy seed. He that is borne in thy house, Ꟶ he also that is bought wyth money, must nedes be circumcysed.
Gen.17.13	And my testament shall be in youre fleshe, for an euerlastinge bonde.
Gen.17.14	And the vncircumcysed manchylde, in whose fleshe the forskynne is not circumcysed, that soule shall peryshe, from his people: because he hath broken my testament.
Gen.17.15	And God sayde vnto Abraham: Sarai thy wyfe shalt thou not call Sarai: but Sara shall her name be.
Gen.17.16	And I will blesse her Ꟶ haue geuen the a sonne of her, Ꟶ wyll blesse her: people also, ye and kynges of people shall sprynge of her.
Gen.17.17	But Abraham fell vpon his face and laughed, and sayde in hys harte: shall a chylde be borne vnto him that is an hundred yere olde, and shall Sara that is nynetie yere olde, bere?
Gen.17.18	And Abraham sayde vnto God: O that Ismael myghte lyue in thy syghte.
Gen.17.19	Unto whom God sayde: Sara thy wyfe shall bere the a sonne in dede, Ꟶ thou shalt call his name Isahac. And I wyll make my bonde with him, for an euerlastynge bonde and with his seed after him.
Gen.17.20	And as concernynge Ismael also, I haue herde the: for I haue blessed him, Ꟶ wyll make him to encrease, Ꟶ will multiplye him excedyngly. Twelue princes shal he begette, Ꟶ I will make a great nacyon of him.
Gen.17.21	But my bonde will I make with Isahac, which Sara shall bere vnto the: euen this tyme twelue moneth.
Gen.17.22	And he left of talkynge with hym, Ꟶ departed vp from Abraham.
Gen.17.23	Abraham toke Ismael his sonne and all suche as were borne in his house, and all that was bought wt money as many as were men chyldren which were amonge the men of Abrahams house, Ꟶ circumcysed the flesshe of their foreskynne, euen in that selfe same daye, as God had sayde vnto him.
Gen.17.24	Abraham also him selfe was nynetye yere olde Ꟶ nyne, when the fleshe of his floreskynne was circumcysed.
Gen.17.25	Ismaell his sonne was .xiij. yere olde when he was circumcysed in the fleshe of his foreskynne.
Gen.17.26	The selfe same daye was Abraham circumcysed, and Ismaell hys sonne.
Gen.17.27	And all the men of hys house, borne in his house or bought with money (of straungers) were circumcysed with him.
Gen.18.1	And the Lorde apeared vnto hym in the playne of Mamre and he sat in his tent dore in the heate of the daye.
Gen.18.2	And he lifte vp his eyes and looked: Ꟶ lo, thre men stode by him. And when he sawe them, he ran to mete them from the tent dore, and fell to the ground
Gen.18.3	and sayde: Lorde (I beseche the) yf I haue founde fauoure in thy syght: goo not (I praye the) from thy seruaunte.
Gen.18.4	Let a lytle water be fett, and washe youre fete, and refreshe youre selues vnder the tree.
Gen.18.5	And I wyll fett a morsell of breed, to comforte youre hartes withall. And than shall ye goo youre wayes, for euen therfore are ye come to youre seruaunte. And they sayde: Do euen so as thou hast sayde:
Gen.18.6	And Abraham went a pase in to his tent vnto Sara, Ꟶ sayde: make redy attonce thre peckes of fyne meale, kneade it, Ꟶ make cakes.
Gen.18.7	And Abraham rennynge vnto his beastes, fett a calfe tendre and good, Ꟶ gaue it vnto a yonge man, Ꟶ he hasted to make it redy attonce.
Gen.18.8	And he toke butter Ꟶ mylcke Ꟶ the calfe whych he had prepared, Ꟶ set it before them, and stode hym selfe by them vnder the tree whan they dyd eate.
Gen.18.9	And they sayde vnto him: Where is Sara thy wyfe? he answered: beholde, she is in the tent.
Gen.18.10	And he sayde in returnynge, I will come agayne vnto the, accordynge to the tyme of lyfe. And loo Sara thy wyfe shall haue a sonne. That hearde Sara, in the tent doore which was behinde him
Gen.18.11	(Abraham and Sara were both olde Ꟶ well stryken in age, Ꟶ it ceased to be with Sara after the maner as it is wyth wemen)
Gen.18.12	Therfore Sara laughed with in hyr selfe sayinge: Nowe I am waxed olde, shall I geue my selfe to lust, Ꟶ my Lorde olde also?
Gen.18.13	And God sayde vnto Abraham: wherfore dyd Sara laughe sayinge: shall I of a suertye bere a chylde which am olde?
Gen.18.14	is any thynge wonderfull to God? Acordynge to the tyme appoynted will I returne vnto the, euen acordynge to the tyme of lyfe, Ꟶ Sara shall haue a sonne.
Gen.18.15	Than Sara denyed it sayinge: I laughed not, for she was afrayde. And he sayde: It is not so, but thou laughedst.
Gen.18.16	And the men stondinge vp from thence, loked towarde Sodome. And Abraham went with them to brynge them on the waye.
Gen.18.17	And the Lorde sayde: Shall I hyde from Abraham that thynge which I do?
Gen.18.18	seynge that Abraham shall be a great and a myghtie people, and all the nacyons of the erth shalbe blessed in him?
Gen.18.19	I knowe this also, that he will commaunde his chyldren and hys houshold after him, that they kepe the waye of the Lorde, and do after ryghte and conscyence, that the Lorde maye bringe vpon Abraham all that he hath spoken vnto him.
Gen.18.20	And the Lorde sayde The crye of: Sodome and Gomorra is great, and theyr synne is excedynge greuous.
Gen.18.21	I wyll go downe nowe and see whether they haue done all together accordynge to that crye which is come vnto me or not, that I maye knowe.
Gen.18.22	And the men departed thence and went to Sodome warde. But Abraham stode yet before the Lorde,
Gen.18.23	and Abraham drewe nere Ꟶ sayde: Wylt thou also destroye the ryghtwes with the wicked?
Gen.18.24	parauenture there be .l. ryghtwes within the cytie, wylt thou destroye and not spare the place for the sake of .l. ryghtwes that are therin?
Gen.18.25	That be farre from the, that thou shuldest do after thys sayinge, Ꟶ sley the ryghtwes with the wicked, Ꟶ that the ryghtwes shulde be as the wicked, that be farre from the. Shall not the iudge of all the worlde do accordynge to ryghte?
Gen.18.26	And the Lorde sayde: If I fynde in Sodome .l. ryghtwes wythin the cytie, I will spare all the place for their sakes.
Gen.18.27	And Abraham answerynge: sayde, Beholde, I haue taken vpon me to speake vnto the Lorde, which am but dust and asshes.
Gen.18.28	perauenture there shall lacke fyue of fyftye ryghteous: wylt thou destroye all the cytie for lacke of fyue? And he sayde: yf I fynde there fourtye Ꟶ fyue, I will not destroye them.
Gen.18.29	And he proceaded to speake vnto hym agayne, Ꟶ sayde, peraduenture there shalbe fourtye founde there. He answered: I will not do it for forties sake.
Gen.18.30	He sayde vnto him agayne: O let not my Lord be angry that I speake: peraduenture there shall thyrtye be founde there. And he sayde: I will do nothynge yf I fynde thirtye there.
Gen.18.31	He sayde agayne: O se, I haue taken vpon me to speake nowe also vnto my Lorde: peraduenture ther shalbe twentye founde there. He answered: I wyll not destroye them for twenties sake.
Gen.18.32	And be sayde: O let not my Lorde he angry, Ꟶ I wyll speake yet but this once. Perauenture there shall ten be founde there. He answered: I wyll not destroye them for tens sake.
Gen.18.33	And the Lorde went his waye as soone as he had lefte commoninge with Abraham. And Abraham also returned vnto his place.
Gen.19.1	And there came .ij. angels to Sodome at euen. And Lot sat at the gate of Sodome. And Lot seinge them, rose vp to mete them, and he bowed him selfe to the grounde wt his face.
Gen.19.2	And he sayde: my Lordes, turne in I praye you in to youre seruauntes house Ꟶ tary all nyghte Ꟶ washe youre fete Ꟶ ye shall ryse vp early to go on youre wayes. Whych sayde: nay, but we wyll byde in the streates all nyghte.
Gen.19.3	And he in maner dyd euen compelle them violently. And they turnynge in vnto him entred in to his house, Ꟶ he made them a feaste Ꟶ did bake swete bred, Ꟶ they did eat
Gen.19.4	And before they went to rest, the men of the cytie (euen the men of Sodome) compassed the house rounde aboute both olde Ꟶ yonge, all the people from all quarters.
Gen.19.5	And they callynge vnto Lot, sayde vnto him: where are the men which came into the thys nyght? brynge them out vnto vs Ꟶ we will knowe them.
Gen.19.6	And Lot went out at the doores vnto them and shut the dore after hym
Gen.19.7	and sayde: naye for goddes sake brethren, do not so wyckedly.
Gen.19.8	Beholde I haue two daughters which haue knowne no man, them will I brynge out nowe vnto you: Ꟶ do with them as it semeth good in your eyes. Only vnto these men do nothinge, for therfore came they in vnder the shadowe of my rofe.
Gen.19.9	And they sayde: stonde back. And they sayde: he came in as one to sciourne, Ꟶ wyll he be nowe a iudge? we wyll suerly deale worse with the than with them. And they preased sore vpon the man, euen Lot: Ꟶ came to breake vp the doore,
Gen.19.10	but the men put forth their hande Ꟶ pulled Lot in to the house to them and shut to the doore.
Gen.19.11	And the men that were at the doore of the house, they smote with blyndnesse both small Ꟶ greate: so that they faynted and coulde not fynde the doore.
Gen.19.12	And the men sayde vnto Lot: If thou haue yet here any sonne in lawe or sonnes or daughters or what soeuer thou hast in the cytie, brynge it out of this place:
Gen.19.13	for we must destroye this place, because the crye of them is great before the face of God: for the Lorde hath sent vs to destroye it.
Gen.19.14	And Lot went out and spake vnto hys sonnes in lawe which maried his daughters sayinge: stonde vp: get yowe out of this place, for the Lorde will ouerthrowe this cytie. But he semed as though he had mocked, vnto his sonnes in lawe.
Gen.19.15	And whan the morninge arose, the angels caused Lot to spede him sayinge: Stonde vp, take thy wyfe and thy two daughters at hande, lest thou peryshe in the synne of the cytie.
Gen.19.16	And as he prolonged the tyme, the men caught both him, his wyfe Ꟶ his two daughters by the handes, the Lorde beynge mercyfull vnto him, and they brought hym forth and sette hym without the cytie.
Gen.19.17	It fortuned whan they had brought them out, he sayde: Saue thy lyfe, and loke not behynde the, neyther tary thou in all thys playne countre. Saue thy selfe in the mountayne, lest thou peryshe.
Gen.19.18	And Lot sayde vnto them. Oh nay Lorde:
Gen.19.19	beholde, thy seruaunt hath fownde grace in thy syghte, and thou hast magnifyed thy mercye which thou hast shewed vnto me in sauynge my lyfe. Beholde, I can not be saued in the mountayne, lest some misfortune fall vpon me and I dye.
Gen.19.20	Beholde, here is a cytie by, to flee vnto, euen yonder lytle one: Oh let me be saued there: is it not a lytle one, and my soule shall lyue?
Gen.19.21	And he sayde to hym: se I haue receaued thy request as concernynge this thynge, that I wyll not ouerthrowe thys cytie for the which thou hast spoken.
Gen.19.22	Haste the, Ꟶ be saued there, for I can do nothynge tyll thou become thyther. And therfore the name of the cyte is called zoar.
Gen.19.23	And the sonne was nowe rysen vpon the erth, when Lot was entred into zoar.
Gen.19.24	Than the Lorde rayned vpon Sodome Ꟶ Gomorra, brymston Ꟶ fyre from the Lorde out of heauen,
Gen.19.25	Ꟶ ouerthrewe those cyties Ꟶ all the regyon, and all that dwelled in the cyties, and that that grewe vpon the erth.
Gen.19.26	But Lotes wyfe loked behynde her, Ꟶ was turned in to a pyllar of salte.
Gen.19.27	Abraham rysinge vp early, got him to the place where he stode before the presence of God,
Gen.19.28	Ꟶ lokynge towarde Sodome Ꟶ Gomorra Ꟶ towarde all the londe of that contre he loked: and beholde, the smoke of the contrye arose as the smoke of a fornace.
Gen.19.29	And it happened that when God destroyed the cyties of that regyon, he thought vpon Abraham, Ꟶ sent Lot out from the myddes of the ouerthrowenge, when he ouerthrewe the cyties where Lot dwelled.
Gen.19.30	And Lot departed out of zoar Ꟶ dwelled in the mountayns wt his .ij. daughters, for he feared to tary in zoar, but dwelled in a caue, he Ꟶ his .ij. daughters.
Gen.19.31	And the elder sayde vnto the yonger: oure father is olde, and there is not a man in the erth to come in vnto vs after the maner of all the worlde.
Gen.19.32	Come, we will make oure father droncken with wyne, Ꟶ lye with him, that we maye saue sede of oure father.
Gen.19.33	And so they made their father droncken wyth wyne that nyght. And the elder daughter went Ꟶ laye with her father. And he perceaued it not, nether when she laye doune, nether when she rose vp.
Gen.19.34	And on the morowe it happened that the elder sayde vnto the yonger: beholde, yesternyght laye I with my father. Let vs make him droncke with wyne this nyght also, Ꟶ go thou Ꟶ lye with him, that we maye rayse vp seed of oure father.
Gen.19.35	And they made their father droncke with wyne that nyght also. And the yonger arose Ꟶ laye with him. And he perceaued it not: nether when she laye downe, nether when she rose vp.
Gen.19.36	Thus were both the daughters of Lot wt chylde by their father.
Gen.19.37	And the elder bare a sonne, and called hys name Moab. The same is the father of the Moabytes vnto thys daye.
Gen.19.38	And the yonger bare a sonne also and called hys name Ben Ammi, The same is the father of the chyldren of Ammon vnto this daye.
Gen.20.1	And Abraham departed thence towarde the south contrey, and dwelled betwene Cades Ꟶ Sur, and soiorned in Gerar.
Gen.20.2	And Abraham sayde of Sara hys wyfe: she is my syster. And Abimelech kynge of Gerar sent Ꟶ fett Sara awaye.
Gen.20.3	But God came to Abimelech in a dreame in the nyght and sayde to hym: Se, thou shalt dye for the womans sake which thou hast taken awaye, for she is a mans wyfe.
Gen.20.4	But Abimelech had not yet come nye her, Ꟶ he sayde: Lorde wylt thou sley ryghtewes people?
Gen.20.5	sayde not he vnto me, she is my syster? yee, Ꟶ sayde not she herselfe: he is my brother? with a pure herte and innocent handes haue I done this.
Gen.20.6	And God sayde vnto him by a dreame: I wot it well that thou dydest it in the purenesse of thy herte. I kepte the also that thou shuldest not sinne agaynst me, Ꟶ therfore suffred I the not to touch her.
Gen.20.7	Nowe therfore delyuer the man his wyfe agayne, for he is a prophete. And he shall praye for the that thou mayst lyue. But and yf thou delyuer her not agayne, be sure that thou shalt dye the deth, both thou, and all that thou hast.
Gen.20.8	Therfore Abimelech rysynge vp betymes in the mornynge called all his seruauntes, Ꟶ tolde all these sayinges in their eares, and the men were sore afrayde.
Gen.20.9	And Abimelech called Abraham Ꟶ sayde vnto hym: What hast thou done vnto vs Ꟶ what haue I offended the that thou hast brought on me and on my kyngdome so great a synne? thou hast done dedes vnto me that ought not to be done.
Gen.20.10	And Abimelech sayde vnto Abraham: What sawest thou that thou hast done this thynge?
Gen.20.11	Abraham answered. For I sayde: surely the feare of God is not in thys place, Ꟶ they shall sley me for my wyfes sake:
Gen.20.12	yet in very dede she is my syster, for she is the daughter of my father: though she be not the daughter of my mother: and she became my wyfe.
Gen.20.13	And after, God caused me to wandre, out of my fathers house, I sayde vnto her: Thys kyndnesse shalt thou shewe vnto me in all places where we come, that thou saye of me, he is my brother.
Gen.20.14	Than toke Abimelech shepe and oxen, men seruauntes Ꟶ wemen seruauntes Ꟶ gaue them vnto Abraham, and delyuered hym Sara his wyfe agayne.
Gen.20.15	And Abimelech sayde: beholde, my lande lyeth before the, dwell where it pleaseth the best.
Gen.20.16	But vnto Sara he sayde: Se, I haue geuen thy brother a thousande peces of syluer, beholde, it shall be a couerynge of thyne eyes vnto all that are wt the Ꟶ thus with all was she reproued.
Gen.20.17	And so Abraham prayed vnto God, and God healed Abimelech and his wyfe and his maydens, Ꟶ they bare chyldren.
Gen.20.18	For the Lorde had closed to, all the matryces of the house of Abymelech: because of Abrahams wyfe.
Gen.21.1	The Lorde visyted Sara as he had sayde and dyd vnto her accordynge as he had promysed.
Gen.21.2	For Sara was wyth chylde and bare Abraham a sonne in his olde age, euen the same season which the Lorde had appoynted him.
Gen.21.3	And Abraham called his sonnes name that was borne vnto hym which Sara bare him, Isahac:
Gen.21.4	Ꟶ Abraham circumcysed Isahac his sonne when he was .viii. dayes olde: as God commaunded hym.
Gen.21.5	And Abraham was an hundred yere olde: when his sonne Isahac was borne vnto hym.
Gen.21.6	But Sara sayde: God hath made me a laughynge stocke: so that all that heare: wyll laugh at me.
Gen.21.7	She sayde also: who wolde haue sayd vnto Abraham: that Sara shulde haue geuen chyldren sucke? for I haue borne him a sonne in hys olde age.
Gen.21.8	The chylde grewe: and was wened: and Abraham made a great feast: the same daye that Isahac was wened.
Gen.21.9	Sara sawe also the sonne of Hagar the Egyptian (whyche she had borne vnto Abraham) to be a mocker.
Gen.21.10	Wherfore she sayde vnto Abraham: put awaye this bondemayde Ꟶ hyr sonne: for the sonne of thys bonde woman shall not be heyre with my sonne Isahac:
Gen.21.11	Ꟶ thys sayinge was very greauous in Abrahams syght because of hys sonne.
Gen.21.12	And God sayde vnto Abraham: let it not be greauous in thy syght, because of the ladd and of thy bondmayde. All that Sara hath sayde vnto the, heare hyr voyce, for in Isahac shall thy seed be called.
Gen.21.13	Moreouer of the sonne of the bondewoman wyll I make a nacyon: because he is thy seed.
Gen.21.14	And so Abraham rose vp early in the morninge, and toke bread and a bottell of water, and gaue it vnto Hagar, puttynge it on hyr shulders with the ladd also, Ꟶ sent her awaye. who departynge, wandred vp and doune in the wyldernes of Beer Seba.
Gen.21.15	And the water was spent in the bottell, and she cast the lad vnder a bush
Gen.21.16	and went and satt on the other syde a greate waye, as it were a bowshote of: for she sayde: I will not se the death of the chylde. And she syttynge doune on the other syde, lyfte vp hyr voyce and wepte.
Gen.21.17	And God herde the voyce of the chylde. And the angell of God called Hagar oute of heauen and sayde vnto her: what ayleth the Hagar? Feare not, for God hath herde the voyce of the childe where he lyeth.
Gen.21.18	Aryse, and lyfte vp the ladd, and take hym in thy hande, for I wyll make of hym a greate people.
Gen.21.19	And God opened hyr eyes: and she sawe a well of water. And she went and fylled the bottell with water, and gaue the boye drynke.
Gen.21.20	And God was wyth the ladd, and he grewe and dwelt in the wyldernesse, and became an archer.
Gen.21.21	And he dwelt in the wyldernesse of Pharan. And hys mother gatt hym a wyfe out of the lande of Egypte.
Gen.21.22	And it chaunced the same season, that Abimelech and Phicoll hys chefe captayne spake vnto Abraham sayinge: God is wyth the in all that thou doest.
Gen.21.23	And nowe therfore swere vnto me euen here by God, that thou wylt not hurt me nor my chyldren, nor my chyldrens chyldren. But that thou shalt deale with me and the contre where thou hast bene a straunger, accordynge vnto the kyndnesse that I haue shewed the.
Gen.21.24	And Abraham sayd. I wyll swere.
Gen.21.25	And Abraham rebuked Abimelech for a well of water, which Abimelechs seruauntes had violently taken a waye.
Gen.21.26	And Abimelech sayde: I wote not who hath done thys thinge. Also thou toldest me not: nether herde I of it, but thys daye.
Gen.21.27	And Abraham toke shepe and oxen, and gaue them vnto Abimelech. And they made both of them a bonde together.
Gen.21.28	And Abraham set .vii. ewe lambes by them selues.
Gen.21.29	And Abimelech sayd vnto Abraham: what meane these .vii. ewe lambes which thou hast set by them selues?
Gen.21.30	He answered: For these .vii. lambes shalt thou take of my hande, that they maye be a wytnesse vnto me, that I haue dygged thys well.
Gen.21.31	Wherfore the place is called Beer Seba, because that there they sware both of them.
Gen.21.32	Thus made they a bonde to gether at Beer Seba. And Abimelech Ꟶ Phicol his chefe Captayne rose vp, and turned agayne vnto the lande of the Philistines.
Gen.21.33	And Abraham planted a wodd in Beer Seba, and called there on the name of the Lorde, the euerlastyng God:
Gen.21.34	and sogeourned in the Philistins lande a longe season.
Gen.22.1	After these sayinges it happened that God dyd proue Abraham and sayde vnto hym: Abraham. Whych answered: here am I.
Gen.22.2	And he sayde take thy only sonne Isahac whom thou louest, Ꟶ get the vnto the lande Moria, and sacrifyce hym there for a sacrifyce vpon one of the mountayns, whych I wyll shewe the:
Gen.22.3	Than Abraham rose vp early in the mornyng, Ꟶ sadled his asse, and toke two of hys yonge men wyth hym, and Isahac hys sonne: and cloue wodd for the sacrifyce, and rose vp and gott hym to the place whyche God had appoynted hym.
Gen.22.4	The thyrde daye Abraham lyfte vp hys eyes, and sawe the place a farre of
Gen.22.5	and sayde vnto his yonge men: byde here with the asse. I and the lad wyll goo yonder and worshyppe, Ꟶ come agayne vnto you.
Gen.22.6	And Abraham toke the wodd of the sacrifyce and layde it vpon Isahac his sonne, but he him selfe toke fyre in his hande and a knyfe. And they went both of them together.
Gen.22.7	Than spake Isahac vnto Abraham hys father and sayde: My father? And he answered: here am I my sonne. He sayd: Se here is fyre and wodd, but where is the shepe for sacrifyce?
Gen.22.8	Abraham answered: my sonne, God wyll prouyde him a shepe for sacrifyce. And so they wente both together.
Gen.22.9	And when they came vnto the place which God had shewed hym, Abraham made an aulter there, Ꟶ dressed the wodd, and bownde Isahac his sonne, Ꟶ layde him on the aulter, aboue vpon the wodd.
Gen.22.10	And Abraham stretchynge forth his hande, toke the knyfe to haue kylled hys sonne.
Gen.22.11	And the angell of the Lorde called vnto him from heauen, saying: Abraham Abraham? And he sayde: here am I.
Gen.22.12	And he sayde: laye not thy hande vpon the chylde, nether do any thinge at all vnto him, for now I knowe that thou fearest God, and hast for my sake not spared thyne onely sonne.
Gen.22.13	And Abraham lyftynge vp his eyes, loked aboute: and beholde, there was a ram caught by the hornes in a thyckette. And he went Ꟶ toke the ram and offred hym vp for a sacrifyce in the steade of hys sonne.
Gen.22.14	And Abraham called the name of the place, the Lorde wyll see. As it is sayde thys daye: in the mounte wyll the Lorde be sene.
Gen.22.15	And the Angell of the Lorde cryed vnto Abraham from heauen the seconde tyme,
Gen.22.16	and sayde: by my selfe haue I sworne (sayth the Lorde) because thou hast done thys thynge and hast not spared thy onely sonne:
Gen.22.17	that in blessynge I wyll blesse the, and in multiplienge I wyll multiplie thy seed as the starres of heauen Ꟶ as the sande which is vpon the see syde. And thy seed shall possesse the gate of hys enemies.
Gen.22.18	And in thy seed shall all the nacions of the erth be blessed, because thou hast herde my voyce.
Gen.22.19	So turned Abraham agayne vnto hys yonge men, and they rose vp and went together to Beer Seba. And Abraham dwelt at Beer Seba.
Gen.22.20	And it chaunsed after these thinges, that one tolde Abraham sayinge: Beholde, Milcha, she hath also borne chyldren vnto thy brother Nachor.
Gen.22.21	Hus hys eldest sonne, and Bus hys brother, and Kemuell the father of the Syrians,
Gen.22.22	and ceased, Ꟶ Haso, and Pyldas, Ꟶ Iedlaph, Ꟶ Bethuel.
Gen.22.23	And Bethuel begat Rebecca. These eyght dyd Milcha bere to Nachor Abrahams brother:
Gen.22.24	And hys concubyne called Rhuma she bare also Tebah, Ꟶ Gaham, Thaas Ꟶ Maacha.
Gen.23.1	Sara was an hundred and .xxvii. yere olde (so longe lyued she)
Gen.23.2	Ꟶ Sara dyed in kyriat Arba. The same is Hebron in the lande of Canaan. And Abraham came to morne Sara, and to wepe for her.
Gen.23.3	And Abraham stode vp from the syght of hys coorse, and talked wyth the sonnes of Heth sayinge:
Gen.23.4	I am a straunger Ꟶ a foryner amonge you, geue me a possessyon to burye in wyth you, that I maye bury my coarse out of my syght.
Gen.23.5	And the chyldren of Heth answered Abraham, saying vnto him:
Gen.23.6	Heare vs Lorde, thou art a prynce of God amonge vs. In the chefest of oure sepulchres bury thy dead: None of vs also shall forbyd the hys sepulchre, but thou mayest bury thy dead therin:
Gen.23.7	Abraham stode vp and bowed him selfe before the people of the lande the children of Heth.
Gen.23.8	And he comoned wyth them sayinge: If it be youre mynde that I shall bury my dead out of my syght, heare me, and speke for me to Ephron the sonne of zoar:
Gen.23.9	that he maye geue me the dubbyll caue which he hath, and that is in the ende of hys felde: but for as moche money, as it is worth shall he geue it me in the presence of you, for a possessyon to burye in.
Gen.23.10	For Ephron dwelled amonge the chyldren of Heth. And Ephron the Hethite answered Abraham in the audience of the children of Heth and of all that went in at the gates of hys cyte, sayinge:
Gen.23.11	Not so my Lorde, heare me. The felde geue I the, and the caue that therin is geue I the also: and euen in the presence of the sonnes of my people geue I it the, bury thy dead.
Gen.23.12	And Abraham bowed hym selfe before the people of the lande,
Gen.23.13	Ꟶ spake vnto Ephron in the audience of the people of the contre saying: I praye the heare me yf it please the: I wyll geue siluer for the felde, take it Ꟶ I will bury my deed there.
Gen.23.14	Ephron answered Abraham sayinge vnto hym:
Gen.23.15	My Lorde, herken vnto me. The lande is worth .iiij. hundred sycles of syluer: what is that betwyxte the and me? bury therfore thy deed.
Gen.23.16	And Abraham harkened vnto Ephron Ꟶ weyed hym the syluer whych he had sayde, in the audience of the sonnes of Heth. Euen .iiii. hundred syluersycles of currant money amonge marchauntes.
Gen.23.17	And the felde of Ephron with the dubbyll caue whyche was before Mamre: euen the felde and the caue that was therin and all the trees that were in the felde, Ꟶ that were in all the borders rounde aboute, was made sur
Gen.23.18	vnto Abraham for a possession, in the syght of the children of Heth, before all that went in at the gates of the cyte.
Gen.23.19	After thys dyd Abraham burye Sara hys wyfe in the double caue of the felde that lyeth before Mamre. The same is Hebron in the lande of Chanaan.
Gen.23.20	And so both the felde and the caue that is therin, was made vnto Abraham a sure possessyon to bury in, of the sonnes of Heth.
Gen.24.1	Abraham was olde and stryken in dayes, and the Lorde had blessed hym in all thynges.
