Mark.0.0	¶ The Gospell of S. Marke.
Mark.7.6	He answered Ꟶ sayd vnto them: well prophesyed Esayas of you, ypocrytes, as it is wrytten: Thys people honoreth me wyth theyr lyppes, but theyr herte is farre from me:
Mark.7.7	howbeit, in vayne do they serue me, teachyng the doctrines and commaundementes of men.
Mark.7.8	For ye laye the commaundement of God a parte, Ꟶ obserue the constitucyons of men, as the wesshinge of cruses Ꟶ of cuppes, and many other soch lyke thynges ye do.
Mark.7.9	And he sayde vnto them: well, ye cast a syde the commaundement of God, to mayntayne youre awne constitucyons.
Mark.7.10	For Moses sayd: honoure thy father Ꟶ thy mother: Ꟶ whoso curseth father or mother, let him dye the death.
Mark.7.11	But ye saye: a man shall saye to father or mother, Corban: whych is: what gyfte soeuer commeth fro me, shalbe for thy profyt.
Mark.7.12	And so ye suffre him no more to do ought for hys father or his mother,
Mark.7.13	and make the worde of God of none effecte, through youre awne constitucyon whych ye haue ordeyned. And many soche thynges do ye.
Mark.7.14	And whan he had called all the people vnto hym, he sayde vnto them: herken vnto me, euery one of you, and vnderstande.
Mark.7.15	There is nothynge wyth out a man that can defyle him, when it entreth into him: but the thynges whych proceade out of a man, those are they that defyle the man.
Mark.7.16	If eny man haue eares to heare, let hym heare.
Mark.7.17	And when he came in to the house awaye from the people, his discyples asked him of the symilitude.
Mark.7.18	And he sayd vnto them: are ye also so greatly wyth out vnderstandinge? Do ye not yet perceaue, that what soeuer thynge from wtout, entreth into a man, it cannot defyle him,
Mark.7.19	because it entreth not into his hert but into the bely: Ꟶ goeth out into the draught, pourgyng out all meates?
Mark.7.20	And he sayde: that whych commeth out of a man
Mark.7.21	defyleth the man. For from wyth in, euen out of the herte of men proceade euyll thoughtes, aduoutry, fornicacyon, murther,
Mark.7.22	theft, couetousnes, fraude, deceyte, vnclennes, a wycked eye, blasphemyes, pryde, folyshnes:
Mark.7.23	all these euyll thynges come from wt in, and defyle a man.
Mark.7.24	And from thence he rose, Ꟶ went into the borders of Tyre Ꟶ Sidon: Ꟶ entred into an house, Ꟶ wolde that no man shuld haue knowen. But he coulde not be hyd.
Mark.7.25	For a certayne woman (whose daughter had a foule sprete) as soone as she heard of hym, came, and fell at hys fete.
Mark.7.26	The woman was a Greke out of the nacyon of Syrophenicia, Ꟶ she besought him, that he wolde cast out the deuyl from her daughter.
Mark.7.27	But Iesus sayd vnto her: let the chyldren fyrst be fedd. For it is not mete, to take the chyldrens bread, and to cast it vnto whelpes.
Mark.7.28	She answered Ꟶ sayde vnto hym: euen so lorde, neuerthelesse, the whelpes also eat vnder the table of the chyldrens cromes.
Mark.7.29	And he sayde vnto her: for thys sayinge go thy waye, the deuyl is gone out of thy daughter.
Mark.7.30	And when she was come home to her house, she founde that the deuyll was departed, and her daughter lyinge on the bedd.
Mark.7.31	And he departed agayne from the coastes of Tyre and Sidon, and came vnto the see of Galile thorow the myddes of the coastes of the ten cyties.
Mark.7.32	And they broughte vnto him one that was deaffe and had an impediment in hys speche, and they prayd hym to put his hande vpon him.
Mark.7.33	And when he had taken hym asyde from the people, he put hys fyngers into hys eares, and dyd spyt, Ꟶ touched hys tonge,
Mark.7.34	and loked vp to heauen, and syghed, and sayde vnto hym: Ephata, that is to saye, be opened.
Mark.7.35	And strayght waye his eares were opened, and the stryng of his tounge was lowsed, and he spake playne.
Mark.7.36	And he commaunded them, that they shulde tell no man. But the more he forbad them, so moch the more a greate deale they publisshed,
Mark.7.37	saying: He hath done all thynges well, he hath made both the deaffe to heare, and the dome to speake.
Mark.8.1	In those dayes when ther was a very great company, and had nothynge to eate. Iesus called his disciples to him, and sayde vnto them:
Mark.8.2	I haue compassion on the people, because they haue nowe bene wt me thre dayes, and haue nothing to eate:
Mark.8.3	and yf I sende them a waye fastyng to theyr awne houses, they shall faynt by the waye. For diuers of them came from farre.
Mark.8.4	And his discyples answered hym: where shulde a man haue bread here in the wyldernes to satysfye these?
Mark.8.5	And he asked them: how many loues haue ye? They sayde: seuen.
Mark.8.6	And he commaunded the people to syt downe on the grounde. And he toke the seuen loaues, and whan he had geuen thanckes, he brake, and gaue to hys dyscyples, to set before them. And they did set them before the people.
Mark.8.7	And they had a fewe small fysshes. And whan he had blessed, he commaunded them also to be sett before them.
Mark.8.8	And they dyd eate, and were suffysed. And they toke vp of the broken meate that was left seuen baskettes full.
Mark.8.9	And they that dyd eate: were about foure thousande. And he sent them awaye.
Mark.8.10	And anone he entred into a shyp with his disciples, and came into the parties of Dalmanutha.
Mark.8.11	And the Pharyses came forth, and beganne to dispute with hym, sekynge of hym a sygne from heauen, temptynge hym.
Mark.8.12	And whan he had syghted in hys sprete, he sayeth: why doth thys generacyon seke a sygne? Uerely I saye vnto you, there shall no sygne be geuen vnto thys generacyon.
Mark.8.13	And he left them, and went into the ship agayne, and departed ouer the water.
Mark.8.14	And they had forgotten to take bread wt them, nether had they in the shyp with them more then one loafe.
Mark.8.15	And he charged them, saying. Take hede, beware of the leuen of the Pharises, and of the leuen of Herode.
Mark.8.16	And they reasoned amonge them selues sayenge: We haue no bread.
Mark.8.17	And Iesus knewe it, and saith vnto them: why take ye thought, because ye haue no breed? perceaue ye not yet nether vnderstande? Haue ye youre hert yet blynded?
Mark.8.18	Haue ye eyes, and se not? and haue ye eares, and heare not? Do ye not also remembre?
Mark.8.19	When I brake fyue loaues among fyue thousande men, how many baskettes full of broken meat toke ye vp? They saye vnto him, twelue.
Mark.8.20	When I brake seuen amonge foure thousand, how many baskettes of the leauynges of the broken meate toke ye vp? They sayd: seuen.
Mark.8.21	And he sayd vnto them: how happeneth it that ye do not vnderstande?
Mark.8.22	And he came to Bethsayda, and they brought a blinde man vnto hym, and desired hym to touche him.
Mark.8.23	And he caught the blynde by the hand, and lead him out of the towne: and whan he had spyt in his eyes, and put his handes vpon him, he asked him yf he sawe ought.
Mark.8.24	And he loked vp, Ꟶ sayd: I se the men: for I perceaue them walke, as they were trees.
Mark.8.25	After that, he put hys handes agayne vpon hys eyes, and made hym se. And he was restored, and sawe euery man clearly.
Mark.8.26	And he sent him home to his house, saieng: nether go into the towne, ner tel it to eny in the towne.
Mark.8.27	And Iesus went out, Ꟶ hys disciples into the townes that longe to the cytie called, Cesarea Philippi. And by the waye he asked his disciples, saying vnto them: whom do men saye that I am?
Mark.8.28	And they answered: some saye, that thou art Iohn baptist, Ꟶ some saye, Helias. Agayne, some saye, that that thou arte one of the nombre of the prophetes.
Mark.8.29	And he sayde vnto them: but whom saye ye that I am? Peter answereth Ꟶ sayth vnto him: thou art very Christ.
Mark.8.30	And he charged them, that they shulde tell no man of him.
Mark.8.31	And he beganne to teach them how that the sonne of man must suffre many thinges, and be reproued of the elders, and of the hye prestes, and scribes, and be kylled, Ꟶ after thre dayes aryse agayne.
Mark.8.32	And he spake that sayinge openly. And Peter toke hym aside, and began to chyde him.
Mark.8.33	But he turned about, and loked on hys disciples, and rebuked Peter, saying: Go after me Satan. For thou sauerest not the thinges that be of God, but the thynges that be of men.
Mark.8.34	And when he had called the people vnto hym with hys discyples also, he sayde vnto them. Whosoeuer wyll folowe me, lett hym forsake him self, and take vp hys crosse, and folowe me.
Mark.8.35	For whosoeuer wil saue his life, shal lose it. But whosoeuer shal lose his life, for my sake Ꟶ the gospels, the same shall saue it.
Mark.8.36	For what shall it profet a man, yf he wynne all the world, and lose his awne soule:
Mark.8.37	or what shall a man geue to redeme hys soule with all agayne?
Mark.8.38	Whosoeuer therfore shalbe asshamed of me and of my wordes, in thys aduoutrous and synfull generacion: of hym also shall the sonne of man be asshamed, when he commeth in the glorye of hys father with the holy angels.
Mark.9.1	And he sayd vnto them: Uerely, I saye vnto you: Ther be some among them that stande here, which shall not taste of death, tyll they haue sene the kyngdome of God come with power.
Mark.9.2	And after sixe dayes Iesus taketh Peter and Iames, and Iohn, and leedeth them vp into an hye mountayne out of the waye alone: and he was transfigured before them.
Mark.9.3	And hys rayment dyd shyne, and became very whyte, euen as snowe: so whyt as no fuller can make vpon the earth.
Mark.9.4	And ther appeared vnto them Elias with Moses. And they talked with Iesu.
Mark.9.5	And Peter answered Ꟶ sayth to Iesu: Master, here is good beynge for vs: let vs make also .iij. tabernacles, one for the, and one for Moses, and one for Helias.
Mark.9.6	For he wyst not what he sayd: for they were afrayed.
Mark.9.7	And there was a cloude that shadowed them. And a voyce came out of the cloude, saying: Thys is my beloued sonne: heare hym.
Mark.9.8	And sodenly whan they had loked rounde aboute, they sawe no man more then Iesus onely with them.
Mark.9.9	And as they came downe from the hyll, he charged them, that they shuld tell no man those thynges that they had sene, tyll the sonne of man were rysen from death agayne.
Mark.9.10	And they kepte that saieng with them, and demaunded one of another, what the rysyng from death agayne shulde meane?
Mark.9.11	And they asked hym, sayenge: why then saye the scribes, that Helias must first come?
Mark.9.12	He answered and sayd: vnto them: Helias verely when he commeth fyrst, restoreth all thynges. And the sonne of man (as it is writen of him) shall suffre many thynges, Ꟶ be sett at naught.
Mark.9.13	But I saye vnto you, thut Helias is come, and they haue done vnto hym whatsoeuer they wolde, as it was wryten of hym.
Mark.9.14	And whan he came to hys disciples, he sawe moch people about them, Ꟶ the scribes disputing wt them.
Mark.9.15	And streight waye all the people (whan they behelde hym) were amased, and ran to hym, Ꟶ saluted hym.
Mark.9.16	And he asked the scribes: what dispute ye among them?
Mark.9.17	And one of the company answered, Ꟶ sayde: Master, I haue brought vnto the my sonne, whych hath a dome sprete.
Mark.9.18	And whensoeuer he taketh him, he teareth him, and he fometh, and gnassheth with hys teth, and pineth awaye. And I spake to thy disciples that they shuld caste hym out, and they coulde not.
Mark.9.19	He answereth him, and sayth: O faithles nacion, how longe shall I be wt you? How longe shall I suffre you? Brynge hym vnto me.
Mark.9.20	And they brought him vnto hym. And assone as the sprete sawe hym, he tare him. And he fell downe on the ground, walowing Ꟶ foming.
Mark.9.21	And he asketh his father: how longe is it ago: sens thys happened hym? And he sayde: of a chylde:
Mark.9.22	Ꟶ oft tymes it hath cast hym into the fyre, Ꟶ into the water, to destroye hym. But yf thou canst do eny thing, haue mercy on vs and helpe vs.
Mark.9.23	Iesus sayd vnto hym: yf thou couldest beleue all thynges are possyble to hym that beleueth.
Mark.9.24	And streyght waye the father of the chyld cried with teares, saieng, Lord, I beleue, helpe thou myne vnbelefe.
Mark.9.25	When Iesus sawe that the people came runnyng together vnto him, he rebuked the foule sprete, saying vnto hym: Thou domme Ꟶ deeff sprete, I charge the come out of him, and entre nomore into him.
Mark.9.26	And the sprete (whan he had cried, Ꟶ rent hym sore) came out of hym, and he was as one that had bene dead, in so moch that many sayd: he is deed.
Mark.9.27	But Iesus caught hys hand, and lyft him vp: and he rose.
Mark.9.28	And when he was come into the house, his disciples asked hym secretly: why coulde not we cast hym oute?
Mark.9.29	And he sayde vnto them: this kynde can come forth by nothing: but by prayer and fastynge.
Mark.9.30	And they departed thens, Ꟶ toke theyr iorney thorow Galile, and he wold not, that eny man shuld knowe it.
Mark.9.31	For he taught hys disciples, and sayd vnto them: the sonne of man shalbe deliuered into the handes of men, and they shall kyll hym: and after that he is kylled, he shall aryse agayne the thyrd daye.
Mark.9.32	But they wist not what he sayde, and were afrayed to aske him.
Mark.9.33	And he came to Capernaum. And when he was come into the house, he asked them: what was it that ye disputed among yourselues by the waye?
Mark.9.34	And they helde their peace: for by the waye they had reasoned among them selues, who shuld be the chefest.
Mark.9.35	And when he was set downe, he called the twelue to hym, and sayd vnto them: yf eny man desyre to be fyrst, the same shalbe last of all, and seruaunt to all.
Mark.9.36	And he toke a chylde, and set hym in the myddes of them: Ꟶ when he had taken hym in hys armes, he sayde vnto them:
Mark.9.37	whosoeuer receaueth eny soche a childe in my name, receaueth me. And whosoeuer receaueth me, receaueth not me, but hym that sent me.
Mark.9.38	Iohn answered hym, sayinge: Master, we sawe one cast out deuyls in thy name, Ꟶ he foloweth not vs: and we forbade hym, because he foloweth vs not.
Mark.9.39	But Iesus sayde: forbyd him not. For ther is no man whych (yf he do a myracle in my name) can lyghtely speake euill of me.
Mark.9.40	For he that is not agaynst vs, is on oure parte.
Mark.9.41	Whosoeuer shall in my name geue you a cuppe of water to drincke, because ye belonge to Chryste, verely I saye vnto you: he shall not loose hys reward.
Mark.9.42	And whosoeuer shall offende one of these lytelons, that beleue in me, it were better for hym, yf a mylstone were hanged aboute his necke, and he were cast into the see.
Mark.9.43	Wherfore yf thy hande hynder the, cut it of. It is beter for the, to entre into lyfe maymed, then (hauynge two handes) to go into hell, into fyre that neuer shalbe quenched,
Mark.9.44	where theyr worme dyeth not, and the fyre goeth not out.
Mark.9.45	And yf thy fote be a hynderaunce vnto the, cut it of. It is better for the to go halt into lyfe, then (hauynge two fete) to be cast into hell, into fyre that neuer shalbe quenched:
Mark.9.46	where theyr worme dyeth not, and the fyre goeth not out.
Mark.9.47	And yf thyne eye hinder the plucke it out. It is better for the to go into the kyngedome of God wyth one eye, then (hauynge two eyes) to be cast into hell fyre:
Mark.9.48	where theyr worme dyeth not, and the fyre goeth not out.
Mark.9.49	Euery man shalbe salted wyth fyre. And euery sacrifyce shalbe seasoned with salt.
Mark.9.50	Salt is good. But yf the salt be vnsauery, what shall ye season ther wyth? haue salt in youre selues: and haue peace amonge youre selues, one wyth another.
Mark.10.1	And whan he rose from thence, he went into the coastes of Iurye through the regyon that is beyonde Iordan: And the people resorted vnto hym a freshe. and as he was wont, he taught them agayne.
Mark.10.2	And the Pharyses came, and asked hym. Is it lawfull for a man to put awaye hys wyfe: to proue hym.
Mark.10.3	And he answered, and sayd vnto them: what dyd Moses byd you do:
Mark.10.4	and they sayde, Moses suffered to wryte a testimonall of deuorsement, and to put her awaye.
Mark.10.5	And Iesus answered and sayde vnto them: For the hardnes of youre herte he wrote thys precept vnto you.
Mark.10.6	But at the fyrst creacyon. God made them man and woman.
Mark.10.7	Therfore shall a man leaue hys father Ꟶ mother, Ꟶ byde by, hys wyfe,
Mark.10.8	Ꟶ they twayne shalbe one fleshe. So then are they now not twayne, but one fleshe.
Mark.10.9	Therfore, what God hath coupled together let not man separate.
Mark.10.10	And in the house hys discyples asked him againe of the same matter.
Mark.10.11	And he sayeth vnto them. Whosoeuer putteth awaye hys wyfe, Ꟶ maryeth another, breaketh wedlocke to her warde.
Mark.10.12	And yf a woman forsake her husband, and be maryed to another, she commytteth aduoutrye.
Mark.10.13	And they brought chyldren to hym, that he shulde touch them. And hys discyples rebuked those that brought them.
Mark.10.14	But when Iesus sawe it, he was dyspleased Ꟶ sayd vnto them: Suffre the children to come vnto me, forbyd them not. For of soch is the kyngdome of God.
Mark.10.15	Uerely I saye vnto you, whosoeuer doth not receaue the kyngdome of God as a childe, he shal not entre therin.
Mark.10.16	And whan he had taken them vp in hys armes, he put his handes vpon them, and blessed them.
Mark.10.17	And when he was gone forth into the waye, ther came one runnynge and kneled to hym, Ꟶ asked hym: good master, what shal I do, that I maye enheret eternall lyfe?
Mark.10.18	Iesus sayde vnto hym: why callest thou me good? There is no man good, but one, which is God.
Mark.10.19	Thou knowest the commaundementes: breake not matrimony: kyll not: steale not, beare no false wytnes: defraude no man: honoure thy father and mother.
Mark.10.20	He answered and sayd vnto hym: Master, all these, I haue obserued from my youth.
Mark.10.21	Iesus behelde hym, and fauoured hym, and sayd vnto hym: one thynge thou lackest. Go thy waye Sell that thou hast, and geue to the poore, and thou shalt haue treasure in heauen, and come, folowe me and take vp my crosse vpon thy shulders.
Mark.10.22	But he was discomforted because of that sayinge, and went awaye mournyng for he had great possessyons.
Mark.10.23	And whan Iesus had looked rounde aboute, he sayde vnto his discyples. How vneasye shall they that haue money: entre into the kyngdome of God.
Mark.10.24	And the discyples were astonnyed at hys wordes. But Iesus answereth againe, Ꟶ sayeth vnto them: children, how harde is it for them, that trust in money, to entre into the kingdome of God?
Mark.10.25	It is easyer for a camell to go thorow the eye of an nedle, then for the ryche to entre into the kyngdome of God.
Mark.10.26	And they were astonnyed out of measure, sayinge betwene them selues: who then can be saued?
Mark.10.27	Iesus loked vpon them, and sayd. with men it is vnpossible, but not with God: for with God all thynges are possyble.
Mark.10.28	And Peter beganne to saye vnto hym: Lo: We haue forsaken all, Ꟶ haue folowed the.
Mark.10.29	Iesus answered, Ꟶ sayde: Uerely I saye vnto you, ther is no man that hath forsaken house, or brethren, or systers, or father, or mother, or wyfe, or chyldren, or landes for my sake Ꟶ the Gospelles,
Mark.10.30	but he shall receaue an hundred foold nowe in this lyfe, houses and brethren, and systers, and mothers, and chyldren, and landes wyth persecucyons: Ꟶ in the worlde to come, eternall lyfe.
Mark.10.31	But many that are fyrst, shalbe last: Ꟶ the last, fyrst.
Mark.10.32	And they were in the waye goynge vp to Ierusalem. And Iesus went before them, and they were amased, Ꟶ folowed, and were afrayde. And Iesus toke the twelue agayne, and beganne to tell them what thynges shulde happen vnto hym.
Mark.10.33	Beholde, we go vp to Ierusalem, Ꟶ the sonne of man shalbe delyuered vnto the hye Prestes and vnto the Scribes: and they shall condemne hym to deeth, and shall delyuer hym to the gentyls,
Mark.10.34	and they shall mocke hym, and scourge hym, spyt vpon him, and kyll hym. And thyrde daye he shall ryse agayne.
Mark.10.35	And Iames and Iohn the sonnes of zebede came vnto him, sayinge: Master: we wolde, that thou shuldest do for vs whatsoeuer we desyre.
Mark.10.36	He sayde vnto them: what wolde ye that I shuld do for you?
Mark.10.37	They sayde vnto hym: graunt vnto vs, that we maye sytte, one on thy ryght hande, and the other on thy lyfte hande, in thy glory.
Mark.10.38	But Iesus sayd vnto them: Ye wote not what ye aske: Can ye dryncke of the cup, that I dryncke of? and be baptysed wyth the baptyme, that I am baptysed with?
Mark.10.39	And they sayde vnto hym: that we can. Iesus sayde vnto them: ye shall in dede dryncke of the cup that I dryncke of: and wyth the baptyme that I am baptysed wyth all, shall ye be baptysed in:
Mark.10.40	but to syt on my ryght hande Ꟶ on my lyfte hande, is not myne to geue, but it shall happen vnto them, for whom it is prepared.
Mark.10.41	And when the ten hearde it, they began to dysdayne at Iames and Iohn.
Mark.10.42	But Iesus whan he had called them to hym, sayd vnto them: ye knowe, that they whych are sene to beare rule amonge the people, raygne as Lordes ouer them.
Mark.10.43	And they that be greate amonge them, exercyse auctoryte vpon them. Neuertheles, so shall it not be amonge you: but whosoeuer of you wylbe greate amonge you, shalbe youre mynister.
Mark.10.44	And whosoeuer wylbe chefe, shalbe seruaunt of all.
Mark.10.45	For the sonne of man also came not to be mynystred vnto: but to mynister, and to geue hys lyfe for the redempcyon of many.
Mark.10.46	And they came to Hierico: And as he went out of the cytie of Hierico wyth his dyscyples, and a greate nombre of people: blynde Bartymeus the sonne of Tymeus, sate by the hye wayes syde beggyng.
Mark.10.47	And when he hearde that it was Iesus of Nazazeth, be began to crye, and to saye: Iesus, thou sonne of Dauid, haue mercy on me.
Mark.10.48	And many rebuked hym, that he shuld holde hys peace. But he cryed the more a greate deale: thou sonne of Dauid haue mercy on me.
Mark.10.49	And Iesus stode styll, and commaunded hym to be called: And they called the blynde, sayinge vnto hym: Be of good comforte: ryse he calleth the.
Mark.10.50	And he threwe awaye hys cloke, and rose, and came to Iesus.
Mark.10.51	And Iesus answered, and sayde vnto hym: what wylt thou that I do vnto the? The blynde sayde vnto hym: Master, that I myght se.
Mark.10.52	Iesus sayde vnto hym: go thy waye, thy fayth hath saued the. And immediatly he receaued hys syght, Ꟶ folowed Iesus in the waye.
Mark.11.1	And when they came nye to Ierusalem vnto Betphage Ꟶ Bethanie, besydes mount Olyuete, he sendeth forth two of hys discyples,
Mark.11.2	and sayeth vnto them: Go youre waye into the toune, that is ouer agaynst you. And as sone as ye be entred into it: ye shall fynde a colte bounde, wheron neuer man sate: lose hym, and brynge hym hither.
Mark.11.3	And yf eny man saye vnto you: why do ye so? Saye ye, that the Lorde hath neade of hym: and streyght waye he wyll sende hym hyther.
Mark.11.4	And they went theyr waye, and found the colte tyed by the dore wythout in a place wher two wayes met, Ꟶ they losed hym.
Mark.11.5	And dyuers of them that stode there, sayde vnto them: what do ye, losynge the colte?
Mark.11.6	And they sayde vnto them, euen as Iesus had commaunded. And they let them go.
Mark.11.7	And they brought the colte to Iesus and cast theyr garmentes on hym: and he sate vpon hym.
Mark.11.8	And many sprede theyr garmentes in the waye. Other cut downe braunches of the trees, and strawed them in the waye.
Mark.11.9	And they that went before and they that folowed: cryed, saying. Hosanna: blessed is he that commeth in the name of the Lorde.
Mark.11.10	Blessed be the kyngdome, that commeth in the name of hym that is Lorde of oure father Dauid: Hosanna in the hyest
Mark.11.11	And the Lorde entred into Ierusalem and into the temple. And when he had loked round about vpon all thynges, and now the euen tyde was come, he went out vnto Bethany wyth the twelue.
Mark.11.12	And on the morow when they were come out from Bethany, he hungred.
Mark.11.13	And whan he had spyed a fyg tree a farre of, hauynge leaues, he came to se, yf he myght fynde eny thynge theron. And when he came to it, he founde nothynge but leaues: for the tyme of fygges was not yet.
Mark.11.14	And Iesus answered, and sayde vnto the fygg tre: neuer man eate frute of the here after whyll the worlde standeth. And hys discyples hearde it.
Mark.11.15	And they came to Ierusalem. And Iesus went into the temple, Ꟶ beganne to cast out them that solde and bought in the temple, and ouer threwe the tables of the money chaungers, Ꟶ the stoles of them that solde doues:
Mark.11.16	and wolde not suffre, that eny man shuld carye a vessel thorow the temple.
Mark.11.17	And he taught, sayinge vnto them: is it not wrytten: my house shalbe called the house of prayer vnto all nacyons? But ye haue made it a denne of theues.
Mark.11.18	And the Scrybes and hye prestes hearde it, and sought howe to destroye hym. For they feared hym, because all the people marueled at hys doctryne.
Mark.11.19	And when euen was come, Iesus went out of the cytie.
Mark.11.20	And in the morninge as they passed by, they sawe the fygge tree dryed vp by the rotes.
Mark.11.21	And Peter remembred, and sayde vnto him: master, beholde, the fygg tree whych thou cursedst, is wyddred awaye.
Mark.11.22	And Iesus answered and sayde vnto them: haue confydens in God.
Mark.11.23	Uerely I saye vnto you, that whosoeuer shall saye vnto thys mountayne: remoue, and cast thy selfe into the see, and shall not doute in hys herte, but shall beleue that those thinges which he sayeth shal come to passe, whatsoeuer he sayeth he shall haue.
Mark.11.24	Therfore I saye vnto you, what thinges soeuer ye desyre when ye praye, beleue that ye receaue them, and ye shall haue them.
Mark.11.25	And when ye stand Ꟶ praye, forgeue, yf ye haue ought agaynst eny man, that youre father also whych is in heauen, maye forgeue you youre trespasses.
Mark.11.26	n/a
Mark.11.27	And they came agayne to Ierusalem. And as he walked in the temple, ther came to him the hye Prestes, Ꟶ the Scrybes, Ꟶ the elders,
Mark.11.28	and saye vnto hym: by what auctorite doest thou these thynges? and who gaue the thys auctorite, to do these thynges?
Mark.11.29	Iesus answered, and sayd vnto them: I wyll also aske of of you a certayne thynge Ꟶ answere ye me, Ꟶ I will tell you by what auctorite I do these thinges.
Mark.11.30	The baptime of Iohn, whether was it from heauen or of men? Answer me.
Mark.11.31	And they thought in them selues, sayinge: yf we saye, from heauen: he wyll saye why then did ye not beleue hym?
Mark.11.32	but yf they had sayd, of men, they feared the people. For all men counted Iohn, that he was a verye Prophete.
Mark.11.33	And they answered Ꟶ sayd vnto Iesu: we cannot tell. And Iesus answered, and sayd vnto them: nether will I tell you by what auctorite I do these thinges.
Mark.12.1	And he beganne to speake vnto them by parables. A certayne man planted a vyneyarde, and compassed it aboute wt an hedge, and ordeined a wyne presse, and bylt a toure, and let it out to hyre vnto husbandmen, and went into a straunge countre.
Mark.12.2	And when the tyme was come, he sent to the husbandmen a seruaunt, that he myght receaue of the husbandmen of the frute of the vyneyarde.
Mark.12.3	And they caught hym, and bet hym, and sent hym awaye agayne emptye.
Mark.12.4	And moreouer, he sent vnto them another seruaunt, and at hym they cast stones and brake hys heed, Ꟶ sent him awaye agayne all to reuyled.
Mark.12.5	And agayne, he sent another, and him they kylled: and many other, beatynge some, and kyllinge some.
Mark.12.6	And so whan he had yet but one beloued sonne, he sent him also at the last vnto them, sayinge: they wyll feare my sonne.
Mark.12.7	But the husbandmen sayd amongest them selues: this is the heyre: come let vs kyl him, Ꟶ the inheritaunce shalbe oures.
Mark.12.8	And they toke him Ꟶ kylled him, Ꟶ cast hym out of the vyneyard.
Mark.12.9	What shall therfore the Lorde of the vyneyarde do? He shall come, ad destroye the husbandmen, Ꟶ let out the vyneyarde vnto other.
Mark.12.10	Haue ye not red this scrypture? The stone whych the buylders dyd refuse, is become the chefe stoone of the corner?
Mark.12.11	this is the Lordes doynge, Ꟶ it is meruelous in oure eyes.
Mark.12.12	They went about also to take him, Ꟶ feared the people. For they knewe, that he had spoken the parable agaynst them. And they left hym and went theyr waye:
Mark.12.13	And they sent vnto hym certayne of the Pharises Ꟶ Herodes seruauntes, to take him in his wordes.
Mark.12.14	And assone as they were come, they sayd vnto him: Master, we knowe that thou arte true, Ꟶ carest for no man: for thou consyderest not the outward appearaunce of men, but teachest the waye of God truly: Is it laufull to paye tribute to Cesar, or not?
Mark.12.15	Ought we to geue, or ought we not to geue? But he vnderstode theyr symulacyon, and sayd vnto them: Why tempte ye me? Bringe me a peny, that I maye se it.
Mark.12.16	And they brought it. And he sayeth vnto them: Whose is thys ymage Ꟶ superscripcyon? And they sayde vnto hym: Cesars.
Mark.12.17	And Iesus answered, and sayde vnto them: Geue to Cesar the thinges that belonge to Cesar: and to God, the thynges whych perteyne to God. And they meruelled at hym.
Mark.12.18	There came also vnto hym the Saduces, whych saye that ther is no resurreccyon. And they asked hym sayinge:
Mark.12.19	Master Moses wrote vnto vs, yf eny mans brother dye, and leaue hys wyfe behynde hym, and leaue no chyldren: that hys brother shuld take hys wyfe, and reyse vp seed vnto hys brother.
Mark.12.20	There were seuen brethren, and the fyrst toke a wyfe: and when he dyed, left no seed behynde hym.
Mark.12.21	And the seconde toke hyr, and dyed: nether left he any seed. And the thyrde lykewyse.
Mark.12.22	And seuen had her, and left no seed behynde them. Last of all the wyfe dyed also.
Mark.12.23	In the resurreccyon therfore when they shall ryse agayne: whose wyfe shall she be of them? For seuen had her to wyfe.
Mark.12.24	And Iesus answered, and sayd vnto them: Do ye not therfore erre, because ye vnderstande not the scriptures, nether the power of God?
Mark.12.25	For when they shall ryse agayne from deeth, they nether mary, nor are maryed: but are as the angels, whych are in heauen.
Mark.12.26	As touching the deed, that they ryse agayne: haue ye not redde in the boke of Moses, how in the bushe, God spake vnto hym, sayinge: I am the God of Abraham and the God of Isaac, and the God of Iacob?
Mark.12.27	He is no God of deed, but the God of lyuynge. Ye are therfore greatly deceaued.
Mark.12.28	And whan ther came one of the Scrybes, and had hearde them disputynge to gether (and perceaued that he had answered them well) he asked hym: whych is the fyrst of all the commaundementes?
Mark.12.29	Iesus answered him, the fyrste of all the commaundementes is: Heare O Israell: The Lorde oure God, is Lord onely:
Mark.12.30	And thou shalt loue the Lorde thy God with all thy hert, Ꟶ wyth all thy soule, and wyth all thy mynde, and with all thy strength. This is the fyrste commaundment.
Mark.12.31	And the seconde is lyke vnto thys: Thou shalt loue thy neyghbour as thy selfe. Ther is none other commaundment greater then these.
Mark.12.32	And the Scrybe sayde vnto him: well master, thou hast sayd the truthe, for ther is one God, Ꟶ ther is none but he.
Mark.12.33	And to loue hym wyth all the herte, and wyth all the mynde, Ꟶ wyth all the soule, Ꟶ wyth all the strength: and to loue a mans neyghbour as hym selfe, is a greater thynge, then all burt offerynges and sacrifyces.
Mark.12.34	And when Iesus sawe that he answered discretly, he sayde vnto hym: Thou art not farre from the kyngdome of God. And no man after that, durst aske hym any questyon.
Mark.12.35	And Iesus answered Ꟶ sayde, teachinge in the temple: how saye the Scrybes that Chryst is the sonne of Dauid?
Mark.12.36	for Dauid him selfe inspired wt the holy goost, sayd: The Lorde sayde to my Lorde, syt on my ryght hande tyll I make thyne enemyes thy fote stole.
Mark.12.37	Dauid him selfe calleth him Lord: Ꟶ how is he then hys sonne? And moche people hearde him gladly:
