1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.9.10	Then sayde Saul to hys lad: well sayde of the: come, let vs go. And so they went vnto the cytie where the man of God was.
1Sam.9.11	And as they were goinge vp into the cytie, they mett wyth damoselles that came out to drawe water, and sayd vnto them: is there here a sear?
1Sam.9.12	And the maydens answered them, yee, beholde, he is before you. Make hast nowe, for he cam thys daye to the cyte for there is an offerynge of the people this daye in the hill.
1Sam.9.13	When ye be come into the cytie, ye shall fynde hym strayght waye, yer he go vp to the hyll to eate: for the people wyll not eate vntyll he come, because he doth blesse the offering. And then eate they that be bydden to the feast. Nowe therfore get you vp, for this daye shall ye fynde hym.
1Sam.9.14	And they went vp into the cytie. And when they were come into the myddes of the citie: beholde, Samuel came out agaynst them, for to go vp to the hill.
1Sam.9.15	But the Lorde had tolde Samuel in his eare (a daye before Saul came) sayenge:
1Sam.9.16	to morowe thys tyme I wyll sende the a man out of the lande of Ben Iamin, hym shalt thou anoynte to be captayne ouer my people Israel, that he maye saue my people out of the hande of the Philistines: for I haue loked vpon my people, and theyr crye is come vnto me.
1Sam.9.17	When Samuel therfore saw Saul, the Lord answered hym: se, this is the man, whom I spake to the of. Thys same shall raygne ouer my people.
1Sam.9.18	Then went Saul to Samuel in the myddle of the gate, Ꟶ sayde: tell me I praye the, where the sears house is.
1Sam.9.19	Samuel answered Saul, and sayde: I am the sear, go vp before me vnto the hill, for ye shall eate wyth me to daye. And to morowe I wyll let the go, and wyll tell the all that is in thyne hert.
1Sam.9.20	And as for thyne asses that were lost thre dayes agoo, care not for them, for they are founde. And moreouer, whose shall the bewtifull thinges of Israel be? belonge they not to the, and vnto all thy fathers house?
1Sam.9.21	But Saul answered and sayde: am not I the sonne of a Ieminite of the smallest trybe of Israel? and my kynred is the least of all the kynredes of the trybe of BenIamin. Wherfore then speakest thou so to me?
1Sam.9.22	And Samuel toke Saul and his lad, and brought them into the parler, and made them sytt in the chefest place amonge them that were bydden: which were vpon a thirtye persones:
1Sam.9.23	And Samuel sayde vnto the cooke: brynge forth the porcyon whych I gaue the, and of which I sayd vnto the: kepe it with the.
1Sam.9.24	And the cooke toke vp the shoulder, Ꟶ that whych was vpon it, Ꟶ set it before Saul. And Samuel sayd: beholde, that which is left: put it before the Ꟶ eate, for hitherto hath it bene kept for the, of purpose, when I called the people. And so Saul dyd eat with Samuel that daye.
1Sam.9.25	And when they were come downe from the hyll into the cytie, Samuel comuned wyth Saul vpon the toppe of the house
1Sam.9.26	and whan they arose erlye about the sprynge of the daye, Samuel called Saul vpon the toppe of the house, sayenge: vp, that I maye sende the awaye. And Saul arose. And they went out at the dores both, he Ꟶ Samuel.
1Sam.9.27	And when they were come almost out of the towne, Samuel sayd to Saul: byd the lad go before vs (and he went before) but stande thou styll a whyle, that I maye shewe the what God sayeth.
1Sam.10.1	And then Samuel toke a vessell of oyle, Ꟶ powred it vpon hys heed, Ꟶ kyssed him, Ꟶ sayde: hath not the Lord anoynted the, to be captayne ouer hys enheritaunce?
1Sam.10.2	When thou art departed from me this daye, thou shalt fynde two men by Rahels sepulcre in the border of BenIamin, euen at zalezah. And they will saye vnto the: the asses which thou wentest to seke, are founde. And lo, thy father hath left the care of the asses, Ꟶ soroweth for you, sayenge: what shall I do for my sonne?
1Sam.10.3	Then shalt thou go forth from thence, Ꟶ shalt come to the playne of Thabor. And there shall mete the thre men goinge vp, to God to Bethel: one caryeng thre kiddes: Ꟶ another caryeng thre loues of breed: Ꟶ another caryeng a botell of wyne.
1Sam.10.4	And they wyll salute the, Ꟶ geue the two loues of breed: which thou shalt receaue of theyr handes.
1Sam.10.5	After that shalt thou come to the hyll of God, where the Philistines kepe their watche. And when thou art come thyther to the cytie, thou shalt mete a companye of prophetes comminge downe from the hill, wt a psalter, a tymbrell, a pype, Ꟶ a harpe before them, Ꟶ they shall prophesye.
1Sam.10.6	And the sprete of the Lorde wyll come vpon the also, Ꟶ thou shalt prophesye, with them, and shalt be turned into another man.
1Sam.10.7	Therfore when these signes are chaunced the, do what thou hast to do, for God is wyth the.
1Sam.10.8	And thou shalt go before me to Gilgal. And I also wyll come downe vnto the, to sacrifye burntsacrifyces, and to offre peace offerynges Tary for me seuen dayes, tyll I come to the, and shew the, what thou shalt do.
1Sam.10.9	And assone as he had turned hys shoulder to go from Samuel, God gaue hym another maner of herte, Ꟶ all those tokens came to passe that same daye.
1Sam.10.10	And when they came to the hill: beholde, the companye of prophetes met hym, and the sprete of God cam vpon hym also, Ꟶ he prophesyed among them.
1Sam.10.11	And all that knewe hym before, when they sawe that he prophesyed amonge the prophetes, they sayd eche to other: what is this that is happened vnto the sonne of Cis? Is Saul also amonge the prophetes?
1Sam.10.12	And one of the same place answered Ꟶ sayde: who is their father? And therof came the prouerbe: what, is Saul also amonge the prophetes?
1Sam.10.13	And when he had made an ende of prophesyeng, he cam to the hill.
1Sam.10.14	And Saules fathers brother sayde vnto hym and to hys lad: whether went ye? He sayde: to seke the asses: Ꟶ when we saw that they were no where, we came to Samuel.
1Sam.10.15	And Sauls vncle sayde: tell me what Samuel sayde vnto you?
1Sam.10.16	Saul answered his vncle: he tolde vs planely, that the asses were founde. But of the kyngdome wherof Samuel spake, tolde he hym not.
1Sam.10.17	And Samuel called the people together vnto the Lorde to Mizpa,
1Sam.10.18	and sayde vnto the chyldren of Israel: thus sayth the Lorde God of Israel: I brought Israel out of Egypt, and delyuered you out of the hande of the Egypcyans, Ꟶ out of the handes of all kyngdomes that troubled you.
1Sam.10.19	And ye haue this daye cast awaye youre God that helped you out of all youre aduersyties Ꟶ tribulacyons. And ye haue sayd vnto hym: make a kynge ouer vs. Nowe therfore stande ye before the Lorde by youre trybes Ꟶ youre thousandes.
1Sam.10.20	And whan Samuel had brought all the tribes of Israel, the tribe of BenIamin was caught.
1Sam.10.21	When he had brought the tribe of BenIamin by their kynredes, the kynred of Matri was caught: and at the last Saul the sonne of Cis was caught. And whan they sought hym, he coulde not be founde.
1Sam.10.22	Therfore they asked the Lorde further, yf the man shulde come thither. And the Lorde answered: beholde, he hath hydd hym selfe amonge the stuffe.
1Sam.10.23	And they ranne Ꟶ fet him thence. And when he stode amonge the people, he was hyer then any of the people, from the shoulders vpwarde.
1Sam.10.24	And Samuel sayde to all the people: Se ye not him, whom the Lorde hath chosen, Ꟶ howe there is none lyke hym amonge all the people? And all the people showted Ꟶ sayde: God lend the kynge lyfe.
1Sam.10.25	Then Samuel tolde the people the dutye of the kyngdome, Ꟶ wrote it in a boke, and layde it vp before the Lorde, and sent all the people awaye, euery man to hys house.
1Sam.10.26	And Saul also went home to Gibea. And there folowed him strong men, whose hertes God had touched.
1Sam.10.27	But the chyldren of Belial sayde: howe shall he saue vs? and they despised him, and brought him no presentes. And he helde is tonge.
1Sam.11.1	Nahas the Ammonite came, and beseged Iabes in Gilead. And all the men of Iabes sayde vnto Nahas: make a couenaunt wyth vs, and we wylbe thy seruauntes:
1Sam.11.2	And Nahas the Ammonite answered them: In thys will I make a couenaunt wyth you, yf I maye thrust out all youre ryght eyes, and brynge that shame vpon all Israel.
1Sam.11.3	To whom the elders of Iabes sayd: geue vs seuen dayes respite: that we maye sende messengers vnto all the coastes of Israel. And then yf there be no man to helpe vs, we wyll come out to the.
1Sam.11.4	Then came the messengers to Gibea vnto Saul, and tolde thys tydynges in the eares of the people. And all the people lyfte vp theyr voyces and wept.
1Sam.11.5	And beholde, Saul came folowynge the catell out of the felde, Ꟶ Saul sayde: what ayleth thys people, that they wepe? And they tolde hym the tydynges of the men of Iabes.
1Sam.11.6	And the sprete of God came vpon Saul, when he heard those tydinges, and he was excedyng angrye,
1Sam.11.7	and toke a yocke of oxen, and hewed them in peces, Ꟶ sent them thorowe out all the coastes of Israel by the handes of messengers, sayeng: whosoeuer commeth not forth after Saul and after Samuel, so shall hys oxen be serued. And the feare of the Lorde fell on the people, and they cam out as it had bene but one man.
1Sam.11.8	And when he nombred them in Bezek, the chyldren of Israel were thre hundred thousande men, and the men of Iuda thirtye thousande.
1Sam.11.9	And they sayde vnto the messengers that cam: so saye vnto the men of Iabes in Gilead: to morow by that tyme the sonne be hote, ye shal haue helpe. And the messengers cam Ꟶ shewed the men of Iabes, which were glad.
1Sam.11.10	Therfore the men of Iabes sayde: tomorowe we wyll come out vnto you, and ye shall do wyth vs all that pleaseth you.
1Sam.11.11	And on the morowe it fortuned, that Saul put the people in .iij. partes. And they cam in vpon the host in the mornyng watche, Ꟶ slue the Ammonites, vntyll the heat of the daye. And they that remayned, were skattered: so that two of them were not left together.
1Sam.11.12	And the people sayde vnto Samuel: what is he that darre saye: shall Saul raygne ouer vs? brynge those men, that we maye slaye them.
1Sam.11.13	And Saul sayde: there shall no man dye thys daye, for to daye the Lord hathe saued Israel.
1Sam.11.14	Then sayde Samuel vnto the people: come, that we maye go to Gilgal, and renewe the kyngdome there.
1Sam.11.15	And all the people went to Gilgal, Ꟶ made Saul kyng there, before the Lorde in Gilgal. And there they offered peaceofferynges before the Lorde. And there Saul and all the men of Israel reioysed excedyngly.
1Sam.12.1	Samuel sayd vnto all Israel: beholde, I haue herkened vnto your voyce in all that ye sayde vnto me, Ꟶ haue made you a kynge.
1Sam.12.2	Nowe therfore, youre kynge walketh before you. And I am olde and graye headed: and behold, my sonnes are with you, and I haue walked before you from my childehode vnto thys daye.
1Sam.12.3	Beholde, here I am: beare recorde of me before the Lorde and before hys anoynted: Whose oxe haue I taken? or whose Asse haue I taken? whom haue I done wrong to? Whom haue I hurt? Or of whose hande haue I receaued any brybe, to blynde myne eyes therwyth? Ꟶ I wyll restore it you agayne.
1Sam.12.4	They sayde: thou hast done vs no wronge, nor hurt vs, nether hast thou taken ought of any mannes hande.
1Sam.12.5	He sayde vnto them agayne: the Lord is witnesse agaynst you, Ꟶ hys anoynted is wytnesse thys daye, that ye haue founde naught in my handes. And they answered: he is wytnesse.
1Sam.12.6	And Samuel sayd vnto the people: it is the Lorde, that made Moses Ꟶ Aaron, Ꟶ that brought youre fathers out of the lande of Egypte.
1Sam.12.7	Nowe therfore stande still, that I maye reason wt you before the Lorde, accordyng to all the ryghtousnesses of the Lord, which he shewed both you and youre fathers.
1Sam.12.8	After that Iacob was come into Egypte, and youre fathers cryed vnto the Lorde the Lorde sent Moses Ꟶ Aaron, which brought your fathers out of Egipt, Ꟶ made them dwell in this place.
1Sam.12.9	And whan they forgat the lord their God, he delyuered them into the hand of Sisara captaine of the hoost of Hazor and into the hande of the Philistynes, and into the hande of the kynge of Moab, and they fought agaynst them.
1Sam.12.10	And they cryed vnto the Lorde, Ꟶ sayde: we haue synned, because we haue forsaken the Lorde, and haue serued Baalim and Astharoth. Nowe therfore delyuer vs out of the handes of oure enemyes and we wyll serue the.
1Sam.12.11	And the Lorde sent Ierobaal Badan Iephthah, Ꟶ Samuel, and delyuered you out of the handes of youre enemyes on euery syde, and ye dwelled safe.
1Sam.12.12	And for all that, when you sawe that Nahas the kyng of the chyldren of Ammon cam agaynst you, ye sayde vnto me: not so but a kyng shall raigne ouer vs, when yet the Lorde youre God was youre kynge.
1Sam.12.13	Nowe therfore, beholde, the kinge whom ye haue chosen, and whom ye haue desyred: lo, the Lord hath set a kynge ouer you.
1Sam.12.14	Yf ye wyll feare the Lorde Ꟶ serue hym, and heare hys voyce, Ꟶ not disobeye the worde of the Lorde: both ye Ꟶ the kynge that raygneth ouer you, shall folowe the Lorde youre God:
1Sam.12.15	Yf ye wyll not herken vnto the voyce of the Lord, but disobeye the Lordes mouth: then shall the hande of the Lorde be vpon you and on youre fathers.
1Sam.12.16	Nowe also stande, and se thys great thynge, whych the Lord will do before your eyes:
1Sam.12.17	is it not now wheatheruest? I will call vnto the Lorde, and he shall sende thunder and rayne: that ye maye perceaue and se, howe that youre wickednes is great, which ye haue done in the syght of the Lorde, in askynge you a kynge.
1Sam.12.18	And so, Samuel called vnto the Lorde, and the Lorde sent thunder and rayne the same daye. And all the people feared the Lorde and Samuel exceadyngly.
1Sam.12.19	And all the people sayde vnto Samuel: praye for thy seruauntes vnto the Lord thy God, that we dye not: for we haue synned in askynge vs a kynge, besyde all the synnes that euer we dyd.
1Sam.12.20	And Samuel sayde vnto the people: feare not. Ye haue in dede done all thys wyckednesse, yet departe not from folowynge of the Lorde. But serue hym euen wyth all youre hertes.
1Sam.12.21	Nether turne ye after vayne thinges whych are not able to profyt you, for they are but vanitye.
1Sam.12.22	For the Lorde wyll not forsake hys people, because of hys great names sake: because it hath pleased the Lord, to make you his people.
1Sam.12.23	Moreouer God forbydde, that I shulde synne agaynst the Lorde, and ceasse prayeng for you, but to shewe you the good Ꟶ ryght waye.
1Sam.12.24	Therfore feare you the Lorde, and serue hym in the trueth, and wyth all youre hertes Ꟶ consydre howe great thinges he hath done for you.
1Sam.12.25	But and yf ye do wyckedlye, then shall ye peryshe, both ye and youre kynge.
1Sam.13.1	Saul had bene kynge one yere (whan these thynges came to passe) and he raygned two yeares ouer Israel.
1Sam.13.2	And Saul chose him thre thousand men of Israel. Two thousande were wyth Saul in Michmas and in mount Bethel, Ꟶ a thousande wyth Ionathas in Gibea BenIamin. And the rest of the people he sent, euery man to hys awne house agayne.
1Sam.13.3	And Ionathas smote the holde of the Philystines, that was in the hyll, and it came to the Philistines eares. And Saul blewe the trompet thorowe out all the lande, sayenge: let the Ebrues heare.
1Sam.13.4	And all Israel hearde saye, howe that Saul had destroyed an holde of the Philystines, wherfore Israel stancke before the Philystines. And the people gathered together after Saul to Gilgal.
1Sam.13.5	The Philistines also geathered them selues togeather to fyght wyth Israel, thirtye thousand charettes and syxe thousand horse men, with other people lyke the sand by the sees syde in multitude, and came vp, and pitched in Michmas eastwarde from Bethauen.
1Sam.13.6	And when the men of Israel sawe it, they were in a strayte, Ꟶ feare came vpon the people, and they hydd them selues in caues, and in preuy holes, and in rockes, and in hye places, Ꟶ in pittes.
1Sam.13.7	And some of the Ebrues went ouer Iordan to go vnto the lande of Gad Ꟶ Gilead. And Saul was yet in Gilgal, Ꟶ all the people that folowed him were astonyed.
1Sam.13.8	And he taryed seuen dayes, euen vnto the tyme that Samuel had appoynted. But Samuel came not to Gilgal, Ꟶ the people were therfore skatered from him.
1Sam.13.9	And Saul sayd: bring a burntsacrifyce to me Ꟶ peace offringes. And he offered burnt sacrifyce.
1Sam.13.10	And as sone as he had made an ende of offerynge the burntsacrifyce, beholde, Samuel cam. And Saul went agaynst him, to blesse him.
1Sam.13.11	And Samuel sayde. what hast thou done? Saul sayde: because I saw that the people skatered from me, and that thou camest not wtin the dayes apoynted, and that the Philistines geathered them selues togeather to Michmas:
1Sam.13.12	therfore sayd I: the Philistines shall come downe nowe vpon me to Gilgal, Ꟶ I haue not made supplicacion vnto the Lord. And whan I had ouercome my selfe, at the last I offered a burntofferynge.
1Sam.13.13	And Samuel sayde to Saul thou art become a fole, thou hast not kept the commaundment of the Lord thy God, which he commaunded the. For at this tyme wold the Lord haue stablysshed thy kingdome vpon Israel for euer,
1Sam.13.14	But nowe, thy kyngdome shall not continewe. The Lorde hath sought him a man after his awne hart, Ꟶ the Lord hath commaunded him to be captayne ouer his people: because thou hast not kept that whych the Lorde commaunded the.
1Sam.13.15	And Samuel arose Ꟶ gat hym vp from Gilgal to Gibea BenIamin. And Saul nombred the people that were founde wt him, Ꟶ they were about a syxe hundred men.
1Sam.13.16	And Saul and Ionathas his sonne and the people that were founde wyth them, had theyr abydynge in the hyll of BenIamin. But the Philistines pitched in Michmas.
1Sam.13.17	And there came out of the host of the Philistines thre companies, to destroye: one companye turned vnto the waye that leadeth to Ophra vnto the lande of Saul.
1Sam.13.18	And a nother companye turned the waye to Bethoron. And the thryde company turned to the waye of the cost that is sene aboue the valeye of zeboim towarde the wyldernesse.
1Sam.13.19	There was no smyth founde thorowe out all the lande of Israel. For the Philistines sayde: Lest happly the Ebrues make them swerdes or speres.
1Sam.13.20	But all the Israelites went downe to the Philistynes, to mende euerye man his share, his mattock, his axe Ꟶ his necessary toles:
1Sam.13.21	And then the edges of the shares, mattockes, donge forkes, and axes were blunt, and also the forkes were to be set in.
1Sam.13.22	And so in tyme of battell there was nether swerde nor spere founde in the handes of any of the people that were wyth Saul and Ionathas. But with Saul and Ionathas hys sonne was there somwhat founde.
1Sam.13.23	And the watch of the Philistines came out, to go ouer vnto Michmas.
1Sam.14.1	And it fortuned the same tyme, that Ionathas the sonne of Saul sayd vnto hys younge man that bare hys harnes: come, and let vs go ouer to the Philistines watche that are younder on the other syde, and he tolde not his father.
1Sam.14.2	And Saul taryed in the vttmost parte of Gibea vnder Rimmon, whych is in Migron, Ꟶ the people that were wyth him were vpon a syxe hundred men.
1Sam.14.3	And Ahia the sonne of Ahitob Iehabods brother, the sonne of Phinehes, the sonne of Eli, was the Lordes preaste in Silo, Ꟶ ware an Ephod. And the people wyst not that Ionathas was gone.
1Sam.14.4	And in the myddes of the passage (by which Ionathas sought to go ouer vnto the Philistines watch) were there two sharpe rockes euen one on the one syde, Ꟶ the other on the other syde: the one called Bozez, Ꟶ the other Senne.
1Sam.14.5	The forefront of the one, leaned northwarde towarde Michmas, Ꟶ the other was southwarde, towarde Gibea:
1Sam.14.6	And Ionathas sayd to the younge man that bare his harnesse: come and let vs go ouer vnto the watch of these vncircumcised, paraduenture the Lorde will worke wt vs: for it is no hardnesse wt the Lord to saue ether in manye or in fewe.
1Sam.14.7	And his harnesberar sayde vnto him: do all that is in thyne hert: Go where it pleaseth the: Behold, I am wt the, as thine hert lusteth.
1Sam.14.8	Then sayde Ionathas: beholde, we go ouer vnto these men, Ꟶ shall shew oure selues vnto them:
1Sam.14.9	yf they saye on this wise to vs: tarye, vntill we come to you, then we will stande stil in or place, Ꟶ not go vp vnto them.
1Sam.14.10	But Ꟶ yf they saye: come vp vnto vs, then we will go vp, for the Lorde hath delyuered them into oure handes And thys shalbe a sygne vnto vs.
1Sam.14.11	And they bothe shewed them selues vnto the watch of the Philistines. And the Philistines sayde: se, the Hebrues come out of the holes where they had hydd them selues in.
1Sam.14.12	And the men of the watche answered Ionathas and his harnesbearer, Ꟶ sayde, come vp to vs, and we will shew you a thinge. And Ionathas sayde vnto his harnesbearer, come vp after me, for the Lord hath delyuered them into the hande of Israel.
1Sam.14.13	And Ionathas clame vp vpon handes Ꟶ fete, Ꟶ his harnesberer after him. And they fell before Ionathas: Ꟶ his harnesberer slue them after hym.
1Sam.14.14	And that first slaughter which Ionathas and his harnesberer made, was vpon a twentie men, within the compasse as it were about an halfe aker of lande.
1Sam.14.15	And ther was a feare in the host, in the felde, Ꟶ amonge all people: in so moche that they that were gone out of the watche to robbe, were afrayde also: and the erth trymbled, for the feare that was sent of God.
1Sam.14.16	And the watche men of Saul in Gibea Ben Iamin, sawe. And beholde, the people (of the Philistines) were skatered Ꟶ were smytten as they went.
1Sam.14.17	Then sayde Saul vnto the people that was with him. Searche and se, who is gone awaye from vs. And when they had nombred, beholde, Ionathas Ꟶ hys harnesbearer were not there.
1Sam.14.18	And Saul sayde vnto Ahia: bringe hither the arcke of God. For the arcke of God was at that tyme wyth the chyldren of Israel.
1Sam.14.19	And it fortuned that while Saul talked vnto the preaste, the noyse that was in the hoste of the Philistines spred farther abrode, Ꟶ increased. And Saul sayde vnto the preaste: wt drawe thyne handes.
1Sam.14.20	And Saul ioyned hymselfe vnto all the people that were with him, Ꟶ they came to the battell. And beholde euery mannes swerde was agaynst his felowe, and there was a very greate rumore.
1Sam.14.21	Moreouer, the Ebrues that were wyth the Philistines before that tyme, and were come with them in all partes of the hoste, turned, to be with the Israelites that were wyth Saul Ꟶ Ionathas.
1Sam.14.22	And all the men of Israel also, which had hidd them selues in mount Ephraim, as sone as they hearde howe that the Philistines were fledd, they folowed after them in the battell.
1Sam.14.23	And so God holpe Israel that daye. And the battell continued vnto Bethauen.
1Sam.14.24	And whyle the men of Israel were kepte downe wyth honger that daye, Saul charged the people with an ooth sayinge: Cursed be the man that eateth any foode vntyll nyght, tyll I be aduenged of myne enemyes: And so, none of the people tasted any sustinaunce.
1Sam.14.25	And all the inhabiters of the lande came to a wood where honye laye vpon the grounde.
1Sam.14.26	And the people came into the wood: And beholde, the honye dropped, and no man moued hys hande to his mouth, for the people feared the ooth.
1Sam.14.27	But Ionathas hearde not when hys father charged the people with the ooth, wherfore he put forth the ende of the rodd that was in his hande, and dipt it in an honye combe, Ꟶ put his hande to his mouth, and his eyes receaued syght.
1Sam.14.28	Then answered one of the people and sayde: thy father adiured the people, sayinge: Cursed be the man that eateth any sustinaunce this daye, Ꟶ the people were fayntye.
1Sam.14.29	Then sayde Ionathas: my father hath troubled the lande: se howe myne eyes hath receaued syght, because I tasted a lytle of this honye:
1Sam.14.30	howe much more then to daye yf the people had eaten of the spoyle of their enemyes whych they founde. And had there not bene then a moche greater slaughter amonge the Philistines?
1Sam.14.31	And they layed on the Philistines that daye, from Michmas to Atalon. And the people were excedinge fayntie.
1Sam.14.32	And the people gat them to the spoyle, Ꟶ toke shepe, oxen, Ꟶ calues, Ꟶ slue them on the grounde, Ꟶ the people dyd eate them wt the bloude.
1Sam.14.33	Then men tolde Saul, sayinge: Beholde, the people synne agaynst the Lord, in that they eate with the bloude. And he sayde: ye haue trespaced. Rowle a great stone vnto me this daye,
1Sam.14.34	and Saul sayde agayne: Go abroade amonge the people Ꟶ bydd them brynge me euery man his oxe Ꟶ euery man his shepe, and slaye them here, and synne not agaynst the Lorde in eatynge wt the bloude. And the people brought euery man hys oxe in his hande, by nyght, Ꟶ slue them there.
1Sam.14.35	And Saul made an altare vnto the Lorde. And that was the fyrst altare that he made vnto the Lorde.
1Sam.14.36	And Saul sayde: lett vs go downe after the Philistines by nyght and spoyle them, vntyll it be daye in the mornynge, Ꟶ lett vs not leaue one man of them. And they sayd: do whatsoeuer thou thinkest best. Then sayde the preast: lett vs come hither vnto God.
1Sam.14.37	And Saul asked of God: shall I go downe after the Philistines? Wilt thou delyuer them into the handes of Israel? But he answered him not at that tyme.
1Sam.14.38	And Saul sayde: let the people come hyther out of all quarters, and knowe Ꟶ se by whom thys synne is chaunced this daye:
1Sam.14.39	for as truly as the Lorde lyueth which saueth Israel, though it be in Ionathas my sonne, he shall dye the death. But there was no man amonge all the people that answered him.
1Sam.14.40	Then he sayde vnto all Israel: be ye on one syde, and I Ꟶ Ionathas my sonne wilbe on the other syde. And the people sayde vnto Saul: what thou thynkest best, that do.
1Sam.14.41	Therfore Saul sayde vnto the Lorde God of Israel: geue a perfect lott. And Saul Ꟶ Ionathas were caught, but the people skaped free.
1Sam.14.42	And Saul sayde, cast lottes betwene me Ꟶ Ionathas my sonne. And Ionathas was caught.
1Sam.14.43	Then Saul sayde to Ionathas: tell me what thou hast done. And Ionathas tolde him, Ꟶ sayde. I tasted a lytle honye with the ende of the rodd that was in myne hande: and lo, I must dye.
1Sam.14.44	Saul answered: God do so and so to me, thou shalt dye the death Ionathas.
1Sam.14.45	And the people sayde vnto Saul: shall Ionathas dye, which hath so myghtelye helped Israel? God forbyd. As truly as the Lorde lyueth there shall not one heere of hys heed fall to the grounde: for he hath wrought with God thys daye. And so the people delyuered Ionathas, that he dyed not.
1Sam.14.46	And then Saul departed vp from folowinge the Philistines. And the Philistines went to their awne place.
1Sam.14.47	And so Saul helde the kyngdome ouer Israel, Ꟶ fought agaynst all his enemyes on euery syde: agaynst Moab: agaynst the chyldren of Ammon: agaynst Edom: agaynst the kynges of zoba, and agaynst the Philistines. And whether so euer he turned him selfe, there he wanne:
1Sam.14.48	and he gathered his host together, and smote the Amaleckites, Ꟶ rydd Israel out of the handes of them that spoyled them.
1Sam.14.49	The sonnes of Saul were: Ionathas, Iesui, and Melchisua. And hys two daughters were thus named: the elder was called Merob, and the younger Michol.
1Sam.14.50	And the name of Saules wife, was Ahinoa the daughter of Ahimaaz. And the name of hys chefe captayne was Abner the sonne of Ner, Saules vncle.
1Sam.14.51	And Cis was Sauls father. And Ner the father of Abner was the sonne of Abiel.
1Sam.14.52	And there was sore warre agaynst the Philistines, all the dayes of Saul. And whomsoeuer Saul sawe to be a stronge man, and mete for the warre he toke him vnto him.
1Sam.15.1	Samuel sayde vnto Saul: the Lord sent me to anoynt the, to be kynge ouer his people Israel. Nowe therfore herken thou vnto the voyce of the wordes of the Lorde.
1Sam.15.2	Thus sayth the Lorde of hostes: I remembre that whych Amaleck dyd to Israel howe they layed wayte for them in the waye, as they came out of Egypte.
1Sam.15.3	Nowe therfore go, Ꟶ smyte Amaleck, and destroye ye all that pertayneth vnto them, Ꟶ se thou haue no compassyon on them slaye both man Ꟶ woman, infant Ꟶ sucklynge. oxe, and shepe, camell and Asse.
1Sam.15.4	And Saul gathered the people together, Ꟶ nombred them in Telaim, two hundred thousande foote men, and ten thousande men of Iuda.
1Sam.15.5	And Saul came vnto a cytie of Amaleck, Ꟶ set watche in the valeye.
1Sam.15.6	And Saul sayde vnto the kenites: go, Ꟶ departe, Ꟶ gett you downe from amonge the Amaleckites, lest I destroye you with them: for ye shewed mercy to all the children of Israell, when they came out of Egypt. And so the kenites departed from amonge the Amaleckites.
1Sam.15.7	And Saul smote the Amaleckites from Heuila, as thou commest to Sur, that lyeth before Egypt,
1Sam.15.8	and toke Agag the kinge of the Amaleckites alyue, Ꟶ vtterlye destroyed all the people with the edge of the swerde.
1Sam.15.9	But Saul and the people spared Agag, and the better shepe, Ꟶ the fatter oxen, Ꟶ the lambes, and all that was good, Ꟶ wolde not destroye them. But all that was foule Ꟶ naught worth, that they destroyed vtterlye.
1Sam.15.10	Then came the worde of the Lorde vnto Samuel, sayinge:
1Sam.15.11	it repenteth me, that I haue made Saul kynge. For he is turned from me, and hath not parfourmed my commaundementes. And Samuel was euell apayed, and cried vnto the Lorde all nyght.
1Sam.15.12	And whan Samuel rose erlye, to mete Saul in the mornynge, it was tolde Samuel, that Saul was come to Carmel, Ꟶ beholde, he hath made him there a place, Ꟶ is turned, and departed, and gone downe to Gilgall.
1Sam.15.13	And Samuel came to Saul, Ꟶ Saul sayde vnto him: Blessed be thou in the Lorde. I haue fulfylled the commaundement of the Lord.
1Sam.15.14	Samuel sayde: what meaneth then the bleatyng of the shepe in myne eares, and the noyse of the oxen which I heare?
1Sam.15.15	Saul answered: they haue brought them from the Amaleckites. For the people spared the best of the shepe and of the oxen, to sacrifyce them vnto the Lorde thy God. And the remnaunt haue we destroyed vtterly.
1Sam.15.16	Samuel sayde to Saul: lett me tell the what the Lorde hath sayde to me this nyght. And he sayde vnto hym: saye on.
1Sam.15.17	Samuel sayde when thou wast lytle in thyne awne syght, wast thou not made the heed of the trybes of Israel? And the Lorde anoynted the kyng ouer Israel.
1Sam.15.18	And the Lorde sent the on a iourneye, Ꟶ sayde: Go, Ꟶ vtterlye destroye those synners the Amaleckites, and fyght agaynst them, vntill thou vtterlye destroye them.
1Sam.15.19	And wherfore hast thou not herkened vnto the voyce of the Lorde, but hast turned to the praye, and hast done that whych is wycked in the syght of the Lorde?
1Sam.15.20	And Saul sayde vnto Samuel: yee, I haue harkened vnto the voyce of the Lorde, Ꟶ haue gone the waye which the Lorde sent me vnto, and haue brought Agag the kyng of Amaleck, and haue vtterlye destroyed the Amaleckites,
1Sam.15.21	But the people toke of the spoyle shepe, oxen, and the chefest of the thynges whych shulde haue bene destroyed, to offer vnto the Lorde thy God in Gilgall.
1Sam.15.22	And Samuel sayde: hath the Lorde as great pleasure in burnt sacrifyces Ꟶ offeringes, as whan the voyce of the Lord is obeyed? Behold, to obeye is better then sacrifyce, Ꟶ to herken, is better then the fatt of rammes.
1Sam.15.23	For rebellyon is as the synne of witchcrafte, and stoburnesse is as the wickednesse of Idolatrie. Because thou hast cast awaye the worde of the Lorde, therfore hath the Lorde cast awaye the also, from beynge kynge.
