2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.9.12	And kynge Salomon gaue to the quene of Saba euery pleasaunt thing that she asked but not so moche as she brought vnto the kyng. And so she turned and went awaye to her awne lande with her seruauntes.
2Chr.9.13	The weyght of golde that came to Salomon in one yere, was syxe hundred .lxvi. talentes of golde,
2Chr.9.14	besydes that which chapmen and marchauntes brought: and all the kynges of Arabia and rulers of that countrey, brought gold and syluer to Salomon.
2Chr.9.15	And kynge Salomon made two hundred bucklers of beaten golde, and .vi. hundred sycles of beaten gold were spent vpon one bucklar:
2Chr.9.16	and thre hundred shyldes made he of beaten gold, and one shylde cost thre hundred peces of golde, and the king put them in the house that was in the forest of Libanon.
2Chr.9.17	And the kynge made a great seat of Iuorie, Ꟶ ouerlayde it with pure golde.
2Chr.9.18	Another were syxe steppes to the seate wyth a fote stole of golde fastened to the seate: and pomelles on eche syde of the syttynge place,
2Chr.9.19	and two lyons standynge by the pomelles. And .xii. lyons stode on the one syde and on the other: vpon the syxe steppes, so that there was no soche worke made in any kyngdome.
2Chr.9.20	And all the drynckinge vesselles of kyng Salomon were of golde, and all the vessels of the house that was in the forest of Libanon, were of precious golde: for syluer was counted nothynge worthe in the dayes of Salomon.
2Chr.9.21	For the kynges shyppes wente to Tharsis wyth the seruauntes of Hiram: euery thre yeare once came the shyppes to Tharsis, and brought golde, syluer, Iuorie and apes and pecockes.
2Chr.9.22	And kyng Salomon passed all the kynges of the earth in rychesse and wysedome.
2Chr.9.23	And all the kynges of the earth sought the presence of Salomon, to heare his wysdome that God had put in hys herte:
2Chr.9.24	And they brought euery man his present: vesselles of syluer, and vesselles of golde, rayment, harnesse spyces, horses and mules, and whatsoeuer myght be gotten, yeare by yeare.
2Chr.9.25	And Salomon had foure thousande stalles for horses and charettes, Ꟶ twelue thousande horsemen, whom he bestowed in the charet cyties, Ꟶ some were with the kyng at Ierusalem.
2Chr.9.26	And he raygned ouer all the kynges that were from Euphrates vnto the lande of the Philistines, and to the border of Egipt.
2Chr.9.27	And the kynge made syluer in Ierusalem as plenteous as stones, and Cedar trees as plenteous, as the mulbery trees that growe in the valleyes.
2Chr.9.28	And they brought vnto Salomon horses out of Egypt, Ꟶ out of al landes.
2Chr.9.29	The rest of the actes of kyng Salomon, fyrst and last, are they not written in the sayenges of Nathan the Prophete, and in the prophesye of Ahiah the Silonite, and in the visions of Iedo the sear of visions, agaynst Ieroboam the sonne of Nabat?
2Chr.9.30	And Salomon raygned in Ierusalem vpon all Israel fourtye yeares.
2Chr.9.31	And Salomon slepte wyth hys fathers, and they buryed hym in the cytie of Dauid his father, and Rehoboam his sonne raygned in his steade.
2Chr.10.1	And Rehoboam went to Sichem: for to Sichem were all Israell come together, to make hym kynge.
2Chr.10.2	And when Ieroboam the sonne of Nebat (which was fled into Egypte from the presence of Salomon the kynge) hearde it, he returned out of Egypt.
2Chr.10.3	And they sent and called hym. And so Ieroboam and all they of Israel came and comoned wyth Rehoboam, sayenge:
2Chr.10.4	Thy father layed a greuouse yocke vpon vs: nowe therfore remytte thou somewhat of the greuouse seruyce of thy father and of his heuye yocke that he put vpon vs, and we wyll serue the.
2Chr.10.5	And he sayde to them come agayne vnto me after thre dayes. And the people departed.
2Chr.10.6	And kynge Rehoboam counsayled wyth the elders that had stande before Salomon his father, whyle he yet lyued, and he sayde: what councell geue ye me, to answere thys people agayne?
2Chr.10.7	And they tolde him, saying: If thou be kynde to thys people, and shewe thy selfe lowely to them, and speake louynge wordes to them, they wyll be thy seruauntes for euer.
2Chr.10.8	But he left the councell whiche the elders gaue him, and toke councell wyth the youngemen, that were growen vp with hym and that stode in his presence.
2Chr.10.9	And he sayde vnto them: what aduise geue ye, that we may answere thys people, which haue commoned wyth me, sayinge: Abate some what of the yocke, which thy father dyd put vpon vs.
2Chr.10.10	And the yonge men that were growen vp wyth hym, spake vnto hym, sayinge: Thus shalt thou answere the people that spake to the, sayinge: Thy father made oure yocke heuye: but make thou it some what lyghter for vs. Thus shalt thou saye vnto them, my lytle fynger shalbe heuyer then my fathers, loynes.
2Chr.10.11	For where my father put a heuye yocke vpon you, I wyll put more to your yock: my father chastysed you wt whyppes, but I wyll chastyce you with scorpions.
2Chr.10.12	And so Ieroboam Ꟶ all the people came to Rehoboam the thyrde daye, as the kynge badde, saying: come agayne to me the thyrd daye.
2Chr.10.13	And the kynge answered them cruelly: and kyng Rehoboam left the councell of the aged men,
2Chr.10.14	and answered them after the aduise of the yonge men, sayinge: My father made your yocke greuous, and I wyll adde therto: my father chastysed you with whyppes, but I wyll chastyce you with scorpions.
2Chr.10.15	And so the kynge herkened not vnto the people: but the occasion came of God, that the Lord myght make good his saying, which he spake, by the hande of Ahia the Silonite, to Ieroboam the sonne of Nebat.
2Chr.10.16	And when all they of Israel sawe that the kynge wolde not agree vnto them, the people answered the kynge sayinge: what parte haue we wt Dauid, or enheritaunce wt the sonne of Isai? let euery man of Israel go to his tent. And now Dauid, se to thyne awne house. And so all Israel gat them to their tentes,
2Chr.10.17	so that Rehoboam raygned ouer no moo of the chyldren of Israel, then dwelt in the cyties of Iuda.
2Chr.10.18	Then kynge Rehoboam also sente Haduram that was ruler ouer the tribute, and the chyldren of Israel stoned hym wt stones that he dyed. But kyng Rehoboam made spede to get him vp to his charret, to flye to Ierusalem.
2Chr.10.19	And they of Israel rebelled agaynst the house of Dauid vnto thys daye.
2Chr.11.1	And whan Rehoboam was come to Ierusalem, he gathered of the house of Iuda Ꟶ Beniamin, nyne score thousande chosen men of warre to fight agaynst Israel, Ꟶ to brynge the kyngdome agayne to Rehoboam.
2Chr.11.2	And the word of the Lorde came to Semeiahu the man of God, saying:
2Chr.11.3	speake vnto Rehoboam the sonne of Salomon kynge of Iuda, Ꟶ to all them of Israel that are in Iuda Ꟶ Beniamin, Ꟶ saye:
2Chr.11.4	thus sayeth the Lorde. Ye shall not go vp nor fight agaynst your brethren: returne euery man to his house, for thys thynge is done of me. And they obeyed the wordes of the Lorde, and returned from goynge agaynst Ieroboam.
2Chr.11.5	And Rehoboam dwelt in Ierusalem, and buylt stronge cyties in Iuda.
2Chr.11.6	He buylded vp Bethleem, and Etham, and Theko:
2Chr.11.7	Bethzur, Socho and Adullam:
2Chr.11.8	Gath, and Maresa: and ziph Adurahim,
2Chr.11.9	Lachis and asecha:
2Chr.11.10	zorca Aialon and Hebron, which is in Iuda Ꟶ Beniamin, stronge cyties.
2Chr.11.11	And he repayred the stronge holdes Ꟶ put captaynes in them, and store of vitayle, Ꟶ wyne, Ꟶ oyle.
2Chr.11.12	And in all cyties he put shyldes Ꟶ speares, and made them exceadynge stronge, hauynge Iuda and Beniamin on his syde.
2Chr.11.13	And the prestes and the leuites that were in all Israel, resorted to hym out of all their coastes.
2Chr.11.14	For the leuites lefte their suburbes and their possession, and came to Iuda and Ierusalem: for Ieroboam and his sonnes had cast them out from minystrynge vnto the Lorde.
2Chr.11.15	And he ordeyned hym prestes for the hylaultares, for the deuylles and for the calues which he had made.
2Chr.11.16	And after the leuites there went of all the trybes of Israel, soche as submitted their hertes to seke the Lorde God of Israel, and came to Ierusalem, to offer vnto the Lorde God of their fathers.
2Chr.11.17	And so they strengthed the kyngdome of Iuda, and made Rehoboam the sonne of Salomon myghtye thre yeare longe for thre yere they walked in the waye of Dauid and Salomon.
2Chr.11.18	And Rehoboam toke hym Mahalath the daughter of Ierimoth the sonne of Dauid to wyfe, and Abihail the daughter of Eliab the sonne of Isai,
2Chr.11.19	which bare hym chyldren Ieus, Samaria, and zaha.
2Chr.11.20	And after her he toke Maaca the daughter of Absalon which bare hym Abia, Atthai, ziza, Ꟶ Selomith.
2Chr.11.21	And Rehoboam loued Maacah the daughter of Absalon aboue all his wyues Ꟶ concubynes, for he toke eyghtene wyues and thre skore concubynes, and begat .xxviii. sonnes and .lx. daughters.
2Chr.11.22	Ad Rehoboam made Abiah the sonne of Maacah the chefe ruler amonge his brethren, and to haue the ouersyght of the kyngdome.
2Chr.11.23	And he played wysely, and scatered all his chyldren thorowe out all the countreyes of Iuda and Ben Iamin vnto euery stronge cytie. And he gaue them aboundaunce of vitayle, and obtayned many wyues.
2Chr.12.1	And it came to passe, that when Rehoboam had stablysshed the kyngdome, and became myghtye, he forsoke the lawe of the Lorde, and all Israel with him.
2Chr.12.2	And it fortuned, that in the fyfte yeare of kynge Rehoboam, Sesac the kyng of Egypte came vp agaynst Ierusalem, because they had transgressed agaynst the Lorde
2Chr.12.3	wt .xii.C. charettes, and .lx.M. horsmen. And the people were without nombre, that came with hym out of Egypte Lubim, Sukkim, and the blackmores.
2Chr.12.4	And they toke the stronge cyties in Iuda, and came to Ierusalem.
2Chr.12.5	Then came Semeia the prophete to Rehoboam Ꟶ to the Lordes of Iuda, that were gathered together within Ierusalem for Sesac, and sayd vnto them: thus sayd the Lord, ye haue left me, Ꟶ therfore haue I also left you in the handes of Sesac.
2Chr.12.6	Wherupon the lordes of Israel and the kynge humbled them selues, and sayde, the Lorde is ryghteous.
2Chr.12.7	And whan the Lorde sawe that they submitted themselues, the worde of the Lorde cam to Semeia, sayinge: They submitte them selues, therfore I wyll not destroye them. But I wyll delyuer them somwhat, and my wrath shall not burne vpon Ierusalem by the hande of Sesac.
2Chr.12.8	Neuerthelesse, they shalbe hys seruauntes, to knowe what difference is betwene my seruice, and the seruice of the kyngdomes of the worlde.
2Chr.12.9	And so Sesac kynge of Egypte came to Ierusalem, and toke awaye the treasures of the house of the Lorde, and the treasures of the kynges house: he toke euen all. And he caryed awaye the shyldes of golde, which Salomon made.
2Chr.12.10	In steade of which, kynge Rehoboam made shyldes of brasse, and commytted them to the handes of the captaynes which had the ouersyght of the fotemen, and that kept the entraunce of the kynges house.
2Chr.12.11	And it came to passe, that when the kynge entred into the house of the Lorde, the garde came Ꟶ fet them, and brought them agayne vnto the garde chambre.
2Chr.12.12	And when he humbled hymselfe, the wrath of the Lorde turned from hym, that he wolde not destroye all together. And in Iuda all was well.
2Chr.12.13	And so kyng Rehoboam waxed myghty Ꟶ raygned in Ierusalem. And Rehoboam was .xli. yere olde, when he began to raygne, Ꟶ he raygned .xvii. yeres in Ierusalem, the cytie which the Lorde had chosen out of all the trybes of Israel to put his name there. And hys mothers name was Naama an Ammonitesse.
2Chr.12.14	And he dyd euyll, because he prepared not hys hert to seke the Lorde.
2Chr.12.15	The actes also of Rehoboam, fyrst and last, are they not wrytten in the sayinges of Semeia the prophete, and of Iddo the fear which noted the genealogie? and there was warre alwaye betwene Rehoboam Ꟶ Ieroboam.
2Chr.12.16	And Rehoboam slept wt his fathers, and was buryed in the cytie of Dauid, and Abia his sonne raygned in his steade.
2Chr.13.1	The .xviii. yere of kynge Ieroboam began Abia to raygne ouer Iuda,
2Chr.13.2	Ꟶ he raygned thre yere in Ierusalem. His mothers name also was Michaiahu the daughter of Uriel of Gibea. And there was warre betwene Abia Ꟶ Ieroboam.
2Chr.13.3	And Abia made prouisyon for the warre, hauyng valeaunt Ꟶ expert men of warre, euen .iiii.C.M. chosen men. And Ieroboam set him selfe in araye to fyght agaynst hym, wt .viii.C.M. picte men which were stronge Ꟶ men of armes.
2Chr.13.4	And Abia stode vp vpon zemaraim an hill which is in mount Ephraim, Ꟶ sayd: heare me thou Ieroboam and all Israel.
2Chr.13.5	Do not you knowe, howe that the Lorde God of Israel gaue the kyngdome, ouer them of Israel, to Dauid for euer, euen to hym and to hys sonnes with a salted couenaunt?
2Chr.13.6	And Ieroboam the sonne of Nebat the seruaunt of Salomon the sonne of Dauid is rysen vp, Ꟶ hath rebelled agaynst his lorde.
2Chr.13.7	And ther gathered to hym lewde men the chyldren of Belial, Ꟶ preuayled agaynst Rehoboam the sonne of Salomon: when Rehoboam was yong Ꟶ tender hearted, Ꟶ coulde not stande before them.
2Chr.13.8	And nowe ye saye, that ye be able to preuayle agaynst the kyngdome of the Lorde, which is in the hande of the sonnes of Dauid, Ꟶ ye be a greate multitude, Ꟶ haue the golden calues which Ieroboam made you for gods.
2Chr.13.9	And haue ye not cast out the prestes of the Lorde the sonnes of Aaron, and the leuites, and haue made you prestes after the maner of the nacions of other landes? so that whosoeuer commeth, Ꟶ consecrateth his hande with a yonge oxe Ꟶ seuen rammes, the same maye be a preste of them that are no gods.
2Chr.13.10	But we belonge vnto the Lord our God whom we haue not forsaken, and the prestes are the sonnes of Aaron, which ministre vnto the Lorde, and the leuites wayte vpon theyr office.
2Chr.13.11	They burne vnto the Lorde euery mornynge Ꟶ euenynge, burnt sacrifyces Ꟶ swete incense: the shewe breed set they in ordre vpon a pure table: Ꟶ prepare the candelstick of gold wt the lampes of the same to burne euer at euen. And truly we kepe the watche of the Lorde oure God: but ye haue forsaken him.
2Chr.13.12	And behold, God hym selfe is our captayne, Ꟶ hys prestes blowe wt the trompettes, Ꟶ crye alarum agaynst you. O ye chyldren of Israel, fyght not agaynst the Lord God of your fathers: for it wyll not prospere with you.
2Chr.13.13	But for all that, Ieroboam conuayed men preuely about, to come behynde them: Ꟶ so they were before Iuda, Ꟶ the layers in wayte were behynde them.
2Chr.13.14	And when they of Iuda loked about, behold the battayll was before Ꟶ behynde, Ꟶ they cryed vnto the Lord Ꟶ the prestes blewe wt the trompetes,
2Chr.13.15	Ꟶ the men of Iuda gaue a showte. And as the men of Iuda showted, it came to passe, that God smote Ieroboam and all Israel before Abia and Iuda.
2Chr.13.16	And the children of Israel fled before Iuda, and God delyuered them into theyr hande.
2Chr.13.17	And Abia Ꟶ hys people slue a great slaughter of them: there fell downe wounded of Israel .v.C.M. chosen men.
2Chr.13.18	And so the chyldren of Israel were brought vnder, at that tyme, and the chyldren of Iuda preuayled: because they leaned vnto the Lorde God of theyr fathers.
2Chr.13.19	And Abia folowed after Ieroboam, and toke cities from hym, Bethel wt the townes belongyng therto, Iesana with the townes that longed therto, and Ephron with her townes.
2Chr.13.20	And Ieroboam recouered no strength agayne in the daies of Abia. And the Lorde plaged him, Ꟶ he dyed.
2Chr.13.21	But Abia waxed mightye, and maryed .xiiij. wyues, and begat .xxij. sonnes, and .xvj. daughters.
2Chr.13.22	The rest of the actes of Abia, his customes and hys sayinges are wrytten in the storye of the prophete Iddo.
2Chr.14.1	So Abia slepte wt hys fathers, and they buryed hym in the cytie of Dauid, and Asa hys sonne raygned in hys steade. In whose dayes the lande was in quyetnes ten yere.
2Chr.14.2	And Asa dyd that was good Ꟶ right in the eyes of the Lorde hys God:
2Chr.14.3	for he toke awaye straunge aultars and the hyllaultars, and brake downe the ymages, and cut downe the groues,
2Chr.14.4	and commaunded Iuda to seke the Lorde God of their fathers, and to do accordynge to the lawe and commaundement.
2Chr.14.5	And he put awaye out all the cyties of Iuda the hylaultars and the ymages: and the kyngdome was quyet before hym.
2Chr.14.6	And he buylte stronge cities in Iuda: because the land was in rest, and he had no warre in those yeares. For the Lorde had geuen hym rest.
2Chr.14.7	Therfore he sayde to Iuda: let vs buyld these cityes, and make about them walles, towres, gates and barres, for the lande is yet in rest before vs, because we haue sought the Lorde oure God: we haue sought hym, and he hath geuen vs rest on euery side: Ꟶ so they buylt and it prospered with them.
2Chr.14.8	And Asa had an armye of men that bare shyldes and speares, out of Iuda, thre hundred thousand: and out of Beniamin that bare shyldes and drue bowes, two hundred Ꟶ foure skore thousande, all these were valeaunt men.
2Chr.14.9	And there came out agaynst them zarah the black morian with an hoost of ten hondred thousande, and thre hondred charrettes, and came as farre as Maresa.
2Chr.14.10	And Asa went out before him, and they ioyned the battayll in the valey of zephata besyde Maresa.
2Chr.14.11	And Asa cryed vnto the Lorde hys God, Ꟶ sayde: Lorde, it is no harde thinge with thou to helpe ether many, or them that haue no power: helpe vs therfore, O Lorde our God, for we trust to the, and in thy name we go agaynst thys multytude. Thou arte the Lorde oure God, and no man shall preuayle agaynst the.
2Chr.14.12	So the Lorde smote the blacke mores before Asa and Iuda, Ꟶ the blacke mores fled.
2Chr.14.13	And Asa and the people that was with him, folowed after them vnto Gerar. And the blacke mores hoost was ouerthrowen, that there was none of them lefte, but were destroyed before the Lorde and before his host. And they caryed awaye a myghtye greate praye.
2Chr.14.14	And they smote all the cyties rounde about Gerar. For the feare of the Lorde came vpon them. And they spoyled all the cyties and there was exceadynge moche spoyle in them.
2Chr.14.15	They smote also the tentes of catell, Ꟶ caryed awaye plentye of shepe and camels, and returned to Ierusalem.
2Chr.15.1	And the sprete of God came on Asaria the sonne of Oded.
2Chr.15.2	And he went out to mete Asa, Ꟶ sayde vnto him: heare me Asa, and all Iuda, Beniamin. The Lorde is with you, whyle ye be with hym, and when ye seke hym, he wyll be founde of you: and agayne, when ye forsake hym, he also wyll forsake you.
2Chr.15.3	And truly, for a longe season in Israel no man sought the true God, no man regarded the preste that taught them, no man cared for the lawe.
2Chr.15.4	And when any man in hys trouble dyd turne vnto the Lord God of Israel, and sought him, he was founde of them.
2Chr.15.5	And in that time me there was no peace to hym, that dyd goo out and in: but greate sedicyon was there amonge all the inhabiters of the earth.
2Chr.15.6	And nacyon was destroyed of nacyon, and cytie of cytie: for God dyd moue all aduersitye amonge them.
2Chr.15.7	Playe ye therfore the men, and let not youre handes slacke, for youre worke shalbe rewarded.
2Chr.15.8	And when Asa hearde those wordes, and the prophesye of Azaria the sonne of Oded the prophete, he toke courage, Ꟶ put awaye the abhominable ydols out of all the lande of Iuda and Beniamin, Ꟶ out of the cityes which he wanne in mount Ephraim, and renued the aultar of the Lorde, that was before the porch of the Lorde.
2Chr.15.9	And he gathered all Iuda and Beniamin, and the straungers with them out of Ephraim, Manasse, Ꟶ Simeon. For there fell many to hym out of Israel, when they sawe that the Lorde hys God was wt hym.
2Chr.15.10	So they assembled at Ierusalem the thyrde monethe, the fyftenth yeare of the raygne of Asa.
2Chr.15.11	And they offered vnto the Lord the same tyme of the spoyle which they had brought .vij.C. oxen, and .vij. thousande shepe.
2Chr.15.12	And they made a couenaunt to seke the Lorde God of theyr fathers, with all theyr hert Ꟶ all theyr soule.
2Chr.15.13	And whosoeuer wolde not seke the Lorde God of Israel, shulde dye for it: whether he were small or great man or woman.
2Chr.15.14	And they sware vnto the Lorde with a loude voyce, showtynge Ꟶ blowyng wyth trompettes and shawmes.
2Chr.15.15	And all they in Iuda reioyced at the oth, for they had sworne vnto the Lorde, with all theyr herte, and sought hym with all theyr lust, and he was founde of them. And the Lorde gaue them rest rounde about on euery syde.
2Chr.15.16	And kinge Asa put Maacha his mother out of auctorite, because she had made an abhominable ydoll in a groue: and Asa brake downe her ydoll, and stamped it, Ꟶ burnt it at the broke Cedron.
2Chr.15.17	But all the hylaulters were not taken awaye out of Israel: though the hert of Asa was perfecte all hys dayes.
2Chr.15.18	And he brought into the house of God the thynges that hys father had dedicat, and that he hym selfe had dedicate: euen syluer, Ꟶ golde, and Iewelles.
2Chr.15.19	And ther was nomore warre vnto the .xxxv. yere of the raygne of Asa.
2Chr.16.1	In the .xxxvi. yere of the raygne of Asa, came Baasa kyng of Israel vp agaynst Iuda, and buylt Rama, to the entent that he wolde let none passe out or in to Asa kynge of Iuda.
2Chr.16.2	And Asa set out golde and syluer, out of the treasures of the house of the Lorde, Ꟶ of the kynges house, Ꟶ sent to Benhadad kyng of Siria that dwelt at Darmesec, and sayd:
2Chr.16.3	There is a confederacion betwene me Ꟶ the, betwene my father Ꟶ thine. Beholde, I haue sent the syluer and golde, that thou wylt come and breake thyne appoyntment wt Baasa kynge of Israel, that he maye departe from me.
2Chr.16.4	And Benhadad graunted vnto kynge Asa, and sent to the captaynes of hys armye to the cityes of Israel. And they smote Iion, Dan, and Abelmain, and the strong cyties of Nephthali.
2Chr.16.5	And when Baasa hearde this, he left buyldynge of Rama, and let his worcke cease.
2Chr.16.6	And then Asa the kyng toke all Iuda, and caryed awaye the stones and tymbre of Rama, wherwith Baasa was a buyldyng, and he buylt therwith Geba and Mizpa.
2Chr.16.7	At that same tyme, Hanani the sear came to Asa kyng of Iuda, Ꟶ sayde vnto hym: because thou hast trusted in the kyng of Siria, and not rather put thy trust in the Lorde thy God, therfore is the host of the kynge of Siria escaped out of thyne hande.
2Chr.16.8	Had not the blacke mores and Lubim an exceadinge great hoost with many charettes and horsemen? And yet because thou trustedest in the Lorde, he delyuered them into thyne hande.
2Chr.16.9	For the eyes of the Lorde beholde all the erth, to strength them that are of perfecte hert towarde him. Herin thou hast done folyshly, and therfore from hensforth thou shalt haue warre.
2Chr.16.10	And Asa was wroth with the fear, Ꟶ put him into a preson house, for he was displeased with hym because of thys thynge. And Asa destroyed certayne of the people the same ceason.
2Chr.16.11	And beholde, these dedes of Asa, fyrst, Ꟶ last, are wrytten in the boke of the kinges of Iuda and Israel.
2Chr.16.12	And Asa in the .xxxix. yere of hys raygne fell sycke in hys fete, and that hys disease contynued very longe. And in hys sycknes he sought not the Lord, but phisicions.
2Chr.16.13	And Asa slept with his fathers, and dyed in the .xlj. yere of hys raygne.
2Chr.16.14	And they buryed hym in his awne sepulchre, which he had made for hym selfe in the cytye of Dauid, and layed hym in the bed which he had fylled with dyuerse kyndes of spices Ꟶ swete odours, made by the craft of the potecaryes. And they burnt very moch spyce about him.
2Chr.17.1	And Iehosaphat his sone raygned in hys steade, Ꟶ preuayled agaynst Israel.
2Chr.17.2	And he put souldyers in all the stronge cityes of Iuda, and sett rulers in the lande of Iuda and in the cityes of Ephraim, which Asa his father had wonne.
2Chr.17.3	And the Lorde was with Iehosaphat, because he walked in the olde wayes of his father Dauid, and sought not Baalim.
2Chr.17.4	But sought the Lorde God of hys father, Ꟶ walked in hys commaundmentes: and not after the doynges of Israel.
2Chr.17.5	And the Lord stablisshed the kyngdome in his hande, and all they that were in Iuda, brought hym presentes, so that he had aboundance of riches and honoure.
2Chr.17.6	And he lyft vp his hert vnto the wayes of the Lorde, and he putt downe yet more of the hylaultars and groues out of Iuda.
2Chr.17.7	In the thyrde yere of hys raygne he sent to hys lordes, euen to Benhail, Obadia, zacharia, Nethanel and to Michaahu, that they shulde teach in the cityes of Iuda,
2Chr.17.8	and with them he sent leuites: euen Semeiahu, Nethaniahu, zabadiahu, Asahel, Semiramoth, Ꟶ Tubadonia, and with them Elisamah and Iehoram prestes.
2Chr.17.9	And they taught in Iuda, and had the boke of the lawe of God wt them, and went about thorowout all the cityes of Iuda, and taught the people.
2Chr.17.10	And the feare of the Lorde fell vpon all the kyngdomes of the landes that were rounde about Iuda, Ꟶ they fought not agaynst Iehosaphat.
2Chr.17.11	And some of the philistines brought Iehosaphat gyftes, and tribute syluer: And therto the Arabians brought him catell: euen .vij.M. and .vij.C. rammes, and .vij.M. and .vij.C. he goates.
2Chr.17.12	And so Iehosaphat prospered Ꟶ grue vp on hye. And he buylt in Iuda, castels and stronge cityes,
2Chr.17.13	Ꟶ he had great substaunce in the cities of Iuda, but the men of armes Ꟶ strongest soudiers were in Ierusalem.
2Chr.17.14	And these are the offyces of them in the houses of their fathers, the captaines ouer thousandes in Iuda. Adna the captayne, Ꟶ with hym of fightynge men .iij.C.M.
2Chr.17.15	And next to hys hande was Iehohanan a captayne, and with hym .ij.C. and .lxxx.M.
2Chr.17.16	And nexte him was Amazia the sonne of zichri, which of his awne good wil offred him selfe vnto the Lord, and wt hym .ij.C.M. myghty men of warre.
2Chr.17.17	And of the chyldren of Beniamin, Eliada a man of myght, and had with hym armed men with bowe Ꟶ shylde .ij.C.M.
2Chr.17.18	And nexte hym was Iehosabad, and with hym an .C. and .lxxx.M. that were prepared for the warre.
2Chr.17.19	These wayted on the kynge, besydes those which the kinge put in the stronge cityes thorowout all Iuda.
2Chr.18.1	And Iehosaphat had aboundance of rychesse and honoure, and ioyned affinyte wt Ahab.
2Chr.18.2	And after certayne yeres he went downe to Ahab to Samaria. And Ahab slue many shepe Ꟶ oxen for hym, and for the people that he had with hym, and entreated him to go vp with hym vnto Ramoth in Gilead.
2Chr.18.3	And Ahab kynge of Israel sayde to Iehosaphat kynge of Iuda: wylt thou go with me to Ramoth in Gilead? And he answered hym: I wyll be as thou, and my people shalbe as thyne, and we wyll go with the to the warre.
2Chr.18.4	And Iehosaphat sayd vnto the kynge of Israel: aske councell I praye the, at the worde of the Lorde, thys same daye.
2Chr.18.5	Therfore the kyng of Israel gathered together of prophetes .iiij.C. men, and sayde vnto them: shall we go to Ramoth in Gilead to fyght, or shulde I cease? And they sayde: go vp, Ꟶ God shall delyuer it into the kinges hande.
2Chr.18.6	But Iehosaphat sayde: is there yet here neuer a prophete more of the Lordes, that we might aske of him?
2Chr.18.7	And the kinge of Israel sayde vnto Iehosaphat: there is yet one man, by whom we maye aske the Lorde. But I hate him: for he neuer prophecieth me good, but alwaye euell, and the same is Michea the sonne of Iimla. And Iehosaphat sayd: let not the kynge saye so.
2Chr.18.8	And the kinge of Israell called one of his chamberlaynes, and sayde: fetch hether quyckly Michea the sonne of Iimla.
2Chr.18.9	And the kynge of Israel and Iehosaphat kyng of Iuda sate ether of them on his seate in their apparell, in a thresshing floure beside the gate of Samaria, and all the prophetes prophesyed before them.
2Chr.18.10	And one zedekia the sonne of Chanana had made hym hornes of yron, Ꟶ sayd: thus sayth the Lorde: with these shallt thou ouerthorowe Siria, vntyll they be brought to naught.
2Chr.18.11	And all the prophetes prophesyed euen so, sayinge: Go vp to Ramoth in Gilead, and it shall prospere with the: for the Lord shall delyuer it into the hande of the kynge.
2Chr.18.12	And the messenger that went to call Michea, spake to him, saying: beholde, the wordes of the prophetes speake good to the kyng with one assent, lett thy wordes therfore be lyke one of theirs, that thou speake that which is pleasaunt.
2Chr.18.13	And Michea sayd: as truly as the Lorde liueth: euen what my God sayth that wyll I speake.
2Chr.18.14	And whan he was come to the kynge, the kynge sayde vnto hym: Michea, shuld we go to Ramoth in Gilead to fight, or leaue of? And he sayde: go vp, Ꟶ all shalbe well: Ꟶ they shalbe delyuered into your hande.
2Chr.18.15	And the kyng sayde to him: So Ꟶ so may tymes do I charge the, that thou saye nothynge but the trueth to me, in the name of the Lorde.
2Chr.18.16	Then he sayde: I dyd se all them of Israel scatered in the mountaynes, as shepe that haue no shepherde. And the Lord sayde: these haue no master, let then returne euery man therfore to hys house in peace.
2Chr.18.17	And the kynge of Israel sayd to Iehosaphat: dyd I not tell the, that he wold not prophecy good vnto me: but euell.
2Chr.18.18	But he sayde agayne: therfore heare ye the worde of the Lorde. I sawe the Lorde syt vpon his seate, Ꟶ all the company of heauen stode on hys ryght hande Ꟶ on hys lefte.
2Chr.18.19	And the Lorde sayde: who shall deceaue Ahab king of Israel, that he maye go vp Ꟶ be ouerthrowen at Ramoth in Gilead? And he sayde: oue sayth this, another that.
2Chr.18.20	And there came out a sprete Ꟶ stode before the Lorde, Ꟶ sayde: I wyll deceaue him. And the Lorde sayde vnto him: Wherin?
2Chr.18.21	And he sayd: I will go out, Ꟶ be a lyinge sprete in the mouth of all his prophetes. And the Lorde sayde: thou shalt deceaue him, and shalt preuayle: go out, and do euen so.
2Chr.18.22	And now therfore beholde, the Lord hath put a lyinge sprete in the mouthes of all these thy prophetes, Ꟶ the Lorde hath spoken euell agaynst the.
2Chr.18.23	And zedekia the sonne of Chanana went to, Ꟶ smote Michea vpon the cheke. Ꟶ sayde: by what waye went the sprete of the Lorde from me, to speake wt the?
2Chr.18.24	And Michea sayde: thou shalt se the daye when thou shalt go in from chambre to chambre, for to hyde thy selfe.
2Chr.18.25	And the kinge of Israel sayde take ye Michea, and brynge hym to Amon the gouerner of the citye, Ꟶ to Ioas the kinges sonne,
2Chr.18.26	Ꟶ ye shall saye: thus sayth the kynge: putt thys felowe in the preson house, Ꟶ fede hym wt breed of affliction Ꟶ water of trouble vntill I come agayne in peace.
2Chr.18.27	And Michea sayde: yf thou come agayne in peace, then hath not the Lorde spoken to me. And he sayde: herken to, ye people euery one of you.
