Rom.0.0	¶ The Epistle of the Apostle Saynct Paul to the Romayns.
Rom.9.23	and to declare the ryches of hys glory on the vessels of mercye, which he had prepared vnto glorye:
Rom.9.24	whom also he called, not of the Iewes onely, but also of the gentyls.
Rom.9.25	As he sayth also to Osee? I wyll call them my people which were not my people: and her beloued which was not beloued, (and her to haue optayned mercy, that had not optayned mercy)
Rom.9.26	And it shall come to passe, that in the place where it was sayde vnto them: ye are not my people: there shall they be called the chyldren of the lyuynge God.
Rom.9.27	But Esay cryeth concerning Israel though the nombre of the chyldren of Israel be as the sonde of the see, yet the remnaunt shall be saued
Rom.9.28	For he fynyssheth the word verely, and maketh it short in ryghtewesnes. For a short worde wil God make on erth.
Rom.9.29	And as Esay sayd before: except the Lorde of Saboth had left vs seede, we had bene made as zodoma, and had bene lykened to Gomorra.
Rom.9.30	What shall we saye then? We saye, that the gentyls which folowed not ryghtewesnes, haue ouertaken ryghtewesnes: euen the ryghtewesnes which cometh of fayth.
Rom.9.31	Contrary wyse, Israel which folowed the lawe of rightwesnes could not attaine to the lawe of ryghtewsnes.
Rom.9.32	Wherfore? euen because they sought it not by fayth: but as it were by the workes of the lawe. For they haue stombled at the stombylynge stone.
Rom.9.33	As it is wrytten: Behold, I put in Syon a stomblynge stone, Ꟶ a rocke that men shalbe offended at. And whosoeuer beleueth on hym, shall not be confounded.
Rom.10.1	Brethren, my hertes desyre Ꟶ prayer to God for Israelis, that they myght be saued.
Rom.10.2	For I beare them recorde, that they haue a feruent mynde to God warde, but not according to knowledge.
Rom.10.3	For they beynge ignoraunt of Goddes ryghtewesnes, and goynge aboute to stablysshe theyr awne ryghtewesnes, haue not bene obedient vnto the ryghtewesnes of God.
Rom.10.4	For Christ is the fulfyllyng of the lawe, to iustyfye all that beleue.
Rom.10.5	For Moses wrytteth of the ryghtewesnes which cometh of the lawe, how that the man whych doth the thynges of the lawe, shall lyue therby.
Rom.10.6	But the ryghtewesnes which cometh of fayth, speaketh on thys wyse: Saye not thou in thyne hert. who shall ascende into heauen (that is euen to fetch Chryst downe from aboue.)
Rom.10.7	Other who shall descende into the depe? (that is euen to fetch vp Christ agayne from deeth)
Rom.10.8	But what sayth he? The worde is nye the, euen in thy mouth and in thyne herte. Thys same is the worde of fayth, which we preache.
Rom.10.9	For yf thou knowledge with thy mouth that Iesus is the Lorde, Ꟶ beleue in thyne hert, that God raysed hym vp from deeth, thou shalt be safe.
Rom.10.10	For to beleue wt the hert iustyfyeth: and to knowledge with the mouth, maketh a man safe.
Rom.10.11	For the scrypture sayth: whosoeuer beleueth on hym, shall not be confounded.
Rom.10.12	There is no difference betwene the Iewe and the Gentill. For one is Lord of all, which is ryche vnto all that call vpon him.
Rom.10.13	For whosoeuer doth call on the name of the Lord, shalbe safe.
Rom.10.14	How then shall they call on hym, on whom they haue not beleued? how shall they beleue on hym, of whom they haue not hearde? how shall they heare, without a preacher?
Rom.10.15	And how shall they preache except they be sent? As it is written: how beautyfull are the fete of them which brynge tydynges of peace, and brynge tydynges of good thynges.
Rom.10.16	But they haue not all obeyed to the Gospell. For Esay sayth: Lorde, who hath beleued oure sayinges?
Rom.10.17	So then fayth cometh by hearynge, and hearynge cometh by the worde of God.
Rom.10.18	But I aske: haue they not herde? No dout, their sounde went out into all landes: and their wordes into the endes of the worlde.
Rom.10.19	But I demaunde, whether Israel dyd knowe or not? Fyrst Moses sayth: I will prouoke you to enuy, by them that are no people: by a folysihe nacion I wyll anger you.
Rom.10.20	Esay after that, is bolde and sayeth: I am founde of them, that sought me not: I am manyfest vnto them, that asked not after me.
Rom.10.21	But agaynst Israell he sayth: all daye longe haue I stretched forth my handes vnto a people that beleueth not, but speaketh agaynst me.
Rom.11.1	I saye then: hath God cast awaye hys people? God forbyd. For euen I also am an Israelite, of the seed of Abraham, of the trybe of Beniamin,
Rom.11.2	God hath not cast awaye his people, which he knewe before. Wote ye not, what the scripture sayth of Helias, how he maketh intercession to God agaynst Israell, saying:
Rom.11.3	Lorde, they haue kylled thy Prophetes, and dygged downe thyne alters: and I am lefte alone, and they seke my lyfe.
Rom.11.4	But what sayth the answere of God vnto hym? I haue reserued vnto my selfe seuen thousande men, which haue not bowed the knee to the ymage of Ball.
Rom.11.5	Euen so also at thys tyme is ther a remanaunt lefte accordynge to the eleccyon of grace.
Rom.11.6	If it be of grace, then is it not now of workes. For then grace is nomore grace. But If it be of workes, then is it now no grace. For then were deseruynge nomore deseruynge.
Rom.11.7	What then? Israel hath not obtayned that which he seketh: but the eleccyon hath obtayned it. The remnaunt are blynded
Rom.11.8	accordynge as it is written. God hath geuen them the sprete of vnquyetnes: eyes that they shuld not se, Ꟶ eares that they shuld not heare, euen vnto this daye.
Rom.11.9	And Dauid sayth: Let their table be made a snare to take them with all, and an occasyon to fall, and a reward vnto them.
Rom.11.10	Let theyr eyes be blynded that they se not: and bowe thou downe their backe allwaye.
Rom.11.11	I saye then: haue they therfore stombled, that they shuld vtterly fall awaye together. God forbyd: but thorowe theyr fall is saluacyon happened vnto the Gentyls, for to prouoke them withall.
Rom.11.12	Wherfore yf the fall of them be the ryches of the worlde, and the mynisshynge of them the ryches of the gentyls: How moch more their perfectnesse?
Rom.11.13	I speake to you gentyls, in as moch as I am the Apostle of the gentyls, I wyll magnify myne office,
Rom.11.14	yf by any meane I maye prouoke them which are my flesshe, and myght saue some of them.
Rom.11.15	For yf the castynge awaye of them, be the reconcylynge of the world: what shall the receauynge of them be, but lyfe agayne from deeth?
Rom.11.16	For yf one pece be holy, the whole heepe is holy. And yf the rote be holy, the braunches shalbe holy also.
Rom.11.17	Though some of the braunches be broken of, and thou beynge a wylde olyue tree, wast graft in among them, and made partaker of the rote and fatnes of the olyue tree,
Rom.11.18	boast not thy selfe agaynst the braunches. For yf thou boast thy selfe, thou bearest not the rote, but the rote the.
Rom.11.19	Thou wilt saye then: the braunches are broken of that I myght be graft in.
Rom.11.20	Thou sayest well: because of vnbeleue they were broken of, and thou stodest stedfast in fayth.
Rom.11.21	Be not hye mynded, but feare: for seynge that God spared not the naturall braunches, take hede, lest it come to passe that he spare not the also.
Rom.11.22	Beholde therfore the kyndnes and rygorousnes of God: on them which fell, rygorousnes. but towardes the, kyndnes: yf thou continue in hys kyndnes. Or els thou shalt be hewen of,
Rom.11.23	and they agayne yf they byde not styll in vnbelefe, shalbe graffed in agayne. For God is of power to graffe them in agayne.
Rom.11.24	For yf thou wast cut out of a naturall wylde olyue tree, and wast graffed contrary to nature in a true olyue tree: how moch more shall the naturall braunches be graffed in their awne olyue tree agayne.
Rom.11.25	I wolde not that this secrete shulde be hyd from you my brethren (lest ye shuld be wyse in youre awne consaytes) that partly blyndnes is happened in Israell, vntyll the fulnes of the gentyls be come in:
Rom.11.26	and so all Israel shalbe saued. As it is wrytten. There shall come out of Syon he that doth delyuer, and shall turne awaye vngodlynes from Iacob.
Rom.11.27	And thys is my couenaunt vnto them, when I shall take awaye their synnes.
Rom.11.28	As concernynge the gospell they are enemies for youre sakes: but as touchyng the eleccyon they are loued for the fathers sakes.
Rom.11.29	For verely, the gyftes and callynge of God are soch, that it cannot repent hym of them:
Rom.11.30	for loke, as ye in tyme passed haue not beleued God, yet haue now obtained mercy thorow their vnbelefe:
Rom.11.31	euen so now haue they not beleued the mercy which is happened vnto you: that they also maye obtayne mercy.
Rom.11.32	For God had wrapped all nacyons in vnbeleue, that he myght haue mercy on all.
Rom.11.33	O the depnes of the ryches both of the wysdome and knowledge of God: how vnsercheable are his iudgementes, Ꟶ his wayes past fyndynge out;
Rom.11.34	For who hath knowen the mynde of the Lorde? Or who hath bene hys counseller?
Rom.11.35	other who hath geuen vnto hym fyrst, and he shalbe recompensed agayne?
Rom.11.36	For of hym, and thorow hym, and for hym are all thynges: To hym be glorye for euer. Amen.
Rom.12.1	I beseche you therfore brethren, by the mercyfulnes of God, that ye make yor bodies a quycke sacryfice, holy Ꟶ acceptable vnto God: which is youre resonable seruynge of God
Rom.12.2	Ꟶ fassyon not youre selues lyke vnto this worlde: but be ye chaunged in youre shape, by the renuyng of your mynde, that ye maye proue what thynge that good, and acceptable, and perfaycte wyll of God is.
Rom.12.3	For I saye (thorowe the grace that vnto me geuen is) to euery man amonge you, that noman stonde hye in his owne conceate, more then it becommeth hym to esteme of him selfe: but so iudge of hym selfe, that he be gentle and sober, accordynge, as God hath dealte to euery man the measure of fayth.
Rom.12.4	For as we haue many membres in one body, and all members haue not one office:
Rom.12.5	so we beynge many, are one body in Chryst, and euery man among oure selues, one anothers members.
Rom.12.6	Seynge that we haue diuers gyftes accordynge to the grace that is geuen vnto vs: yf eny man haue the gyft of prophesye, let him haue it that it be agreyng vnto the fayth.
Rom.12.7	Let hym that hath an office wayte on his office. Let him that teacheth take hede to hys doctryne.
Rom.12.8	Let hym that exhorteth, geue attendaunce to his exhortacion. If eny man geue, let hym do it with synglenes. Let hym that ruleth, do it wit diligence. If eny man shewe mercy, let hym do it with cherfulnes.
Rom.12.9	Let loue be without dissimulacion Hate that which is euyll Ꟶ cleaue vnto that which is good.
Rom.12.10	Be kynd one to another wich brotherly loue. In geuynge honoure, go one before another.
Rom.12.11	Be not slouthfull in the busynes which ye haue in hande. Be feruent in the sprete. Applye youre selues to the tyme.
Rom.12.12	Reioyce in hope. Be pacient in tribulacion. Continue in prayer.
Rom.12.13	Distribute vnto the necessite of the sayntes: be readie to harboure.
Rom.12.14	Blesse them which persecute you: blesse (I saye) and course not.
Rom.12.15	Be mery with them that are mery. Wepe also with them that wepe.
Rom.12.16	Be of lyke affeccion one towardes another. Be not hye mynded: but make youre selues equall to them of the lower sorte. Be not wyse in youre awne opynyons.
Rom.12.17	Recompence to no man euyll for euyll. Prouyde afore hande thynges honeste in the syght of all men.
Rom.12.18	If it be possyble, (as moch as is in you) lyue peaceably with all men.
Rom.12.19	Dearly beloued, auenge not youre selues, but rather geue place vnto wrath. For it is wrytten: vengeaunce is myne, I wyll rewarde, sayth the Lorde.
Rom.12.20	Therfore, yf thyne enemy honger, fede him: yf he thyrst, geue hym dryncke. For in so doyng thou shalt heape coles of fyre on hys heade.
Rom.12.21	Be not ouercome of euyll, but ouercome euyll, with goodnes:
Rom.13.1	Let euery soule submyt hym selfe vnto the auctoryte of the hyer powers. For there is no power but of God.
Rom.13.2	The powers that be, are ordeyned of God. Whosoeuer therfore resysteth power, resysteth the ordinaunce of God. But they that resyst, shall receaue to them selfe damnacyon.
Rom.13.3	For rulers are not fearfull to them that do good, but to them that do euyll. Wylt thou be without feare of the power? Do well then: and so shalt thou he praysed of the same.
Rom.13.4	For he is the mynyster of God, for thy welth. But and yf thou do that which is, euyll, then feare: for he beareth not the sweard for nought: for he is the mynister of God, to take vengeaunce on hym that doth euyll.
Rom.13.5	Wherfore, ye must nedes obeye, not onely for feare of vengeaunce: but also because of conscience.
Rom.13.6	And euen for this cause paye ye tribute. For they are Goddes mynysters, seruinge for the same purpose.
Rom.13.7	Geue to euery man therfore hys duetye: tribute to whom tribute belongeth: custome, to whom custome is due: feare, to whom feare belongeth: honoure, to whom honoure pertayneth.
Rom.13.8	O we nothynge to eny man: but thys, that ye loue one another. For he that loueth another hath fulfylled the lawe.
Rom.13.9	For these commaundementes. Thou shalt not commytt aduoutry: thou shalt not kyll: thou shalt not steale: thou shalt not beare false wytnes: thou shalt not lust, and so forth (yf there be eny other commaundement) it is all comprehended in thys sayinge, Namely: Loue thyne neyghbour as thy selfe.
Rom.13.10	Loue hurteth not his neyghbour. Therfore is loue the fulfyllinge of the lawe.
Rom.13.11	This also, we knowe the season howe that it is tyme that we shulde now awake out of slepe. For now is oure saluacyon nearer, then when we beleued.
Rom.13.12	The nyght is passed, the daye is come nye. Let vs therfore cast awaye the dedes of darcknes, and let vs put on the Armoure of lyght.
Rom.13.13	Let vs walke honestly as it were in the daye lyght: not in eatynge Ꟶ drynckynge, nether in chamburyng and wantannes, nether in stryfe Ꟶ enuyinge:
Rom.13.14	but put ye on the Lorde Iesus Chryst. And make not prouisyon for the fleshe, to fulfyll the lustes of it.
Rom.14.1	Hym that is weake in the fayth, receaue, not in disputynge and troublynge hys conscience.
Rom.14.2	One beleueth that he maye eate all thynge. Another whych is weake, eateth earbes.
Rom.14.3	Let not hym that eateth, despise hym that eateth not. And let not him whych eateth not, iudge him that eateth. For God hath receaued him.
Rom.14.4	What art thou that iudgest another mannes seruaunt whether he stande or fall that pertayneth vnto hys awne master: ye, he shall be holden vp, that he maye stande. For God is able to make hym stande.
Rom.14.5	This man putteth difference bitwene daye Ꟶ daye. Another man counteth all dayes alyke. Let euery mans mynde satisfye him selfe.
Rom.14.6	He that obserueth the daye, doeth it vnto the Lorde. And he that doth not obserue the daye, doeth it for the Lorde also. He that eateth, doth it to please the Lorde, for he geueth God thankes.
Rom.14.7	And he that eateth not, eateth not, to please the Lorde withall, and geueth God thankes.
Rom.14.8	For none of vs lyueth for hym selfe, and no man dyeth for hym selfe. For yf we lyue, we lyue vnto the Lorde. And yf we dye, we dye vnto the Lord. Whether we lyue therfore, or dye, we are the Lordes.
Rom.14.9	For Christ therfore dyed, and rose agayne, and reuyued, that he myght be Lorde of deed and quycke.
Rom.14.10	But why doest thou then iudge thy brother? Other, why doest thou despise thy brother? We shalbe all brought before the iudgement seate of Christ.
Rom.14.11	For it is written: as truely as I lyue sayth the Lorde: all knees shall bowe to me, and all tonges shall geue prayse to God.
Rom.14.12	So shall euery one of vs geue accomptes of hym selfe to God.
Rom.14.13	Let vs not therfore iudge one another eny more. But iudge thys rather, that no man put a stomblynge blocke, or an occasyon to fall in hys brothers waye.
Rom.14.14	For I knowe, and am full certifyed by the Lorde Iesus, that ther is nothynge comen of it selfe: but vnto hym that iudgeth it to be comen: to hym is it comen.
Rom.14.15	If thy brother be greued wyth thy meate, nowe walkest thou not charitablye. Destroye not hym wyth thy meate, for whom Chryst dyed.
Rom.14.16	Cause not youre treasure to be euyll spoken of.
Rom.14.17	For the kyngdome of God is not meate and drynke: but ryghtwesnes, and peace and ioye in the holy ghost.
Rom.14.18	For he that in these thinges serueth Chryst, pleaseth God, and is commended of men.
Rom.14.19	Let vs therfore folowe those thinges which make for peace, and thynges wherwith one maye edifye another.
Rom.14.20	Destroye not the worke of God for a lytell meates sake. All thinges are pure: but it is euyll for the man: which eateth wyth hurte of conscience.
Rom.14.21	It is good nether to eate flesshe, nether to drinke wyne nether eny thynge, wherby thy brother stombleth, ether falleth, or is made weake.
Rom.14.22	Hast thou fayth? haue it wyth thy selfe before God. Happy is he, that condempneth not hym selfe, in the thynge whych he aloweth.
Rom.14.23	For he that maketh conscience, is dampned yf he eate: because he eateth not of fayth. For whatsoeuer is not of fayth, that same is synne.
Rom.15.1	We whych are stronge ought to beare the fraylnes of them, whych are weake, and not to stonde in oure awne consaytes.
Rom.15.2	Let euery man please hys neyghbour vnto hys welth and edifyinge.
Rom.15.3	For Christ pleased not him selfe: but as it is written. The rebukes of them which rebuked the, fell on me.
Rom.15.4	Whatsoeuer thinges are written afore tyme, they are written for our learnynge, that we thorow pacience and comforte of the scriptures, myght haue hope.
Rom.15.5	The God of pacyence and consolacyon, graunt you, to be lyke mynded one towardes another, after the ensample of Chryst Iesu:
Rom.15.6	that ye all agreynge together maye wyth one mouth prayse God the father of oure Lorde Iesus Chryst.
Rom.15.7	Wherfore, receaue ye one another, as Chryst receaued vs, to the prayse of God.
Rom.15.8	And thys I saye, that Iesus Chryst was a mynister of the circumcisyon for the trueth of God, to conferme the promyses made vnto the fathers:
Rom.15.9	that the gentyls myght prayse God for hys mercy, as it is wrytten. For this cause I will prayse the amonge the gentyls, and synge vnto thy name.
Rom.15.10	And agayne he sayth: reioyse ye gentyles wyth hys people.
Rom.15.11	And agayne, prayse the Lorde all ye gentyls, and laude hym all ye nacyons together.
Rom.15.12	And agayne Esay sayth: ther shalbe the rote of Iesie, and he that shall ryse to raygne ouer the gentyls: in hym shall the gentyls trust.
Rom.15.13	The God of hope fyll you wyth all ioye and peace in beleuyng: that ye maye be ryche in hope, thorow the power of the holy ghost.
Rom.15.14	I my selfe am full certifyed of you (my brethren) that ye also are full of goodnes, Ꟶ fylled with all knowledge, willinge to exhorte one another.
Rom.15.15	Neuerthelesse (brethren) I haue some what more boldly wrytten vnto you, partely to put you in remembraunce, thorow the grace that is geuen me of God,
Rom.15.16	that I shuld be the minister of Iesu Christ amonge the Gentyls, Ꟶ shuld minyster the Gospell of God, that the offeryng of the gentyls myght be acceptable, Ꟶ sanctified by the holy ghost.
Rom.15.17	I haue therfore wherof I maye reioyse thorow Chryst Iesu, in those thinges which pertayne to God.
Rom.15.18	For I dare not speake of eny of those thynges, whych Chryst hath not wrought by me, to make the Gentyls obedient, with worde and dede,
Rom.15.19	in myghty sygnes Ꟶ wonders, by the power of the sprete of God: so that from Ierusalem Ꟶ the coastes rounde aboute vnto Illyrycum, I haue fylled all countres with the Gospell of Christ.
Rom.15.20	So haue I enforsed my selfe to preache the Gospell, not where Chryst was named, lest I shulde haue bylt on another mannes foundacyon:
Rom.15.21	but as it is written. To whom he was not spoken of, they shall se: Ꟶ they that hearde not, shall vnderstande.
Rom.15.22	For this cause I haue bene ofte let that I could not come vnto you:
Rom.15.23	but nowe, seynge I haue nomore to do in these countrees, and also haue bene desyrous many yeares to come vnto you,
Rom.15.24	whensoeuer I take my iorney into spayne, I wyll come to you. For I trust to se you in my iorney, and to be brought on my waye thither warde by you, after that I haue somwhat enioyed your acquaintaunce.
Rom.15.25	Now go I vnto Ierusalem, and minister vnto the saynctes.
Rom.15.26	For it hath pleased them of Macedonia and Achaia to make a certayne distribucyon vpon the poore saynctes, whych are at Ierusalem.
Rom.15.27	It hath pleased them verely, and their detters are they. For yf the Gentyls be made partetakers of their spirituall thynges, their dutie is to minyster vnto them in bodyly thinges.
Rom.15.28	When I haue performed this, and haue brought them this frute sealed, I wyll come backe agayne by you into Spayne.
Rom.15.29	I am sure that when I come vnto you I shall come with aboundaunce of the blessynge of the Gospell of Chryst.
Rom.15.30	I beseche you brethren for oure Lord Iesus Christes sake, and for the loue of the sprete, that ye helpe me in my busynes with youre prayers to God for me,
Rom.15.31	that I maye be delyuered from them which beleue not in Iewry: Ꟶ that this my seruice, which I haue to do at Ierusalem, maye be accepted of the saynctes,
Rom.15.32	that I maye come vnto you with ioye, by the will of God, and maye with you be refresshed.
Rom.15.33	The God of peace be wyth you all. Amen.
Rom.16.1	I commende vnto you Phebe, oure syster (which is a minyster of the congregacion of Cenchrea)
Rom.16.2	that ye receaue her in Christ, as it becommeth sainctes, and that ye assyst her in what soeuer busynes she neadeth of youre ayde. For she hath suckered many, and myne awne selfe also.
Rom.16.3	Grete Prisca and Aquila my helpers in Christ Iesu,
Rom.16.4	whych haue for my lyfe layde downe their awne neckes. Unto whom not I onely geue thankes, but also all the congregacions of the Gentyls.
Rom.16.5	Lyke wyse, grete the congregacion that is in their house. Salute my welbeloued Ephenetes, which is the fyrst frute of Achaia in Christ.
Rom.16.6	Grete Mary which bestowed moch labour on vs.
Rom.16.7	Salute Andronicus and Iunia my cosyns, and presoners with me also: which are well taken amonge the Apostles, Ꟶ were in Christ before me.
Rom.16.8	Grete Amplias my beloued in the Lorde.
Rom.16.9	Salute Urban oure helper in Christ, Ꟶ Stachys my beloued.
Rom.16.10	Salute Appelles approued in Christ. Salute them, which are of Aristobolus housholde.
Rom.16.11	Salute Herodion my kynsman. Grete them that be of the housholde of Narcissus, whych are in the Lorde.
Rom.16.12	Salute Triphena and Triphosa, whych labour in the Lorde. Salute the beloued Persis, which laboured moch in the Lorde.
Rom.16.13	Salute Rufus chosen in the Lorde, and his mother and myne.
Rom.16.14	Grete Asyncritus, Phlegon, Herman, Patrobas, Mercurius, and the brethren which are wyth them.
Rom.16.15	Salute Philologus and Iulia, Nereus and his syster, and Olympha, Ꟶ all the saynctes which are with them.
Rom.16.16	Salute one another wyth an holy kysse. The congregacions of Christ salute you.
Rom.16.17	I beseche you brethren, marke them which cause diuisyon Ꟶ geue occasions of euyll, contrary to the doctrine, which ye haue learned: Ꟶ auoyde them.
Rom.16.18	For they that are suche, serue not the Lorde Iesus Christ, but their awne bellyes, Ꟶ with swete and flatterynge wordes, deceaue the hertes of the innocentes.
Rom.16.19	For your obedience is gone abroade vnto all men. I am glad therfore no dout, of you. But yet I wolde haue you wyse vnto that which is good, Ꟶ to be innocente as concernynge euyll.
Rom.16.20	The God of peace shall treade Satan vnder youre fete shortly. The grace of oure Lorde Iesu Christ be with you.
Rom.16.21	Tymotheus my worke felowe, Ꟶ Lucius, and Iason, Ꟶ Sosipater my kynsmen, salute you,
Rom.16.22	I Tertius salute you, which wrote thys epistle in the Lorde.
Rom.16.23	Gayus myne hoste Ꟶ the hoste of all the congregacion, saluteth you. Erastus the treasorer of the cytie, saluteth you. And Quartus a brother saluteth you.
Rom.16.24	The grace of our Lord Iesu Chryst be with you all. Amen.
Rom.16.25	To him that is of power to stablisshe you, according to my Gospell, Ꟶ preaching of Iesus Christ in vtterynge of the mistery whych was kept secret sence the worlde beganne,
Rom.16.26	but now is opened by the scriptures of the prophetes at the commaundement of the euerlastynge God, to stere vp obedience to the fayth, publysshed amonge all nacions:
Rom.16.27	To the same God, which alone is wyse, be prayse thorow Iesus Chryst for euer. Amen.
Rom.0.0	¶ This Epsitle was sent to the Romayns from Corynthum by Phebe, she that was the minyster vnto the congregacyon at Cenchrea.
