Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.8.31	And the Lorde dyd accordinge to the sayinge of Moses: and the flyes departed from Pharao, and from hys seruauntes, and from his people, and there remayned not one.
Exod.8.32	And Pharao hardened his herte euen then also, and dyd not let the people go.
Exod.9.1	The Lorde sayd vnto Moses: go in vnto Pharao and thou shalt tell him: thus sayth the Lorde God of the Ebrues: lett my people go, that they maye serue me.
Exod.9.2	If thou wilt not let them go, and wylt holde them styll,
Exod.9.3	beholde, the hande of the Lorde is vpon thy flocke which is in the felde: for vpon hostes, asses, camels, oxen and shepe, there shalbe a mighty great morayne.
Exod.9.4	And the Lorde shall do wonderfully betwene the beastes of Israel and the beastes of Egypt: so that there shall nothynge dye of all that pertayneth to the children of Israel.
Exod.9.5	And the Lorde appointed a tyme, saying: to morow the Lorde shall finysh this worde in the lande.
Exod.9.6	And the Lorde dyd it on the morow, and all the catell of Egipt dyed: but of the catell of the chyldren of Israel dyed not one.
Exod.9.7	And Pharao sent, and beholde, ther was not one of the catell of the Israelites deed. And the hert of Pharao was hardened that he wolde not let the people go.
Exod.9.8	And the Lorde sayde vnto Moses and Aaron: take youre handes full of asshes out of the fornace, and Moses shall sprynkle it vp into the ayre, in the syght of Pharao,
Exod.9.9	and it shall turne to dust in all the lande of Egipt: that ther maye be swellyng sores with blaynes both on man and beaste thorowout all the lande of Egipte.
Exod.9.10	And they toke asshes oute of the fornace, and stode before Pharao, and Moses sprynkled it vp into the ayre. And there were sores with blaynes both in men and in beastes:
Exod.9.11	and the sorcerers coulde not stande before Moses because of the blaines: for ther were botches vpon the enchaunters Ꟶ vpon all the Egipcians.
Exod.9.12	And the Lord hardened the hert of Pharao, Ꟶ he herkened not vnto them, as the Lorde had sayd vnto Moses.
Exod.9.13	And the Lorde sayde vnto Moses: ryse vp early in the mornynge, and stande before Pharao, Ꟶ thou shalt tell hym: thus sayth the Lord God of the Ebrues: Let my people go, that they maye serue me:
Exod.9.14	or els I will at this tyme sende all my plages vpon thine herte, and vpon thy seruauntes and on thy people, that thou mayest knowe, that there is none lyke me in all the earth.
Exod.9.15	For nowe I wyll stretch out my hande, that I maye smyte the and thy people with pestilence: and thou shalt perysh from the earth.
Exod.9.16	And in very dede for this cause haue I kepte the, for to shewe the my power: and that they might declare my name thorowout all the world.
Exod.9.17	Yet thou exaltest thy selfe agaynste my people, that thou wylt not let them go:
Exod.9.18	beholde, to morowe thys tyme I wyll sende downe a myghty great hayle: euen soche a one as was not in Egipt, sens it was grounded vnto thys tyme.
Exod.9.19	Sende therfore nowe, and gather thy beastes, and all that thou hast in the felde. For vpon all the men and the beastes which are founde in the felde, and not brought home, shall the hayle fall, and they shall dye.
Exod.9.20	And as many as feared the worde of the Lorde among the seruauntes of Pharao, made their seruauntes and their beastes flee into the houses:
Exod.9.21	but he that regarded not the worde of the Lorde, left his seruauntes and his beastes in the felde.
Exod.9.22	And the Lorde said vnto Moses: stretch forth thyne hande vnto heauen, that there maye be hayle in all the lande of Egipt: vpon man and vpon beastes and vpon all the herbes of the felde, thorowout the lande of Egipt.
Exod.9.23	And Moses stretched out his rod vnto heauen: and the Lord thondred and hayled, and the fyrr ran a longe vpon the grounde. And the Lorde so hayled in the lande of Egypt,
Exod.9.24	that there was hayle and fyer mengled with the hayle, so greuous, and such as there was none thorowout all the lande of Egipte, sence people inhabited it.
Exod.9.25	And the hayle smote thorowout all the lande of Egipt, all that was in the felde both man and beast. And the hayle smote all the herbes of the felde, and broke all the trees of the felde:
Exod.9.26	onely in the lande of Gozan, where the children of Israel were, was there no hayle.
Exod.9.27	And Pharao sent Ꟶ called for Moses and Aaron, and sayde vnto them: I haue nowe synned: the Lorde is ryghteous: and I and my people are vngodly.
Exod.9.28	Praye ye vnto the Lorde: for it is moch that there shulde be thonders of God Ꟶ hayle. I will let you go, and ye shall tary no longer.
Exod.9.29	Moses sayde vnto him: assone as I am out of the citye, I will sprede abrode my handes vnto the Lorde, Ꟶ the thonder shall cease. nether shall there be eny more hayle, that thou mayst knowe howe that the erth is the Lordes.
Exod.9.30	But I knowe that thou and thy seruauntes yet feare not the face of the Lorde God.
Exod.9.31	And so the flaxe and the barly were smyten: for the barly was shot vp, and the flaxe was boulled:
Exod.9.32	but the whete and the rye were not smytten: for they were late sowne.
Exod.9.33	And Moses went out of the citye from Pharao and sprede abrode his handes vnto the Lorde: and the thonder and hayle ceased nether rayned it vpon the earth.
Exod.9.34	And when Pharao sawe that the rayne and the hayle and thonder were ceased, he synned agayne: and hardened his herte, he and his seruauntes.
Exod.9.35	And the hert of Pharao was hardened: nether wolde he let the children of Israel go, as the Lorde had sayde by the hande of Moses.
Exod.10.1	And the Lorde sayde vnto Moses: go in vnto Pharao: for I haue hardened his herte and the herte of hys seruauntes, that I might put these my sygnes amongest them:
Exod.10.2	and that thou tell in the audience of thy sonne, and of thy sonnes sonne, what thinges I haue done in Egipte, and the myracles which I haue done amonge them: that ye maye knowe howe that I am the Lorde.
Exod.10.3	And so Moses and Aaron came vnto Pharao, Ꟶ sayd vnto him: Thus sayth the Lorde God of the Ebrues: howe longe shall it be or thou wylt submitte thy selfe vnto me? Let my people go, that they maye serue me.
Exod.10.4	Or els, and wylt not let my people go, behold, to morow will I bring greshoppers into thy coastes,
Exod.10.5	Ꟶ they shall couer the face of the earth, that it cannot be sene: and they shall eate the residue which remayneth vnto you, and is escaped from the hayle: Ꟶ they shall eate euery grene tree that beareth you frute in the felde,
Exod.10.6	and they shall fyll thy houses, and all thy seruauntes houses, and the houses of all the Egipcyans after soche a maner as nether thy fathers, nor thy fathers fathers haue sene, sens the time they were vpon the earth vnto this daye. And he turned him selfe aboute, and went out from Pharao.
Exod.10.7	And Pharaos seruauntes sayd vnto him: Howe longe shall he be a slaunder vnto vs? Let the men go, that they maye serue the Lorde their God: knowest thou not yet that Egipt is destroied?
Exod.10.8	And Moses Ꟶ Aaron were brought agayne vnto Pharao, and he sayde vnto them: Go, and serue the Lorde youre God. Who are they that shall go?
Exod.10.9	And Moses answered: we will go with oure yonge and with our olde: yee, and with our sonnes and with oure daughters, and with oure shepe, and wt oure oxen we must go. For we must holde a feaste vnto the Lorde.
Exod.10.10	And he sayde vnto them: let it be so. The Lorde be with you. When I let you go, and your children also take hede, for ye haue some mischefe in hande.
Exod.10.11	Naye, not so: but go they that are men, and serue the Lorde: for that was your desyre. And they thrust them out of Pharaos presence.
Exod.10.12	And the Lord sayd vnto Moses: Stretch out thyne hande ouer the lande of Egipt for gresshoppers, that they maye come vpon the lande of Egipt, and eate all the herbes of the lande, Ꟶ all that the hayle left behynde.
Exod.10.13	And Moses stretched forth his rod ouer the lande of Egipt: Ꟶ the Lorde brought an east winde vpon the lande, all that daye, and all that nyght. And in the morning, the east wynde brought the greshoppers,
Exod.10.14	and the greshoppers went vp ouer all the lande of Egipt: and remayned in all quarters of Egipt very greuously. Before them were ther no soch greshoppers, nether after them shalbe:
Exod.10.15	for they couered all the face of the earth: so that the land was darke. And they dyd eate all the herbes of the lande, and all the frutes of the trees, and whatsoeuer the hayle had lefte: there was no grene thinge lefte in the trees and herbes of the felde thorowe all the lande of Egipte.
Exod.10.16	Therfore Pharao called for Moses Ꟶ Aaron in haste, Ꟶ sayde: I haue synned agaynst the Lorde youre God Ꟶ against you.
Exod.10.17	And nowe forgeue me my sinne only this once: Ꟶ pray vnto the Lorde your God, that he maye take awaye from me this deeth only.
Exod.10.18	And Moses went out from Pharao, and prayed vnto the Lorde:
Exod.10.19	Ꟶ the Lorde turned a mightye strong west winde, and it toke awaye the greshoppers and cast them into the redd see: so that there was not one greshopper in all the coaste of Egipt.
Exod.10.20	And the Lorde hardened Pharaos herte, so that he wolde not lett the children of Israel go.
Exod.10.21	And the Lorde sayd vnto Moses: stretch out thy hande vnto heauen, that there maye be vpon the lande of Egipt darcknes, which maye be felt.
Exod.10.22	And Moses stretched forth his hande vnto heauen, and there was a thicke darcknes vpon all the lande of Egipt thre dayes longe,
Exod.10.23	no man sawe another, nether rose vp from the place where he was by the space of thre dayes: but all the children of Israel had lyght where they dwelled.
Exod.10.24	And Pharao called for Moses, Ꟶ sayde: go, and serue the Lorde, only let youre shepe and youre oxen abyde, and let your children go with you.
Exod.10.25	And Moses sayde: thou must geue us also offeringes and burntofferinges for to sacrifyce vnto the Lorde our God:
Exod.10.26	our catell also shall go with vs, Ꟶ there shall not one hoffe be left behinde: for therof must we take to serue the Lorde oure God. Neyther do we knowe what we shall offre vnto the Lorde, vntyll we come thyther.
Exod.10.27	But the Lorde hardened Pharaos herte: and he wolde not let them go.
Exod.10.28	And Pharao sayde vnto him: get the fro me, and take hede to thy selfe, and se my face nomore. For whensoeuer thou commest in my syght, thou shalt dye.
Exod.10.29	And Moses saide: Let it be as thou hast sayde, I wyll se thy face nomore.
Exod.11.1	And the Lorde sayde vnto Moses: yet wyll I brynge one plage more vpon Pharao and vpon Egipte: and after that, he wyll let you go hence. And when he letteth you go, he shall vtterly driue you hence.
Exod.11.2	Speake thou therfore in the eares of the people, that euery man borowe of his neyghbour, and euery womaan of her neyghboures iewels of syluer and iewels of golde.
Exod.11.3	And the Lord shall gyue the people fauour in the syght of the Egipcians. Moreouer, Moses was very great in the lande of Egipt, in the syght of Pharaos seruauntes and in the sight of the people.
Exod.11.4	And Moses sayde: thus sayth the Lorde: At mydnight wyll I go out into the middes of Egipte,
Exod.11.5	and all the fyrste borne in the lande of Egipt shall dye, euen from the fyrst borne of Pharao that sytteth on his seate, vnto the fyrst borne of the mayde seruaunte that is behynde the mylle, and all the fyrste gendred of the catell.
Exod.11.6	And there shalbe a great crye thorowout all the lande of Egipt, such as there was neuer none lyke, nor shalbe.
Exod.11.7	But amonge the chyldren of Israel, shall not a dogge moue his tonge, nor yet man or beast: that ye maye knowe howe that the Lorde, putteth a difference betwene the Egipcyans and Israel.
Exod.11.8	And these thy seruauntes shall all come downe vnto me. And fall before me, and saye: gett the out and all the people that are vnder the, and then wyll I departe. And he went oute from Pharao with an angry countenaunce.
Exod.11.9	And the Lorde sayde vnto Moses: Pharao shall not heare you, that my wonders may be multiplyed in the lande of Egipte.
Exod.11.10	And Moses and Aaron dyd all these wonders. before Pharao. And the Lorde hardened Pharaos herte, so that he wolde not let the chyldren of Israel go out of his lande.
Exod.12.1	And the Lord spake vnto Moses and Aaron in the lande of Egipt, sayinge:
Exod.12.2	Thys monethe shalbe vnto you the beginning of monethes: and the fyrst moneth of the yeare shall it be vnto you.
Exod.12.3	Speake ye vnto all the congregacyon of Israel, saying: In the .x. daye of thys moneth, euery man take vnto him a lambe, according to the house of the fathers, a lambe thorowout euery house.
Exod.12.4	Yf the housholde be to lytle for the lambe, let hym take hys neyghboure which is nexte vnto his house according to the nombre of the soules: euery one of you, according to his eating, shal make your counte for a lambe.
Exod.12.5	And let the lambe of yours be wtout blemysh, a male of a yeare olde, which ye shall take out from amonge the shepe, or from amonge the goates.
Exod.12.6	And ye shall kepe him in vntyll the .xiiij. daye of the same moneth. And euery man of the multitude of Israel shall kyll him about euen.
Exod.12.7	And they shall take of the bloud, Ꟶ strike it on the .ij. syde postes Ꟶ on the vpperdorepost euen in the houses, where they shall eate hym.
Exod.12.8	And they shall eate the flesh the same night: rost wt fyer Ꟶ wt vnleuended bread, Ꟶ wt sowre herbes they shall eate it.
Exod.12.9	Se that ye eate not therof rawe ner soden in water, but roste wt fier: the head, fete, Ꟶ purtenaunce therof.
Exod.12.10	And ye shall let nothyng of it remayne vnto the morning. That which remayneth of it vntyll the morowe, shall ye burne with fyer.
Exod.12.11	Of this maner shall ye eate it: with your loynes gyrded, and your shoes on your fete, and your staues in your handes. And ye shall eate it in haste: for it is the Lordes passeouer:
Exod.12.12	for I wyll passe thorowe the lande of Egipt this same nyght, and wyll smytte all the first borne in the land of Egipt, both of man and beaste, and vpon all the goddes of Egipt will I the Lord do execution.
Exod.12.13	And the bloude shalbe vnto you a token in the houses wherin ye are. And when I se the bloud, I will passe ouer you, and the plage shal not be vpon you to destroye you, when I smyte the lande of Egipte.
Exod.12.14	And this daye shalbe vnto you a remembraunce: and ye shall kepe it holy vnto the Lorde, euen thorowout youre generatyons shall ye kepe it holy daie, that it be a custome for euer.
Exod.12.15	Seuen dayes shall ye eat vnleuended bread: and the fyrste daye ye shall put a waye leuen out of youre houses. For whosoeuer eateth leuended bread from the fyrst daye vntill the seuenth daye, that soule shalbe plucked out from Israel.
Exod.12.16	The fyrste daye shalbe an holy conuocation, and the seuenth daye shalbe an holy conuocation vnto you. There shalbe no maner of worcke done in them, saue about that onely which euery man must eate, that onely maye ye do.
Exod.12.17	And ye shall obserue vnleuended bread. For this same daye haue I brought your armyes out of the lande of Egypte, therfore ye shall obserue this daye, Ꟶ all your children after you, by a custome for euer.
Exod.12.18	The fyrst moneth and the .xiiij. daye of the moneth at euen, ye shall eate swete bread vnto the .xxj. daye of the moneth at euen agayne.
Exod.12.19	Seuen dayes shall there be no leuended breade founde in youre houses. And whosoeuer eateth leuended bread, that soule shalbe roted out from the multitude of Israel: whyther he be a straunger or borne in the lande.
Exod.12.20	Ye shall eate nothyng leuended: but in all your habitations shall ye eate swete bread.
Exod.12.21	Moses called for the elders of Israel, and sayde vnto them: chose out and take you to euery housholde of you a shepe, and kyll it for passeouer.
Exod.12.22	And take a bunche of ysope, Ꟶ dyp it in the bloude that is in the basen, and stryke the vpperposte and the two syde postes with the bloud that is in the basen, and none of you go out at the dore of hys house, vntyll the mornyng.
Exod.12.23	For the Lorde will go about to smyte the Egipcians. And when he seeth the bloude vpon the vpper dore poste Ꟶ on the two side postes: he will passe ouer the dore, and will not suffer the destroyer to come into your house to plage you.
Exod.12.24	Therfore shall ye obserue this thing, that it be an ordinaunce both to the and thy sonnes for euer.
Exod.12.25	And when ye become into the land which the Lorde wyll geue you, accordynge as he hath promysed, ye shall kepe thys seruyce.
Exod.12.26	And when youre chyldren aske you what maner of seruyce is this ye do,
Exod.12.27	ye shall saye: it is the sacrifyce of the Lordes passe ouer, which passed ouer the houses of the children of Israel in Egipte, as he smote the Egypcians, and saued oure houses. And the people bowed them selues, and worshypped:
Exod.12.28	And the chyldren of Israel went, and dyd as the Lorde had commaunded Moses and Aaron. Euen so dyd they.
Exod.12.29	And at mydnight, the Lorde smote all the fyrst borne in the lande of Egipte, from the fyrst borne of Pharao that satte on hys seate, vnto the fyrst borne of the captyue that was in preson: and all the fyrste gendred of catell.
Exod.12.30	And Pharao arose in the nyghte, he and all his seruauntes and all the Egipcians: and there was a greate cryinge in Egipt: for there was no house where there was not one deed.
Exod.12.31	And he called vnto Moses and Aaron by nyght, saying: ryse vp, and get you oute from amonge my people: both ye and also the children of Israel, and go and serue the Lorde as ye haue sayde.
Exod.12.32	And take youre shepe and your droues with you as ye haue sayde, and departe and blesse me.
Exod.12.33	And the Egypcians were fierce vpon the people, that they myght sende them out of the lande in haste: for they sayde: we dye all.
Exod.12.34	And the people toke their dowgh before it was sowred, and theyr vitayles bounde in clothes vpon theyr shoulders.
Exod.12.35	And the children of Israel dyd accordyng to the saying of Moses: and they borowed of the Egipcyans iewelles of siluer, and iewelles of golde, and rayment.
Exod.12.36	And the Lorde gaue the people fauoure in the syght of the Egippcians: so that they graunted soch thinges as they required. And they robbed the Egypcians.
Exod.12.37	And the children of Israel toke their iorneye from Rameses to Suchoth syxe hundred thousande men of fote, besyde children.
Exod.12.38	And moch comon people went also wt them, and shepe, and oxen, and exceadynge great flocke.
Exod.12.39	And they baked swete cakes of the dowgh which they brought out of Egipt, for it was not sowred. For when they were thrust oute by the Egipcyans, they coulde not tarie to prepare them selues any prouisyon of meate:
Exod.12.40	The dwellinge of the children of Israel, which they dwelled in Egipte, was .iiij. hundred and .xxx. yeares:
Exod.12.41	and when the .iiij. hundred and .xxx. yeares were expired, euen the selfe same daye departed all the hoostes of the Lorde out of the lande of Egipt,
Exod.12.42	It is a nyght to be obserued to the Lorde, in the which he brought them oute of the lande of Egypte. Thys is that nyghte of the Lorde which all the chyldren of Israel muste kepe thorowout theyr generations.
Exod.12.43	And the Lorde sayde vnto Moses and Aaron: This is the lawe of passeouer: there shall no straunger eate therof.
Exod.12.44	But euery seruaunt that is bought for money (after that thou hast circumcised him) shall eate therof.
Exod.12.45	A straunger and a hyerd seruaunt shall not eate therof.
Exod.12.46	In one house shall it be eaten. Thou shalte carye none of the fleshe oute at the house. Neyther shall ye breake a bone therof.
Exod.12.47	All the multitude shall obserue it.
Exod.12.48	If a straunger also dwell amonge you, Ꟶ will holde passeouer vnto the Lorde, let him circumcyse all that be males: and then lett him come and obserue it, and he shall be as one that is borne in the lande. For no vncircumcised persone shall eate therof.
Exod.12.49	One maner of lawe shalbe vnto him that is borne in the lande, and vnto the straunger that dwelleth amonge you.
Exod.12.50	And all the chyldren of Israel dyd as the Lorde commaunded Moses and Aaron. Euen so dyd they.
Exod.12.51	And the self same daye dyd the Lorde bring the chyldren of Israel out of the lande of Egipt with their armyes.
Exod.13.1	And the Lorde spake vnto Moses, saying:
Exod.13.2	Sanctify vnto me all the first borne, that open all maner matrices amonge the children of Israel aswell of man as of beaste: for it is myne.
Exod.13.3	And Moses sayd vnto the people: thynke on this daye in which ye came out of Egipt, out of the house of bondage: for thorow a mightye hande the Lord brought you out from thence. There shall no leuended bread be eaten.
Exod.13.4	This daye come ye out in the moneth when corne beginneth to rype.
Exod.13.5	When the Lorde hath brought the into the lande of the Cananites, Hethites, Amorites, Heuites Ꟶ Iebusites: which he sware vnto thy fathers that he wold geue the a lande wherin mylcke Ꟶ hony floweth, thou shalt kepe this seruice in thys same moneth:
Exod.13.6	Seuen dayes thou shalte eate swete bread: and in the seuenth daye, it is the feaste of the Lord.
Exod.13.7	Swete bread shalbe eaten seuen daies: and ther shall no leuended bread be sene, nor yet leuen with the in all thy quarters.
Exod.13.8	And thou shalt shewe thy sonne in that daie sayinge: this is done, because of that which the Lord dyd vnto me, when I came out of Egipte.
Exod.13.9	And it shalbe a signe vnto the vpon thyne hande, and for a remembraunce betwene thyne eyes, that the Lordes lawe maye be in thy mouth. For in a stronge hand the Lorde brought the out of Egipt.
Exod.13.10	Kepe therfore this ordynaunce in his ceason from yeare to yeare.
Exod.13.11	And it will come to passe, that the Lord shall bring the into the lande of the Cananites, which he sware vnto the and to thy fathers: and shall geue it the.
Exod.13.12	And then thou shalt appointe vnto the Lorde all that openeth the matrice. And euery caste thing, the fyrst doth open the matrice of a beast which thou hast: yf they be males, they shall be the Lordes.
Exod.13.13	And euery fyrst gendred of an asse, thou shalt redeme with a lambe: yf thou redeme him not, thou shalt breake his neck. All the fyrst borne amonge thy chyldren also, shalt thou bye out.
Exod.13.14	And when thy sonne asketh the to morowe, sayinge what is this, thou shalt saye vnto him: With a mightye hande the Lorde brought vs out of Egipt, out of the house of bondage.
Exod.13.15	And when Pharao was looth to let vs go, the Lorde slewe all the first borne in the lande of Egipte: aswell the fyrste borne of man as of beaste. Therfore I sacrice vnto the Lorde all the males that open the matrice, and all the fyrst borne of my children I redeme.
Exod.13.16	This shalbe a token vpon thyne hande, and a remembraunce betwene thyne eyes, that the Lorde brought vs out of Egipte thorowe a mightye hande.
Exod.13.17	It came to passe, that whan Pharao had lett the people go, God caryed them not thorowe the waye and lande of the Philistines, which was the more nye waye. But God sayde: lest the people happly repent whan they se warre: Ꟶ so turne agayne to Egipte.
Exod.13.18	But God led the people about thorowe the waye of the wildernes of the redd see. And the children of Israel went vp harnessed out of the lande of Egipte.
Exod.13.19	And Moses toke the bones of Ioseph with him: for he made the children of Israel swere, saying God will surely viset you, and ye shall take my bones awaye hens with you.
Exod.13.20	And they toke their iorneye from Sucoth: and abode in Etham in the edge of the wildernes.
Exod.13.21	And the Lorde wente before them by daye in a pyller of a cloude to leade them the waye: and by nyght in a pyller of fyer to geue them lyght, that they might go both by daye and nyght.
Exod.13.22	The pyller of the cloude departed not by daye, nor the pyller of fyer by night out of the sight of the people.
Exod.14.1	And the Lorde spake vnto Moses, saying:
Exod.14.2	Speake to the children of Israel, that they turne and remayne before Pi Hiroth betwene Migdol and the see, oueragaynst Baalzephon: and before that shall they pitch by the see.
Exod.14.3	For Pharao wyll saye of the children of Israel: they are tangled in the lande, the wildernes hath shut them in.
Exod.14.4	And I will harden Pharaos hert, that he shall folowe after you: and I will get me honoure vpon Pharao and vpon all his hoost, the Egipcians also shall knowe that I am the Lorde. And they dyd euen so.
Exod.14.5	And it was tolde the king of Egipt that the people fled. And the hert of Pharao and of his seruauntes turned agaynst the people and they sayde: why haue we this done that we haue let Israel go out of our seruice?
Exod.14.6	and he made ready his charettes: and toke hys people with him
Exod.14.7	and toke syxe hundred chosen charettes and all the charettes of Egipt and captaynes vpon euery one of them.
Exod.14.8	And the Lord hardened the hert of Pharao kyng of Egipt, and he folowed after the chyldren of Israel. But the children of Israel wente out with an hye hande:
Exod.14.9	and the Egipcians folowed after them, and all the horses and charettes of Pharao and his horsemen and his hoost ouertoke them abyding by the see, besyde Pi Hiroth before Baal zephon.
Exod.14.10	And when Pharao drewe nie, the children of Israel lyft vp their eyes and beholde, the Egipcians folowed after them, and they were sore afrayde: and the children of Israel cryed out vnto the Lorde.
Exod.14.11	But they sayde vnto Moses: because there were no graues in Egipt, hast thou therfore brought vs awaye for to dye in the wyldernes? wherfore hast thou serued vs thus, for to carye vs out of Egipte?
Exod.14.12	Dyd not we tell the this in Egipt, saying: let vs be in rest, that we maye serue the Egipcians? For it had bene better for vs to haue serued the Egipcians then for to dye in the wildernesse.
Exod.14.13	And Moses sayde vnto the people: feare ye not, stande styll, Ꟶ beholde, howe the Lorde shall saue you this daie. For ye that haue sene the Egipcians this daye, shall se them nomore for euer.
Exod.14.14	The Lorde shall fyght for you, and ye shall holde your peace.
Exod.14.15	And the Lorde sayde vnto Moses: wherfore cryest thou vnto me? speake vnto the children of Israel that they go forwarde.
Exod.14.16	But lyfte thou vp thy rodd, and stretche oute thy hande ouer the see, and deuide it a sondre, and let the children of Israel go on drye grounde thorowe the middest of the see.
Exod.14.17	And behold, I will harden the hert of the Egipcians that they maye folowe them. And I wyll get me honoure vpon Pharao and vpon all his host, and vpon his charettes and vpon his horsmen.
Exod.14.18	And the Egipcians shall knowe that I am the Lorde when I haue gotten me honoure vpon Pharao, vpon his charettes and vpon his horsmen.
Exod.14.19	And the angell of God which went before the hoost of Israel remoued, and beganne to go behynde them. And the clowden piller that was before the face of them beganne to stonde behynde them,
Exod.14.20	and came betwene the hoost of the Egipcians and the hooste of Israel. It was also a darcke clowde, and gaue lyght by nyght: and all the nyght long the one came not at the other.
Exod.14.21	And Moses stretched forth hys hande ouer the see: and the Lord caryed awaye the see by a verye stronge easte wynde all that nyght, and made the see drye lande, and the waters were deuyded.
Exod.14.22	And the children of Israel went into the myddest of the see vpon the drye grounde. And the waters were a walle vnto them, on their ryght hande, and on their lefte hande.
Exod.14.23	And the Egipcians folowed and went in after them to the myddest of the see, euen all Pharaos horses, hys charettes and his horsemen.
Exod.14.24	And in the morning watch, the Lorde loked vnto the hoost of the Egipcians out of the fyery and clowdy pyller: and troubled the hoost of the Egipcians,
Exod.14.25	and toke of hys charet wheles Ꟶ caryed them awaye violently. So that the Egipcians sayde: Let vs fle from the face of Israel: for the Lorde fighteth for them agaynst the Egipcians.
Exod.14.26	And the Lorde sayd vnto Moses: stretch out thyne hande ouer the see, that the waters maye come agayne vpon the Egipcian, vpon his charettes and vpon his horsemen.
Exod.14.27	And Moses stretched forth hys hande ouer the see, and it came agayne to his course rarly in the mornynge, and the Egipcians fledd agaynst it. And the Lorde ouerthrew the Egipcians in the myddest of the see:
Exod.14.28	and the water returned and couered the charettes and the horsmen: and all the hoost of Pharao that came into the see after them, so that there remayned not one of them.
Exod.14.29	But the chyldren of Israel walked vpon drye lande thorowe the myddest of the see, and the waters were a walle vnto them on the ryght hande of them, and on the left.
Exod.14.30	Thus the Lorde delyuered Israel the selfe same daye out of the hande of the Egipcians: and Israel sawe the Egipcians deed vpon the see syde.
Exod.14.31	And Israel sawe that mightye power which the Lord shewed vpon the Egipcians: and the people feared the Lorde, and beleued the Lorde and his seruaunt Moses.
Exod.15.1	Then Moses Ꟶ the chyldren of Israel sange this songe vnto the Lord and sayde: I wyll syng vnto the Lorde: for he hath triumphed gloriously: the horse and him that rode vpon him hath he ouerthrowne in the see.
Exod.15.2	The Lord is my strength and prayse, and he is become my saluacion. He is my God, and I wyll glorify hym: my fathers God, Ꟶ I wyll exalte hym.
Exod.15.3	The Lorde is a man of warre. The Lorde is hys name.
Exod.15.4	Pharaos charettes and his hoost hath he caste into the see. Hys chosen captaynes also are drowned in the red see,
Exod.15.5	the depe waters haue couered them: they soncke to the botome as a stone.
Exod.15.6	Thy ryght hande Lorde, is become glorious in power: thy ryght hande Lorde hath all to dashed the enemy.
Exod.15.7	And in thy greate glory thou hast ouerthrowne them that rose vp agaynst the: thou sentest forth thy wrath which consumed them euen as stobell.
Exod.15.8	Thorowe the winde of thy nastrels the water gathered together, the floudes stode styll as an heape, and the depe water congeled together in the hert of the see.
Exod.15.9	The enemye sayd: I wyll folowe on them: I will ouertake them, I will deuyde the spoyle, I wyll satisfye my lust vpon them, I wyll drawe my sweard, myne hande shall destroye them.
Exod.15.10	Thou blewdest wt thy wynde, the see couered them, they sancke as leed in the mightye waters.
Exod.15.11	Who is lyke vnto the, o Lorde, among goddes? who is lyke the so glorious in holynes, fearfull in prayses, shewing wonders?
Exod.15.12	Thou stretchedest out thy ryght hande, the erth swalowed them.
Exod.15.13	Thou in thy mercye hast caryed thys people which thou deliueredst: Ꟶ hast brought them in thy strength vnto thy holy habitatyon.
Exod.15.14	The nations heard and were afrayed, sorowe came vpon the Philistines.
Exod.15.15	Then the dukes of the Edomites were amased, and the mightyest of the Moabites, tremblynge came vpon them: all the inhabiters of Canaan waxed faynte harted:
Exod.15.16	Lett feare and dreade fall vpon them in the greatnes of thyne arme, let them be as styll as a stone, tyll thy people passe thorowe, O Lorde, whyle thys people passe thorowe, which thou hast goten.
Exod.15.17	Thou shalte brynge them in, and plante them in the mountayne of thyne enheritaunce, the place, Lord, which thou hast made for to dwell in, the sanctuary, o Lorde, which thy handes haue prepared.
Exod.15.18	The Lorde shall raigne euer and all waye.
Exod.15.19	For Pharaos horse went in wt his charettes and horsemen into the see, Ꟶ the Lord brought the waters of the see vpon them. But the children of Israel went on drye land in the myddest of the see.
Exod.15.20	And Mir Iam a prophetysse the syster of Aaron toke a tymbrell in her hande, Ꟶ all the wemen came out after her wt tymbrels Ꟶ daunces.
Exod.15.21	And Mir Iam sange before them: Synge ye vnto the Lorde: for he hath triumphed gloriously: the horse Ꟶ his ryder hath he ouerthrowne in the see.
Exod.15.22	And so Moses brought Israel from the redd see, Ꟶ they went out into the wildernes of Sur. And they went thre dayes longe in the wildernes, and founde no waters.
Exod.15.23	And whan they came to Mara, they coulde not drincke of the waters of Mara: for they were bytter: therfore the name of the place was called, Mara,
Exod.15.24	And the people murmured agaynst Moses, sayinge: what shall we drincke?
Exod.15.25	And he cried vnto the Lorde: and the Lorde shewed hym a tree, which when he had cast into the water, the waters were made swete. There he made them an ordinaunce and a lawe, and there he proued him,
Exod.15.26	Ꟶ sayde: If thou wylt herken vnto the voyce of the Lorde thy God, and wylt do that which is right in his sight, and wylt geue eare vnto his commaundementes, Ꟶ kepe all hys ordinaunces: then wyll I put none of these diseases vpon the which I brought vpon the Egipcians: for I am the Lorde that healeth the.
Exod.16.1	The children of Israel came to Elim where were xii. welles of water and .lxx. palme trees, and they abode there by the waters.
Exod.16.2	And they toke their iorney from Elim: Ꟶ all the hole company of the children of Israel came to the wildernes of Sin, which is betwene Elim and Synai: the .xv. day of the .ij. moneth after their departyng out of the lande of Egypt.
