Luke.0.0	¶ The Gospell of S. Luke.
Luke.6.1	It happened on an after pryncipall Saboth, that he went thorow the corne felde, and hys discyples plucked the eares of corne, and dyd eate, and rubbed them in theyr handes:
Luke.6.2	And certayn of the pharises said vnto them: Why do ye that, which is not lawfull to do on the Saboth dayes?
Luke.6.3	And Iesus answered them, and sayde: Haue ye not redde what Dauid dyd, when he him selfe was an hungred, and they which were with hym:
Luke.6.4	howe he went into the house of God, and dyd take and eate the shew bread, and gaue also to them that were with hym: which are not lawfull to eate, but for the prestes only?
Luke.6.5	And he sayde vnto them: The sonne of man is Lorde also of the Saboth daye.
Luke.6.6	And it fortuned in another Sabboth also, that he entred into the synagoge, Ꟶ taught. And ther was a man, whose right hande was dryed vp.
Luke.6.7	And the scribes Ꟶ pharises watched hym whether he wolde heale on the sabboth daye, that they myght fynde how to accuse him.
Luke.6.8	But he knewe their thoughtes, and sayd to the man which had the wythred hand: Ryse vp, and stande forth in the myddes. And he arose Ꟶ stode forth.
Luke.6.9	Then sayd Iesus vnto them: I wyll aske you a question: Whether is it lawfull on the sabboth dayes to do good, or to do euil? to saue ones life, or to destroye it?
Luke.6.10	And he behelde them al in compasse, and sayd vnto the man: Stretch forth thy hand. And he dyd so: Ꟶ hys hande was restored agayne as whole as the other.
Luke.6.11	And they were fylled with madnes, and communed together amonge them selues, what they myght do to Iesu.
Luke.6.12	And it fortuned in those dayes that he went out into a mountayne for to praye, Ꟶ contynued all nyght in prayer to God.
Luke.6.13	And as sone at it was daye, he called hys disciples, Ꟶ of them he chose .xij. whom also he called apostles.
Luke.6.14	Symon whom he also named Peter, Ꟶ Andrew hys brother, Iames and Iohn, Philip Ꟶ Bartholomew,
Luke.6.15	Mathew Ꟶ Thomas, Iames the sonne of Alpheus, and Symon which is called zelotes,
Luke.6.16	and Iudas Iames sonne, and Iudas Iscarioth, the same that was the traytour.
Luke.6.17	And he came downe with them, Ꟶ stode in the playne felde, and the company of hys disciples and a greate multitude of people (out of all Iewrye and Ierusalem, Ꟶ from the see coast of Tyre and Sidon) which came to heare him, and to be healed of their dyseases
Luke.6.18	and they that were vexed with foule spretes and they were healed.
Luke.6.19	And al the people preased to touche him, for ther went vertue oute of hym, and healed them all.
Luke.6.20	And he lyft vp his eyes vpon the disciples and sayd: Blessed be ye pore, for yours is the kingdome of God.
Luke.6.21	Blessed are ye that honger now, for ye shalbe satisfyed. Blessed are ye that wepe now, for ye shall laugh.
Luke.6.22	Blessed shall ye be, when men hate you, Ꟶ thrust you out of their company, and rayle on you, and abhorre your names as an euyll thing, for the sonne of mannes sake.
Luke.6.23	Reioyse ye in that daye, and be glad: for beholde, your rewarde is greate in heauen. For thus dyd theyr fathers vnto the prophetes.
Luke.6.24	But wo vnto you that are ryche: for ye haue your consolacion.
Luke.6.25	Wo vnto you that are full: for ye shall honger. Wo vnto you that now laugh: for ye shall wayle Ꟶ wepe.
Luke.6.26	Wo vnto you when all men prayse you: for so dyd theyr fathers to the false prophetes.
Luke.6.27	But I saye vnto you which heare. Loue youre enemyes. Do good to them which hate you.
Luke.6.28	Besse them that curse you. And praye for them which wrongfullye trouble you.
Luke.6.29	And vnto hym that smyteth the on the one cheke, offer also the other. And him that taketh awaye thy gowne, forbyd not to take thy cote also.
Luke.6.30	Geue to euery man that asketh of the. And of him that taketh a waye thy goodes, aske them not agayne.
Luke.6.31	And as ye wolde that men shuld do to you, do ye also to them lykewyse.
Luke.6.32	And yf ye loue them which loue you, what thanke haue ye? For synners also loue theyr louers.
Luke.6.33	And yf ye do good for them which do good for you, what thanke haue ye? For synners also do euen the same.
Luke.6.34	And yf ye lende to them of whom ye hope to receaue: what thanke haue ye? for synners also lende to synners, to receaue soch lyke agayne.
Luke.6.35	But loue ye youre enemyes, and do good, and lende, lokynge for nothynge agayne: and your reward shalbe greate, and ye shalbe the chyldren of the hyest: for he is kynde vnto the vnkynde and to the euyll.
Luke.6.36	Be ye therfore mercyfull, as your father also is mercyfull.
Luke.6.37	Iudge not, and ye shall not be iudged: Condempne not, and ye shall not be condempned. Forgeue, and ye shalbe forgeuen.
Luke.6.38	Geue, and it shalbe geuen vnto you: good measure and pressed downe, and shaken together and runnyng ouer, shall men geue into youre bosomes. For with the same measure that ye mete withall, shall other men mete to you agayne.
Luke.6.39	And he put forth a similitude vnto them Can the blynde leade the blynde? Do they not both fall into the dyche?
Luke.6.40	The disciple is not aboue his master. Euery man shalbe perfecte, euen as hys master is.
Luke.6.41	Why seest thou a moate in thy brothers eye, but consyderest not the beame that is in thyne awne eye?
Luke.6.42	Ether howe cannest thou saye to thy brother. Brother, let me pull out the moate that is in thyne eye, when thou seest not the beame that is in thyne awne eye. Thou ypocrite cast out the beame out of thyne awne eye fyrst, Ꟶ then shalt thou se perfectly, to pull oute the moate that is in thy brothers eye.
Luke.6.43	For it is not a good tree, that bringeth forth euyll frute: nether is that an euyll tree, that bringeth forth good frute.
Luke.6.44	For euery tre is knowen by hys frute. For of thornes do not men gather fygges, nor of busshes gather they grapes.
Luke.6.45	A good man out of the good treasure of hys herte, bryngeth forth that which is good. And an euyll man, out of the euyll treasure of his hert, bringeth forth that which is euyll. For of the aboundance of the hert, hys mouth speaketh.
Luke.6.46	Why call ye me Lord Lord, and do not as I byd you:
Luke.6.47	whosouer commeth to me Ꟶ heareth my sayinges, and doth the same, I wyl shewe you to whom he is like.
Luke.6.48	He is lyke a man which bylt an house, and dygged depe, and layde the foundacion on a rock. When the waters arose, the flud bet vpon that house, Ꟶ coulde not moue it. For it was grounded vpon a rocke.
Luke.6.49	But he that heareth and doth not, is lyke a man that without foundacyon bylt an house vpon the earth, against which the floud dyd beat: and it fell immediatly. And the fal of that house was greate.
Luke.7.1	When he had ended all hys saienges in the audience of the people, he entred into Capernaum.
Luke.7.2	And a certen Centurions seruaunt which was deare vnto hym laye syck, and was in parell of death.
Luke.7.3	And whan he heard of Iesu, he sent vnto him the elders of the Iewes, besechinge him that he wold come, Ꟶ heale his seruaunte.
Luke.7.4	And whan they came to Iesus, they besought him instantly, saying: He is worthy that thou shuldest do this for hym.
Luke.7.5	For he loueth oure nacion, and hath buylt vs a synagoge.
Luke.7.6	And Iesus went with them. And whan he was now, not farre from the house, the Centurion sent frendes to hym, sayinge vnto hym: Lorde, trouble not thy self: for I am not worthy: that thou shuldest enter vnder my roffe.
Luke.7.7	Wherfore I thought not my self worthy to come vnto the: but saye thou the word, Ꟶ my seruaunt shalbe whole.
Luke.7.8	For I also am a man set vnder power, and haue vnder me soudiers, and I saye vnto one go, and he goeth, Ꟶ to another, come, Ꟶ he cometh: and to my seruaunt, do this, Ꟶ he doth it.
Luke.7.9	When Iesus heard thys, he meruayled at him, and turned hym about, and sayde to the people that folowed him: I saye vnto you, I haue not founde so great faith, no, not in Israel.
Luke.7.10	And they that were sent, turned backe home agayne and founde the seruaunt whole that had bene sycke.
Luke.7.11	And it fortuned after this, that he went into a cytie which is called Naim, Ꟶ many of his disciples went with him, and moch people.
Luke.7.12	When he came nye to the gate of the cytie: behold, ther was a deed man caryed out, which was the onely sonne of his mother, Ꟶ she was a wedowe, Ꟶ moch people of the cytie was with her.
Luke.7.13	And when the Lord sawe her, he had compassion on her, and sayde vnto her: wepe not.
Luke.7.14	And he came nye, Ꟶ touched the coffyn: and they that bare him stode styl. And he sayde: Yonge man, I saye vnto the, aryse.
Luke.7.15	And he that was deed, sat vp, Ꟶ began to speake. And he delyuered him to his mother.
Luke.7.16	And ther came a feare on them al. And they gaue the glory vnto God, sayinge: A great prophete is rysen vp among vs, Ꟶ God hath visited his people.
Luke.7.17	And thys rumor of him went forth throughout al Iury, and thorow out all the regions which lye rounde about.
Luke.7.18	And the disciples of Iohn shewed him of all these thinges.
Luke.7.19	And Iohn called vnto him two of his disciples, Ꟶ sent them to Iesus, saying: Art thou he that shuld come: or shall we looke for another?
Luke.7.20	When the men were come vnto him, they sayde: Iohn baptiste sent vs vnto the, saying: Art thou he that shulde come? or shall we wayte for another?
Luke.7.21	And in that same houre he cured many of their infyrmites and plages, and of euyll spretes, and vnto many that were blynd he gaue sight.
Luke.7.22	And he answered, Ꟶ sayd vnto them: Go your waye and bring worde agayne to Iohn, what thinges ye haue sene Ꟶ heard, how that the blynde se, the halt go, the lepers are clensed, the deaff heare, the dead ryse agayne: to the poore is the glad tydinges preached,
Luke.7.23	and happy is he that is not offended at me.
Luke.7.24	And when the messengers of Iohn were departed, he began to speake vnto the people concerninge Iohn. What went ye out into the wildernes for to se? a rede shaken wt the wind?
Luke.7.25	But what went ye out for to se? A man clothed in soft rayment? Behold, they which are gorgeously apparelled, and lyue delicatly, are in kynges courtes.
Luke.7.26	But what wente ye forth to se? A prophete? Yee, I saye to you, Ꟶ more then a prophet.
Luke.7.27	This is he, of whom it is writen: Beholde, I sende myne angell before thy face which shall prepare thy waye before the.
Luke.7.28	For I saye vnto you, amonge wemens children, is ther not a greater prophete then Iohn baptiste. Neuerthelesse, he tha is lesse, in the kingdom of God is greater then he.
Luke.7.29	And all the people, and the publicans that heard him, iustified God, and were baptised with the baptyme of Iohn.
Luke.7.30	But the pharises and lawers despised the councell of God agaynst them selues, and were not baptised of hym.
Luke.7.31	And the Lorde sayd: wherunto shall I lyken the men of this generacion: and what thing are they like?
Luke.7.32	They are like vnto children sytting in the market place, Ꟶ cryeng one to another, and saying: We haue pyped vnto you, Ꟶ ye haue not daunsed: we haue mourned to you, and ye haue not wepte.
Luke.7.33	For Iohn baptist came, nether eatyng bread, ner drinkynge wyne, and ye saye: he hath the deuyll.
Luke.7.34	The sonne of man is come, and eateth Ꟶ drincketh, Ꟶ ye saye: behold a gloutonous man, and an vnmeasurable dryncker of wyne, a frend of publicans and synners.
Luke.7.35	And wysdom is iustifyed of all her children.
Luke.7.36	And one of the pharises desired hym that he wolde eate with hym. And he went into the pharises house, and sat downe to meate.
Luke.7.37	And behold a woman in that cytie (which was a synner) as sone as she knewe that Iesus sat at meat in the pharises house, she brought an alablaster boxe of oyntment,
Luke.7.38	Ꟶ stode at his fete behinde him wepyng, Ꟶ beganne to wasshe hys fete wt teares, and dyd wype them with the heares of her head, Ꟶ kyssed his fete, Ꟶ anoynted them with the oyntment.
Luke.7.39	When the pharise (which had bidden him) sawe, he spake within hym selfe, sayinge: If thys man were a prophete, he wolde surely knowe who, and what maner of woman thys is that touched hym, for she is a synner.
Luke.7.40	And Iesus answered, and sayd vnto him: Simon, I haue some what to saye vnto the. And he sayd: master, saye on.
Luke.7.41	There was a certayne lender which had two detters, the one ought fyue hundred pence, and the other fyfty.
Luke.7.42	When they had nothynge to paye, he forgaue them both. Tell me therfore, which of them wyll loue hym most?
Luke.7.43	Simon answered and sayd: I suppose that he to whom he forgaue most. And he sayde vnto hym: Thou hast truly iudged.
Luke.7.44	And he turned to the woman, Ꟶ sayd vnto Simon: Seest thou this woman. I entred into thy house, thou gauest me no water for my fete: but she hath wesshed my fete with teares, and wyped them with the heares of her head.
Luke.7.45	Thou gauest me no kysse: but she, sence the tyme I came in, hath not ceased to kysse my fete.
Luke.7.46	Myne head wt oyle thou didest not anoynte: but she hath anoynted my fete with oyntment.
Luke.7.47	Wherfore, I saye vnto the: many synnes are forgeuen her, for she loued moch. To whom lesse is forgeuen, the same doeth lesse loue.
Luke.7.48	And he sayde vnto her: thy synnes are forgeuen the.
Luke.7.49	And they that sate at meat wt him, beganne to saye within them selues. Who is this which forgeueth synnes also?
Luke.7.50	And he sayd to the woman: Thy faith hath saued the. Go in peace.
Luke.8.1	And it fortuned afterwarde, that he hym selfe also wente through oute cyties and townes: preachinge, and shewynge the kyngdome of God, and the twelue with hym.
Luke.8.2	And also certayne women, which were healed of euell spretes, and infirmytes. Mary which is called Magdalen (oute of whom wente seuen deuyls)
Luke.8.3	and Ioanna the wyfe of Chusa. Herodes stewarde, and Susanna, and many other, which minystred vnto hym of theyr substaunce.
Luke.8.4	When moch people were gathered together, and were come to him out of all cytes, he spake by a similytude.
Luke.8.5	The sower wente out to sowe hys seede: and as he sowed, some fell by the waye syde, Ꟶ it was troden downe, and the foules of the ayre deuoured it vp.
Luke.8.6	And some fell on stone, and as sone as it was spronge vp, it withred awaye because it lacked moystnes.
Luke.8.7	And some fell amonge thornes, and the thornes sprange vp with it, and choked it.
Luke.8.8	And some fel on good grounde, and sprange vp, and bare frute, an hundred folde. And as he sayd these thinges, he cryed: He that hath eares to heare, let hym heare.
Luke.8.9	And his disciples asked hym sayenge: what maner of simylytude is thys?
Luke.8.10	And he sayd: vnto you is it geuen to knowe the secretes of the kingdome of God: but to other by parables, that when they se, they shuld not se: Ꟶ when they heare, they shuld not vnderstande.
Luke.8.11	The parable is this. The seed is the worde of God.
Luke.8.12	Those that are besyde the waye, are they that heare, then commeth the deuyll, and taketh a waye the worde out of their hertes, lest they shulde beleue and be saued.
Luke.8.13	They on the stones, are they which when they heare, receaue the word with ioye, and these haue no rotes: which for a whyle beleue, and in tyme of temptacyon go awaye.
Luke.8.14	And that which fell amonge thornes, are they which whan they haue heard, go forth, and are choked with cares and ryches, and volupteous lyuinge, and brynge forth no frute.
Luke.8.15	That which fell in the good grounde, are they, which with a pure and good herte heare the worde, and kepe it, and brynge forth frute thorow pacyence.
Luke.8.16	No man, whan he lyghteth a candell, couereth it with a vessel, or putteth it vnder a table, but setteth it on a candelsticke, that they which enter in, maye se the light.
Luke.8.17	Nothing is in secret, that shal not come abrode. Nether any thynge hydd, that shall not be knowen, and come to lyghte.
Luke.8.18	Take hede therfore, howe ye heare. For whosoeuer hath, to hym shalbe geuen: And whosoeuer hath not, from him shalbe taken: euen that same which he supposeth that he hath.
Luke.8.19	Then came to him his mother Ꟶ his brethren, and coulde not come at him for prease
Luke.8.20	And it was tolde hym, and sayde: Thy mother and thy brethren stande without, and wold se the.
Luke.8.21	He answered and said vnto them: my mother and my brethren are these, which heare the worde of God, and do it.
Luke.8.22	And it chaunsed on a certayne daye, that he went into a shyp, and his disciples also, Ꟶ he sayde vnto them: Let vs go ouer vnto the other side of the lake. And they launched forth
Luke.8.23	But as they sayled, he fell a slepe and there arose a storme of wynde in the lake, Ꟶ they were fylled wt water, and were in ieopardy.
Luke.8.24	And they came to hym, and awoke hym saying: Master master, we are loost. Then he arose, and rebuked the wynde and the tempest of water, and they ceased, and it wexed calme.
Luke.8.25	And he sayde vnto them: where is youre fayth? They feared, and wondred amonge them selues, saying: what (thynke ye) is thys? for he commaundeth both the windes Ꟶ water, and they obey hym?
Luke.8.26	And they sayled vnto the region of the Gederenites, which is ouer agaynst Galile.
Luke.8.27	And whan he went out to land, ther met him out of the cytie a certayne man, which had a deuyll longe tyme, and ware no clothes, nether abode in eny house: but in graues.
Luke.8.28	When he sawe Iesus Ꟶ had cryed, he fell downe before him, Ꟶ wt a loude voyce sayde. What haue I to do with the Iesus, thou sonne of the God moost hyest? I beseche the torment me not:
Luke.8.29	for he commaunded the foule sprete to come oute of the man. For ofte tymes he had caught hym, and he was bounde with chaynes, and kepte with fetters: and he brake the bondes, and was caryed of the fende into wyldernes.
Luke.8.30	And Iesus asked him saieng: What is thy name? And he sayde: Legion, because many deuyls were entred into hym.
Luke.8.31	And they besought hym that he wolde not commaunde them, to go out into the depe.
Luke.8.32	And there was there, an heard of many swyne, feding on an hyll: and they besought him, that he wold suffre them to enter into them. And he suffred them.
Luke.8.33	Then went the deuels out of the man, Ꟶ entred into the swyne. And the heard ranne heedlyng with violence into the lake, and were choked.
Luke.8.34	When the herdmen sawe what had chaunsed, they fled, and tolde it in the cytie Ꟶ in the villages.
Luke.8.35	And they came out to se what was done: and came to Iesus, Ꟶ founde the man (out of whom the deuyls were departed) sittyng at the fete of Iesus: clothed, Ꟶ in his right mynde, and they were afrayed.
Luke.8.36	They also which sawe it, tolde them by what meanes he (that was possessed of the deuyl) was healed.
Luke.8.37	And all the multitude of the Gederenites, besought him, that he wold departe from them: for they were taken with great feare. And he gate him vp into the shyp, and returned backe agayne.
Luke.8.38	Then the man (out of whom the deuyls were departed) besought hym that he myght be with hym. But Iesus sent him awaye, sayinge:
Luke.8.39	Go home agayne to thyne awne house, and shewe what thinges soeuer God hath done for the. And he went his waye, and preached thorow out all the cytie, what thinges soeuer Iesus had done vnto him.
Luke.8.40	And it fortuned that when Iesus was come agayne, the people receaued him. For they all wayted for him.
Luke.8.41	And beholde, there came a man named Iairus (Ꟶ he was a ruler of the synagoge) Ꟶ he fell downe at Iesus fete praying him, that he wold come into his house,
Luke.8.42	for he had but one daughter onely, vpon a .xij. yeare of age, and she laye a dying. But as he went, the people thronged hym.
Luke.8.43	And a woman, hauing an issue of bloud .xij. yeres (which had spent all her substaunce vpon phisicions, nether coulde be holpen of eny)
Luke.8.44	came behynd him, Ꟶ touched the hem of his rayment: Ꟶ immediatly her issue of bloud staunched.
Luke.8.45	And Iesus sayd: who is it that touched me? When euery man denyed, Peter (and they that were wt hym) sayd: Master, the people thrust the Ꟶ vexe the, Ꟶ sayest thou who touched me?
Luke.8.46	And Iesus sayd: Some body hath touched me. For I perceaue, that vertue is gone out of me.
Luke.8.47	When the woman sawe that she was not hyd, she came trymbling, and fell at hys fete, and tolde hym before all the people, for what cause she had touched him, and how she was healed immediatly.
Luke.8.48	And he sayd vnto her: Daughter, be of good comforte. Thy fayth hath saued the, go in peace.
Luke.8.49	Whyle he yet spake, ther came one from the rulers of the synagoges house, which sayd to hym: thy daughter is deed, desease not the Master.
Luke.8.50	But when Iesus hearde that worde, he answered the father of the damosell. Feare not, beleue onely, and she shalbe made whole.
Luke.8.51	And when he came to the house, he suffred no man to go in with hym, saue Peter, Iames, and Iohn, and the father and the mother of the mayden.
Luke.8.52	Euery body weept, and sorowed for her. And he said: Wepe not. The damosel is not deed, but slepeth.
Luke.8.53	And they laught hym to scorne, knowyng that she was deed.
Luke.8.54	And he thrust them all out, and caught her by the hand, and cryed, sayinge: Mayde, aryse.
Luke.8.55	And her sprete came agayne, and she rose straight waye. And he commaunded to geue her meat.
Luke.8.56	And the father Ꟶ the mother of her were astonyed. But he warned them, that they shuld tell no man what was done.
Luke.9.1	Iesus called the twelue together, and gaue them power, and auctorite ouer all deuyls, and that they might heale diseases.
Luke.9.2	And he sent them to preache the kyngdome of God, and to heale the syck.
Luke.9.3	And he sayd vnto them: Take nothing to your iourney: nether staffe, nor scrype, nether bread, nether money, nether haue two coates.
Luke.9.4	And whatsoeuer house ye enter into, there abyde, and thence departe.
Luke.9.5	And whosoeuer wyll not receaue you, when ye go out of the citie, shake of the very dust from youre fete, for a testimonye agaynst them.
Luke.9.6	And they departed and went thorow the tounes, preaching the gospell and healinge euery where.
Luke.9.7	And Herode the Tetrarch heard of al that was done by him, Ꟶ he douted, because that it was sayde of some, that Iohn was rysen agayne from death:
Luke.9.8	and of some, that Helias had appeared, and of some, that one of the olde prophetes was rysen agayne.
Luke.9.9	And Herode sayde: Iohn haue I beheaded: but who is this of whom I heare such thinges. And he desyred to se him.
Luke.9.10	And the apostles returned: Ꟶ tolde him all that they had done. And he toke them, Ꟶ went asyde into a solitary place nye vnto the cytie that is called Bethsaida.
Luke.9.11	Which whan the people knewe, they folowed him. And he receaued them, Ꟶ spake vnto them of the kyngdome of God, Ꟶ healed them that had nede to be healed.
Luke.9.12	And when the daye beganne to weare awaye, then came the .xij. and sayd vnto him: send the people awaye, that they maye go into the townes and next villages Ꟶ lodge, and get meate, for we are here in a place of wyldernes.
Luke.9.13	But he sayd vnto them: Geue ye them to eate. And they sayd: we haue no mo but .v. loaues and two fysshes, except we shulde go and bye meate for all this people.
Luke.9.14	And they were about a .v.M. men. And he sayd to his disciples: Cause them to sit downe by fyfties in a companye.
Luke.9.15	And they dyd so, and made them al to syt downe.
Luke.9.16	And he toke the fyue loaues and the two fisshes, and loked vp to heauen: and blessed them, and brake, and gaue to the disciples, to seet before the people.
Luke.9.17	And they all dyd eat, Ꟶ were satisfyed. And there was taken vp of that remayned to them, twelue baskettes full of broken meate.
Luke.9.18	And it fortuned as he was alone praying, his disciples were with him, and he asked them sayeng: who saye the people that I am?
Luke.9.19	They answered, and sayd: Iohn Baptist: Some saye Helias, and some saye that one of the olde prophetes is rysen.
Luke.9.20	He sayd vnto them: But who saye ye that I am? Simon Peter answered, Ꟶ sayde: thou art the Christ of God.
Luke.9.21	And he warned and commaunded them that they shuld tell no man that thing,
Luke.9.22	saying: the sonne of man must suffre many thinges, and be reproued of the elders, and of the hye prestes, and scribes, and be slayne, and ryse agayne the thyrd daye.
Luke.9.23	And he sayd to them all, yf eny man will come after me, let him denye him self, Ꟶ take vp his crosse dayly, Ꟶ folowe me.
Luke.9.24	For whosoeuer wyll saue hys lyfe shall lose it. But whosoeuer doth lose his lyfe for my sake, the same shall saue it.
Luke.9.25	For what auauntageth it a man, yf he wynne the whole worlde, and lose him selfe, or runne in dammmage of hym selfe?
Luke.9.26	For whoso is ashamed of me, and of my wordes, of him shall the sonne of man be ashamed, when he commeth in his maiestye, and in the maiestye of his father, and of the holy angels.
Luke.9.27	I tell you of a treuth: There be some standinge here, which shall not tast of death, tyll they se the kyngdome of God.
Luke.9.28	And it fortuned that about an .viij. dayes after these saienges, he toke Peter and Iohn and Iames, Ꟶ went vp into a mountayne to praye.
Luke.9.29	And as he prayed, the fassyon of hys countenaunce was chaunged, Ꟶ his garment was whyte, Ꟶ shone.
Luke.9.30	And behold, there talked with him two men which were Moses and Helias,
Luke.9.31	that appeared in the maiesty, Ꟶ spake of his departyng, which be shulde ende at Ierusalem.
Luke.9.32	But Peter and they that were with him, were heuy with slepe. And when they awoke, they sawe his maiesty, and two men standinge with him.
Luke.9.33	And it chaunsed as they departed from him, Peter sayde vnto Iesus: Master, it is good beynge here for vs. Let vs make also thre tabernacles, one for the, and one for Moses, and one for Helias (and wist not what he sayd.)
Luke.9.34	While he thus spake, there came a cloude and ouershadowed them, and they feared when they were come into the cloude.
Luke.9.35	And there came a voyce out of the cloude saying: This is my deare sonne, heare him.
Luke.9.36	And as soone as the voyce was past, Iesus was founde alone. And they kept it cloose: Ꟶ tolde no man in those dayes, any of those thinges which they had sene.
Luke.9.37	And it chaunsed that on the nexte daye (as they came downe from the hyll) moche people met him.
Luke.9.38	And beholde, a man of the company cried oute, sayenge: Master, I beseche the behold my sonne, for he is all that I haue:
Luke.9.39	and se, a sprete taketh him, and sodenly he cryeth, and tereth hym, that he fometh agayne, and with moch payne departeth from him, when he hath rent him,
Luke.9.40	and I besought thy disciples to cast him out, Ꟶ they coulde not,
Luke.9.41	Iesus answered and sayde: O faythles, and croked nacion, howe longe shall I be with you? Ꟶ shal suffre you? Bring thy sonne hither.
Luke.9.42	As he was yet a comming, the fende rent him, and tare him. And Iesus rebuked the vncleane sprete, and healed the chyld, and deliuered him to his father.
Luke.9.43	And they were all amased at the myghtye power of God. But whyle they wondered euery one at all thinges which he dyd, he sayde vnto hys disciples:
Luke.9.44	Lett these sayinges sinke downe into your eares. For it will come to passe: that the sonne of man shalbe deliuered into the handes of men.
Luke.9.45	But they wist not what the worde meant, and it was hyd from them, that they vnderstode it not. And they feared to aske him of that sayinge.
Luke.9.46	And there entred a thought among them which of them shulde be the greatest.
Luke.9.47	When Iesus perceaued the thought of their hertes he toke a chyld, and set him hard by hym,
Luke.9.48	Ꟶ sayd vnto them: Whosoeuer receaueth this child in my name, receaueth me. And whosoeuer receaueth me, receaueth him that sent me. For he that is lest among you all, the same shalbe greate.
Luke.9.49	And Iohn answered, and sayde: Master. we sawe one castinge oute deuyls in thy name, and we forbade him, because he foloweth not with vs.
Luke.9.50	And Iesus sayd vnto him: forbyd ye him not. For he that is not agaynst vs, is with vs.
Luke.9.51	And it fortuned when the tyme was come that he shulde be receaued vp, he set hys face to go to Ierusalem,
Luke.9.52	and sent messengers before him. And they went and entred into a cytie of the Samaritans, to make ready for him.
Luke.9.53	And they wold not receaue him, because his face was as though he wold go to Ierusalem.
Luke.9.54	When his disciples, Iames Ꟶ Iohn sawe this, they sayde: Lorde, wilt thou that we commaunde fyre to come downe from heauen and consume them, euen as Helias dyd?
Luke.9.55	Iesus turned about, and rebuked them, saying: ye wote not what maner spret ye are of.
Luke.9.56	For the sonne of man is not come to destroye mennes lyues, but to saue them. And they went to another towne.
Luke.9.57	And it chaunsed that as they were walking in the waye, a certayne man sayd vnto him. I wyll folowe the whithersoeuer thou goo.
Luke.9.58	Iesus sayde vnto him: foxes haue holes, and byrdes of the ayer haue nestes: but the sonne of man hath not where to laye his head.
Luke.9.59	And he sayde vnto another: folowe me. And the same sayde: Lorde, suffre me first to go and bury my father.
Luke.9.60	Iesus sayde vnto him: Let the deed bury their deed: but go thou, and preach the kyngdome of God.
Luke.9.61	And an other sayde: Lorde, I wyll folowe the: but let me first go byd them fare well, which are at home at my house.
Luke.9.62	Iesus sayde vnto hym: No man that putteth hys handes to the plowe, and loketh backe, is apte to the kyngdome of God.
Luke.10.1	After these thynges, the Lorde appoynted other .lxx. also, and sent them two and two before hym into euery cytie Ꟶ place, whyther he him selfe wolde come.
Luke.10.2	Therfore sayd he vnto them: the haruest is great, but the labourers are fewe. Praye ye therfore the lord of the haruest, to sende forth labourers into his haruest.
Luke.10.3	Go your wayes: behold, I sende you forth as lambes among wolues.
Luke.10.4	Beare no wallet, nether scryp, nor shoes, Ꟶ salute no man by the waye.
Luke.10.5	Into whatsoeuer house ye enter, fyrst saye: Peace be to thys house.
Luke.10.6	And yf the sonne of peace be there, your peace shall rest vpon him: yf not, it shall turne to you agayne.
Luke.10.7	And in the same house tary styll, eatyng and drinckyng soch as they geue: For the labourer is worthy of hys rewarde. Go not from house to house,
Luke.10.8	Ꟶ into whatsoeuer cytie ye entre, Ꟶ they receaue you, eate soch thynges as are set before you,
Luke.10.9	and heale the sicke that are therin, and saye vnto them: the kingdome of God is come nye vpon yo
Luke.10.10	But into whatsoeuer citie ye enter, Ꟶ they receaue you not, go your wayes out into the stretes of the same, Ꟶ saye:
Luke.10.11	euen the very dust of youre cytie (which cleaueth on vs) do we wype of agaynst you: Not withstanding, be ye sure of thys, that the kyngdome of God was come nye vpon you.
Luke.10.12	I saye vnto you: that it shalbe easier in that daye for zodome, then for that cytie.
Luke.10.13	Wo vnto the Chorazin: wo vnto the Bethsaida. For yf the miracles had bene done in Tyre and Sidon, which haue bene done in you, they had (a greate whyle ago) repented of theyr synnes, syttyng in heercloth and asshes.
Luke.10.14	Neuerthelesse, it shalbe easier for Tyre and Sidon, at the iudgement, then for you.
Luke.10.15	And thou Capernaum (which art exalted to heauen) shalt be thrust downe to hell.
Luke.10.16	He that heareth you, heareth me: and he that despyseth you, despyseth me: and he that despyseth me; despyseth him that sent me.
Luke.10.17	And the .lxx. turned agayne wt ioye, sayeng: Lorde, euen the very deuels are subdued to vs thorow thy name.
Luke.10.18	And he sayd vnto them: I sawe Satan (as it had bene lightening) falling downe from heauen.
Luke.10.19	Behold, I geue vnto you power, to treade on serpentes, and scorpions, and ouer all maner power of the enemy, and nothing shull hurte you.
Luke.10.20	Neuertheles, in this reioyse not, that the spretes are subdued vnto you: but reioyse, that youre names are wryten in heauen.
Luke.10.21	That same houre reioysed Iesus in ghost, and sayd: I thanke the, O father. Lorde of heauen and earth, that thou hast hyd these thinges from the wyse and prudent, and hast opened them vnto babes. Euen so father, for so pleased it the.
Luke.10.22	All thinges are geuen me of my father. No man knoweth who the sonne is, but the father: and who the father is, but the sonne, Ꟶ he to whom the sonne wyll shewe hym.
Luke.10.23	And he turned to his disciples, and sayde secretly: Happy are the eyes, which se the thinges that ye se.
Luke.10.24	For I tell you, that many prophetes and kinges haue desired to se those thinges which ye se, and haue not sene them: and to heare those thynges which ye heare, and haue not hearde them.
Luke.10.25	And behold a certayne lawyer stode vp, Ꟶ tempted him, saying. Master, what shall I do, to inheret eternall lyfe?
