Neh.0.0	{¶ The seconde boke of Esdras, otherwyse called the boke of Nehemia}
Neh.8.10	And he sayd vnto them: go youre waye, and eate the fat, Ꟶ drincke the swete, Ꟶ sende parte vnto them also that haue not prepared them selues: for thys daye is holy vnto oure Lorde, be not ye sory therfore: for the ioye of the Lorde is youre strength.
Neh.8.11	And the Leuites stylled all the people, and sayd: holde youre peace, for the daye is holy, vexe not ye youre selues.
Neh.8.12	And all the people wente theyr waye to eate and drincke, and to sende parte vnto other, and to make greate myrth, because they had vnderstand the wordes that were declared vnto them.
Neh.8.13	And on the nexte daye were geathered together the chefe fathers amonge all the people and the preastes and Leuites, vnto Esdras the scrybe, that they myght vnderstand the wordes of the lawe.
Neh.8.14	And they founde wrytten in the lawe (which the Lorde had commaunded by Moses) that the children of Israel shulde dwell in bothes in the feast of the seuenth moneth:
Neh.8.15	Ꟶ that they shulde cause it to be declared and proclamed in all theyr cyties, Ꟶ thorow out Ierusalem, sayenge: go forth vnto the mount, and fetch Olyue braunches, Pyne braunches, Myrbraunches, Palmebraunches, and braunches of thicke trees, to make bothes, as it is wrytten.
Neh.8.16	And so the people went forth, and sett them, and made them bothes, euery one vpon the rofe of his house, Ꟶ in theyr courtes, Ꟶ in the courtes of the house of God, and in the strete by the watergate, and in the strete by porte Ephraim.
Neh.8.17	And all the congregacion of them that were come agayne out of the captiuite, made bothes, Ꟶ sat vnder the bothes: for sence the tyme of Iosua the sonne of Nun vnto this daye, had not the chyldren of Israel done so, and ther was very greate gladnesse.
Neh.8.18	And euery daye from the fyrst daye vnto the last, red Esdras in the boke of the lawe of God. And seuen dayes helde they the feast, and on the eyght daye, they geathered together, accordinge vnto the maner.
Neh.9.1	In the foure Ꟶ twentye daye of this moneth came the children of Israel together agayne, wyth fastinge and sack clothes, and erth vpon them,
Neh.9.2	and they that were of the sede of Israel were separated from all the straunge children, Ꟶ stode Ꟶ knowleged theyr synnes, Ꟶ the wyckednesses of theyr fathers,
Neh.9.3	Ꟶ stode vp in theyr place, Ꟶ red in the boke of the lawe of the Lord their God foure tymes on the daye, and they knowleged, Ꟶ worshipped the Lord their God foure tymes on the daye.
Neh.9.4	And the Leuytes stode on hye, namely Iesua, Bani, Cadmiel, Sabaniah, Buni, Sarebiah, Bani, Ꟶ Chanani, Ꟶ cryed loude vnto the Lord theyr God.
Neh.9.5	And the Leuites, Iesua and Cadmiel Bani and Hasabnia, Serebia Ꟶ Hodia, Sebania, and Phathahia, sayde: stande vp, and prayse the Lord yor God for euer: Ꟶ let thankes be geuen vnto the name of thy glorye, which excelleth all thankesgeuynge Ꟶ prayse.
Neh.9.6	Thou art Lord alone. Thou hast made heauen, Ꟶ the heauen of all heauens, with all theyr hoost, the earth Ꟶ all thinges that are therin, the see Ꟶ all that is therin: Ꟶ thou preseruest them all, and the hoost of heauen worshippeth the.
Neh.9.7	Thou art the Lord God, that hast chosen Abram, Ꟶ broughtest hym out of Ur in Chaldea, and calledst him Abraham,
Neh.9.8	and foundest hys hert faythfull before the and madest a couenaunt wyth him, to geue vnto hys sede the lande of the Cananites, Hethites, Amorites, Pheresites, Iebusites and Gersites, and hast made good thy wordes: for thou art ryghteous
Neh.9.9	and hast consydered the mysery of oure fathers in Egypte, and hearde their complaynte by the reed see,
Neh.9.10	and shewed tokens Ꟶ wonders vpon Pharao, and on all hys seruauntes, and on all the people of hys lande: for thou knewest, that they were presumptuous and cruell agaynst them, and so madest thou the a name, as it is thys daye.
Neh.9.11	And the reed see dydest thou deuyde in sunder before them, so that they went thorow the myddes of the see drye shode: and theyr persecuters threwest thou into the depe (as a stone) in the myghtie waters,
Neh.9.12	Ꟶ leddest them on the daye tyme in a cloudy pyller, Ꟶ on the nyghte season in a pyller of fyre, to shewe them lyghte in the waye that they wente.
Neh.9.13	Thou camest downe also vpon mount Sinai, Ꟶ spakest vnto them from heauen, and gauest them right iudgmentes, true lawes good commaundementes and statutes,
Neh.9.14	and declaredst vnto them thy holy Saboth, and commaundest them preceptes, ordinaunces, and lawes, by the hand of Moses thy seruaunt:
Neh.9.15	and gauest them bred from heauen when they were hongrye, Ꟶ broughtest forth water for them out of the rock when they were thyrstye: and promysedst them, that they shuld go in, and take possessyon of the land, ouer whych thou haddest lyfte vp thyne hand for to geue them.
Neh.9.16	But they Ꟶ oure fathers were proude and hardnecked, so that they folowed not the commaundementes,
Neh.9.17	and wolde not obeye, nether were myndefull of the wonders that thou dyddest for them: but became obstynate and heady, in so moche, that they turned backe to theyr bondage for theyr disobedyence. And thou my God forgauest, and wast gracyous, mercyfull, pacyent, and of greate goodnesse, and forsokest them not
Neh.9.18	And though they made a moulten calfe (Ꟶ sayde: Thys is thy goddes that brought the out of the land of Egypte) and dyd greate blasphemyes,
Neh.9.19	yet forsokest thou them not in the wyldernes, accordyng to thy greate mercy. And the cloudy pyller departed not from them on the daye tyme to leade them the waye, nether the pyller of fyre in the nyght season, to shewe them lyghte in the waye that they wente.
Neh.9.20	And thou gauest them thy good sprete, to enfourme them, and withheldest not thy Manna from theyr mouth, and gauest them water when they were thyrstye.
Neh.9.21	Fortye yeares longe madest thou prouisyon for them in the wyldernesse, so that they lacked nothynge, their clothes waxed not olde, and their fete swelled not.
Neh.9.22	And thou gauest them kyngedomes and nacyons, Ꟶ partedst them accordynge to their porcions, so that they possessed the lande of Sehon kyng of Hesebon, and the lande of Og the kynge of Basan.
Neh.9.23	And their chyldren multiplyedst thou as the starres of heauen, and broughtest them into the lande, wherof thou haddest spoken vnto theyr fathers, that they shulde go into it, and haue it in possessyon.
Neh.9.24	And the chyldren went in, and possessed the land, and thou subduedst before them the inhabyter of the lande, euen the Cananites, and gauest them into theyr hande, with their kynges and the people of the lande, that they might do with them what they wolde.
Neh.9.25	And they wanne theyr stronge cyties, and a fat lande, and toke possessyon of houses that were full of all maner of goodes, welles digged out, vineyardes, oylegardens, and many frutefull trees: and they dyd eate, Ꟶ were fylled, and became fat, and lyued in welth thorow thy greate goodnes.
Neh.9.26	Neuertheles they were disobedient, Ꟶ rebelled agaynst the, and cast thy lawe behynde their backes, and slewe thy prophetes (which exhorted them earnestly, that they myght bring them agayne vnto the) Ꟶ dyd greate blasphemyes.
Neh.9.27	Therfore, thou gauest them ouer into the hand of their enemyes, that vexed them. And in the tyme of their trouble whan they cryed vnto the, thou hardest them from heauen: Ꟶ thorow thy greate mercy thou gauest them sauiours, whych helped them out of the hande of their enemyes.
Neh.9.28	But when they came to rest, they turned back agayne, to do euell before the: therfore leftest thou them in the hande of theyr enemyes, so that they had the dominyon ouer them. And whan they conuerted, and cryed vnto the, thou herdeft them from heauen, Ꟶ many tymes hast thou delyuered them accordyng to thy greate mercy,
Neh.9.29	Ꟶ testyfyedst vnto them, that thou myghtest bryng them agayne vnto thy lawe. Not withstandyng, they were proude, Ꟶ herkened not vnto thy commaundementes, but synned in thy lawes (whych yf a man do he shall lyue in them,) and turned the shoulder awaye, and were styffnecked, and wolde not heare.
Neh.9.30	And many yeares dyddest thou forbeare them, Ꟶ testifyedst vnto them thorow thy sprete, euen by the hande of thy prophetes, and yet wolde they not heare. Therfore gauest thou them into the hande of the nacions in the landes.
Neh.9.31	And for thy great mercyes sake thou hast not vtterly consumed them, nether forsaken them: for thou art a gracyous and mercyfull God.
Neh.9.32	Now therfore oure God, thou greate God, myghtye and terrible, thou that kepest couenaunt Ꟶ mercy, regarde not a lytle all the trauayle that hath happened vnto vs, and oure kinges, oure princes, our preastes, oure prophetes, Ꟶ our fathers, and all thy people, sence the tyme of the kynges of Assur vnto thys daye.
Neh.9.33	And truly, thou art iust in all that thou hast broughte vpon vs: for thou hast done ryght.
Neh.9.34	As for vs, we haue bene vngodly, Ꟶ oure kynges, Ꟶ oure princes, oure preastes, Ꟶ oure fathers haue not done after thy lawe, nor regarded thy commaundementes, Ꟶ thy earnest exhortacyons, wherwith thou hast exhorted them,
Neh.9.35	Ꟶ they haue not serued the in their kyngdome, Ꟶ in thy greate goodes that thou gauest them, and in the large and plenteous lande which thou gauest before them, Ꟶ haue not conuerted from their wycked worckes.
Neh.9.36	Beholde, we are in bondage this daye: Ꟶ so is the lande that thou gauest vnto oure fathers, to enioye the frutes Ꟶ goodes therof, beholde, there are we bondmen.
Neh.9.37	And greate is the increase of it vnto the kynges, whom thou hast set ouer vs, because of oure synnes, Ꟶ they haue domynion ouer oure bodyes and catell (euen as they will them selues,) and we are in great trouble.
Neh.9.38	And in all this make we a sure couenaunt, Ꟶ wryte it, and oure princes, Leuites Ꟶ preastes seale vnto it,
Neh.10.1	The sealers were: Nehemiah (that is) Hathirsatha the sonne of Hachaliah and zedekia,
Neh.10.2	Saraia, Asariah, and Ieremy,
Neh.10.3	Phashur, Amaria, Malchia,
Neh.10.4	Hatus, Sebaniah, Malluch,
Neh.10.5	Harim, Merimoth, and Obadia,
Neh.10.6	Daniel, Ienthon, Ꟶ Baruch,
Neh.10.7	Mesulam, Abia, and Miamin,
Neh.10.8	Maasia, Belgai and Semeia, these were preastes.
Neh.10.9	The Leuytes were: Iesua the sonne of Azania, Benui amonge the chyldren of Henadad and Cadmiel.
Neh.10.10	And their brethren: Sechania, Hodia, Celita, Pelaia, Hanan,
Neh.10.11	Micha, Rehob, and Hasabiah,
Neh.10.12	Sachur, Serebia, Sabania,
Neh.10.13	Hodia, Bani Ꟶ Beninu.
Neh.10.14	The heades of the people were: Phares, the captayne of Moab, Elam, zathu, and Bani,
Neh.10.15	Boni, Asgad, Bebai,
Neh.10.16	Adonia, Begoai, Adin,
Neh.10.17	Ater, Hezekia, Asur,
Neh.10.18	Hodia, Hasum, Bezai,
Neh.10.19	Harip, Anathoth, Ꟶ Nebai,
Neh.10.20	Magphias, Mesulam, Hesir,
Neh.10.21	Mesesabel, zadoc, Iaddua,
Neh.10.22	Phalatia, Hanan, Anaia,
Neh.10.23	Hosea, Hanania, Hasub,
Neh.10.24	Halohes, Phaleha, Sobek,
Neh.10.25	Rehum, Hasebna, Maasia,
Neh.10.26	Ahia, Hanan, Ꟶ Anan,
Neh.10.27	Malluch, Harim Ꟶ Baana.
Neh.10.28	And the other people, the preastes, Leuites, porters, syngers, Nethinims, Ꟶ all they that had separated them selues from the people in the landes vnto the lawe of God, wt their wiues, their sonnes, and their daughters, and as many as coulde vnderstonde,
Neh.10.29	Ꟶ theyr lordes that had rule of them, receaued it for theyr brethren. And they came to sweare, and to bynde them selues with an ooth to walke in Gods lawe, whych was geuen by Moses the seruaunt of God, and that they wolde obserue Ꟶ do accordynge vnto all the commaundementes, iudgementes Ꟶ statutes of the Lord our God:
Neh.10.30	and that we wolde not geue oure daughters vnto the people in the londe, nether to take their daughters for our sonnes.
Neh.10.31	And yf the people of the lande broughte ware on the saboth, Ꟶ all maner of vitayles to sell, that we wolde not take it of them on the saboth Ꟶ on the holy dayes. and that we wolde let the seuenth yeare be fre, concernynge all maner of charge.
Neh.10.32	And we decreed a statute vpon oure selues to geue yearly the thyrde parte of a sycle to the mynistracion in the house of oure God,
Neh.10.33	to the shewbred, to the daylye meatofferynge, to the daylye burntofferynge of the sabothes, of the newe mones, and feast dayes, Ꟶ to the thynges that were sanctifyed, Ꟶ to the offerynges of attonement, to reconcyle Israel wyth all, and to all the busynes in the house of oure God.
Neh.10.34	And we cast the lot amonge the preastes, Leuites and the people, for offerynge of the wood to be brought vnto the house of or God from yeare to yeare, after the houses of oure fathers that it myght be brent at tymes appoynted, vpon the aultare of the Lorde God, as it is wrytten in the lawe:
Neh.10.35	and to bryng the fyrstlinges of oure land, Ꟶ the fyrstlynges of oure frutes of all trees, yeare by yeare, vnto the house of the Lorde:
Neh.10.36	and the fyrstlinges of oure sonnes, and of oure catell, as it is wrytten in the lawe: and the fyrstlinges of oure oxen Ꟶ of oure shepe, whych we shulde bring to the house of oure God, vnto the preastes that mynister in the house of oure God:
Neh.10.37	and that we shuld bryng the fyrstlynges of oure dowgh, and of oure heueofferynges, and the frutes of all maner of trees, of wyne also and of oyle, vnto the preastes to the chestes of the house of oure God. And the tythes of our lande vnto the Leuites, that the Leuytes myght haue the tithes in all the cyties of oure minystracyon.
Neh.10.38	And the preast the sonne of Aaron shall wyth the Leuites haue also of the tithes of the Leuites, so that the Leuites shal brynge vp the tythes of theyr tithes vnto the house of oure God, to the store houses and to the treasure houses.
Neh.10.39	For the chyldren of Israel Ꟶ the chyldren of Leui shall brynge vp the heueofferynges of the corne, wyne and oyle vnto the store houses, there as are the vessels of the sanctuary, and the preastes that minister, Ꟶ the porters and syngers, that we forsake not the house of oure God.
Neh.11.1	And the rulers of the people dwelt at Ierusalem. The other people also cast lottes, that amonge ten, one parte shulde go to Ierusalem into the holy cytie to dwell, and nyne partes to be in the cyties.
Neh.11.2	And the people thanked all the men, that were wyllynge to dwell at Ierusalem.
Neh.11.3	These are the heades of the lande, that dwelt in Ierusalem and in the cyties of Iuda, euery one in hys possessyon, and in theyr cyties: they of Israell, the preastes, Leuytes, the Nethinims, and the chyldren of Salomons seruauntes.
Neh.11.4	And at Ierusalem dwelt certayne of the chyldren of Iuda and of BenIamin. Of the chyldren of Iuda: Athaia the sonne of Usia, the sonne of zachary, the sonne of Amaria, the sonne of Saphatia, the sonne of Mahalaleell, of the chyldren of Phares.
Neh.11.5	And Maasia the sonne of Baruch, the sonne of Chal Hose, the sonne of Hasaia, the sonne of Adaia, the sonne of Ioiarib, the sonne of zachary, the sonne of Siloni.
Neh.11.6	All these were the chyldren of Phares that dwelt at Ierusalem: euen foure .C. thre score and eyght valeaunt men.
Neh.11.7	These are the children of BenIamin: Sallu the sonne of Mesullam, the sonne of Ioed, the sonne of Pedaia, the sonne of Calaia, the sonne of Masia, the sonne of Ithiel, the sonne of Isai.
Neh.11.8	And after hym Gabai, Selai nyne hundreth and eyght Ꟶ twentye.
Neh.11.9	And Ioel the sonne of zichri had the ouersyght of them: and Iuda the sonne of Senua was next ouer the cytie.
Neh.11.10	Of the preastes: Iedaiah the sonne of Ioiarib, Iachin.
Neh.11.11	Saraiah the sonne of Helkia the sonne of Mesullam, the sonne of zadoc, the sonne of Meraioth, the sonne of Ahitob, was prince in the house of God:
Neh.11.12	and hys brethren that perfourmed the worke in the temple .viij.C. and .xxij. And Adaia the sonne of Ieroham, the sonne of Plalaliel, the sonne of Amzi, the sonne of zachary, the sonne of Phashur the sonne of Malchia
Neh.11.13	and his brethren chefe amonge the fathers: two hundreth and two and fortye. And Amasai the sonne of Isarel the sonne of Ahasai, the sonne of Moselemoth, the sonne of Immer:
Neh.11.14	and hys brethren were valiaunt men, an hundreth and eyght Ꟶ twentye. And theyr ouersear was zabdiel a sonne of one of the great men.
Neh.11.15	Of the Leuytes: Semeia the sonne of Hasub the sonne of Aserikam, the sonne of Hasabia the sonne of Bunni:
Neh.11.16	and Sabathai and Iosabab of the chefe of the Leuites, had the ouersight of the outwarde busynes of the house of God.
Neh.11.17	And Mathania the sonne of Micha, the sonne of zabdi, the sonne of Asaph, was the principall to begynne the thankesgeuynge and prayer. And bakbukia the seconde amonge hys brethren, and Abda the sonne of Sammua, the sonne of Galai, the sonne of Ieduthun.
Neh.11.18	All the Leuites in the holy cytie were two hundreth foure skore and foure.
Neh.11.19	And the porters Acub and Talmon, Ꟶ theyr brethren that kepte the portes, were an hundreth and two and seuentye.
Neh.11.20	As for the resydue of Israel, the preastes and Leuites, they were in all the cyties of Iuda, euery one in hys inherytaunce.
Neh.11.21	And the Nethinims dwelt in Ophel: and ziba and Gispa was set ouer the Nethinims.
Neh.11.22	The ouersear of the Leuites at Ierusalem, was Usi the sonne of Baani, the sonne of Hasabia, the sonne of Mathania, the sonne of Micha. Of the chyldren of Asaph there were syngers aboute the busynes in the house of God:
Neh.11.23	for it was the kynges commaundement concernyng them, that the syngers shulde deale faythfully euery daye as was accordynge.
Neh.11.24	And Pathaia the sonne of Mesebabel of the chyldren of zerah the sonne of Iuda nexte the kynge in all matters concernynge the people, and theyr vyllages, and landes.
Neh.11.25	And some of the chyldren of Iuda that were wythout in the townes of theyr lande dwelt at Kariath Arbe, and in the vyllages therof, at Didon, and in the vyllages therof:
Neh.11.26	and at Iecabzeel, and in the vyllages therof: at Iesua, Moladah, Bethphalet
Neh.11.27	in the towne of Sual: Beerseba, and in theyr vyllages,
Neh.11.28	at Sikelag and Moconah, and in theyr vyllages:
Neh.11.29	And at Enremon, zarah, Ierimuth,
Neh.11.30	zonoa, Odollam and in theyr vyllages: At Lachis, and in the feldes therof: At Aseka, Ꟶ in the villages therof: and they dwelt from Bersabe vnto the valley of Hinnon.
Neh.11.31	The chyldren also of BenIamin of Geba, dwelt a Machinas, Aia, Bethel and in theyr vyllages.
Neh.11.32	And at Anathoth, Nob, Ananiah,
Neh.11.33	Hazor, Ramah, Gethaim,
Neh.11.34	Hadid, zeboim, Nabalath,
Neh.11.35	Lod, and Ono, the carpenters valley.
Neh.11.36	And the Leuytes had possessyon both in Iuda and in BenIamin.
Neh.12.1	These are the preastes and Leuites that wente vp with zorobabel the sonne of Salathiel Ꟶ with Iesua: Sararia, Ieremi, Ꟶ Esdras,
Neh.12.2	Amaria, Maluch, Hatus,
Neh.12.3	Sechania, Rehum, Merimoth,
Neh.12.4	Iddo, Genthoi, Abia,
Neh.12.5	Miamin, Maaria, Belga,
Neh.12.6	Semaia, Ioiarib, Iadaia,
Neh.12.7	Salu, Amok, Helkia, and Iadaia. These were the heades among the preastes, and theyr brethren, in the dayes of Iesua.
Neh.12.8	The Leuytes were these: Iesua, Bennui, Cadmil, Sarabia, Iuda and Mathania which was ouer the offyce of thankesgeuynge, he and hys brethren:
Neh.12.9	Bacbukia and Himni and theyr brethren, were aboute them in the watches.
Neh.12.10	Iesua begat Ioakim. Ioakim also begat Eliasib, Ꟶ Eliasib begat Ioiada.
Neh.12.11	Ioiada begat Ionathan, and Ionathan begat Iadua.
Neh.12.12	In the dayes of Ioakim were these the chefe fathers amonge the prestes: vnder Sararia, Maraia: vnder Ieremy, Hanania:
Neh.12.13	vnder Esdras, Mesulam: vnder Amaria, Iehoanan:
Neh.12.14	vnder Milico, Ionathan: vnder Sebania, Ioseph:
Neh.12.15	vnder Harim Adna: vnder Maraioth, Helca:
Neh.12.16	vnder Iddo, zachary: vnder Genthon, Mesullam:
Neh.12.17	vnder Abia, zichri: vnder Miniamin and Moadia, Piltai:
Neh.12.18	vnder Belga, Samua: vnder Senieia, Iehonathan:
Neh.12.19	vnder Ioiarib, Mathenai, vnder Iadaia, Usi:
Neh.12.20	vnder Selai, Kelai: vnder Amok, Eber:
Neh.12.21	vnder Helchia, Hasabia: vnder Iadaia, Nathanael.
Neh.12.22	And in the tyme of Eliasib: Ioiada, Iohanan Ꟶ Iadua, were the chefe fathers amonge the Leuites and the preastes, written vnder the raygne of Darius the Persian.
Neh.12.23	The chyldren of Leui, the principall fathers were written in the Chronicles, vntill the tyme of Ionathan the sonne of Eliasib.
Neh.12.24	And these were the chefe among the Leuites, Hasabia, Serebia and Iesua the sonne of Cadmiel, and theyr brethren in their presence, to geue prayse Ꟶ thankes, accordynge as Dauid the man of God had ordeyned it, one watch ouer agaynst another.
Neh.12.25	Mathania, Balbukia, Obadia, Mesullam, Talmon and Abub were porters in the watch at the thresholdes of the gates.
Neh.12.26	These were in the dayes of Ioiakim the sonne of Iesua the sonne of Iosedec, and in the dayes of Nehemia the captayne, and of the preaste Esdras the scrybe.
Neh.12.27	And in the dedycacyon of the wall at Ierusalem, they sought the Leuites out of all theyr places, that they myghte be brought to Ierusalem, to kepe the dedicacion Ꟶ gladnesse, wyth thankesgeuynges, and singinge wyth Cymbales, Psalteries, and harpes.
Neh.12.28	And the chyldren of the syngers geathered them selues together from euery syde out of the playne countre aboute Ierusalem, and from the vyllages of Netho phathi,
Neh.12.29	from the house of Gilgal, and out of the countrees of Geba and Asmaueth: for the syngers had buylded them vyllages rounde aboute Ierusalem.
Neh.12.30	And the preastes and Leuites were purifyed, and clensed the people, and the gates and the wall.
Neh.12.31	And I brought the princes of Iuda vp vpon the wall, and appoynted two greate queers of men to geue thankes, whych wente on the ryghte hande of the wall towarde the Donggate,
Neh.12.32	and after them wente Hosaia, and halfe of the prynces of Iuda,
Neh.12.33	and Asaria, Esdras, and Mesullam,
Neh.12.34	Iuda, BenIamin, Semia and Ieremy:
Neh.12.35	and certayne of the preastes chyldren wyth trompettes, namely zachary the sonne of Ionathan, the sonne of Semeia, the sonne of Mathania, the sonne of Michaia, the sonne of zacur, the sonne of Asaph,
Neh.12.36	and hys brethren Semeia, Alarael, Melalai, Gilalai, Maai, Nathanael Ꟶ Iuda and Hanani, wyth the musicall instrumentes of Dauid the man of God. And Esdras the Scrybe went before them,
Neh.12.37	and besyde the wellgate, they wente vp ouer agaynst them vpon the steppes of the cytye of Dauid at the goynge vp of the wall beyonde the house of Dauid, vnto the Watergate Eastwarde.
Neh.12.38	The other queer of them that gaue thankes, went ouer agaynst them, and I after them, and the halfe parte of the people vpon the wall, beyonde the fornacegate, vntyll the brode wall,
Neh.12.39	and beyonde the porte of Ephraim, Ꟶ beyonde the Oldgate, beyonde the fyshgate, and the tower of Hananeel, and the tower of Mea, vntyll the Shepegate. And they stode styll in the presongate,
Neh.12.40	and so stode the two queers (of them that gaue thankes) in the house of God, and I and the halfe of the rulers wyth me,
Neh.12.41	and the Preastes, namely Eliakim, Maasia, Miniamin, Michaia, Elioenai, zachary and Hanania, wyth trompettes,
Neh.12.42	and Maasia, Semeiah, Eleasar, Ursi, Iehohanan, Melchiah, Elam and Ser. And the syngers sange loude, hauynge Iestahiah for theyr ouerseer.
Neh.12.43	And the same daye, they offred greate sacrifyces and reioysed: for God had geuen them greate gladnesse, so that both the wyues and chyldren were ioyfull, and the myrth of Ierusalem was herde farre of.
Neh.12.44	At the same tyme were there men appoynted ouer the treasure houses (wherin were the Heue offerynges, the fyrstlynges Ꟶ the tythes) that they shulde geather them out of the feldes aboute the cytyes, to destribute them vnto the preastes Ꟶ Leuites according to the lawe: for Iuda was glad of the preastes, Ꟶ Leuites, that they stode Ꟶ wayted
Neh.12.45	vpon the office of their God, which is a pure office. And the singers Ꟶ porters stode after the commaundment of Dauid Ꟶ of Salomon his sonne:
Neh.12.46	for in the tyme of Dauid Ꟶ Asaph, were the chefe syngers founded, Ꟶ the songes of prayse Ꟶ thankesgeuyng vnto God.
Neh.12.47	In the tyme of zorobabel Ꟶ Nehemia, dyd all they of Israel, geue porcions vnto the syngers and porters, euery daye hys porcion, and they gaue tythes vnto the Leuites: and the Leuites gaue tythes agayne, vnto the children of Aaron.
Neh.13.1	And that daye dyd they reade in the boke of Moses, Ꟶ the people herkened therto, Ꟶ there was found writen therin, that the Ammonites Ꟶ Moabites shulde neuer come into the congregacion of God,
Neh.13.2	because they mett not the children of Israel wt bread and water, but hyred Balaam agaynst them, that he shuld curse them: and oure God turned the curse into a blessing.
Neh.13.3	Now when they herde the lawe, it fortuned, that they separated from Israell euery one that had myxte hym selfe therin
Neh.13.4	And before this had the preast Eliasib the ouer syght of the treasury of the house of oure God, Ꟶ he was kynsman vnto Tobia:
Neh.13.5	Ꟶ had made him a great chambre, Ꟶ there had they afore tyme layed the offeringes, frankencense, vessell, Ꟶ the tythes of corne, and wyne and oyle (accordyng to the commaundement geuen to the Leuites, syngers and porters) and the heueofferynges of the preastes:
Neh.13.6	But in all this tyme was not I at Ierusalem: for in the two Ꟶ thyrtie yeare of Artaxerses kyng of Babylon, came I vnto the kyng, and after certayne dayes optayned I lycence of the kyng
Neh.13.7	to come to Ierusalem. And I gat knowlege of the euell that Eliasib dyd vnto Tobia, in that he had made him a chambre in the court of the house of God,
Neh.13.8	and it greued me sore, Ꟶ I cast forth all the vessels of the house of Tobia out of the chambre,
Neh.13.9	and commaunded them to clense the chambres. And thither brought I agayne the vessels of the house of God, with the meatoffering, and the incense.
Neh.13.10	And I perceaued, that the porcions of the Leuites were not geuen them, and that euery one fled to his land, euen the Leuites and syngers that executed the worke.
Neh.13.11	Then reproued I the rulers, Ꟶ sayd? why is the house of God forsaken? And I gathered them together, Ꟶ set them in their place.
Neh.13.12	Then brought all Iuda the tythes of corne, Ꟶ wyne and oyle vnto the treasure.
Neh.13.13	And I made treasurers ouer the treasure, euen Selemiah the preast, Ꟶ zadoc the scrybe, and of the Leuites, Phadaia, Ꟶ vnder their hand was Hanan the sonne of zacur the sonne of Mathania: for they were counted faythfull, and their office was to distribute the porcions vnto their brethren.
Neh.13.14	Thyncke vpon me O my God here in, and wipe not out my mercy that I haue shewed on the house of my God, and on the offices therof.
Neh.13.15	At the same tyme sawe I some tredynge wyne presses on the Saboth, Ꟶ bryngyng in shefes, Ꟶ asses laden wt wyne, grapes, figges Ꟶ brynging all maner of burthens vnto Ierusalem, vpon the Sabaoth daye. And I rebuked them earnestly the same daye that they sold the vitayles.
Neh.13.16	There dwelt men of Tyre also therin, which brought fysh and all maner of ware, Ꟶ solde on the Saboth vnto the children of Iuda in Ierusalem.
Neh.13.17	Then reproued I the rulers in Iuda, Ꟶ sayde vnto them: what euell thyng is this that ye do, Ꟶ breake the Saboth daye?
Neh.13.18	Dyd not youre fathers euen thus, Ꟶ our God brought all thys plage vpon vs Ꟶ vpon this cytie? And ye make the wrath more yet vpon Israel, in that ye breake the Saboth.
Neh.13.19	And it fortuned, that when the portes of Ierusalem beganne to be darke in the euenyng before the Saboth, I commaunded to shutt the gates, and charged, that they shuld not be opened tyll after the Saboth Ꟶ some of my seruauntes set I at the gates, that there shulde no burthen be brought in on the Saboth daye.
Neh.13.20	Then remayned the chapmen Ꟶ marchauntes once or twyce ouer nyght without Ierusalem wyth all maner of wares.
Neh.13.21	Then reproued I them sore, and sayde vnto them: why tary ye all nyght about the wall? If ye do it once agayne, I wyll laye handes vpon you. From that tyme forth came they nomore on the Saboth.
Neh.13.22	And I sayde vnto the Leuites that they shulde clense them selues, and that they shulde come and kepe the gates, to halowe the Saboth daye. Thynke vpon me (O my God) concernyng this also, Ꟶ spare me, accordyng to thy great mercy.
Neh.13.23	And at the same tyme sawe I Iewes, that maried wyues of Asdod, of Ammon and of Moab,
Neh.13.24	Ꟶ their childen spake halfe in the speach of Asdod, Ꟶ coulde not speake in the Iewes language, but by the tong myght a man perceaue euery people.
Neh.13.25	Then I reproued them, Ꟶ cursed them, Ꟶ smote certayne men of them, Ꟶ made them bare, and toke an ooth of them by God: Ye shal not geue your daughters vnto their sonnes, nether shall ye take their daughters vnto youre sonnes, or for youre selues.
Neh.13.26	Dyd not Salomon the kyng of Israel synne for soch? and yet among many Heythen was there no kynge lyke him, whych was deare vnto his God, Ꟶ God made him kynge ouer all Israel, Ꟶ yet neuertheles, outlandysh wemen caused him to synne?
Neh.13.27	Shall we then obeye vnto you, to do all this great euell, Ꟶ to transgresse agaynst oure God, and marye straunge wyues?
Neh.13.28	And one of the children of Iehoiada the sonne of Eliasib the hye preast, had made a contracte with Sanabalat the Horonite: but I chaced him from me.
Neh.13.29	(O my God) thynke thou vpon them that defyle the presthode, Ꟶ the couenaunt of the presthode Ꟶ of the Leuites.
Neh.13.30	Thus clensed I them from all soch as were outlandish, and appoynted the courses of the preastes Ꟶ Leuites, euery one in his office,
Neh.13.31	Ꟶ to offre the wod at tymes appoynted, and the fyrst frutes. Thinke thou vpon me (O my God) for the best.
Neh.0.0	¶ The ende of the seconde boke of Esdras, otherwyse called the boke of Nehemia.
