Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.6.8	and thou shalt bynde them for a sygne vpon thine hande. And they shalbe warnynges betwene thyne eyes
Deut.6.9	and thou shalt write them vpon the postes of thy house and vpon thy gates.
Deut.6.10	And when the Lord thy God hath brought the into the lande, whych he sware vnto thy fathers, Abraham Isahac and Iacob, and geueth the greate Ꟶ goodly cyties which thou byldedst not,
Deut.6.11	houses full of all maner of goodes which thou fylledst not, and welles dygged which thou dyggedest not, vineyardes Ꟶ oliue trees which thou plantedst not, and when thou hast eaten Ꟶ art full:
Deut.6.12	Then beware, lest thou forget the Lorde, whyche broughte the oute of the lande of Egypt from the house of bondage.
Deut.6.13	Thou shalt feare the Lorde thy God, Ꟶ serue him, and swere by his nam
Deut.6.14	Se that ye walcke not after straunge goddes: the goddes of the nacyons which are aboute you.
Deut.6.15	For the Lorde thy God is a gelouse God amonge you, lest the countenaunce of the Lorde thy God be moued to wrath agaynst the, and destroye the from of the erth.
Deut.6.16	Ye shall not tempte the Lorde your God as ye dyd in the tentacyon.
Deut.6.17	But kepe the commaundementes of the Lorde youre God, and hys witnesses and his ordinaunces which he hath commaunded the,
Deut.6.18	and thou shalt do that which is right and good in the syghte of the Lorde: that thou mayst prospere, and that thou mayst go in, and conquere that good lande whyche the Lorde sware vnto thy fathers,
Deut.6.19	to cast oute all thyne enemyes before the as the Lorde hath sayed.
Deut.6.20	And when thy sonne asketh the in tyme to come, sayinge: What meaneth these witnesses, ordinaunces Ꟶ lawes, which the Lorde oure God hath commaunded you?
Deut.6.21	Then thou shalt saye vnto thy sonne: We were Pharaos bondmen in Egypte, and the Lorde brought vs out of Egipte with a myghtie hande.
Deut.6.22	And the Lorde shewed signes Ꟶ wondres greate Ꟶ euell vpon Egypte, vpon Pharao Ꟶ vpon all hys housholde, before oure eyes,
Deut.6.23	but brought vs oute from thence: to brynge vs in, and to geue vs the lande which he sware vnto oure fathers.
Deut.6.24	And he hath commaunded vs, to do all these ordinaunces, and to feare the Lorde oure God, for oure welth all the dayes of our lyfe, as it is come to passe thys daye.
Deut.6.25	Moreouer thys shalbe oure ryghteousnes before the Lorde oure God, yf we take hede Ꟶ kepe all these commaundmentes, as he hath commaunded vs.
Deut.7.1	When the Lord thy God hath brought the into the lande whyther thou goest to possesse it, Ꟶ hath cast out many nacions before the: namely, the Hethites, the Gergesites, the Amorites, the Cananites, the Pheresites, the Heuites Ꟶ the Iebusites, seuen nacyons greater, and myghtier than tho
Deut.7.2	and when the Lorde thy God hath sett them before the, thou shalt smyte them, Ꟶ vtterly destroye them, and make no couenaunt with them, nor haue compassyon on them. Thou shalt make no mariages with them,
Deut.7.3	nether geue thy daughter vnto hys sonne, nor take hys daughter vnto thy sonne.
Deut.7.4	For they wyll disceaue thy sonne, that he shuld not feare me and they shall serue straunge goddes, and then wyll the wrath of the Lorde waxe whote agaynst you, and destroye you shortely.
Deut.7.5	But thus ye shall deale with them: Ye shall ouerthrowe theyr alters, Ꟶ breake doune theyr pylers, cut doune theyr groues, and burne theyr grauen ymages with fyre.
Deut.7.6	For thou art an holy nacyon vnto the Lorde thy God the Lorde thy God hath chosen the, to be a seuerall people vnto hym selfe, aboue all nacyons that are vpon the erth.
Deut.7.7	It was not because of the multitude of you aboue all nacyons, that the Lorde had lust vnto you and chose you, seynge ye were fewest of all nacyons.
Deut.7.8	But because the Lorde loued you, and because he wolde kepe the othe whyche he had sworne vnto your fathers, therfore hath the Lorde brought you oute of Egypte thorowe a myghtie hande, Ꟶ delyuered you out of the house of bondage: euen from the hande of Pharao kynge of Egypte.
Deut.7.9	Understande therfore, that the Lorde thy God he his God, Ꟶ that a true God whych kepeth poyntment and mercy vnto them that loue hym Ꟶ kepe his commaundementes, euen thorowe out a thousande generacyons:
Deut.7.10	and rewardeth them that hate him before hys face, so that he bringeth them to naught, and doth not deferre the tyme, but rewardeth him that hateth hym, before his face.
Deut.7.11	Kepe thou therfore the commaundementes, and ordinaunces and lawes, which I commaunde the this daye that thou do them.
Deut.7.12	If ye herken vnto these lawes, and obserue Ꟶ do them, the Lord thy God also shall kepe vnto the the poyntement, and the mercy which he sware vnto thy fathers.
Deut.7.13	He wyll loue the, Ꟶ blesse the, Ꟶ multiplye the: he wyll also blesse the frute of thy wombe, and the frute of thy londe, thy corne, thy wyne and thyne oyle, Ꟶ the frute of thine oxen, Ꟶ the flockes of thy shepe in the lande, which he sware vnto thy fathers to geue the.
Deut.7.14	Thou shalt be blessed aboue all nacyons: there shalbe nether man nor woman vnfrutefull amonge you, nor any thing vnfrutefull amonge your catell.
Deut.7.15	Moreouer the Lorde will take awaye from the all maner infirmityes, and will put none of the euell diseases of Egypte (whiche thou knowest) vpon the, but wyll sende them vpon all them that hate the.
Deut.7.16	Thou shalt consume all the nacions which the Lord thy God shall deliuer the: thyne eye shall haue no pytie vpon them, nether shalt thou serue theyr goddes, for that shalbe thy decaye.
Deut.7.17	If thou saye in thyne hert: these nacyons are moo than I, howe can I cast them out?
Deut.7.18	Thou shalt not feare them, but remembre, what the Lorde thy God dyd vnto Pharao and vnto all Egypte:
Deut.7.19	the greate temptacyons whych thyne eyes sawe, and the sygnes, and wondres, and the myghtye hande and stretched out arme, where thorowe the Lorde thy God brought the out: euen so shall the Lorde thy God do vnto all the nacyons, of whom thou art afrayed.
Deut.7.20	Moreouer the Lord thy God will sende hornettes amonge them vntyll they that are lefte, and hyde them selues from the, be destroyed.
Deut.7.21	Thou shalt not feare them, for the Lord thy God is among you, a myghtie God and a terrible.
Deut.7.22	For the Lorde thy God wyll put out these nacyons before the by a lytle Ꟶ a lytle thou mayst not consume them at once, lest the beastes of the felde encrease vpon the.
Deut.7.23	But the Lorde thy God shall geue them ouer before the, and shall destroye them with a myghtie tempest, vntill he haue brought them to naught.
Deut.7.24	And he shall delyuer theyr kynges in to thyne hande, and thou shalt destroye their name from vnder heauen. There shall no man be able to stande before the, vntyll thou haue destroyed them.
Deut.7.25	The grauen ymages of theyr goddes shalt thou burne wyth fyre, Ꟶ couet not the golde and syluer that is on them, nor take it vnto the, lest thou be snared ther in. For it is an abhominacyon before the Lorde thy God.
Deut.7.26	Brynge not therfore abhominacyon in to thyne house, lest thou be a damned thynge, as it is: but vtterlye defye it and abhorre it, for it is a damned thynge.
Deut.8.1	All the commaundmentes whych I commaunde the thys daye, shall ye kepe for to do them, that ye maye lyue and multiplie and go in, and possesse the lande whyche the Lorde sware vnto your fathers.
Deut.8.2	And thou shalt thynke on all the waye, which the Lorde thy God ledd the thys .xl. yeare in the wildernesse, for to humble the, Ꟶ to proue the, Ꟶ to wete what was in thyne herte, whether thou woldest kepe hys commaundmentes or no,
Deut.8.3	He humbled the, and suffred the to hongre, and fedd the with Manna, whych nether thou nor thy fathers knewe of, to make the knowe, that a man doth not lyue by bread only: but by euery that procedeth out of the mouth of the Lorde, doth a man lyue.
Deut.8.4	Thy rayment waxed not olde vpon the, nether dyd thy fote swell these .xl. yeares.
Deut.8.5	Thys also shalt thou consyder in thyne herte, that as a man nourtereth hys sonne, euen so the Lorde thy God nourtereth the.
Deut.8.6	Therfore shalt thou kepe the commaundementes of the Lorde thy God, that thou walke in his wayes, and feare hym.
Deut.8.7	For the Lord thy God bryngeth the into a good lande, a lande in the whych are ryuers of water, and fountayns and sprynges that springe out of valeyes and hylles:
Deut.8.8	a lande wherin is wheat Ꟶ barly, vyneyardes, fygtrees and pomgranates: a lande wherin is oyle olyue and honie:
Deut.8.9	a lande, wherin thou shalt eate bread wythout skarcenesse, neither shalt thou lacke anye thynge: a lande whose stones are yron, Ꟶ out of whose hylles thou shalt dygge brasse.
Deut.8.10	When thou hast eaten therfore and fylled thy selfe, thou shalt blesse the Lord thy God in that good lande, whych he hath geuen the.
Deut.8.11	Beware, that thou forgett not the Lorde thy God, that thou woldest not kepe hys commaundmentes, hys lawes Ꟶ his ordinaunces whych I commaunde the thys daye y
Deut.8.12	Ꟶ when thou hast eaten, and fylled thy selfe, Ꟶ hast bylt goodly houses Ꟶ dwelt therin,
Deut.8.13	and when thy beastes, and thy shepe are waxed manye, and thy syluer Ꟶ golde is multiplied, and all that thou hast is encreased,
Deut.8.14	then beware, lest thyne herte ryse Ꟶ thou forgett the Lorde thy God, whych brought the out of the lande of Egypte, and from the house of bondage,
Deut.8.15	Ꟶ whych was thy gyde in the greate and terrible wyldernesse (wherin were) fyrye serpentes, scorpions, and drouth without any water. But he brought out water for the, euen out of the rocke of flynt:
Deut.8.16	he fedd the in the wildernesse wyth Manna, whych thy fathers knewe not, euen for to humble the, and to proue the, and that he myght so do the good at thy later ende.
Deut.8.17	Lest thou shuldest saye in thyne herte my power Ꟶ the might of myne awne hande hath prepared me thys abundaunce:
Deut.8.18	But remembre the Lorde thy God, howe that it is he which geueth the power to get substaunce, for to make good the promesse whych he sware vnto thy fathers, as thys daye doth wytnesse.
Deut.8.19	And yf thou forget the Lorde thy God, and walke after straunge goddes, and serue them, Ꟶ worshype them, I testifye vnto you this daye, that he shall surely perysh.
Deut.8.20	As the nacions whych the Lorde destroyeth before you, euen so ye shall peryshe, because ye wolde not be obedient vnto the voyce of the Lorde youre God.
Deut.9.1	Heare O Israel, thou passest ouer Iordan thys daye, to go in, and conquere nacyons greate Ꟶ myghtier then thy selfe: cyties greate and walled vp to heauen,
Deut.9.2	a people greate and tall, euen the chyldren of the Enakims, whych thou knowest of, and of whom thou hast herde saye: who wyll stande before the chyldren of Enack?
Deut.9.3	Understande therfore thys daye, that the Lorde thy God is euen he whych goeth ouer before the as a a consumynge fyre, he shall destroye them and he shall brynge them downe before thy face. He shall cast them out, Ꟶ brynge them to nought quickly, as the Lord hath sayed vnto the.
Deut.9.4	Speake not thou in thyne hert (after that the Lord thy God hath cast them out before the) sayinge: for my ryghteousnes the Lorde hath brought me in, to possesse thys lande. Nay, but for the wyckednesse of these nacyons the Lorde hath cast them out before the.
Deut.9.5	It is not for thy righteousnes sake or for thy ryght hert, that thou goest to possesse theyr lande. But for the wyckednesse of these nacions, the Lorde thy God doth cast them out before the, euen to performe the worde, which the Lorde thy God sware vnto thy fathers, Abraham, Isahac and Iacob.
Deut.9.6	Understande therfore that it is not for thy ryghteousnes sake, that the Lorde thy God doth geue the thys good lande to possesse it seynge thou art a stiffenecked people.
Deut.9.7	Remembre Ꟶ forget not, howe thou prouokedest the Lorde thy God in the wyldernesse, sence the daye that thou dyddest departe out of the lande of Egypte vntyll ye came vnto thys place, ye haue rebelled agaynst the Lord.
Deut.9.8	Also in Horeb ye angred the Lorde, so that the Lord was wroth wyth you, euen to haue destroyed you,
Deut.9.9	whan I was gone vp into the mount, to receaue the tables of stone, the tables of appoyntment, whych the Lorde made with you. And Iabode in the hyll .xl. dayes Ꟶ .xl. nyghtes, whan I nether dyd eate bread nor dranke water.
Deut.9.10	And the Lord delyuered me two tables of stone, wryten with the fynger of God, Ꟶ in them was accordynge to all the wordes which the Lorde sayed vnto you in the mount out of the myddes of the fyre in the daye, of the gatherynge together.
Deut.9.11	And when the .xl. dayes Ꟶ .xl. nyghtes were ended, the Lorde gaue me the two tables of stone, the tables of the couenaunt,
Deut.9.12	and the Lorde sayde vnto me. Up, Ꟶ get the doune quickely from hence, for thy people which thou hast broughte out of Egypte, haue marred all. They are turned attonce out of the waye, whiche I commaunded them, and haue made them a molten ymage.
Deut.9.13	Furthermore, the Lord spake vnto me sayinge: I haue sene thys people, and beholde, it is a styffenecked people,
Deut.9.14	let me alone, that I maye destroye them, and put out the name of them from vnder heauen, and I wyll make of the a myghtie nacyon, Ꟶ greater than they be.
Deut.9.15	And I turned me, and came doune from the hyll (euen from the hyll that burnt wyth fyre) and the two tables of the appoyntment were in my handes.
Deut.9.16	And I loked, Ꟶ beholde, ye had synned agaynst the Lorde your God, Ꟶ had made you a molten calfe, and had turned attonce out of the waye whyche the Lord had commaunded you.
Deut.9.17	And I toke the two tables and cast them out of my two handes, and brake them before youre eyes.
Deut.9.18	And I fell downe flat before the Lorde: euen as at the fyrst tyme, and .xl. dayes Ꟶ .xl. nyghtes I dyd nether eate bread nor drincke water, because of all youre synnes, whych ye synned, in doynge wyckedly in the syght of the Lord in that ye prouoked hym vnto wrath.
Deut.9.19	For I was afrayed that for the wrath Ꟶ fearsnesse wher wyth the Lorde was moued agaynst you, he wolde haue destroyed you. But the Lorde herde me at that tyme also.
Deut.9.20	The Lorde was very angrye wyth Aaron also, euen to haue destroyed hym: Ꟶ I made intercessyon for Aaron also the same tyme:
Deut.9.21	And I toke youre synne the calfe whych ye had made and burnt hym with fyre, Ꟶ stamped hym Ꟶ grounde hym a good, euen vnto sinal dust. And I cast the dust therof into the brooke, that descended out of the mounte.
Deut.9.22	Also at the burnynge, at the tentacyon, and at the sepulchres of lust ye angred the Lord,
Deut.9.23	lykewyse when the Lorde sent you from Cades Barne, sayinge, go vp, and conquere the lande which I haue geuen you ye disobeyed the mouth of the Lorde youre God, and nether beleued him, nor herkened vnto his voyce.
Deut.9.24	Ye haue bene disobedient vnto the Lorde, sence the daye that I knewe you.
Deut.9.25	And I fell downe flat before the Lord .xl. dayes, and .xl. nyghtes whiche I laye there, for the Lorde sayde, that he wolde destroye you.
Deut.9.26	I made intercessyon therfore vnto the Lorde, and sayed: O Lorde God, destroye not thy people Ꟶ thyne enheritaunce, whych thou hast delyuered thorow thy greatnesse, and which thou hast brought out of Egypte thorowe a myghtie hand.
Deut.9.27	Remembre thy seruauntes Abraham, Isahac and Iacob, and loke not vnto the stoburnesse of this people, ner to theyr wickednesse Ꟶ synne:
Deut.9.28	lest the lande whence thou broughtest them, saye: The Lorde is not able to brynge them in to the lande, whych he promysed them: and because he hated them, therfore hath he caryed them out, to slaye them in the wyldernesse.
Deut.9.29	Beholde, they are thy people, and thyne enheritaunce, whyche thou broughtest out in thy myghtie power and in thy stretched out arme.
Deut.10.1	In the same ceason the Lord sayde vnto me hewe the two tables of stone lyke vnto the fyrst, and come vp vnto me in to the mount, Ꟶ make the an Arcke of wood,
Deut.10.2	Ꟶ I will wryte in the tables, the wordes that were in the fyrst tables which thou brakest, Ꟶ thou shalt put them in the arcke.
Deut.10.3	And I made an arcke of sethim wood, and hewed two tables of stone like vnto the fyrst, and went vp in to the mountayne, hauynge the two tables in myne hande.
Deut.10.4	And he wrote in the tables accordynge to the fyrst writynge (the ten verses whiche the Lorde spake vnto you in the mount out of the myddes of the fyre, in the daye of the gatherynge together) and the Lord gaue them vnto me.
Deut.10.5	And I departed, and came downe from the hyll, and put the tables in the arcke which I had made: and there they be, as the Lorde commaunded me.
Deut.10.6	And the chyldren of Israel toke theyr iourney from Beroth of the chyldren of Iakan to Mosera, where Aaron dyed, and was buryed, and Eleazer hys sonne became preast in hys stead:
Deut.10.7	From thence they departed vnto Gadgad: Ꟶ from Gadgad to Iathbath a land which hath riuers of water.
Deut.10.8	The same ceason the Lorde separated the trybe of Leui to beare the arcke of the appoyntment of the Lorde, Ꟶ to stande before the Lorde, Ꟶ to ministre vnto hym Ꟶ to blesse in his name vnto thys daye.
Deut.10.9	Wherfore the Leuites haue no parte nor enheritaunce wyth theyr brethren: But the Lorde is theyr enheritaunce, as the Lorde thy God hath promysed them.
Deut.10.10	And I taryed in the mount, euen as at the fyrst time .xl. dayes and .xl. nyghtes, and the Lorde herkened vnto me at that tyme also, Ꟶ the Lorde wolde not destroye the.
Deut.10.11	And the Lorde sayde vnto me: vp, and go forth in the iourneys before the people, that they maye go in, and conquere the lande which I sware vnto theyr fathers, to geue vnto them.
Deut.10.12	And nowe Israel, what doth the Lord thy God requier of the but to feare the Lorde thy God, and to walke in all hys wayes, to loue hym, and to serue the Lorde thy God with all thyne herte Ꟶ with all thy soule:
Deut.10.13	Namely, that thou kepe the commaundmentes of the Lorde, and hys ordinaunces whych I commaunde the thys daye, for thy welth.
Deut.10.14	Beholde, heauen and the heauen of heauens is the Lordes thy God, and the erth wyth all that therin is:
Deut.10.15	Notwythstondynge, the Lord had a lust vnto thy fathers to loue them, and chose theyr seed after them, euen you, aboue all nacyons, as thou seest thys daye.
Deut.10.16	Circumcyse therfore the foreskynne of youre harte, and be no more stiffnecked:
Deut.10.17	For the Lorde your God, is God of Goddes, and Lorde of Lordes, a greate God, a myghtye and a terrible whych regardeth no mans person nor taketh gyfte:
Deut.10.18	He doeth ryght vnto the fatherlesse Ꟶ wedowe, and loueth the straunger, to geue hym fode and rayment.
Deut.10.19	Loue ye therfore the straunger also: for ye were straungers youre selues in the lande of Egypte.
Deut.10.20	Thou shalt feare the Lorde thy God, Ꟶ hym (onely) shalt thou serue, to hym shalt thou cleue, and swere by hys nam
Deut.10.21	he is thy prayse and thy God, that hath done for the these greate and terrible thynges, whych thyne eyes haue sene.
Deut.10.22	Thy fathers went doune in to Egypte with .lxx. soules, and nowe the Lorde thy God hath made the Ꟶ multiplyed the, as the starres of heauen.
Deut.11.1	Therfore thou shalt loue the lord thy God Ꟶ kepe his obseruaunces, his ordinaunces, hys lawes, Ꟶ his commaundments alwaye.
Deut.11.2	Call to your mynde this daye that which youre chyldren haue nether knowen nor sene: euen the nourture of the Lorde youre God, hys greatnesse, hys myghtye hande, and hys stretched out arme:
Deut.11.3	his myracles and hys actes whych he dyd in the myddes of Egypte, euen vnto Pharao the kynge of Egypte and vnto all hys lande:
Deut.11.4	Ꟶ what he dyd vnto the host of Egypt, vnto theyr horses Ꟶ charettes howe he brought the water of the red see vpon them as they chased you behynde, Ꟶ howe the Lorde hath brought them to nought vnto thys daye:
Deut.11.5	Ꟶ what he dyd vnto you in the wildernesse, vntyll ye came vnto thys place:
Deut.11.6	Ꟶ what he dyd vnto Dathan and Abiram the sonnes of Eliab the sonne of Ruben, howe the erth opened hyr mouth, and swalowed them, wyth theyr housholdes and theyr tentes, Ꟶ all theyr substance that was in theyr possession, in the myddes of Israel.
Deut.11.7	Doutles, youre eyes haue sene all the greate actes of the Lorde whych he dyd.
Deut.11.8	Therfore shall ye kepe all the commaundmentes, whych I commaunde the thys daye, that ye maye be stronge Ꟶ go in and conquere the lande whether ye go to possesse it,
Deut.11.9	Ꟶ that ye maye prolonge youre dayes in the lande which the Lorde sware vnto your fathers, to geue vnto them and to theyr seed, a lande that floweth wyth mylcke and honye.
Deut.11.10	For the lande whether thou goest to possesse it, is not as the lande of Egypte that ye came out of, where thou sowedst thy seed and wateredst it wyth thy fete as a garden of herbes:
Deut.11.11	but the lande whyther ye go ouer to possesse it, is a lande that hath hylles and valeyes, and drinketh water of the rayne of heauen.
Deut.11.12	Thys lande doth the Lorde thy God care for, Ꟶ the eyes of the Lorde thy God are alwayes vpon it, from the begynnynge of the yeare, vnto the ende of the yeare.
Deut.11.13	If you shall herken therfore vnto my commaundementes, whych I commaunde you thys daye, that ye loue the Lorde youre God Ꟶ serue him wyth all youre herte, Ꟶ wyth all youre soul
Deut.11.14	I also wyll geue rayne vnto youre lande in due ceason: the fyrst rayne and the later, that thou mayest gather in thy corne, thy wyne Ꟶ thyne oyle.
Deut.11.15	And I will sende grasse in thy feldes for thy catell: that thou mayest eate, and fyll thy selfe.
Deut.11.16	But beware that youre herte deceaue you not Ꟶ ye turne asyde, and serue straunge Goddes, and worshyp them,
Deut.11.17	and then the Lord beynge wroth agaynst you, shutt vp the heauen, that there be no rayne, and that youre lande yelde not her frute, and lest ye perysh quickly from of the good lande, whych the Lorde geueth you.
Deut.11.18	Therfore shall ye put vp these my wordes in youre herte and in youre soule, Ꟶ bynde them for a sygne vpon youre hande, that they maye be as a warninge betwene your eyes,
Deut.11.19	and ye shall teach them youre children that they maye talke of them, when thou syttest in thyne house, and when thou walkest by the waye: when thou lyest downe, Ꟶ when thou rysest vp:
Deut.11.20	yee and thou shalt wryte them vpon the dore postes of thyne house, and vpon thy gates,
Deut.11.21	that your dayes maye be multiplied, Ꟶ the dayes of youre children, in the land whych the Lorde sware vnto youre fathers to geue them, as longe as the dayes of heauen last vpon the erth.
Deut.11.22	For yf ye kepe all these commaundmentes, which I commaund you so that ye do them: Namely, that ye loue the Lord youre God, Ꟶ walke in all his wayes, and cleaue vnto him,
Deut.11.23	Then wyll the Lorde cast out all these nacyons before you, and ye shalbe the heyres of great nacions and of them that are myghtyer then youre selues.
Deut.11.24	All the places where on the soles of youre fete shall treade, shalbe youres, euen from the wildernesse and from Libanno, Ꟶ from the ryuer Euphrates, euen vnto the vttemost see, shall youre coaste be.
Deut.11.25	There shall no man be able to stande before you: for the Lorde youre God shall cast the feare Ꟶ dreade of you vpon all the lande that ye shall treade vpon, as he hath sayde vnto you.
Deut.11.26	Beholde, I set before you thys daye, a blessynge Ꟶ a curs
Deut.11.27	a blessynge: yf ye obeye the commaundmentes of the Lorde youre God whych I commaunde you thys daye.
Deut.11.28	And a curse: yf ye wyll not obeye the commaundmentes of the Lorde youre God: but turne out of the waye, whych I commaunde you thys daye, to go after straunge goddes, whych ye haue not knowen.
Deut.11.29	When the Lorde thy God therfore hath brought the in to the lande, whether thou goest to possesse it, thou shalt put the blessynge vpon mount Garizim, Ꟶ the curse vpon mount Ebal,
Deut.11.30	whych (mountaynes) are on the other syde Iordan on the backe syde of the waye towarde the goynge doune of the sonne, in the lande of the Cananites whych dwel in the playne ouer agaynst Gilgal besyde the groue of Moreh.
Deut.11.31	For ye shall passe ouer Iordane, to go in, and possesse the lande, which the Lorde your God geueth you, and ye shall conquere it, Ꟶ dwell therin.
Deut.11.32	Take hede therfore that ye do all the commaundementes and lawes, whych I sett before you thys daye.
Deut.12.1	These are the ordinaunces and lawes which ye shall obserue and do in the lande, whych the Lord God of thy fathers geueth the to possesse it, as longe as ye lyue vpon the erth.
Deut.12.2	Ye shall destroye all places where in the nacions which ye shall conquere serued their Goddes, vpon hye mountaynes, on hylles, and vnder euery thyck tree.
Deut.12.3	Ouerthrowe theyr alters, and breake theyr pilers, and burne their groues with fyre and hewe downe the grauen ymages of the Goddes that they haue, and bringe the names of them to noughte out of that place.
Deut.12.4	Ye shall not do so vnto the Lorde youre God,
Deut.12.5	but ye shall seke the place, whych the Lorde youre God shall haue chosen out of all youre trybes, to put hys name there, Ꟶ there to dwell.
Deut.12.6	And thyther thou shalt come, and thyther ye shall brynge youre burnt sacrifyces, your offrynges, youre tythes, and heue offrynges of youre hande, youre vowes, your frewill offerynges and the fyrst gendred of youre oxen and of your shepe.
Deut.12.7	And there ye shall eate before the Lorde youre God, Ꟶ ye shall reioyse in all that ye put youre hande vnto both ye and youre housholdes, wherin the Lord thy God hath blessed the.
Deut.12.8	Ye shall not do after all the thynges that we do here thys daye, euery man what semeth hym good in hys awne eyes.
Deut.12.9	For ye are not yet come to rest, Ꟶ to the enheritaunce, which the Lorde youre God geueth you.
Deut.12.10	But whan ye go ouer Iordan, and dwell in the lande whych the Lorde your God hath geuen you to enheret, and whan he hath geuen you rest from all youre enemyes rounde aboute, so that ye dwel in safetye,
Deut.12.11	then vnto the place whych the Lorde youre God hath chosen, to put his name there, ye shall brynge all that I commaunde you: Namely, youre burntsacrifyces, youre offerynges, youre tythes, the heueofferinge of youre hande, Ꟶ all youre speciall vowes, which ye vowe vnto the Lord.
Deut.12.12	And ye shall reioyse before the Lorde youre God, ye and youre sonnes, Ꟶ youre daughters, youre seruauntes and youre maydens, and the Leuite that is wythin youre gates for asmoch as he hath no parte nor enheritaunce wyth you.
Deut.12.13	Take hede that thou offer not thy burntofferynges in euery place that thou seest:
Deut.12.14	but in the place whych the Lorde shall haue chosen in one of thy trybes, there thou shalt offer thy burntofferinges, and there thou shalt do all that I commaunde the.
Deut.12.15	Notwythstandynge thou mayst kyll and eate fleshe in all thy cyties, whatsoeuer thy soule lusteth after, accordynge to the blessinge of the Lorde thy God, which he hath geuen the both the vncleane and the cleane may eat therof, euen as the roo, or the hert:
Deut.12.16	only ye shall not eate the bloud, but powre it vpon the erth as water.
Deut.12.17	Thou mayst not eate wythin thy gates the tithe of thy corne, of thy wyne and of thy oyle, and the fyrst gendred of thine oxen, and of thy shepe, nether any of thy vowes whych thou vowest, nor thy fre wil offringes or heueofferynge of thyne hande:
Deut.12.18	but thou must eate them before the Lorde thy God, in the place which the Lorde thy God hath chosen: thou, and thy sonne, and thy daughter, thy seruaunte and thy mayde, Ꟶ the Leuite that is wythin thy gates: and thou shalt reioyse before the Lorde thy God, in all that thou puttest thyne hande to.
Deut.12.19	Beware, that thou forsake not the Leuite, as longe as thou lyuest vpon the erth.
Deut.12.20	If (when the Lorde thy God hath enlarged thy border as he hath promised the) thou saye: I wyll eate flessh, because thy soule longeth to eate fleshe: thou mayest eate fleshe whatsoeuer thy soule lusteth.
Deut.12.21	If the place whych the Lorde thy God hath chosen to put his name there, be to farre from the, then thou shalt kyll of thy oxen Ꟶ of thy shepe which the Lord hath geuen the, as I haue commaunded the, Ꟶ thou shalt eate in thine awne cytie, whatsoeuer thy soule lusteth.
Deut.12.22	And as the roo Ꟶ the herte is eaten, euen so thou shalt eate them: both the cleane and the vncleane shall eate of them.
Deut.12.23	But be stronge that thou eate not the bloude. For the bloude, that is the lyfe, and thou mayst not eate the lyfe wyth the fleshe:
Deut.12.24	thou shalt not eate it, but powre it vpon the erth as water.
Deut.12.25	Se thou eate it not, that it maye go well wyth the, and wyth thy chyldren after the: But thou shalt do that, which is ryght in the syghte of the Lorde.
Deut.12.26	But thy holye thinges which thou hast, and thy vowes thou shalt take, Ꟶ come vnto the place which the Lorde hath chosen,
Deut.12.27	and thou shalt offer thy burntoffringes, both fleshe and bloude vpon the alter of the Lorde thy God, and the bloude of thyne offeringes shalbe powred out vpon the alter of the Lord thy God, Ꟶ thou shalt eate the flesh.
Deut.12.28	Take hede, Ꟶ heare all these wordes whych I commaunde the, that it maye go well wyth the, and wyth thy chyldren after the for euer, yf thou doest that whych is good and ryght in the syghte of the Lorde thy God.
Deut.12.29	When the Lorde thy God hath destroyed the nacyons before the, whether thou goest to conquere them, Ꟶ thou succedest in theyr inheritaunce, and dwellest in theyr lande:
Deut.12.30	Beware, that thou be not taken in a snare after them, after that they be destroyed before the, and that thou aske not after theyr Goddes, sayinge: howe dyd these nacyons serue their Goddes? I wyll do so lyke wise.
Deut.12.31	Nay, thou shalt not do so vnto the Lorde thy God: for all abhominacions, Ꟶ that whych the Lord hateth, the same haue they done vnto theyr Goddes. For they burne both theyr sonnes and theyr daughters wyth fyre before theyr Goddes.
Deut.12.32	Therfore whatsoeuer I commaunde you, that take hede ye do and put thou nought therto, nor take ought therfrom.
Deut.13.1	If there a ryse amonge you a prophete or a dreamer of dreames, and geue the a sygne, or a wonder,
Deut.13.2	and that sygne or wonder whych he hath sayde come to passe, and then saye: let vs go after straunge Goddes whych thou hast not knowen, and let vs serue them
Deut.13.3	herken not thou vnto the wordes of that prophete or dreamer of dreames. For the Lorde thy God proueth you, to wete, whether ye loue the Lorde youre God wyth all youre herte and with all your soule.
Deut.13.4	Ye shall walke after the Lorde youre God, and feare him, kepe his commaundmentes, and herken vnto hys voyce, serue him, and cleaue vnto hym.
Deut.13.5	And that prophete or dreamer of dreames shall dye, because he hath spoken to turne you a waye from the Lorde youre God, (which brought you out of the lande of Egypte, and delyuered you out of the house of bondage) to thrust the out of the waye, which the Lorde thy God commaunded the to walke in: and therfore thou shalt put the euell a waye from the.
Deut.13.6	If thy brother, the sonne of thy mother, or thyne awne sonne, or thy daughter, or the wyfe that lyeth in thy bosome, or thy frende which is as thyne awne soule vnto the, entice the secretly, saying: let vs go Ꟶ serue straunge Goddes, whych thou hast not knowen nor yet thy fathers,
Deut.13.7	And they be of the Goddes of the people which are rounde aboute you, whether they be nye vnto the or farre of from the, from the one ende of the erth vnto the other,
