John.0.0	¶ The Gospell of Sayncte Iohn.
John.6.61	Iesus knewe in him selfe, that his disciples murmured at it, Ꟶ he sayd vnto them: Doth this offende you?
John.6.62	What and yf ye shall se the sonne of man ascende vp thither where he was before?
John.6.63	It is the sprete that quyckeneth, the flesh proffyteth nothinge. The wordes that I speake vnto you, are sprete and lyfe.
John.6.64	But there are some of you that beleue not. For Iesus knewe from the begynninge, which they were, that beleued not, Ꟶ who shulde betraye him:
John.6.65	And he sayd: therfore sayde I vnto you: that noman can come vnto me, except it were geuen vnto hym of my father.
John.6.66	From that tyme many of his disciples went backe, and forsoke him, and walked nomore with hym.
John.6.67	Then sayde Iesus to the twelue: wyll ye also goo awaye?
John.6.68	Then Simon Peter answered him: Lord, to whom shall we go? Thou haste the wordes of eternall lyfe
John.6.69	and we beleue and are sure that thou art Chryst the sonne of the lyuinge God.
John.6.70	Iesus answereth them: Haue not I chosen you twelue, and one of you is a deuyll?
John.6.71	He spake of Iudas Iscarioth the sonne of Simon. For he it was, that shuld betraye hym, beynge one of the twelue.
John.7.1	After these thinges, Iesus went about in Galile: for he wolde not go aboute in Iewry because that the Iewes sought to kyll hym.
John.7.2	The Iewes feast of tabernacles was at hande.
John.7.3	Hys brethren therfore sayde vnto him: get the hence, and go into Iewry, that thy disciples also maye se thy worckes that thou doest.
John.7.4	For ther is no man that doeth eny thynge in secret, and he hym selfe seketh to be knowne openlye. If thou do soch thinges, shewe thy selfe to the world.
John.7.5	For his brethren beleued not in him.
John.7.6	Then Iesus sayde vnto them: My tyme is not yet come: but youre tyme is all waye ready.
John.7.7	The worlde cannot hate you. But me it hateth: because I testify of it, that the workes therof are euill.
John.7.8	Go ye vp vnto this feast, I will not go vp yet vnto this feast, for my tyme is not yet full come.
John.7.9	whan he had sayde these wordes vnto them he abode styll in Galile.
John.7.10	But as sone as his brethren were come, then went he also vp vnto the feast not openly: but as it were preuely.
John.7.11	Then sought him the Iewes at the feast, Ꟶ sayde: where is he?
John.7.12	And moch murmuringe was ther of him amonge the people. For some sayde: He is good, other sayde naye, but he deceaueth the people.
John.7.13	How be it no man spake openly of him, for feare of the Iewes.
John.7.14	Now whan halfe of the feast was done, Iesus went vp into the temple, and taught.
John.7.15	And the Iewes marueyled, saying: How knoweth he the scriptures, seynge that he neuer learned?
John.7.16	Iesus answered them, Ꟶ sayde: My doctryne hys not myne: but his that sent me.
John.7.17	If eny man wyll be obedient vnto his wyll, he shall knowe of the doctrine, whether it be of God, or whether I speake of my selfe.
John.7.18	He that speaketh of him selfe, seketh his awne prayse. But he that seketh hys prayse that sent him, the same is true, Ꟶ no vnryghtewesnes is in him.
John.7.19	Dyd not Moses geue you a lawe, Ꟶ yet none of you kepeth the lawe? Why go ye about to kyll me?
John.7.20	The people answered and sayde: thou hast the deuyll: who goeth aboute to kyll the?
John.7.21	Iesus answered, and sayde vnto them: I haue done one worcke, and ye all maruayle.
John.7.22	Moses therfore gaue vnto you the circuncisyon: not because it is of Moses, but of the fathers: And yet ye on the Saboth daye, circuncyse a man.
John.7.23	If a man on the Saboth daye receaue circumcysion without breakynge of the lawe of Moses: disdayne ye at me, because I haue made a man euery whit whoale on the Saboth daye?
John.7.24	Iudge not after the vtter aperaunce, but iudge with a ryghtewes iudgement.
John.7.25	Then sayde some of them of Ierusalem: is not this he, whom they go about to kyll?
John.7.26	But lo, he speaketh boldly, and they saye nothing to him. Do the rulers knowe in dede, that this is very Christ?
John.7.27	Howbeit we knowe this man whence he is: but when Christ cometh, no man knoweth whence he is.
John.7.28	Then cryed Iesus in the temple (as he taught) saying: ye both knowe me, and whence I am ye knowe. And I am not come of my selfe: but he that sent me is true, whom ye knowe not.
John.7.29	But I knowe him for I am of him, Ꟶ he hath sent me.
John.7.30	Then they sought to take him: but no man layde handes on him, because his houre was not yet come
John.7.31	Many of the people beleued on hym Ꟶ sayde: when Christ commeth, will he do moo myracles then these, that this man hath done?
John.7.32	The Pharises hearde that the people murmured suche thinges concernyng him And the pharises and hye prestes sent ministres to take him.
John.7.33	Then sayde Iesus vnto them: Yet am I a lytell whyle with you, and then go I vnto him that sent me.
John.7.34	Ye shall seke me, and shall not fynde me: Ꟶ where I am, thyther can ye not come.
John.7.35	Then sayde the Iewes among them selues: whither wyll he go, that we shall not fynde him? Wyll he go amonge the gentyls (whych are scattered abroade) and teach the gentyls:
John.7.36	What maner of saying is this that he sayd: ye shall seke me, Ꟶ shall not finde me: and where I am, thyther can ye not come?
John.7.37	In the last daye, that great daye of the feast Iesus stode, and cryed, sayinge: If eny man thyrst, lett him come vnto me, Ꟶ drincke.
John.7.38	He that beleueth on me (as sayeth the scripture) out of his belly shall flowe ryuers of water of lyfe.
John.7.39	But this spake he of the sprete, whych they that beleue on him, shulde receaue. For the holy goost was not yet there, because Iesus was not yet glorifyed.
John.7.40	Many of the people therfore (when they hearde this saying) sayd of a trueth this is a prophet:
John.7.41	but other sayde this is Christ. But some sayde: shal Christ come out of Galile:
John.7.42	Sayeth not the scripture, that Christ shall come of the seed of Dauid: and out of the towne of Bethleem where Dauid was?
John.7.43	So was ther dissencion amonge the people because of him.
John.7.44	And some of them wolde haue taken him but no man layed handes of him.
John.7.45	Then came the mynisters to the hye prestes and Pharises. And they sayed vnto them: why haue ye not brought him?
John.7.46	The mynisters answered: neuer man spake as this man doeth,
John.7.47	Then answered them the Pharises: are ye also disceaued?
John.7.48	Doth eny of the rulers or of the Pharises beleue on him?
John.7.49	But this comen people whych knowe not the lawe, are cursed,
John.7.50	Nicodemus sayeth vnto them (he that came to Iesus by nyght, Ꟶ was one of them)
John.7.51	Doth oure lawe iudge eny man, before it heare him, and knowe what he hath done?
John.7.52	They answered, and sayd vnto him: art thou also of Galile? Search Ꟶ loke, For out of Galile aryseth no Prophete.
John.7.53	And euery man went vnto his awne house.
John.8.1	Iesus went vnto mount olyuete,
John.8.2	and early in the mornynge he came agayne into the temple, and all the people cam vnto hym, Ꟶ he sate downe, Ꟶ taught them.
John.8.3	And the Scribes Ꟶ Pharises brought vnto hym a woman taken in aduoutry: Ꟶ whan they had set hir in the myddes,
John.8.4	they saye vnto hym: Master, thys woman was taken in aduoutry, euen as the dede was a doing.
John.8.5	Moses in the lawe commaunded vs, that suche shulde be stoned. But what sayest thou?
John.8.6	This they sayde to tempt him that they myght accuse him. But Iesus stouped downe, and with his fynger wrote on the grounde.
John.8.7	So, whan they contynued askynge him, he lyfte him selfe vp, and sayde vnto them: let him that is amonge you without synne, cast the fyrst stone at her.
John.8.8	And agayne he stowped downe, Ꟶ wrote on the grounde.
John.8.9	And assone as they hearde this, they went out one by one, begynning at the eldest. And Iesus was lefte alone, Ꟶ the woman standynge in the myddes.
John.8.10	When Iesus had lyfte vp him selfe, and sawe no man, but the woman, he sayde vnto hir: woman, where are those thyne accusars? Hath no man condempned the?
John.8.11	She sayde: No man, Lorde. And Iesus sayde. Nether do I condempne the. Go and synne nomore.
John.8.12	Then spake Iesus agayne vnto them, saying: I am the lyght of the worlde. He that foloweth me, doth not walke in darcknes but shall haue the light of lyfe.
John.8.13	The Pharises therfore sayde vnto him: thou hearest recorde of thy selfe, thy recorde is not true.
John.8.14	Iesus answered, Ꟶ sayde vnto them: though I beare recorde of my selfe, yet my recorde is true: for I knowe whence I cam, and whither I go. But ye cannot tell whence I come, and whither I go.
John.8.15	Ye iudge after the flesshe I iudge no man.
John.8.16	And yf I iudge, my iudgement is true. For I am not alone: but I Ꟶ the father that sent me.
John.8.17	It is also wrytten in youre lawe, that the testimony of two men is true.
John.8.18	I am one that beareth wytnes of my selfe, Ꟶ the father that sent me, beareth wytnes of me.
John.8.19	Then sayde they vnto him: where is thy father? Iesus answered: ye nether knowe me, nor yet my father: If ye had knowen me, ye shulde haue knowen my father also.
John.8.20	These wordes spake Iesus in the tresury as he taught in the temple, and no man layde handes on hym for his houre was not yet come.
John.8.21	Then sayde Iesus agayne vnto them: I go my waye, Ꟶ ye shall seke me, Ꟶ shall dye in youre synnes. Whyther I go, thyther can ye not come.
John.8.22	Then sayde the Iewes: will he kyll him selfe, because he sayth: whyther I go, thyther can ye not come?
John.8.23	And he sayde vnto them: ye are from beneth, I am from aboue. Ye are of this world, I am not of this world,
John.8.24	I sayd therfore vnto you, that ye shal dye in youre synnes. For yf ye beleue not that I am he, ye shall dye in youre synnes.
John.8.25	Then sayd they vnto him. who arte thou? And Iesus sayeth vnto them: Euen the very same thing that I speake vnto you.
John.8.26	I haue many thinges to saye, and to iudge of you: Yee, Ꟶ he that sent me, is true. And I speake in the world, those thinges, which I haue hearde of hym.
John.8.27	Howebeit they vnderstode not that he spake of his father.
John.8.28	Then sayd Iesus vnto them: when ye haue lyft vp an hye the sonne of man, then shall ye knowe, that I am he, and that I do nothinge of my selfe: but as my father hath taught me, euen so I speake these thinges:
John.8.29	and he that sent me, is wt me. The father hath not lefte me alone, for I do all wayes those thinges that please him.
John.8.30	As he spake these wordes, many beleued on him. Then sayde Iesus to those Iewes, which beleued on him:
John.8.31	If ye continue in my worde, then are ye my very disciples,
John.8.32	and ye shall knowe the trueth: and the trueth shall make you free.
John.8.33	They answered him: We be Abrahams seed, and were neuer bonde to eny man: how sayest thou then: ye shalbe made fre?
John.8.34	Iesus answered them: verely, verely I saye vnto you, that whosoeuer committeth sinne,
John.8.35	is the seruaunte of sinne. And the seruaunt abydeth not in the house for euer.
John.8.36	But the sonne abydeth euer. If the sonne therfore shal make you fre, then are ye fre in dede.
John.8.37	I knowe that ye are Abrahams seed: but ye seke meanes to kill me, because my word hath no place in you.
John.8.38	I speake that which I haue sene with my father: and ye do that, which ye haue sene with youre father.
John.8.39	They answered and sayde vnto him: Abraham is oure father. Iesus sayeth vnto them: If ye were Abrahams children, ye wolde do the dedes of Abraham.
John.8.40	But now ye go aboute to kyll me, a man that hath tolde you the trueth whych I haue heard of God: this dyd not Abraham.
John.8.41	Ye do the dedes of youre father. Then sayde they to him: we were not borne of fornicacion. We haue one father, euen God.
John.8.42	Iesus sayd vnto them: yf God were youre father, truly ye wolde loue me. For I proceaded forth, and came from God. Nether came I of my selfe, but he sent me:
John.8.43	Why do ye not knowe my speache? Euen because ye can not abyde the hearing of my worde.
John.8.44	Ye are of youre father that deuyll, and the lustes of youre father will ye serue. He was a murtherer from the beginninge and abode not in the trueth, because there is no trueth in him. When he speaketh a lye, he speaketh of his awne. For he is a lyar, and the father of the same thing:
John.8.45	And because I tell you the trueth, therfore ye beleue me not.
John.8.46	Which of you rebuketh me of synne? If I saye the trueth, why do not ye beleue me?
John.8.47	He that is of God, heareth Goddes wordes. Ye therfore beare them not, because ye are not of God.
John.8.48	Then answered the the Iewes, and sayd vnto him: Saye we not well, that thou art a Samaritan, and hast the deuyll?
John.8.49	Iesus answered: I haue not the deuyll: but I honoure my father, and ye haue dishonored me.
John.8.50	I seke not myne awne prayse: ther is one that seketh, and iudgeth.
John.8.51	Uerely verely, I saye vnto you: yf a man kepe my saieng, he shall neuer se deeth.
John.8.52	Then sayd the Iewes vnto him: Now knowe we that thou hast the deuyll. Abraham is deed, and the prophetes, and thou sayest: yf a man kepe my saying, he shal neuer taste of death.
John.8.53	Art thou greater then our father Abraham, which is deed? and the prophetes are deed. Whom makest thou thy selfe?
John.8.54	Iesus answered: If I honoure my selfe, myne honour is nothinge. It is my father that honoureth me, which ye saye, is your God,
John.8.55	Ꟶ yet ye haue not knowen hym: but I knowe him. And yf I saye, I knowe him not, I shalbe a lyar lyke vnto you. But I knowe him, and kepe his sayinge.
John.8.56	Your father Abraham was glad to se my daye: and he sawe it, Ꟶ reioysed.
John.8.57	Then sayd the Iewes vnto him: thou art not yet .l. yere olde, and hast thou sene Abraham?
John.8.58	Iesus sayd vnto them: Uerely verely, I saye vnto you: yer Abraham was borne, I am.
John.8.59	Then toke they vp stones, to cast at hym: But Iesus hyd him selfe, and went out of the temple.
John.9.1	And as Iesus passed by, he sawe a man, which was blynde from hys byrth.
John.9.2	And his discyples asked him sayinge: Master, who dyd synne, this man, or hys father and mother, that he was borne blynd?
John.9.3	Iesus answered: Nether hath this man sinned, nor yet his father and mother: but that the worckes of God shulde be shewed in hym.
John.9.4	I must, worcke the worckes of hym that sent me, whyle it is daye. The nyght commeth, when no man can worcke.
John.9.5	As longe as I am in the worlde. I am the lyght of the worlde.
John.9.6	Assone as he had thus spoken, he spat on the ground, and made claye of the spetle, and rubbed the claye on the eyes of the blynde,
John.9.7	Ꟶ sayd vnto him: Go, wesshe the in the pole of Siloe, which (by interpretacion) is asmoche to saye as, sent. He went his waye therfore, and wasshed, Ꟶ came agayne, seinge:
John.9.8	So the neyghboures and they that had sene him before (how that he was a begger) said: is not this he that sat and begged?
John.9.9	Some sayd: this is he. Agayne, other sayd he is lyke hym. He hym selfe sayde: I am euen he.
John.9.10	Therfore sayde they vnto hym: Howe are thyne eyes opened?
John.9.11	He answered and sayde: The man that is called Iesus, made claye, and anoynted myne eyes, and sayd vnto me: Go to the pole Siloe, and wasshe. And whan I went Ꟶ wesshed, I receaued my syght.
John.9.12	Then sayd they vnto him: where is he? He sayde: I cannot tell.
John.9.13	They brought to the pharises, hym that a lytell before was blynde:
John.9.14	and it was the Sabboth daye, when Iesus made the claye, and opened hys eyes.
John.9.15	Then agayne the pharises also asked hym, howe he had receaued his syght. He sayd vnto them: he put claye vpon myne eyes, and I wasshed, and do se.
John.9.16	Therfore sayd some of the pharises: thys man is not of God, because he kepeth not the Saboth daye. Other sayde: howe can a man that is a synner, do such myracles? And ther was a stryfe amonge them.
John.9.17	They spake vnto the blynde man agayne: What sayst thou of him, because he hath opened thyne eyes? He sayd: He is a prophete.
John.9.18	But the Iewes dyd not beleue of the man (how that he had bene blynde, and receaued hys syght) vntyll they called the father and mother of him that had receaued hys syght.
John.9.19	And they asked them, saying: Is thys youre sonne, whom ye saye was borne blynde? How doth he now se then?
John.9.20	His father and mother answered them, and sayde: we knowe, that thys is oure sonne, and that he was borne blynde:
John.9.21	but by what meanes he nowe seeth, we cannot tell. Or who hath opened his eyes, cannot we tell He is olde ynough, aske him, let hym answere for hym selfe.
John.9.22	Suche wordes spake hys father and mother, because they feared the Iewes. For the Iewes had conspyred all ready, that yf eny man dyd confesse that he was Christ, he shulde be excommunicat out of the synagoge.
John.9.23	Therfore sayd hys father and mother: he is olde ynough, aske him.
John.9.24	Then agayne called they the man that was blynde, and sayd vnto hym: Geue God the prayse: we knowe that thys man is a synner.
John.9.25	He answered therfore, and sayde: Whyther he be a synner or no, I cannot tell. One thynge I am sure of: that where as I was blynde, nowe I se.
John.9.26	Then sayde they to hym agayne: What dyd he to the? How opened he thyne eyes?
John.9.27	He answered them: I tolde you yer whyle, and ye dyd not heare. Wherfore wold ye heare it agayne? Wyll ye also be his disciples?
John.9.28	Then rated they hym, Ꟶ sayd: Be thou hys disciple. We are Moses disciples.
John.9.29	We are sure, that God spake vnto Moses. As for this felowe, we knowe not from whence he is.
John.9.30	The man answered, and sayde vnto them: this is a maruelous thing, that ye wote not from whence he is, and yet he hath opened myne eyes.
John.9.31	For we be sure, that God heareth not synners. But yf eny man be a worshipper of God, and obedient vnto his wyl, him heareth he.
John.9.32	Sence the world began was it not hearde, that eny man opened the eyes of one that was borne blynde.
John.9.33	If thys man were not of God, he coulde haue done nothing.
John.9.34	They answered, and sayd vnto hym: thou art al together borne in synne, and dost thou teach vs? And they cast him out.
John.9.35	Iesus heard that they had excommunicate hym: and when he had founde hym, he sayde vnto hym: doest thou beleue on the sonne of God?
John.9.36	He answered and sayd: Who is it Lord that I myght beleue on him?
John.9.37	And Iesus said vnto him: Thou hast sene him, and he it is that talketh with the.
John.9.38	And he sayd: Lord, I beleue, and he worshipped hym.
John.9.39	And Iesus sayd vnto him: I am come vnto iudgement into this worlde: that they which se not, myght se: and that they which se, might be made blynde.
John.9.40	And some of the pharises which were with him, hearde these wordes, and sayd vnto him: are we blynde also?
John.9.41	Iesus sayd vnto them: If ye were blynde, ye shulde haue no synne. But now ye saye: we se, therfore your synne remayneth.
John.10.1	Uerely verely, I saye vnto you: he that entreth not in by the dore into the shepefolde, but clymeth vp some other waye, the same is a thefe and a murthurer.
John.10.2	But he that entreth in by the dore, is the shepherde of the shepe:
John.10.3	to hym the porter openeth, Ꟶ the shepe heare hys voyce, and he calleth his awne shepe by name, and leadeth them out.
John.10.4	And when he hath sent forth his awne shepe, he goeth before them, and the shepe folow him: for they knowe his voyce.
John.10.5	A straunger will they not folowe, but wyll flye from him: for they knowe not the voyce of straungers.
John.10.6	Thys prouerbe spake Iesus vnto them. But they vnderstode not what thinges they were, which he spake vnto them.
John.10.7	Then sayd Iesus vnto them agayne: Uerely verely, I saye vnto you: I am the dore of the shepe.
John.10.8	All (euen as many as came before me) are theues Ꟶ murthurers: but the shepe dyd not heare them.
John.10.9	I am the dore: by me yf any man entre in, he shalbe safe, and shall go in and out, and fynde pasture.
John.10.10	A thefe commeth not but for to steale, kyll, and to destroye. I am come, that they might haue life, and that they myght haue it more aboundantly.
John.10.11	I am the good shepeherd. A good shepherde geueth hys lyfe for the shepe.
John.10.12	An hyred seruaunt, and he which is not the shepeherd (nether the shepe are his awne) seeth the wolfe comminge, and leaueth the shepe, and flieth, and the wolfe catcheth, and scattereth the shepe.
John.10.13	The hyred seruaunt flyeth, because he is an hired seruaunt, and careth not for the shepe.
John.10.14	I am the good shepheard, and knowe my shepe, and am knowen of myne.
John.10.15	As my father knoweth me, euen so knowe I also my father. And I geue my lyfe for the shepe:
John.10.16	Ꟶ other shepe I haue, which are not of thys fold. Them also must I bring, and they shall heare my voyce, and ther shalbe one fold and one shephearde.
John.10.17	Therfore doth my father loue me, because I put my lyfe from me, that I myght take it agayne.
John.10.18	No man taketh it from me: but I put it awaye of my self. I haue power to put it from me, and I haue power to take it agayne. Thys commaundement haue I receaued of my father.
John.10.19	There was a dissencyon therfore agayne amonge the Iewes for these sayinges,
John.10.20	and many of them sayd: He hath the deuel, and is madd: why heare ye him?
John.10.21	Other sayde: these are not the wordes of him that hath the deuyll. Can the deuyll open the eyes of the blynde?
John.10.22	And it was at Ierusalem the feaste of the dedicacyon, and it was winter:
John.10.23	and Iesus walked in the temple, euen in Salomons porche.
John.10.24	Then cam the Iewes rounde about him, and sayd vnto him: Howe longe dost thou make vs doute? If thou be Christ, tell vs playnely.
John.10.25	Iesus answered them: I tolde you, and ye beleue not. The worckes that I do in my fathers name, they beare witnesse of me.
John.10.26	But ye beleue not, because ye are not of my shepe. As I sayd vnto you:
John.10.27	my shepe heare my voyce: and I knowe them, Ꟶ they folowe me,
John.10.28	and I geue vnto them eternall lyfe, and they shall neuer perissh, nether shall eny man plucke them oute of my hande.
John.10.29	My father which gaue them me, is greater then all, and no man is able to take them oute of my fathers hand.
John.10.30	I and my father are one.
John.10.31	Then the Iewes agayne toke vp stones, to stone hym with all.
John.10.32	Iesus answered them: many good worckes haue I shewed you from my father: for which of them do ye stone me?
John.10.33	The Iewes answered him, sayeng: For thy good worckes sake we stone thou not, but for thy blasphemy, and because that thou beynge a man, makest thy selfe God:
John.10.34	Iesus answered them: Is it not wrytten in youre lawe I sayde, ye are goddes?
John.10.35	If he called them goddes, vnto whom the word of God was spoken (and the scripture cannot be broken
John.10.36	concernynge hym whom the father hath sanctifyed, and sent into the worlde) Do ye saye that I blaspheme because I sayde, I am the sonne of God?
John.10.37	If I do not the worckes of my father, beleue me not.
John.10.38	But yf I do, and yf ye beleue not me, beleue the worckes: that ye maye knowe and beleue, that the father is in me, and I in him.
John.10.39	Agayne they went about to take hym: Ꟶ he escaped out of their hande,
John.10.40	Ꟶ went awaye agayne beyonde Iordan, into the place wher Iohn before had baptysed, and there he abode.
John.10.41	And many resorted vnto him, and sayd: Iohn dyd no myracle, but all thynges that Iohn spake of this man were true.
John.10.42	And many beleued on him there.
John.11.1	A certen man was syck, named Lazarus of Bethania the towne of Mary, and her syster Martha.
John.11.2	It was that Mary which anoynted Iesus with oyntment, and wyped his fete wt her hear, whose brother Lazarus was sick.
John.11.3	Therfore, his syster sent vnto him, saying: Lord, beholde, he whom thou louest, is sicke.
John.11.4	Whan Iesus herd that, he sayde: this infirmitie is not vnto death: but for the prayse of God, that the sonne of God myght be praysed by the reason of it.
John.11.5	Iesus loued Martha and her sister and Lazarus.
John.11.6	Whan he had heard therfore, that he was sycke, he abode two dayes styll in the same place where he was.
John.11.7	Then after that, sayd he to his disciples: let vs go into Iewry agayne.
John.11.8	Hys disciples sayde vnto hym: Master, the Iewes lately sought to stone the, and wylt thou go thyther agayne?
John.11.9	Iesus answered: are there not .xij. houres of the daye? If a man walke in the daye, he stombleth not, because he seeth the light of this worlde.
John.11.10	But yf a man walke in the nyght, he stombleth, because there is no lyght in him.
John.11.11	This sayd he, and after that he sayd vnto them: our frende Lazarus slepeth: but I go to wake him out of slep.
John.11.12	Then said his disciples: Lord, yf he slepe, he shal do wel ynough.
John.11.13	Howbeit, Iesus spake of his death: but they thought, that he had spoken of the naturall slepe.
John.11.14	Then sayde Iesus vnto them playnely. Lazarus is deed,
John.11.15	and I am glad for your sakes, that I was not there, because ye maye beleue. Neuertheles, let vs go vnto him.
John.11.16	Then sayd Thomas (which is called Dydimus) vnto the disciples: lett vs also go, that we maye dye with hym.
John.11.17	Then went Iesus, and founde that he had lyen in hys graue foure dayes allready.
John.11.18	Bethanie was nye vnto Ierusalem, about fyftene furlonges of,
John.11.19	and many of the Iewes came to Martha Ꟶ Mary to comforte them ouer their brother.
John.11.20	Martha assone as she heard that Iesus was commynge, went and met hym: but Mary sate styll in the house.
John.11.21	Then sayd Martha vnto Iesus: Lord, yf thou haddest bene here, my brother had not dyed:
John.11.22	neuerthelesse, nowe I knowe that whatsoeuer thou askest of God, God wyll geue it the.
John.11.23	Iesus sayth vnto her: Thy brother shall ryse agayne.
John.11.24	Martha sayeth vnto hym: I knowe that he shall ryse agayne in the resurreccyon at the last daye.
John.11.25	Iesus sayth vnto her: I am the resurreccyon and the lyfe: He that beleueth on me, ye though he were deed, yet shall he lyue.
John.11.26	And whosoeuer lyueth and beleueth on me, shall neuer dye: Beleuest thou this?
John.11.27	She sayd vnto him: yee Lorde, I beleue that thou art Christ the sonne of God, which shuld come into the world.
John.11.28	And assone as he had so sayde, she wente her waye, Ꟶ called Mary her syster secretly, saying: The master is come, and calleth for the.
John.11.29	Assone as she heard that, she arose quyckly, and came vnto him.
John.11.30	Iesus was not yet come into the towne: but was in that place where Martha met hym.
John.11.31	The Iewes then which were with her in the house and comforted her, (when they sawe Mary that she rose vp hastely, and went out) folowed her, saieng: She goeth vnto the graue, to wepe there.
John.11.32	Then when Mary was come wher Iesus was, and sawe hym, she cometh nye vnto his fete, and sayth vnto him: Lorde, yf thou haddest bene here, my brother had not bene deed.
John.11.33	When Iesus therfore sawe her wepe (and the Iewes also weping which came wt her) he groned in the sprete, and was troubled in him selfe,
John.11.34	and sayde: Where haue ye layed him? They saye vnto him: Lorde, come, and se.
John.11.35	And Iesus wept.
John.11.36	Then sayd the Iewes Behold, howe he loued hym.
John.11.37	And som of them sayde: coulde not he which opened the eyes of the blynde, haue made also, that this man shulde not haue dyed?
John.11.38	Iesus therfore agayne groned in him self, and came to the graue. It was a caue, and a stone layde on it.
John.11.39	Iesus sayd: take ye awaye the stone. Martha the sister of him that was deed, sayd vnhym: Lorde, by this tyme he styncketh. For he hath bene deed foure dayes.
John.11.40	Iesus sayeth vnto her: Sayd I not vnto the, that yf thou dydest beleue, thou shuldest se the glorye of God?
John.11.41	Then they toke awaye the stone from the place where he that had bene deed, was layde. And Iesus lyft vp his eyes, and sayd: Father, I thanke the, that thou hast hearde me.
John.11.42	Howbeit, I knewe, that thou hearest me allwayes: but because of the people which stande by. I sayde it, that they maye beleue, that thou hast sent me.
John.11.43	And when he thus had spoken, he cryed wt a loud voyce: Lazarus, come forth.
John.11.44	And he that was deed, came forth, bounde hande Ꟶ fote wt graue clothes, Ꟶ his face was bound with a napkin. Iesus sayd vnto them: loose him, Ꟶ let him go.
John.11.45	Then many of the Iewes which came to Mary (and had sene the thynges which Iesus dyd) beleued on hym.
John.11.46	But some of them went theyr wayes to the pharises, Ꟶ tolde them what Iesus had done.
John.11.47	Then gathered the hye prestes Ꟶ the pharises a councel, Ꟶ sayd: what do we? For this man doth many miracles.
John.11.48	If we lett hym scape thus, al men will beleue on him, and the Romayns shall come, and take awaye both our rowme and the people.
John.11.49	And one of them named Caiphas (being the hye preste that same yere) sayd vnto them: Ye perceaue nothynge at all, nor consyder,
John.11.50	that it is expedient for vs, that one man dye for the people, and not that all the people perysshe.
John.11.51	Thys spake he not of him selfe, but beynge hye preste that same yere, he prophesied that Iesus shulde dye for the people,
John.11.52	and not for the people onely, but that he shuld gather together in one, the children of God, that were scatered abrode.
John.11.53	Then from that daye forth they toke councel together, for to put him to death.
John.11.54	Iesus therfore walked nomore openly among the Iewes: but went his waye thence vnto a countre nye to a wildernes, into a cytie which is called Ephraim, and there contynued wt his disciples.
John.11.55	And the Iewes Easter was nye at hand, Ꟶ many went out of the countre vp to Ierusalem before the Easter, to purify them selues.
John.11.56	Then sought they for Iesus, Ꟶ spake among them selues, as they stode in the temple: What thinke ye, seyng he commeth not to the feaste daye?
John.11.57	The hye prestes and pharises had geuen a commaundement, that yf eny man knewe wher he were, he shuld shewe it, that they myght take him.
John.12.1	Then Iesus (syxe dayes before Easter) came to Bethany, wher Lazarus had ben deed, whome he raysed from death.
John.12.2	Ther they made hym a supper, and Martha serued, but Lazarus was one of them that sate at the table wt him.
John.12.3	Then toke Mary a pound of oyntment (called Nardus, perfecte and precious) and anoynted Iesus fete, and wyped his fete with her hear, Ꟶ the house was fylled with the odoure of the oyntment.
John.12.4	Then sayd one of his disciples: (euen Iudas Iscarioth Simons sonne, which afterward betrayed him)
John.12.5	why was not this oyntement solde for thre hundred pence, and geuen to the poore?
John.12.6	This he sayd, not that he cared for the pore but because he was a thefe, and had the bagge, Ꟶ bare that which was geuen.
John.12.7	Then sayd Iesus: Let her alone, against the daye of my buryinge hath she kept this.
John.12.8	For the poore allwayes shall ye haue with you, but me haue ye not allwaye.
John.12.9	Moche people of the Iewes therfore had knowledge that he was ther. And they came not for Iesus sake onely, but that they myghte se Lazarus also whom he raysed from death.
John.12.10	But the hye prestes helde a councell, that they myght put Lazarus to death also,
John.12.11	because that for his sake many of the Iewes went awaye and beleued on Iesus.
John.12.12	On the next daye moch people that were come to the feaste, when they hearde that Iesus shuld come to Ierusalem,
John.12.13	toke braunches of palme trees, and went forth to mete hym, and cryed: Hosanna, blessed is he that in the name of the Lorde, commeth Kyng of Israell.
John.12.14	And Iesus got a yonge asse, and sate theron, as it is wryten:
John.12.15	feare not daughter of Syon, beholde, thy Kynge commeth, sytting on an asses colte.
John.12.16	These thinges vnderstode not his disciples at the fyrst: but when Iesus was glorifyed, then remembred they that soch thinges were wryten of him, and that soche thynges they had done vnto hym.
John.12.17	The people that was with hym (when he called Lazarus out of his graue, and raysed hym from death) bare recorde.
John.12.18	Therfore mete hym the people also, because they hearde that he had done soche a miracle.
John.12.19	The pharises therfore sayd among them selues: perceaue ye, howe we preuayle nothing? behold, worlde goeth after him.
John.12.20	Ther were certen Grekes amonge them, that came to worshyp at the feaste:
John.12.21	the same cam therfore to Philip (which was of Bethsaida a cytie in Galile) and desyred hym, saying: Syr, we wolde fayne se Iesus.
John.12.22	Philip came and tolde Andrew. And agayne Andrew and Philip told Iesus.
John.12.23	And Iesus answered them, sayinge: the houre is come, that the sonne of man must be glorifyed.
John.12.24	Uerely verely, I saye vnto you except the wheat corne fall into the ground, Ꟶ dye, it bydeth alone. If it dye, it bryngeth forth moch frute.
John.12.25	He that loueth hys lyfe, shall destroye it: and he that hateth hys lyfe in thys world, shal kepe it vnto lyfe eternall.
