Isa.0.0	¶ The booke of the prophete Esay
Isa.19.3	The mynde also of Egipte shalbe cleane without councell within it selfe, Ꟶ the deuyce that they take, wyll I destroye, so that they shall seke councell at ydols Ꟶ at sorcerers, at workers with spretes Ꟶ at sothsayers.
Isa.19.4	And the Egypcians will I geue ouer into the hande of a maruelous cruell Lorde, Ꟶ a myghtie kynge shall haue dominion ouer them, sayeth the Lord God of hostes.
Isa.19.5	The waters of the see shal fayle, Ꟶ the ryuer shall decreace and be dryed vp.
Isa.19.6	The waters shalbe drawen out: the ryuers of Egypte shalbe emptyed Ꟶ dryed vp, the redes and flagges shalbe cut downe.
Isa.19.7	The grasse in the ryuer Ꟶ by the ryuers banck, Ꟶ all that groweth by the ryuer shal wither awaye, and be brought to naught.
Isa.19.8	The fysshers also shal mourne and all they that cast angle into the water, shal make lamentacion, and they that laye forth theyr nett besyde the waters, shalbe roted out.
Isa.19.9	Morouer, they that worke in flaxe, and make fyne workes, shall be confounded, and so shall they that weaue open workes.
Isa.19.10	For theyr open workes shalbe euen destroyed, and all they that make pondes and stewes for fish shall come to naught.
Isa.19.11	But ye foolish prynces of zoan, ye wyse councelours of Pharao, whose wit is turned to foolyshnes, how saye ye vnto Pharao: I am come of wyse men Ꟶ of auncient kynges?
Isa.19.12	Wher ar they? where are (I saye) thy wyse men? Let them tell the (yf they can) what the lord of hoostes hath deuysed vpon Egypte.
Isa.19.13	The prynces of zoan are become fooles, the prynces of Noph are disceaued, they haue disceaued Egypte, euen they that were taken for the chefe kynred therof.
Isa.19.14	In the myddes of it hath the lord powred the sprete of wyckednes, and they haue disceaued Egypt in euery worke therof, euen as a droncken man stackereth in his vomyte.
Isa.19.15	Nether shall the heade or tayle, the braunch or rede be able to do anye worke in Egipte.
Isa.19.16	In that daye shall Egypte be lyke vnto women: It shalbe afrayed and stonde in feare at the mocyon of the hand of the Lorde of hostes, which he shaketh ouer it.
Isa.19.17	And Egipt shalbe afrayed of the land of Iuda: so that euery one which maketh mencyon of it, shalbe afrayed therat, because of the councell of the Lord of hoostes which he deuyseth for it.
Isa.19.18	In that daye shall fyue cities in the land of Egypte speake the language of Canaan, Ꟶ swere by the Lord of hoostes: the citye of desolacion shalbe called one of them.
Isa.19.19	In that daye shall the altare of the Lord be in the myddes of the land of Egypt, Ꟶ thys tytle besyde it: VNTO THE LORDE.
Isa.19.20	And it shalbe a token and witnesse vnto the Lord of hoostes in the lande of Egypte. For they shall crye vnto the Lorde because of such as trouble them, Ꟶ he shall send them a Sauiour Ꟶ a great man to delyuer them.
Isa.19.21	And the Lord shalbe knowne in Egipte, and the Egypcians shall knowe the Lord in that daye, and do sacrifice and oblation: yee they shall vowe a vowe vnto the Lord, and perfourme it.
Isa.19.22	The lord also that smyte Egypte sore, Ꟶ heale them agayne, Ꟶ they shalbe conuerted vnto the Lord, and he shalbe intreated of them, Ꟶ shall heale them.
Isa.19.23	In that daye shall there be a comen waye out of Egypte into Assyria, and Assyria shall come into Egypte, Ꟶ Egypte in to Assyria, so that the Egypcians and the Assyrians shall serue the Lorde together.
Isa.19.24	In that daye shal the nacion of Israel be the thyrde wyth Egypte Ꟶ Assyria,
Isa.19.25	and they shalbe blessed in the myddes of the lande, which lande the Lord of hoostes hath blessed, sayeng: blessed is my people of Egypte, Assur also is the worke of myne handes, and Israel is myne inheritaunce.
Isa.20.1	In the yeare that Tharthan came vnto Asdod (whan Sargon the kyng of Assyria had sent him) and had foughte agaynst Asdod and taken it.
Isa.20.2	At the same tyme spake the Lorde by the hande of Esay the sonne of Amos, sayeng: Go and take of the sacke clothe from thy loynes, Ꟶ put of thy shooe from thy foote. And he dyd so, walkynge naked and bare foote.
Isa.20.3	And the Lord sayde: lyke as my seruaunt Esay hath walked naked, and bare fote for a signe and wonder thre yeares vpon Egypte, and Ethiopia:
Isa.20.4	Euen so shall the kynge of Assyria take awaye out of Egypte and out of Ethiopia, chyldren and olde men, naked and bare fote wyth their loynes vncouered, to the greate shame of Egypte.
Isa.20.5	They shalbe brought in feare also, Ꟶ asshamed one of another: Ethiopia of Egypte, and Egypte of Ethiopia, considerynge what glory they were in a fore.
Isa.20.6	And they that dwell in the same yle, shal saye in that daye: Beholde, thus are we regarded. Whither shall we flye for helpe, that we maye be delyuered from the kyng of Assyria? And howe shall we escape?
Isa.21.1	The burthen of the wayst see: Euen as the stormy wether that passeth thorow at the noone daye, to come from the wyldernesse, from that horrible lande.
Isa.21.2	A greuous vision was shewed vnto me: Let one dysceatfull offender come agaynst another, Ꟶ one destroyer agaynst another. Up Elam, laye sege thou of Media all their gronynge haue I layed downe.
Isa.21.3	Therfore are my loynes fylled with sorow, heuynes, hath taken holde vpon me, as the panges of a woman that is traueyling. It made me stoupe when I herde it, Ꟶ it vexed me whan I sawe it.
Isa.21.4	My hart panted, fearfulnes came vpon me. The nyght of my volupteousnes hath he turned agaynst me into feare.
Isa.21.5	Whyle they garnished the table, the watch man loked: And while I was eatynge and drynkyng (it was sayde:) vp ye captaynes, take you to your shylde.
Isa.21.6	For thus hath the Lord sayd vnto me: Go and set a watch man, to tell what he seyth.
Isa.21.7	And he sawe a charet, which two horsmen sat vpon, with the cariage of an Asse, and the cariage of a camell.
Isa.21.8	So he loked Ꟶ toke very diligent hede. And the lyon cried, Lord, I stonde wayting all the whole daye, Ꟶ am appointed to kepe my watch euery nyght.
Isa.21.9	And beholde, here commeth a charet of men, with two horsmen And he answered Ꟶ sayde: Babylon is fallen, it is fallen, Ꟶ all the ymages of hyr goddes hath he smytten downe vnto the grounde.
Isa.21.10	Thou art he whom I must threshe, and thou belongest to my corne floore. This that I herde of the Lorde of hoostes the God of Israel haue I shewed vnto you.
Isa.21.11	The burthen of Duma: he calleth vnto me out of Seir: Watchman, what hast thou espyed by nyght? Watchman, what hast thou espyed by nyght?
Isa.21.12	The watchman sayde: The mornynge commeth, Ꟶ so doth the nyght. Yf ye wyll aske anye question, then aske it, retourne and come agayne.
Isa.21.13	The burthen concernyng Arabia: In the pleasaunt grounde of Arabia shal ye tary all nyght, euen in the stretes of Dedanin.
Isa.21.14	The inhabitours of the lande of Thema brought forth water to him that was thyrstie, they preuented him with their bred that was fled awaye.
Isa.21.15	For because of swerdes are they become fugitiue, euen for the drawen swerde, and for the bent bowe, Ꟶ because of the greuousnes of warre.
Isa.21.16	For thus hath the lorde sayde vnto me: There is yet a yeare accordynge to the yeares of an hyred seruaunt, Ꟶ all the glory of Cedar shall fayle.
Isa.21.17	And the nombre of them that shall escape from the bowes, shall be mynisshed by the myghtye chyldren of Cedar, for so the Lorde God of Israel hath spoken.
Isa.22.1	The burthen of the valley of vision: What hast thou to do here, that thou clymest vnto the house toppes?
Isa.22.2	Thou that art full of occupieng, thou sedicious Ꟶ proude citye: thy slayne men are nether put to death wyth swerde, ner deed in batell.
Isa.22.3	All thy captaynes are fugitiue together, the archers haue taken them presoners: All they that are founde in the, are in captiuyte together, because they fled farre of.
Isa.22.4	Therfore sayd I: let me alone Ꟶ I wyll make lamentacion. Ye shall not be able to comforte me, because of the destruccyon of the daughter of my people.
Isa.22.5	For thys is a daye of trouble, of ruyne, Ꟶ of destruccyon that the Lorde wyll bryng to passe in the valley of vision, breakyng downe the citye, Ꟶ cryeng vnto mountaynes.
Isa.22.6	Elam bare the quyuer wt a charet of fote men and of horsmen, and the cytye of Kyr shewed the shylde open.
Isa.22.7	Thy chefe valley also was full of charetes, and the horsmen set theyr faces directly towarde the gate.
Isa.22.8	And in that daye dyd the enemye take awaye the bewtye of Iuda, and then dyddest thou loke towarde the armoure of the house of the forest.
Isa.22.9	Yee haue sene also the broken places of the citye of Dauid, how that they are many, Ꟶ ye gathered together the waters of the lower pole.
Isa.22.10	As for the houses of Ierusalem ye haue nombred them, and the houses haue ye broken downe to make the wall strong.
Isa.22.11	A pytt also haue ye made betwene the two walles, for the waters of the olde pole, and haue not regarded the maker therof, nether had respecte vnto him that toke it in hande.
Isa.22.12	And in that daye dyd the Lorde God of hoostes call men vnto wepyng and mournyng, to baldnesse Ꟶ gyrdyng aboute wyth sack cloth.
Isa.22.13	And Behold, they haue ioye and gladnesse, slayeng oxen Ꟶ kylling shepe eatyng flesh Ꟶ drynkyng wyne: Let vs eate and drynke: for tomorowe we shal dye
Isa.22.14	And it came to the eares of the Lord of hoostes: This iniquite shall not be pourged from you till ye dye, sayeth the lord God of hostes.
Isa.22.15	Thus sayeth the Lord God of hostes: Go, get the into younder treasurer, euen vnto Sebna, which is the ruler of the house.
Isa.22.16	What hast thou to do here? and whom hast thou here, that thou shuldest here hewe the out a sepulcre, as it were one that heweth hym out a sepulcre an hye, or that graueth an habitacion for him self in a hard rock?
Isa.22.17	Beholde, O thou man, the Lord shall carye the awaye into captiuite, Ꟶ shall surely couer the with confusion.
Isa.22.18	The Lord shall turne the ouer lyke a ball with hys handes into a farre contre: There shalt thou dye, Ꟶ there (in steade of the charettes of thy pompe) shall the house of thy lord haue confusion
Isa.22.19	I will dryue the from thy place, Ꟶ out of thy dwellyng shall he ouerthrow the.
Isa.22.20	And in that daye shall I call my seruaunt Eliakim the sonne of Helkia.
Isa.22.21	And with thy garmentes will I clothe him, and wyth thy gyrdle will I strength hym: thy power also will I committe into his hande Ꟶ he shalbe a father of such as dwel in Ierusalem, and in the house of Iuda.
Isa.22.22	And the keye of the house of Dauid will I laye vpon his shoulder, so that he shall open and no man shall shut. He shall shut, and no man shall open.
Isa.22.23	And I wyll fasten hym as a nayle in a sure place, and he shall be the gloryous seate of hys fathers house.
Isa.22.24	Morouer, all generacions and posterites shall hang vpon him, all the glory of their fathers house, all vessels both great and small, and all instrumentes of measure and musyck.
Isa.22.25	In that daye (sayeth the Lorde of hostes) shall the nayle that is fastened in the sure place departe, be broken and fall, and the burthen that was vpon it, shall be plucte awaye, for so the lorde hath spoken.
Isa.23.1	The burthen of Tyre: Mourne ye shyppes of Tharsis, for there commeth such destruccyon that ye shall not haue an house to entre into: Out of the lande of Cittim haue they knowlege of thys plage.
Isa.23.2	Be styll, ye that dwell in the Ile, the marchauntes of zidon, and such as passe ouer the see, haue made the plenteous.
Isa.23.3	The corne that groweth by the great waters of Nilus, and the frutes of the ryuer were hyr vitailes, so that it became a comen marte of the nacion
Isa.23.4	Be ashamed thou zidon, for the see (euen the strength of the see) hath spoken, sayenge: I haue not trauayled, ner broughte forth children, ner norished vp young men, or brought vp virgins.
Isa.23.5	Whan tydinges commeth to the Egipcians they shall be sory for the rumore that goeth of Tyre.
Isa.23.6	Get you to Tharsis, mourne ye that dwell in the Ile.
Isa.23.7	Is not this that glorious cyte of youres, which hath bene of olde antiquite? Hyr awne fete shall cary hyr forth to be a sogeourner in to a farre countre.
Isa.23.8	Who hath deuysed thys agaynst Tyre (that geueth garlandes vnto other cities) whose marchauntes are princes, and whose captaines are honorable in the worlde?
Isa.23.9	Euen the lord of hoostes hath deuysed thys, to put downe the pryde of all such as be glorious, and to mynish all them that be proude vpon earth:
Isa.23.10	Get the out of thy lande vnto the daughter of Tharsis, seyng thou hast nomore strength.
Isa.23.11	He that smote the kyngdomes together, holdeth out his hande ouer the see: euen the lorde him self hath geuen a commaundement agaynst the same comen place of marchandise, that they shall vtterly destroye the might therof.
Isa.23.12	And he sayd: Make nomore thy boast (O virgin thou daughter zidon) thou shalt be brought downe: Up, get the ouer vnto Citim, where neuertheles thou shalt haue no rest.
Isa.23.13	Behold, this people came not of the Caldees, but Assur made them strong with great shippes. They set vp the strong holdes therof, Ꟶ destroyed his palaces, Ꟶ he brought it in decaye.
Isa.23.14	Mourne ye shippes of tharsis for your strength is brought downe.
Isa.23.15	And in that daye shall Tyre be forgotten seuentye yeares (accordinge to the yeares of one kyng) and after the ende of the seuentye yeares shall Tyre syng as doth an harlot.
Isa.23.16	Take an harpe, Ꟶ go aboute the citye (thou harlot that hast bene forgotten) make swete melody, sing moo songes, that thou mayest be had in remembraunce.
Isa.23.17	And after the ende of the seuentye yeares shall the lorde visyt Tyre, Ꟶ she shall conuerte vnto her rewarde, and shall committe fornicacion with all the kyngdomes of the earth that are in the worlde.
Isa.23.18	Their occupieng also and their rewarde shalbe holy vnto the lord. Their gaynes shall not be layde vp ner kepte in stoare, but it shalbe theyrs that dwell before the lorde, that they maye eate ynough, Ꟶ haue clothyng sufficient.
Isa.24.1	Beholde the lord maketh the earth wayst and emptye: he turneth it vp syde downe, Ꟶ scatreth abrode the inhabitours therof:
Isa.24.2	And the prest shalbe as the people, Ꟶ the master as the seruaunt, the mastresse lyke the mayd, the seller lyke the byer: he that lendeth vpon vsury, lyke hym that boroweth vpon vsury: the creditoure as the detter.
Isa.24.3	The worlde shalbe cleane wasted Ꟶ vtterly spoyled, for so the lorde hath spoken.
Isa.24.4	The earth is sory Ꟶ consumeth awaye, the worlde is feble Ꟶ perisheth, the proude people of the erth are come to naught
Isa.24.5	The earth also is become vnprofitable vnder the inhabitours therof, which haue transgressed the lawes, chaunged the ordinaunce, broken the euerlasting couenaunt.
Isa.24.6	Therfore hath the curse consumed the earth, and they that dwell therin, are fallen into trespace. Wherfore, the inhabitours of the earth are perished with drouth, and fewe men are left behynde.
Isa.24.7	The wyne faileth: the vyne hath no myght, all they that haue bene mery of hart, are come to mournyng.
Isa.24.8	The myrth of tabrettes is layed downe, the noyse of such as haue made mery, is ceassed, the ioye at the herpe is at an ende.
Isa.24.9	They shall drynke nomore wyne wt myrth, strong drynke shalbe bytter to them that drynke it.
Isa.24.10	The citye of vanite is broken downe, euery house is shut vp, that noman maye come in.
Isa.24.11	In the stretes is there a cryeng because of wyne, all chere is vanished awaye, the myrth of the worlde is gone,
Isa.24.12	in the citye is left desolacyon and the gate is smytten with destruccion.
Isa.24.13	For in the myddes of the worlde, euen amonge the people, it shall come to passe, as at the shakyng of Olyues, and as the grapes are whan the wyne haruest is done.
Isa.24.14	They shall lyft vp theyr voyce: and make a mery noyse, and in magnifyeng of the Lord shall they crye out of the west.
Isa.24.15	Wherfore, prayse ye the lord in the valleys, euen the name of the lord God of Israel in the Iles of the see
Isa.24.16	From the vttemost parte of the earth haue we heard prayses and myrth because of the ryghteous. And I sayd: I knowe a thyng in secrete, I knowe a thyng in secrete, wo is me, the transgressours haue offended, the transgressours haue greuously offended.
Isa.24.17	Fearfulnesse, the pytt and the snare are vpon the, O thou that dwellest in the earth.
Isa.24.18	It will come to passe, that whoso escapeth the fearfull noyse, shall fall in to the pytt. And he that commeth vp out of the pytt, shalbe taken wyth the snare. For the wyndowes from an hye are open, and the foundacions of the earth are moued.
Isa.24.19	The earth is vtterly broken downe, the earth hath a sore ruyne, the earth quaketh exceadyngly.
Isa.24.20	The earth shall rele to Ꟶ fro lyke a dronkerd, and shalbe remoued lyke a like a tent Ꟶ the iniquitie therof shalbe heuy vpon it. It shall fall, Ꟶ not rise vp agayne.
Isa.24.21	And in that daye shall the Lord viset the host aboue that is on hye: Ꟶ the kinges of the world that are vpon the erth.
Isa.24.22	And they shalbe gathered together, as they that be in preson: Ꟶ they shalbe shut vp in warde, Ꟶ after many daies shall they be visited.
Isa.24.23	The mone shall be abashed, and the sunne ashamed, when the Lorde of hostes shall raygne in mount Sion and in Ierusalem with worshyp, and in the syght of such as shalbe of hys councell.
Isa.25.1	Thou arte the Lorde my God, I wyll magnifye the, I wyll geue thankes vnto thy name. For thou hast brought wonderfull thinges to passe, according to thyne olde councels truly Ꟶ faythfully.
Isa.25.2	Thou hast mad of a citye an heape of stones, and brought a stronge towne into decaye. The habitation of straungers hast thou made to be no citye, nether shal it be builded any more.
Isa.25.3	Therfore shall the mighty people geue glory vnto the: the citye of the valeaunt Heithen shall feare the.
Isa.25.4	For thou hast bene a strength vnto the pore, and a succour for the neady in his trouble. A refuge agaynst euell wether, a shadowe against the heate. For the blast of ragyng men is lyke a storme that casteth downe a wall.
Isa.25.5	Lyke as thou bryngest heate downe out of a drye place, so shalt thou suppresse the noyse of aliauntes. The heate is in the shadow of the cloude: the braunch of the mighty shalbe brought lowe.
Isa.25.6	And in this mountaine shal the Lord of hostes make vnto all people a feaste of plenteous Ꟶ delicate thinges, euen of most pleasaunt Ꟶ deyntie disshes.
Isa.25.7	And in this mountayne shall the Lorde destroie the couering, that all people are wraped in, and the hanging that is spred vpon all nacyons.
Isa.25.8	As for death, he hath destroyed it for euer. And the Lorde God shall wype awaye teares from all faces, and the rebuke of his people shall he take a waie out of all the earth. For so the Lorde hath sayde.
Isa.25.9	And in that daye it shalbe sayde: Lo, this is our God, we haue wayted for hym, Ꟶ he shall saue vs. Thys is the Lord, in whom we haue hoped, we wylbe mery Ꟶ reioyce in the saluation that commeth of hym.
Isa.25.10	For in this mountayne shall the hande of the Lorde cease and Moab shalbe thresshed vnder him, euen as strawe is thresshed vpon the grounde.
Isa.25.11	And he shall stretch out hys hande in the myddes of them (as he that swymmeth, casteth out his handes to swymme) and with the strength of his handes shall he bring downe their pryde.
Isa.25.12	The strongholde also and fence of thy walles hath he ouerthrowen Ꟶ cast downe, Ꟶ brought them to the grounde, euen vnto dust.
Isa.26.1	In that daye shall thys songe be songe in the lande of Iuda. We haue a stronge citye. Saluacion shall God appoynte in steade of walles and bulworke.
Isa.26.2	Open ye the gates that the righteous people which kepeth the trueth maye entre in.
Isa.26.3	Their minde is set vpon the, because thou preseruest them in peace yee, euen in peace: because they put their trust in the.
Isa.26.4	Put ye your trust allwaye in the Lorde: for in the Lorde God there is strength for euermore.
Isa.26.5	For he hath brought downe hye mynded citesens. As for the proude citye, he hath brought it lowe: euen vnto the grounde shall he cast it downe, Ꟶ bring it vnto dust.
Isa.26.6	The fote euen the fote of the poore: and the steppes of such as be in necessitie shall treade it downe.
Isa.26.7	The path of equitye wilt thou graunt vnto the iuste, o thou moost ryghteous, thou shalt order the path of him that is ryghteous.
Isa.26.8	Yee, in the waye of thy iudgmentes, O Lord, haue we put our trust in the. Thy name also: Ꟶ the remembraunce of the, is the thyng that oure soule longeth for.
Isa.26.9	My soule hath longed for the all the night, and wt my sprete (which is within me) wyll I seke the earlye in the morning. For when thy iudgementes are in the erth, the inhabitatours of the worlde shall learne righteousnes.
Isa.26.10	Shall the vngodly man be fauoured, which hath not learned ryghteousnes, but doth wickedly in the erth where nothynge ought to be done, but that which is ryghteous? He shall not se the glory of the Lorde.
Isa.26.11	Lorde, when thy hande is lyfte vp to stryke, they se it not: but they shall se it, and be confounded with the zele of the people, and the fyer that consumeth thyne enemyes, shall deuoure them.
Isa.26.12	Lord, vnto vs thou shalt prouyde peace: for thou also hast wrought all our workis in vs.
Isa.26.13	O Lorde our God, other lordes besyde the hath subdued vs: but we wylbe mindfull only of the Ꟶ of thy name.
Isa.26.14	The deed will not lyue, Ꟶ they that be out of lyfe, will not ryse agayne: therfore hast thou visited Ꟶ roted them out, and destroyed all the memory of them.
Isa.26.15	Thou hast increased the people (O Lorde) thou hast increased the people, Ꟶ thou art praysed: thou hast sent them farre of vnto all the coastes of the erth.
Isa.26.16	Lorde in trouble haue they visited the: they powred out their prayer, when thy chastenyng was vpon them.
Isa.26.17	Lyke as a woman wt chylde that draweth nye towarde her trauell, is sory Ꟶ cryeth in her paynes, euen so haue we bene in thy sight, O Lorde.
Isa.26.18	We haue bene wt chylde Ꟶ suffred payne, as though we had brought forth winde. For there is no saluation in the erth, nether do the inhabitours of the worlde submyt them selues.
Isa.26.19	Thy deed men shall lyue, euen wt my body shall they rise agayne. Awake and syng ye that dwell in dust. For thy dewe is euen as the dewe of herbes, and the earth shall cast out them that be vnder her.
Isa.26.20	Come my people, enter thou into thy chambers, and shut thy dores about the: hyde thy selfe a lytle for a whyle, vntyll the indignation be ouerpast.
Isa.26.21	For lo, the Lorde is commyng out of his place, to viset the wickednes of suche as dwell vpon earth. The earth also shall disclose her awne bloud, and shall nomore hid them that are slayne in her.
Isa.27.1	In that daye, the Lorde wt his sore, great and myghtye swearde shall viset Leuiathan the fugityue serpent, euen Leuiathan that croked serpent, and he shall slaye the dragon that is in the see.
Isa.27.2	In that daye, se that ye syng of the congregatyon which is the vyneiard, that bringeth forth the best wyne.
Isa.27.3	Euen I the Lorde do kepe it. In due seasons shall I water it, Ꟶ lest the enemye do it any harme, I will both nyght and daye preserue it. There is no displeasure in me,
Isa.27.4	els (when the vyneiarde bringeth me forth breers Ꟶ thornes) I wold go thorow it by warre, Ꟶ burne it vp together.
Isa.27.5	Let it take holde of my strength, and it shalbe at one wt me, euen at one shall it be with me.
Isa.27.6	The dayes are commyng, that Iacob shall take rote. Israel shalbe grene Ꟶ floryshe, and the worlde shalbe fylled with frute.
Isa.27.7	Hath he smytten him as sore, as he did the other that smote him? Or is he slain wt so sore a slaughter as they that slew hym?
Isa.27.8	In measure doth he smyte him, whyle he sendeth vnto him soch thinges, wherby he commeth to hys mynde agayne. For in the daye that the east wynde bloweth sore, it taketh awaye the frutes.
Isa.27.9	Thus therfore shall the iniquytie of Iacob be reconcyled, and here is all the frute of the takynge awaye of his synne, yf he make all the stones of the aultars of ydolles, as chalke stones that are beaten in sunder, that theyr groues and ymages ryse not vp agayne.
Isa.27.10	Els, shall the stronge citye be desolate, Ꟶ the habitation forsaken Ꟶ left lyke a wildernes. There shall the calfe fede, Ꟶ ther shall he lye, Ꟶ eate vp the graffes therof.
Isa.27.11	When the braunches of it are drie, they are broken of, Ꟶ the wemen come, and set them on fyer. For it is a people of no vnderstanding, Ꟶ therfore he that made them, shall not fauoure them, and he that created them, shall geue them no grace.
Isa.27.12	And in that daye shall the Lorde make a thresshing from the middes of the riuer Euphrates vnto the riuer of Egipt: and ye children of Israel shalbe gathered together one to another.
Isa.27.13	In that daye shall the great trompe be blowne, so that they which were lost in the lande of Assiria: Ꟶ they that were banisshed into the lande of Egipt, shall come and worshyp the Lorde in the holy mount at Ierusalem:
Isa.28.1	Wo be vnto the crowne of pride, euen to the droncken people of Ephraim whose great pompe is as a flour that fadeth awaye vpon the head of the valleye of such as be in welth, and are ouerladen with wyne.
Isa.28.2	Beholde, ther commeth a vehement and sore daye from the Lorde lyke an vnmeasurable hayle and perellous tempest, euen lyke the force of myghtye and horrible waters, that violentlye beareth downe all thinges.
Isa.28.3	The crowne of the pryde of the dronken Ephraemites shalbe troden vnder fote:
Isa.28.4	so that the floure of hys fayrenes and bewty, which is in the head of the valley of fatnes, shall fade awaye, as doth an vntimely rype fygg afore heruest. Which whan a man spyeth, he loketh vpon it: and whyle it is yet in his hande, he eateth it vp.
Isa.28.5	In the daye shall the Lorde of hostes be the crowne of glory, Ꟶ diademe of bewtye vnto the residue of his people.
Isa.28.6	He wilbe also a spirite of perfyte knowledge to him that sitteth in iudgement, Ꟶ strength vnto them that turne awaye the battell to the gate of the enemies.
Isa.28.7	But they are out of the waye by reason of wyne: yee, farre out of the waye are they thorowe strong drynke. The preste also Ꟶ the prophet are gone astraye by the meanes of strong drincke, they are dronken wt wyne, they go amisse thorowe strong drincke: they fayle in prophecying Ꟶ stomble in iudgment.
Isa.28.8	For tables are so full of vomyte and fylthines, that no place is cleane.
Isa.28.9	Whom then shall such one teach knowledge? And whom shall he make to vnderstonde the thing that he heareth? For they are as ignoraunt as yong children, that are taken from the mylke and are weened.
Isa.28.10	For they that be such must haue after one lesson, another lesson: after one commaundement, another commaundement, after one rule another rule, after one instruccion another instruccyon, there a lytle and there a lytle.
Isa.28.11	For he that speaketh vnto this people is euen as one that vseth rudenes of spech, and a straunge language. Yf any man saye vnto them:
Isa.28.12	lo, this is the rest wherwith ye maye ease hym that is weerye, thys is the refresshinge, they wyll not herken.
Isa.28.13	Therfore, the worde of the Lorde (lesson vpon lesson, commaundement vpon commaundement, rule vpon rule, instruccyon vpon instruccion, there a lytle and there a lytle) shall be vnto them an occasyon of stombling that they maye go on, and fall backward, be brused, tangled and snared.
Isa.28.14	Wherfore, heare the worde of the Lorde ye mockers, ye that haue rule of this people which is at Ierusalem.
Isa.28.15	Because ye haue sayd: we haue made a couenaunt with death, Ꟶ with hell are we at agrement. And though there go forth a sore plage, it shall nott come vnto vs. For we haue made falshode our refuge, and vnder vanitie are we hid.
Isa.28.16	Therfore thus sayth the Lorde God: Beholde, I laye in Sion for a foundation a stone, euen a tryed stone, a precious corner stone, a sure foundation: Whoso beleueth, let hym not be to hastye.
Isa.28.17	Iudgment also will I laye to the rule, and righteousnes to the balaunce: so that the hayle shall take awaye your vayne confidence as a broome, and the preuy place of youre refuge shall the waters renne ouer.
Isa.28.18	And thus the couenaunt that ye made wt death, shalbe disanulled: and your agrement that ye made with hell, shall not stand. Yee, when the sore plage goeth forth, ye shalbe troden downe vnder it. From the tyme that it goeth forth, it shall take you awaye.
Isa.28.19	For early in the mornynge euery daye: yee, both daye Ꟶ night shall it go thorowe: Ꟶ when the noyse therof is perceaued, it shall gendre vexation.
Isa.28.20	For the bed is narow, and nott large: Ꟶ the couering so small that a man can not wynde him selfe vnder it.
Isa.28.21	For the Lorde shall stonde as in mount Perazim, and shalbe wrothe lyke as in the valley Gibeon, that he maie do his worke, his straung worke Ꟶ bring to passe his acte, his straunge acte.
Isa.28.22	Now therfore se that ye be no mockers, lest your punyshment increace: for I haue heard of the Lorde of hostes, that there shall come a short ende vpon the whole earth.
Isa.28.23	Heare ye then, Ꟶ herken vnto my voyce, considre Ꟶ pondre my spech.
Isa.28.24	Doth not the husbandman plowe all the daie, and openeth Ꟶ breaketh the clottes of his grounde, that he maye sowe?
Isa.28.25	Whan he hath made it playn, will he not spred abrode the fitches, and sowe comyn, Ꟶ cast in whete by measure, Ꟶ the appoynted barlye and rye in their place?
Isa.28.26	God will instructe hym to haue discretion, euen his God wyll teach hym.
Isa.28.27	For fitches shall not be tresshed with an harowe: nether shall a carte whele be brought thorowe the comyn: but the fitches are beaten out with a stafe, and comyn wt a rodd.
Isa.28.28	But the seede that bread is made of, is tresshed, though it be not alwaye a thresshing. And the carte whele must be brought ouer it, lest he grynde it with his teth.
Isa.28.29	This also commeth of the Lorde of hoostes, which worcketh wt wonderfull wysdome, and bringeth excellent workes to passe.
Isa.29.1	Wo vnto the O Ariel Ariel thou citye that Dauid dwelt in Go on from yeare to yeare, and let the lambes be slayne.
Isa.29.2	I will laye sege vnto Ariel, so that there shalbe heuynes and sorowe in it: and it shalbe vnto me euen an aultar of slaughter.
Isa.29.3	I wyll besege the round about, and fight agaynst the thorowe a bulworke: and wyll reare vp diches agaynst the.
Isa.29.4	Thou shalt be brought downe, Ꟶ shalt speake out of the grounde, and thy spech shall go lowe out of the duste.
Isa.29.5	Thy voyce also shall come out of the grounde lyke the voyce of a witch: and thy talkyng shall whisper out of the dust. Moreouer, the noyse of thy straunge enemyes shalbe lyke thynne dust, Ꟶ the multitude of tyrauntes shalbe as drye strawe, that cannot tary: euen sodenly and in hayste shall theyr blast go.
Isa.29.6	Thou shalt be visited of the Lorde of hostes wt thondre, erthquake, and wt a great noise: with storme and tempest and wt the flame of a consuming fyer.
Isa.29.7	And the multitude of all nations that fyght agaynst Ariel, shalbe as a dreame sene by night: euen so shall all they be that make warre agaynst it, and stronge holdes to ouercome it, and that laie eny sege vnto it.
Isa.29.8	In conclusion, it shalbe euen as when an hongry man dreameth that he is eating, and when he awaketh, hys soule is emptye. Or as when a thurstye man dreameth that he is drincking: and when he awaketh, he is yet faynt: and his soule lacketh the appetite. Euen so shalbe the multitude of all nations that fyght agaynst Syon.
Isa.29.9	Pondre these thynges once in your myndes, Ꟶ wondre. Blinded are they them selues and the blind guides of other. They are dronken: but not with wyne: they are vnstable, but not thorowe strong drincke.
Isa.29.10	For the Lorde hath couered you with a slomberinge sprete, and hath closed your eyes. Your prophetes also Ꟶ rulers that shuld se, them hath he couered.
Isa.29.11	And the visyon of all the prophetes is become vnto you, as the wordes of a boke that is sealed vp, which men deliuer to one that is learned, saying: Reade thou in it. And he sayth: I cannot, for it is sealed.
