Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.12.13	They haue sowen wheate, Ꟶ reaped thornes. They haue taken herytage in possessyon, but it doth them no good. And the prophets were ashamed of your frutes, because of the great wrath of the Lorde.
Jer.12.14	Thus sayeth the Lorde vpon all myne euell neyghbours, that laye hande on myne herytage, whych I haue possessed, euen my people of Israell. Beholde, I wyll plucke them (namely Israel) out of their lande, and put out the house of Iuda from among them.
Jer.12.15	And when I haue roted them out, I wylbe at one with them agayne, Ꟶ I wyll haue mercy vpon them: Ꟶ brynge them agayne, euery man to his awne herytage, and into his lande.
Jer.12.16	And yf they (namely that trouble my people) wyll lerne the wayes of them, to sweare by my name. The Lord lyueth (lyke as they learned my people to sweare by Baal) then shal they be rekened among my people.
Jer.12.17	But yf they wyll not obeye, then wyll I rote out the same folke, Ꟶ destroye them, sayth the Lord.
Jer.13.1	Thus sayth the Lord vnto me: go thy waye, Ꟶ get me a lynnen breche, Ꟶ gyrde it aboute thy loynes, Ꟶ let it not be wet.
Jer.13.2	Then I got me a breche, accordynge to the commaundement of the Lorde, and put it aboute my loynes.
Jer.13.3	After this the seconde tyme, the Lorde spake vnto me agayne.
Jer.13.4	Take the breche that thou hast prepared Ꟶ put about the, Ꟶ get the vp, Ꟶ go vnto Euphrates Ꟶ hyde it in a hole of the rock.
Jer.13.5	So went I, Ꟶ hydd it at Euphrates, as the Lord commaunded me.
Jer.13.6	And it happened longe after this, that the Lorde spake vnto me. Up, Ꟶ get the to Euphrates, and fet the breche from thence, which I commaunded the to hyde there.
Jer.13.7	Then went I to Euphrates, Ꟶ dygged vp, Ꟶ toke the breche from the place where I had hyd it: Ꟶ beholde, the breche was corrupt, so that it was profitable for nothynge.
Jer.13.8	Then sayde the Lorde vnto me.
Jer.13.9	Thus sayeth the Lorde. Euen so wyll I corrupte the pryde of Iuda, Ꟶ the hye mynde of Ierusalem.
Jer.13.10	This people is a wicked people, they wyll not heare my worde, they folowe the wicked ymaginacyons of their awne herte, Ꟶ hange vpon straunge Goddes, them they serue Ꟶ worshyppe: Ꟶ therfore they shalbe as this breche, that serueth for nothynge.
Jer.13.11	For as straytely as a breche lyeth vpon a mans loynes, so straytely dyd I bynde the whole house of Israel, and the whole house of Iuda vnto me, sayeth the Lorde: that they myght be my people: that they myght haue a glorious name: that they myght be in honour: but thei wold not obeye me.
Jer.13.12	Therfore laye this rydle before them, Ꟶ saye: Thus sayeth the Lorde God of Israell: Euery pot shalbe fylled wt wyne. And they shal saye: thynckest thou we knowe not, that euery pot shalbe fylled wt wyne?
Jer.13.13	Then shalt thou saye vnto them. Thus sayeth the Lord: Behold, I shall fyll all the inhabitours of thys lande wt dronckennes, the kynges that syt vpon Dauids stole, the prestes Ꟶ prophetes, wt all that dwell at Ierusalem.
Jer.13.14	And I wyll sett them one agaynst another, ye, the fathers agaynst the sonnes, sayeth the Lorde. I wyll not pardon them, I wyll not spare them, ner haue pytie vpon them: but destroye them.
Jer.13.15	Be obedient, geue eare, take not disdayne at it, for it is the Lord him selfe that speaketh.
Jer.13.16	Honoure the Lord your God here in, or he take hys lyght from you, Ꟶ or euer youre fete stomble in darcknesse at the hyll: lest when ye loke for the lyght, he turne it into the shadowe Ꟶ darcknesse of death,
Jer.13.17	But yf ye wyll not heare me, that geue you secrete warnyng, I wyll mourne from my whole hert for youre stubburnes. Pyteously wyll I wepe, Ꟶ the teares shall gusshe out of myne eyes. For the Lordes flocke shall be caryed awaye captyue.
Jer.13.18	Tell the kynge Ꟶ the quene: Humble youre selues, sett you downe lowe, for your dignytye shall be throwne downe Ꟶ the crowne of your glory shall fall from youre head.
Jer.13.19	The cyties towarde the south shalbe shut vp, Ꟶ no man shall open them. All Iuda shallbe caryed awaye captyue, so that none shall remayne.
Jer.13.20	Lyft vp your eyes, Ꟶ beholde them that come from the North wher is the flocke (o thou lande) that was gyuen the. And wher are thy fatt Ꟶ ryche sheape.
Jer.13.21	To whom wylt thou make thy mone, when the ennemy shall come vpon the? for thou hast taught them thy selfe, Ꟶ made them masters ouer the. Shall not sorowe come vpon the, as on a woman trauayllyng wt child?
Jer.13.22	And yf thou woldest saye them in thyne herte. Wherfore come these thynges vpon me? Euen for the multytude of thy blasphemyes, shal thy hynder partes Ꟶ thy fete be discouered.
Jer.13.23	For lyke as the man of Iude maye chaunge his skynne, Ꟶ the cat of the mountayne her spottes: so maye ye that be excercysed in euell, do good.
Jer.13.24	Therfore wyll I scatre them, lyke as the stoble that is taken awaye wyth the south wynde.
Jer.13.25	Thys shall be youre porcion, Ꟶ the porcion of your measure, wherwith ye shalbe rewarded of me, sayeth the lorde: because ye haue forgotten me, Ꟶ put youre trust in dysceatfull thynges.
Jer.13.26	Therfore shall I turne thy clothes ouer thy heade, Ꟶ discouer thy thyghes, that thy preuyties maye be sene,
Jer.13.27	thy aduoutry, thy deedly malyce, thy beastlinesse, Ꟶ thy shamefull whordome. For vpon the feldes and hylles I haue sene thy abhominacyons. Wo be vnto the (o Ierusalem) when wylt thou euer be clensed eny more?
Jer.14.1	The worde of the Lorde shewed vnto Ieremy, concernynge the derth of the frutes.
Jer.14.2	Iuda hath mourned, his gates are desolate: they are broughte to heuynesse euen vnto the grounde, Ꟶ the crye of Ierusalem goeth vp.
Jer.14.3	The lordes sent theyr seruauntes to fetch water, Ꟶ when they came to the welles, they dyd fynde no water, but caried their vessels home emptie. They be ashamed Ꟶ confounded, Ꟶ couer theyr heades.
Jer.14.4	For the grounde is dryed vp, because there commeth no rayne vpon it. The plowmen also be ashamed, Ꟶ couer theyr heades.
Jer.14.5	The Hynde also forsoke the yonge fawne, that he brought forth in the felde, because there was no grasse.
Jer.14.6	The wylde Asses dyd stande in the hye places, and drewe in theyr wynde lyke the dragons, theyr eyes dyd fayle for want of grasse.
Jer.14.7	Doutles oure awne wyckednes doth rewarde vs. But lorde do thou accordyng to thy name, though oure transgressyons Ꟶ synnes be many, and agenst the haue we synned.
Jer.14.8	For thou art the comfort Ꟶ helpe of Israel in the tyme of trouble. Why wilt thou be as a straunger in the lande, Ꟶ as one that goeth ouer the felde, Ꟶ commeth in only to remayne for a nyght?
Jer.14.9	Why wilt thou make thy selfe a cowarde, Ꟶ as it were a gyaunt that yet maye not helpe? For thou (O Lorde) art in the myddest of vs, Ꟶ thy name is called vpon of vs: forsake vs not.
Jer.14.10	Thus hath the Lord sayd vnto this people: seyng they haue had suche a lust to wander abrode, Ꟶ haue not refrayned theyr fete, Ꟶ therfore displeased the Lord: but he wyll now bringe agayne to remembraunce all their mysdedes, Ꟶ ponyshe all theyr synnes.
Jer.14.11	Yee, euen thus sayde the Lorde vnto me: Thou shalt not praye to do thys people good.
Jer.14.12	For though they fast, I wil not heare their praiers and though thei offre burntoffringes Ꟶ sacrifyces, yet wyll not I accepte them. For I will destroye them with the sweard, honger Ꟶ pestilence.
Jer.14.13	Then answered I: O Lorde God, the prophetes saye vnto them: Tush, ye shall nede to feare no sweard Ꟶ no honger shall come vpon you, but the Lorde shall geue you contynuall rest in this place.
Jer.14.14	And the Lorde sayde vnto me: The prophetes preach lyes in my name, where as I haue not sent them, nether gaue I them eny charge, nether dyd I speake vnto them: yet they preach vnto you false visions, charming, vanite, Ꟶ disceatfulnes of their awne herte.
Jer.14.15	Therfore, thus sayeth the Lord. As for those prophetes that preach in my name (whom I neuerthelesse haue not sent) Ꟶ that saye: Tush, there shall no swerde ner honger be in this land. With swearde Ꟶ with honger shall those prophetes perysh,
Jer.14.16	Ꟶ the people to whom they preache shalbe cast out of Ierusalem, dye of honger, Ꟶ be slayne wt the swearde, (Ꟶ there shalbe no man to burye them) both they Ꟶ theyr wyues, theyr sonnes and theyr daughters. For thus wyll I poure theyr wyckednesse vpon them.
Jer.14.17	Thys shalt thou say also vnto them. Myne eyes shall wepe without ceassynge daye Ꟶ nyght. For my people shalbe destroyed wt greate harme, Ꟶ shall perysh with a greate plage.
Jer.14.18	For yf I go into the felde, lo, it lyeth all full of slayne men. If I come into the cytie, lo, they be all famyshed of honger. Yee, theyr prophetes also Ꟶ prestes shalbe led into an vnknowne lande.
Jer.14.19	Hast thou then vtterly forsaken Iuda? Dost thou so abhorre Syon? Or hast thou so plaged vs, that we can be healed nomore? We loked for peace, and there commeth no good: for the tyme of health, and lo, here is nothing but trouble.
Jer.14.20	We knowledge (o Lorde) all our mysdedes, Ꟶ the synnes of our fathers, that we haue offended the.
Jer.14.21	Be not displeased, (O Lorde) for thy names sake, forget not thy louing kyndnesse. Remembre the throne of thyne honoure, breake not the couenaunt, that thou hast made wt vs.
Jer.14.22	Are there eny amonge the goddes of the Gentyles, that sende rayne or geue the showers of heauen? Or may the heuens drope rayne without thy commaundement? Dost not thou it, O Lorde our God, in whom we trust? Yee Lorde, thou dost all these thynges.
Jer.15.1	Then spake the Lord vnto me: Thoughe Moses Ꟶ Samuell stode before me, yet haue I no hearte to thys people. Driue them awaye, that they maye go out of my syght.
Jer.15.2	And yf they say vnto the. Whyther shall we go? Then tell them: The lord gyueth you thys answere. Some vnto death, some the swearde, some to honger, some into captyuyte.
Jer.15.3	For I will bryng foure plages vpon them, sayeth the Lorde. The swearde shall sleye them, the dogges shall teare them in peaces, the foules of the ayre, Ꟶ beastes of the earth shall eate them vp, and destroye them.
Jer.15.4	I wyll scatter them aboute also in all kyngdomes and landes to be plaged because of Manasseh the sonne of Hezekia kynge of Iuda, for the thynges that he dyd in Ierusalem.
Jer.15.5	Who shall then haue pyte vpon the, O Ierusalem? Who shall be sory for the? Or who shall make intercession, to optayne peace for the?
Jer.15.6	seynge thou goest fro me, Ꟶ turnest backwarde, sayeth the Lorde? Therfore, I dyd stretch out myne hande agaynst the, to destroye the, Ꟶ I haue bene sorye for the so longe that I am werye.
Jer.15.7	I haue scatred them abrode wt the fanne on ouery syde of the land. I haue wasted my people Ꟶ destroyed them. Yet they haue had no lust to turne from theyr awne wayes
Jer.15.8	I haue made theyr wyddowes mo in nombre, then the sandes of the see. Upon the mothers of their chyldren dyd I brynge a destroyer in the none daye. Sodenly and vnawarres dyd I sende a feare vpon theyr cyties.
Jer.15.9	She that hath borne seuen chyldren, hath noone, her herte is full of sorowe. The Sunne doth fayle her in the cleare daye, she is confounded and fayntie for very heuynesse. As for those that remayne, I wyll delyuer them vnto the swearde before theyr enemyes, sayth the Lorde.
Jer.15.10	O mother, alas that euer thou dydest beare me, a brawler Ꟶ rebuker of the whole lande: Thoughe I neuer lente ner receaued vpon vsury, yet all men speake euell vpon me.
Jer.15.11	And the Lorde answered me: Uerely thy remnaunte shall haue welthe. Come not I to the, when thou art in trouble: and helpe the, when thyne enemy oppresseth the?
Jer.15.12	Doth one yron hurte another or one metall that commeth from the North, another?
Jer.15.13	As for thy richesse and treasure, I wyll geue them out into a praye, not for eny money, but because of all thy synnes, that thou hast done in all thy coastes.
Jer.15.14	And I wyll brynge the with thyne enemyes into a land, that thou knowest not: for the fyre that is kyndled in my indignacyon, shall burne you vp.
Jer.15.15	O Lord, thou knowest: therfore remembre me, Ꟶ vyset me, delyuer me fro my persecuters. Take me not from this lyfe in the tyme of the longe pacyence, thou knowest, that for thy sake I suffer rebuke.
Jer.15.16	When I had founde thy wordes, I dyd eate them vp gredely: they haue made my herte ioyfull Ꟶ glad. For thy name was called vpon me, O Lorde God of Hostes.
Jer.15.17	I dwell not amonge the scorners, nether is my delyte therin: but I dwell only in the feare of thy hand, for thou hast fylled me with bytternes.
Jer.15.18	Shall my heuynes endure for euer? Are my plages then so greate, that they maye neuer be healed? Wilt thou be as one that is false Ꟶ as a water, that falleth, and cannot continue?
Jer.15.19	Upon these wordes, thus sayde the Lorde vnto me. If thou wilt turne agayne, I shall sett the in my seruice: and yf thou wilt take out the thynges that is precious from the vile, thou shalt be euen as myne awne mouth. They shall conuerte vnto the, but turne not thou vnto them:
Jer.15.20	Ꟶ so shall I make the a stronge brasen wall agaynst this people. They shall fight agaynst the, but they shall not preuayle. For I my selfe will be wt the, to helpe the, and deliuer the, sayeth the Lorde.
Jer.15.21	And I wyll ryd the out of the handes of the wicked, and delyuer the out of the hande of tirauntes.
Jer.16.1	Thus sayde the Lord vnto me.
Jer.16.2	Thou shalt take the no wyfe, ner beget chyldren in this place,
Jer.16.3	For of the chyldren that are borne in this place, of theyr mothers that haue borne them, and of their fathers that haue begotten them in this lande thus sayeth the Lorde.
Jer.16.4	They shall dye an horrible deeth, no man shall mourne for them ner bury them, but they shall lye as donge vpon the earth. They shall perishe thorow the swearde and honger, and theyr bodyes shall be meate for the foules of the ayre, and beastes of the earth.
Jer.16.5	For thus saieth the Lorde: Go not thou in vnto them ner come to mourne and wepe for them: for I haue taken my peace from thys people (sayeth the Lorde) yee my fauoure Ꟶ my mercy.
Jer.16.6	And in this lande shall they dye, olde and yonge, and shall not be buried: no man shall bewepe them, no man shall clyppe or shaue him selfe for them.
Jer.16.7	There shal not one viset another, to mourne wyth them for their deed, or to comforte them. One shal not offre another the cuppe of consolacyon, to forget theyr heuynes for father and mother.
Jer.16.8	Thou shalt not go into theyr feast house, to syt downe, to eate or drincke with them.
Jer.16.9	For thus sayeth the Lorde of Hostes the God of Israell: Beholde, I shall take awaye out of this place, the voyce of myrth and gladnesse, the voyce of the brydegrome and of the bryde: yee, and that in youre dayes, that ye maye se it.
Jer.16.10	Now when thou shewest this people all these wordes, Ꟶ they saye vnto the. Wherfore hath the Lorde deuysed all thys greate plage for vs? Or what is the offence Ꟶ synne, that we haue done agaynst the Lorde our God?
Jer.16.11	Then make thou them this answere: Because youre fathers haue forsaken me (sayeth the Lorde) and haue walked after straunge goddes, whom they haue honoured and worshypped: but me haue they forsaken, and haue not kepte my lawe.
Jer.16.12	And ye with your shamefull blasphemyes, haue exceaded the wyckednes of youre fathers. For euery one of you hath folowed the frowarde and euell ymaginacion of his awne herte, and is not obedient vnto me.
Jer.16.13	Therfore wyll I cast you oute of thys lande, into a lande that ye and youre fathers knowe not: and there shall ye serue straunge goddes daye and nyght, there wyll I shewe you no fauoure.
Jer.16.14	Beholde therfore (sayeth the Lorde) the dayes are come, that it shall nomore be sayde: The Lorde lyueth, which brought the children of Israel out of the lande of Egypte:
Jer.16.15	but, it shall be sayde, the Lorde lyueth, that brought the children of Israell from the North, and from all landes where he had scatred them. For I wyl brynge them agayne into the lande, that I gaue vnto theyr fathers.
Jer.16.16	Beholde (sayeth the Lorde) I wyl sende out many fyshers to take them, and after that wyll I sende out many hunters to hunte them out, from all mountaynes and hylles and out of the caues of stone.
Jer.16.17	For myne eyes beholde al theyr wayes, and they cannot be hyd fro my face, nether can theyr wycked dedes be kepte close out of my syghte.
Jer.16.18	But first wyll I sufficiently rewarde their shamefull blasphemies and synnes, because they haue defyled my lande: Namely with theyr stincking Idols Ꟶ with the carayns of their abhominacions, wherwith they haue filled myne herytage.
Jer.16.19	O Lorde, my strength, my power, and refuge in tyme of trouble. The Gentyles shall come vnto the from the endes of the worlde, and saye: Uerely our fathers haue cleaued vnto lyes, their Idols are but vayne Ꟶ vnprofitable.
Jer.16.20	How can a man make those his goddes, whyche are not able to be goddes?
Jer.16.21	And therfore I will once teach them, sayeth the Lorde, I wyll shewe them my hande Ꟶ my power, that they maye knowe, that my name is the Lorde.
Jer.17.1	Youre synne (O ye of the trybe of Iuda) is written in the table of your hertes, and grauen so vpon the edges of your aulters with a penne of yron and wyth an adamant clawe:
Jer.17.2	that as the fathers thyncke vpon their chyldren so thincke you also vpon your aulters, woddes, thicke trees, hye hylles, mountaynes Ꟶ feldes.
Jer.17.3	Wherfore, I wil make my mounte that standeth in the felde all your substaunce Ꟶ treasure be spoyled, for the great synne that ye haue done vpon youre hye places thorowe out all the coostes of youre lande.
Jer.17.4	Ye shall be cast out also from the heritage, that I gaue you. And I wil subdue you vnder the heuy bondage of your enemies, in a lande that ye knowe not. For ye haue ministred fyre to my indignacion, which shal burne euermore.
Jer.17.5	Thus sayth the Lord. Cursed be the man that putteth his trust in man, and that taketh fleshe for his arme: and he, whose herte departeth from the Lorde:
Jer.17.6	He shall be lyke the heath, that groweth in the wyldernes. As for the good thyng that is for to come, he shall not se it: but dwel in a drye place of the wyldernes, in a salt and vnoccupyed lande.
Jer.17.7	O blessed is the man, that putteth his trust in the Lorde, and whose hope is the Lorde him selfe.
Jer.17.8	For he shalbe as a tre, that is planted by the water syde: whyche spredeth out the rote vnto moystnesse, whom the heate cannot harme, when it commeth, but his leaffe shalbe grene. And though there growe but lytle frute because of drouth, yet is he not carefull, but he neuer leaueth of to brynge forth frute.
Jer.17.9	Amonge all thynges, man hath the most disceatfull and stubberne herte. Who shall then knowe it?
Jer.17.10	Euen I the Lorde searche out the grounde of the herte, and trye the reynes, Ꟶ rewarde euery man accordynge to his wayes, and accordynge to the frute of his workes.
Jer.17.11	The partriche maketh a nest of egges, whych she layde not. He commeth by ryches, but not ryghteouslye. In the myddest of his lyfe must he leaue them behynde him, and at the last be founde a very foole.
Jer.17.12	But thou (O Lorde) whose trone is most glorious, excellent and of most antyquite, which dwellest in the place of our holy rest:
Jer.17.13	Thou art the comforte of Israell. All they that forsake the, shalbe confounded: al they that departe from the, shalbe wrytten in earth for they haue forsaken the Lorde the very condyte of the waters of lyfe.
Jer.17.14	Heale me, O Lorde, and I shall be whole: saue thou me, and I shalbe saued, for thou art my prayse.
Jer.17.15	Beholde, these men saye vnto me. Where is the worde of the Lorde (Lett it come now.)
Jer.17.16	Where as I neuertheles obediently folowed the as a shepherde, and haue not vncalled taken this office vpon me, this knowest thou well. My wordes also were ryght before the.
Jer.17.17	Be not now terrible vnto me, O Lorde for thou art he in whome I hope, when I am in parell.
Jer.17.18	Let my persecuters be confounded, but not me, let them be afrayed, and not me. Thou shalt bryng vpon them the tyme of theyr plage, and shalt destroye them ryght sore.
Jer.17.19	Thus hath the Lorde sayde vnto me: Go and stande vnder the gate, where thorowe the people and the kynges of Iuda go out and in, yee vnder all the gates of Ierusalem,
Jer.17.20	and saye vnto them. Heare the worde of the Lorde, ye kynges of Iuda, and all thou people of Iuda, and all ye cytesyns of Ierusalem, that go thorowe thys gate.
Jer.17.21	Thus the Lorde commaundeth. Take hede for youre lyues, that ye carye no burthen vpon you in the Sabboth, to brynge it thorowe the gates of Ierusalem:
Jer.17.22	ye shall beare no burthen also out of youre houses in the Sabboth. Ye shall do no laboure therin, but halowe the Sabboth, as I commaunded youre fathers.
Jer.17.23	Howbeit, they obeyed me not, nether herkened they vnto me: but were obstynate and stubburne, Ꟶ nether obeyed me: nor receaued my correccion.
Jer.17.24	Neuertheles, yf ye will heare me (sayeth the Lord) and beare no burthen into the cytie thorowe this gate vpon the Sabboth: Yf ye wyll halowe the Sabboth, so that ye do no worcke therin:
Jer.17.25	then shal there go thorowe the gates of thys cytye, kynges and prynces, that shall syt vpon the throne of Dauid: They shall be caryed vpon charettes, Ꟶ ryde vpon horses, both they and their prynces. Yee, whole Iuda Ꟶ all the cytesyns of Ierusalem shall goo here thorow, and this cytie shal euer be the more and more inhabited.
Jer.17.26	There shall come men also from the cyties of Iuda, from about Ierusalem, and from the lande of Beniamin, from the playne feldes, from the mountaynes Ꟶ from the wyldernes: which shall bringe burntofferynges, sacrifices, oblacions, and incense, and offre vp thanckesgeuyng in the house of the Lorde.
Jer.17.27	But yf ye wyll not be obedient vnto me, to halowe the Sabboth, so that ye will beare your burthens thorow the gates of Ierusalem vpon the Sabboth. Then shall I set fyre vpon the gates of Ierusalem, and it shall burne vp the houses of Ierusalem, and no man shall be able to quench it.
Jer.18.1	This is another communicacion, that God had with Ieremy, saying:
Jer.18.2	Aryse, and goo downe into the Potters house, and there shall I tell the more of my mynde.
Jer.18.3	Now when I cam to the Potters house, I founde hym makynge his worcke vpon a whele.
Jer.18.4	The vessell that the Potter made of claye, brake amonge his handes: So be beganne a new, and made another vessel accordynge to his mynde.
Jer.18.5	Then sayde the Lorde thus vnto me.
Jer.18.6	Maye not I do with you, as this Potter doth, O ye house of Israel, sayeth the Lorde? Beholde, ye house of Israel: ye are in my hande, euen as the claye in the Potters hande.
Jer.18.7	When I take in hande to rote out, to destroye, or to waste awaye eny people or kyngdom
Jer.18.8	yf that people (agaynst whom I haue thus deuysed) conuerte from theyr wyckednes: I repente of the plage, that I deuysed to brynge vpon them.
Jer.18.9	Agayne, when I take in hande, to buylde, or to plante a people or a kyngdom:
Jer.18.10	yf the same people do euell before me, and heare not my voyce: I repente of the good, that I deuise to do for them:
Jer.18.11	Speake now therfore vnto whole Iuda: and to them that dwell at Ierusalem. Thus sayeth the Lorde: Beholde, I am deuisyng a plage for you, and am takynge a thing in hande agaynst you. Therfore let euery man turne from his euell waye, take vpon you the thynge that is good, and do right.
Jer.18.12	But they sayde. Nomore of this we wyll folowe oure awne ymaginacions, and do euery man accordynge to the wylfulnesse of his awne mynde.
Jer.18.13	Therfore thus sayeth the Lorde. Aske amonge the Heathen, yf eny man hath herde soch horryble thynges, as the daughter of Sion hath done.
Jer.18.14	Shall not the snowe (that melteth vpon the stony rockes of Libanus) moysten the feldes? Or maye the sprynges of waters be so grauen awaye, that they runne nomore, geue moystnesse, ner make frutefull?
Jer.18.15	But my people hath so forgotten me, that they haue made sacryfyce vnto vayne Goddes. And theyr prophetes make them fal in theyr wayes from the auncyent pathes, and to go into a fote waye not vsed to be troden of iust men.
Jer.18.16	Where thorowe they haue brought their lande into an euerlastyng wildernesse Ꟶ scorne. So that whosoeuer trauayleth therby, shalbe abashed, Ꟶ wagge theyr heades.
Jer.18.17	With an East wynde wyll I scatre them, before their enemie. And when their destruccion commeth, I wyll turne my backe vpon them, but not my face.
Jer.18.18	Then sayde they come, let vs ymagen somthynge agaynst this Ieremye. For the prestes shall not be destitute of the lawe, nether shall the wysemen de destitute of councel, ner the prophetes destitute of the worde of God. Come, and let vs smyte him with the tong, and let vs marke all his wordes.
Jer.18.19	Consydre me, O Lord, and heare the voyce of myne enemies
Jer.18.20	shall they recompence euell for good? for they haue digged a pit for my soule. Remembre, howe that I stode before the, to speake good for them, Ꟶ to turne awaye thy wrath from them.
Jer.18.21	Therfore let their children dye of hunger, and let them be oppressed wyth the swearde. Let their wiues be robbed of their children, and become wyddowes: let their husbandes be slayne, let their yonge men be kylled with the swearde in the felde.
Jer.18.22	Lett the noyse be herde out of their houses, when the murtherer commeth sodenly vpon them. For they haue dygged a pyt to take me, Ꟶ layed snares for my fete.
Jer.18.23	Yet Lorde, thou knowest all their councell, that they haue deuised, to slaye me. Forgeue not their wyckednes, and let not their sinne be put out of thy syght: but let them be iudged before the as the gyltie: This shalt thou do vnto them in the tyme of thy indignacion.
Jer.19.1	Thus sayde the Lorde: Go thy waye and bye the an earthen pytcher, and bryng forth the Senatours and chefe prestes
Jer.19.2	into the valley of the chyldren of Hennom, which lieth before the dore that is made of brycke, and shewe them there the wordes, that I shall tell the,
Jer.19.3	and saye thus vnto them. Heare the worde of the Lorde, ye kynges of Iuda, and ye cytesyns of Ierusalem. Thus sayeth the Lorde of Hostes the God of Israell: Beholde I wyll bring soche a plage vpon this place, that the eares of all that heare it shal glowe.
Jer.19.4	And that because they haue forsaken me, and vnhalowed this place, Ꟶ haue offred in it vnto straunge goddes: whome nether they, theyr fathers, ner the kynges of Iuda haue knowne. They haue fylled thys place also with the bloude of innocentes
Jer.19.5	for they haue sett vp an aulter vnto Baal, to burne their children for a burntoffering vnto Baal, which I nether commaunded, ner charged them, nether thought once there vpon.
Jer.19.6	Beholde therfore the tyme commeth (sayeth the Lorde) that this place shall nomore be called Topheth, ner the valley of the chyldren of Hennom, but the valley of slaughter:
Jer.19.7	For in this place will I slaye the Senatours of Iuda Ꟶ Ierusalem, and kyll them downe with the swearde in the syght of theyr enemies, and of them that seke their lyues. And their deed carcases will I geue to be meate for the foules of the ayre, and beastes of the felde.
Jer.19.8	And I will make this citie so desolate and despysed: that who so goeth ther by, shall be abashed and ieast vpon her, because of all her plages.
Jer.19.9	I wyll fede them also with the flesh of their sonnes and their daughters. Yee, euery one shall eate vp another in the besegynge and straytnesse, wherwith their enemyes (that seke their lyues) shal kepe them in.
Jer.19.10	And the pitcher shalt thou breake in the sight of the men, that shalbe with the, Ꟶ saye vnto the:
Jer.19.11	Thus sayeth the Lorde of Hostes: Euen so wyll I destroye this people and cytie: as a man breaketh an earthen vessell, that cannot be made whole agayne. In Topheth shal they be buried, for they shall haue none other place.
Jer.19.12	Thus wyl I do vnto this place also, sayeth the Lord, and to them that dwel therin: yee, I wil do to this citie as vnto Topheth
Jer.19.13	(For the houses of Ierusalem and the houses of the kynges of Iuda shalbe defyled, lyke as Topheth) because of all the houses, in whose parlers they dyd sacryfyce vnto all the hooste of heauen and powred drinke offeringes vnto straunge goddes.
Jer.19.14	And so Ieremy cam from Topheth, where the Lorde had sent him to prophecie, and stode in the court of the house of the Lorde, and spake to all the people:
Jer.19.15	Thus saieth the Lorde of Hostes the God of Israel: Beholde, I wyl brynge vpon this citie and vpon euery towne aboute it, all the plages that I haue deuised against them: for they haue bene obstinate, and wolde not obeye my warnynges.
Jer.20.1	When Phashur the preste, the sonne of Emer, chefe in the house of the Lorde, herde Ieremy preache so stedfastly:
Jer.20.2	he smote Ieremy Ꟶ put him in the stockes, that are by the hye gate of Ben Iamin, in the house of the Lorde.
Jer.20.3	The nexte daye folowynge Phashur brought Ieremy out of the stockes agayne. Then sayd Ieremy vnto him. The Lorde shall call the nomore Phashur (that is excellent and increasynge) but Magor (that is fearfull Ꟶ afrayed) euery where.
Jer.20.4	For thus sayeth the Lorde: beholde, I wyll make the afrayed, euen thy selfe, Ꟶ all that fauoure the: which shall perish with the swearde of their enemies, euen before thy face. And I wyll geue whole Iuda vnder the power of the kynge of Babylon, which shal carye some vnto Babylon presoners, Ꟶ slaye some with the swearde.
Jer.20.5	Moreouer, al the substaunce of this lande, all their precious and gorgeous worckes, all costlynes, and all the treasure of the kynges of Iuda: wyl I geue into the handes of their enemies, which shall spoyle them, and carie them vnto Babilon.
Jer.20.6	But as for the (O Phashur) thou shalt be caried vnto Babilon with all thine housholde, Ꟶ to Babylon shalt thou come, where thou shalt dye, and be buried: thou and al thy fauourers, to whom thou hast preached lyes.
Jer.20.7	O Lorde, Yf I am disceaued, then hast thou disceaued me: thou hast dealt strongly, and hast preuayled, and makest me stronge agayne. All the daye longe am I despised, Ꟶ laughed to scorne of euery man:
Jer.20.8	because I haue now preached longe agaynst malycious Tyranny, and shewed them of destruccion. For the whyche cause they cast the word of the Lorde in my teeth, and take me euer to the worst.
Jer.20.9	Wherfore, I thought from hence forth, not to speake of him, ner to preache eny more in his name. But the worde of the Lorde was a very burnynge fyre in my hert and in my bones, whiche when I wolde haue stopped, I myght not.
Jer.20.10	For why I herde so many derisions and blasphemies on euery syde of me: complayne vpon him, saye they, and we will tell his tale, yee euen of myne awne companions, and soch as were conuersant with me: went about to murther me, saying vpon him, we shall one waye or other begyle him and preuayle agaynst him, and be auenged of hym.
Jer.20.11	But the Lord stode by me, lyke a myghtie giaunt: therfore my persecutours fell, Ꟶ coulde do nothing. They shalbe sore confounded, for they haue done vnwysely, they shal haue an euerlastinge shame.
Jer.20.12	And now, O Lorde of Hostes, thou ryghteous searcher (which knowest the reynes and the very hertes:) let me se them punished, for vnto the I commytte my cause.
Jer.20.13	Synge vnto the Lorde, and prayse him, for he hath deliuered the soule of the oppressed, from the hande of the violent.
Jer.20.14	Cursed be the daye, wherin I was borne, vnhappie be the daye, wherin my mother brought me forth.
Jer.20.15	Cursed be the man, that brought my father the tydinges to make him glad, saying: thou hast gotten a sonne.
Jer.20.16	Let it happen vnto that man, as to the cyties which the Lord turned vp syde downe. Lett him heare cryenge in the mornynge, and at none daye lamentable howlynge.
Jer.20.17	Why slewest thou not me, as sone as I cam out of my mothers wombe? O that my mother had bene my graue her self, that the byrth myghte not haue come out, but remayned styll in her.
